"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.100041675E-3,-2.909499664E0,6.683601379E0,6.475534058E0
1.968904167E-2,-3.380121002E0,6.544390869E0,6.435118103E0
3.727704167E-2,-3.682641907E0,6.258036346E0,6.811435547E0
5.486604167E-2,-3.201242981E0,6.127657471E0,7.403155060E0
7.245404167E-2,-2.781066742E0,6.400390320E0,7.827821960E0
9.004304168E-2,-2.198328552E0,6.633006592E0,8.310867462E0
1.076310417E-1,-2.011966095E0,6.486012268E0,7.766449585E0
1.252200417E-1,-2.332000580E0,6.369554443E0,6.452481995E0
1.428080417E-1,-3.205134888E0,6.406976624E0,5.638624420E0
1.603970417E-1,-3.695515137E0,6.138584747E0,6.208339691E0
1.779850417E-1,-3.386258240E0,5.981710968E0,7.438182220E0
1.955740417E-1,-2.852019196E0,6.153703308E0,8.117769012E0
2.131620417E-1,-2.216590576E0,6.307283936E0,8.004005585E0
2.307510417E-1,-1.904339905E0,5.528154144E0,6.392007751E0
2.483390417E-1,-3.037483521E0,5.261408844E0,5.998625793E0
2.659280417E-1,-4.082310791E0,6.098617859E0,6.624025269E0
2.835160417E-1,-5.099595337E0,5.402415619E0,7.660919037E0
3.011050417E-1,-4.786446533E0,3.338657227E0,6.793622589E0
3.186937500E-1,-3.171903992E0,6.493496704E-1,7.086713104E0
3.362827500E-1,-1.061742096E0,-3.353027344E-2,5.170098724E0
3.538707500E-1,3.132984924E-1,-1.615290985E0,5.620212708E0
3.714597500E-1,2.347119141E-1,2.040257263E-1,1.267459305E1
3.890477500E-1,1.830693054E-1,2.431543579E0,1.808404404E1
4.066367500E-1,3.287763062E0,8.655001831E-1,1.190474396E1
4.242247500E-1,2.280657349E0,-1.676513672E-2,8.561745758E0
4.418137500E-1,-3.322041779E0,2.044149170E0,6.816674652E0
4.594017500E-1,2.894979858E-1,3.846700745E0,9.829160156E0
4.769907500E-1,3.473077698E0,2.612517242E0,1.154579041E1
4.945787500E-1,3.796255646E0,2.627486115E0,1.336735245E1
5.121677500E-1,3.608695679E0,2.756368103E0,1.194336365E1
5.297557500E-1,1.275946655E0,2.365830231E0,8.457113342E0
5.473447500E-1,-1.496887207E-3,2.399659882E0,7.943681030E0
5.649327500E-1,4.553530884E-1,2.403701477E0,1.026191025E1
