"Time (s)","X (hPa)"
-5.236747500E-1,1.015605240E3
5.078272500E-1,1.015612183E3
1.539294250E0,1.015619125E3
2.570768250E0,1.015631943E3
3.602292250E0,1.015648041E3
3.796345250E0,1.015653229E3
4.861140250E0,1.015653687E3
5.925920250E0,1.015658493E3
6.990695250E0,1.015659790E3
8.055481250E0,1.015659790E3
9.120253250E0,1.015659409E3
1.018503325E1,1.015656204E3
1.124979225E1,1.015652466E3
1.231450725E1,1.015651932E3
1.337927125E1,1.015651627E3
1.444404125E1,1.015651627E3
1.550885725E1,1.015656586E3
1.657370025E1,1.015658493E3
1.763852625E1,1.015666275E3
1.870333025E1,1.015666275E3
1.976813625E1,1.015658875E3
2.083296725E1,1.015657043E3
2.189784125E1,1.015652771E3
2.296273225E1,1.015652237E3
2.402753225E1,1.015652237E3
2.509241025E1,1.015653305E3
2.615724525E1,1.015653839E3
2.722199925E1,1.015653305E3
2.828677025E1,1.015659561E3
2.935154425E1,1.015657272E3
3.041633525E1,1.015658722E3
3.148117425E1,1.015657272E3
3.254599325E1,1.015658569E3
3.361078825E1,1.015657501E3
3.467553325E1,1.015657501E3
3.574033825E1,1.015656204E3
3.680512825E1,1.015656204E3
3.786991925E1,1.015656204E3
3.893471725E1,1.015647354E3
3.999955925E1,1.015645828E3
4.106439225E1,1.015640640E3
4.212917225E1,1.015640640E3
4.319394125E1,1.015641861E3
4.425874525E1,1.015643082E3
4.532353225E1,1.015646896E3
4.638835425E1,1.015646362E3
4.745321925E1,1.015646362E3
4.851805525E1,1.015643158E3
4.958283925E1,1.015643158E3
5.064771125E1,1.015644150E3
5.171256925E1,1.015644150E3
5.277743025E1,1.015644150E3
5.384225225E1,1.015644836E3
5.490706325E1,1.015643997E3
5.597189925E1,1.015643997E3
5.703668825E1,1.015638962E3
5.810150925E1,1.015634460E3
5.916637125E1,1.015628433E3
6.023126625E1,1.015627975E3
6.129612325E1,1.015628433E3
6.236097025E1,1.015629501E3
6.342583225E1,1.015632248E3
6.449066325E1,1.015632401E3
6.555549525E1,1.015632401E3
6.662036525E1,1.015630112E3
6.768518825E1,1.015622787E3
6.875004125E1,1.015622787E3
6.981489025E1,1.015624771E3
7.087968025E1,1.015624771E3
7.194445425E1,1.015621643E3
7.300928625E1,1.015621643E3
7.407410625E1,1.015623169E3
7.513893225E1,1.015628052E3
7.620374025E1,1.015628052E3
7.726852825E1,1.015629044E3
7.833331125E1,1.015637054E3
7.939813625E1,1.015643768E3
8.046294725E1,1.015638962E3
8.152775525E1,1.015640869E3
8.259252925E1,1.015638962E3
8.365733625E1,1.015635605E3
8.472212925E1,1.015633240E3
8.578690825E1,1.015633698E3
8.685170525E1,1.015633698E3
8.791652425E1,1.015633698E3
8.898127825E1,1.015631409E3
9.004609025E1,1.015631409E3
9.111090025E1,1.015635757E3
9.217569225E1,1.015635757E3
9.324049725E1,1.015635757E3
9.430536125E1,1.015636673E3
9.537016325E1,1.015636673E3
9.643496525E1,1.015634079E3
9.749976525E1,1.015633850E3
