"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.215104168E-2,-3.583292365E-1,-9.309375659E-3,-2.293482274E-1
2.722704168E-2,-4.836177826E-1,-2.562508732E-2,-1.817273200E-1
4.230304167E-2,-4.899684489E-1,-1.001840383E-1,-5.154058710E-2
5.737804167E-2,-3.832038343E-1,-1.933245808E-1,3.380034119E-2
7.245404167E-2,-2.398146987E-1,-2.278862894E-1,1.947173849E-2
8.753004167E-2,-9.460310638E-2,-1.738396138E-1,-8.399286121E-2
1.026060417E-1,-1.526697446E-2,-3.298597038E-2,-2.405847758E-1
1.176820417E-1,-9.070824087E-2,-3.531844355E-3,-3.466988504E-1
1.327580417E-1,-2.912013829E-1,-1.143667474E-1,-3.690819144E-1
1.478330417E-1,-4.433283210E-1,-4.224573672E-1,-2.715691030E-1
1.629090417E-1,-4.318472147E-1,-7.272051573E-1,-1.435005963E-1
1.779850417E-1,-3.282156289E-1,-7.662140727E-1,-1.002588347E-1
1.930610417E-1,-2.633825839E-1,-5.922614932E-1,-1.931597590E-1
2.081370417E-1,-3.084027171E-1,-2.534901500E-1,-4.062804282E-1
2.232130417E-1,-5.143263340E-1,-1.604935527E-1,-5.706746578E-1
2.382890417E-1,-8.975386024E-1,-3.111024201E-1,-5.841407180E-1
2.533640417E-1,-1.341264963E0,-2.582285702E-1,-4.223989844E-1
2.684400417E-1,-1.804037333E0,-6.478568316E-1,-2.614511251E-1
2.835160417E-1,-2.279476881E0,-1.596081018E0,-1.385127902E-1
2.985920417E-1,-2.922528982E0,-2.186556101E0,2.036355287E-1
3.136687500E-1,-3.755968809E0,-2.741722822E0,8.319721818E-1
3.287447500E-1,-4.746549129E0,-3.116892099E0,1.492929578E0
3.438197500E-1,-5.508303165E0,-3.350190639E0,2.156938791E0
3.588957500E-1,-5.478909969E0,-5.034984589E0,2.727030039E0
3.739717500E-1,-4.124298573E0,-3.462205887E0,3.103053808E0
3.890477500E-1,-1.716188431E0,-1.019992009E-1,2.866771698E0
4.041237500E-1,9.586451948E-2,1.527051449E0,2.077891588E0
4.191997500E-1,1.144250035E0,1.949833632E0,1.360582709E0
4.342757500E-1,8.076578975E-1,-5.043563843E-1,7.883580923E-1
4.493507500E-1,2.311580181E-1,-1.782806516E0,3.603871167E-1
4.644267500E-1,4.964985847E-1,-1.396359682E0,1.973902285E-1
4.795027500E-1,9.319993854E-1,-1.298325777E0,-6.277409196E-2
4.945787500E-1,1.569419742E0,-1.176005721E0,-3.779149950E-1
5.096547500E-1,1.807296753E0,-8.806393147E-1,-7.912557721E-1
5.247307500E-1,1.365703940E0,-6.386677027E-1,-9.401790500E-1
5.398057500E-1,7.089705467E-1,-3.987921178E-1,-7.798269987E-1
5.548817500E-1,4.671350420E-1,-3.648826182E-1,-4.946935177E-1
5.699577500E-1,6.139894724E-1,-2.759199440E-1,-3.490318656E-1
5.850337500E-1,9.117613435E-1,-1.458507627E-1,-3.918702304E-1
6.001097500E-1,1.009541988E0,2.246813625E-1,-4.891355634E-1
6.151857500E-1,7.453444004E-1,6.782360673E-1,-5.688924193E-1
6.302617500E-1,3.321251273E-1,1.024905086E0,-6.496052146E-1
6.453367500E-1,8.820100874E-2,1.290228605E0,-6.480991244E-1
6.604127500E-1,8.855345845E-2,1.404963136E0,-6.707680225E-1
6.754887500E-1,3.222381175E-1,1.191132307E0,-5.697860122E-1
6.905647500E-1,7.092726231E-1,5.942020416E-1,-3.325864971E-1
7.056407500E-1,1.010761499E0,4.690390080E-3,-8.101873100E-2
7.207167500E-1,1.027473330E0,-3.357307911E-1,-1.584674120E-1
7.357927500E-1,8.009242415E-1,-6.649597883E-1,-5.496135950E-1
7.508687500E-1,4.843363762E-1,-9.596329331E-1,-9.235842228E-1
7.659437500E-1,2.786394060E-1,-1.055234432E0,-9.504016042E-1
7.810197500E-1,1.592719704E-1,-9.863863587E-1,-6.917442083E-1
7.960957500E-1,1.999592185E-1,-1.351431251E0,-2.750827968E-1
8.111717500E-1,2.481446862E-1,-1.480461836E0,-2.474956959E-1
8.262477500E-1,8.359991014E-3,-2.125269890E0,-2.124106139E-1
8.413237500E-1,-3.612472415E-1,-3.593217611E0,-1.895758957E-1
8.563997500E-1,-9.596874714E-1,-4.073143482E0,-7.025771141E-1
8.714747500E-1,-1.451359391E0,-3.148639202E0,-1.015992165E0
8.865507500E-1,-1.507362127E0,-2.291503906E0,-8.757494688E-1
9.016267500E-1,-1.346462131E0,-1.761258960E0,-4.452595413E-1
9.167027500E-1,-1.088065505E0,-1.607191682E0,-7.932627946E-2
9.317787500E-1,-8.778367639E-1,-1.659002781E0,2.507572174E-1
9.468547500E-1,-6.488123536E-1,-1.565617323E0,5.668862462E-1
9.619307500E-1,-3.853280246E-1,-1.776856542E0,6.821718812E-1
9.770067500E-1,1.568784937E-2,-2.141732454E0,5.854304433E-1
9.920817500E-1,3.172065616E-1,-2.207871437E0,2.181374580E-1
1.007157750E0,3.894875348E-1,-2.200540066E0,-1.643073857E-1
1.022233750E0,2.890798450E-1,-2.164050817E0,-4.236494601E-1
1.037309750E0,1.796244681E-1,-2.277019024E0,-3.834202886E-1
1.052385750E0,2.057298645E-2,-2.543631792E0,-1.077884436E-1
1.067461750E0,3.486792371E-2,-2.681231976E0,4.434252977E-1
1.082537750E0,1.544385701E-1,-2.608295202E0,8.048400879E-1
1.097612750E0,1.293254942E-1,-2.111236811E0,7.219995260E-1
1.112688750E0,1.985485852E-2,-1.810747504E0,4.850004017E-1
1.127764750E0,1.897740513E-1,-1.788515449E0,5.455473661E-1
1.142840750E0,5.913428068E-1,-1.526277542E0,9.104896784E-1
1.157916750E0,1.028641582E0,-1.332633734E0,1.339380980E0
1.172992750E0,1.331715465E0,-6.680342555E-1,1.498395920E0
1.188068750E0,1.311629772E0,4.988252521E-1,1.177926779E0
1.203144750E0,1.218163252E0,7.779290676E-1,6.238828301E-1
1.218219750E0,1.015416265E0,2.295861021E-2,2.845247388E-1
1.233295750E0,9.891819358E-1,-2.400384843E-1,2.556442916E-1
1.248371750E0,1.259792089E0,-6.620839238E-2,2.886556387E-1
1.263447750E0,1.352952838E0,2.836041451E-1,1.987914294E-1
1.278523750E0,7.582089901E-1,3.153412938E-1,1.457820088E-1
1.293599750E0,1.193325371E-1,2.983703315E-1,3.226647675E-1
1.308675750E0,-3.559079766E-2,3.890477121E-1,6.650121212E-1
1.323750000E0,2.393229902E-1,6.580707431E-1,8.044820428E-1
1.338826000E0,7.066499591E-1,9.290611744E-1,7.467140555E-1
1.353901000E0,9.323586226E-1,4.719238877E-1,6.407794952E-1
1.368977000E0,8.324422836E-1,-1.477088183E-1,3.514363766E-1
1.384053000E0,6.148613691E-1,-5.700312257E-1,-3.230477497E-2
1.399129000E0,3.738724291E-1,-6.465694308E-1,-4.706941247E-1
1.414205000E0,4.453337491E-1,-4.142040014E-1,-8.993683457E-1
1.429281000E0,7.511856556E-1,1.497393548E-1,-1.024574637E0
1.444357000E0,1.021351337E0,7.315760255E-1,-6.831507683E-1
1.459433000E0,1.219975233E0,1.266993880E0,-1.839287281E-1
1.474508000E0,1.659860730E0,1.918847084E0,1.549227163E-2
1.489584000E0,1.973717928E0,2.363564014E0,-1.483578384E-1
1.504660000E0,1.591763854E0,2.178040504E0,-1.287701577E-1
1.519736000E0,1.014254808E0,1.866676807E0,-8.750180900E-2
1.534812000E0,6.670336723E-1,1.609539390E0,-3.761905432E-2
1.549888000E0,7.506014109E-1,1.390843391E0,-8.135866374E-2
1.564964000E0,1.129384279E0,1.387009621E0,-1.522958875E-1
1.580040000E0,1.555137992E0,1.554696679E0,-5.691049993E-2
1.595116000E0,1.646361709E0,1.468956351E0,2.333973162E-2
1.610191000E0,1.530916810E0,1.502754211E0,-4.596328735E-2
1.625267000E0,1.341275096E0,1.471239686E0,-1.758631319E-1
1.640343000E0,1.218020082E0,1.290505648E0,-3.921959698E-1
1.655419000E0,1.226653218E0,9.468081594E-1,-6.009454727E-1
1.670495000E0,1.206448078E0,7.572137713E-1,-4.682115912E-1
1.685571000E0,1.136922479E0,6.249029636E-1,-3.524853587E-1
1.700647000E0,9.859411120E-1,3.026346266E-1,-2.042045593E-1
1.715723000E0,7.400615215E-1,2.357036173E-1,-5.428161100E-2
1.730798000E0,5.239238143E-1,3.428076506E-1,1.078026965E-1
1.745874000E0,3.283150494E-1,5.106161237E-1,1.331011802E-1
1.760950000E0,2.799285948E-1,4.585762918E-1,1.074767858E-1
1.776026000E0,4.534588456E-1,5.586175919E-1,2.284241200E-4
1.791102000E0,6.856686473E-1,6.984480023E-1,9.789481759E-3
1.806178000E0,8.345375061E-1,8.371406198E-1,1.202685907E-1
1.821254000E0,7.338238955E-1,8.782483935E-1,3.747189939E-1
1.836330000E0,4.081413448E-1,7.916232347E-1,5.752788186E-1
1.851405000E0,1.664228141E-1,6.701052189E-1,5.117111206E-1
1.866481000E0,2.245785445E-1,4.302249849E-1,2.367391437E-1
1.881557000E0,6.044638157E-1,2.781829834E-1,-2.944160998E-1
1.896633000E0,1.457290411E0,2.218185961E-1,-9.466161728E-1
1.911709000E0,2.068786144E0,5.918282866E-1,-1.133891106E0
1.926785000E0,1.970140696E0,9.596923590E-1,-7.528408170E-1
1.941861000E0,1.136233926E0,1.157716513E0,-1.600949466E-1
1.956937000E0,4.459038973E-1,1.074490905E0,1.705279052E-1
1.972013000E0,5.551341176E-1,1.133975029E0,2.375034839E-1
1.987088000E0,5.284911990E-1,1.096159458E0,3.622990549E-1
2.002164000E0,4.655194283E-1,1.154351115E0,3.498218656E-1
2.017240000E0,4.735088944E-1,1.473818898E0,1.796088219E-1
2.032316000E0,5.386122465E-1,1.863809109E0,-8.245521225E-3
2.047392000E0,4.226185083E-1,2.294262409E0,-3.218910098E-2
2.062468000E0,-6.242320873E-3,2.700353146E0,4.621089995E-2
2.077544000E0,-4.148278832E-1,2.810356379E0,9.149681032E-2
2.092620000E0,-9.522441030E-1,4.455731392E0,-2.491361201E-1
2.107695000E0,-1.771002173E0,6.142462730E0,-4.963813126E-1
2.122771000E0,-1.964221478E0,7.161572933E0,-2.792775035E-1
2.137847000E0,-1.428701758E0,6.733702660E0,1.218748465E-1
2.152923000E0,7.773448229E-1,-3.149197996E-2,5.987503529E-1
2.167999000E0,1.659765124E0,-1.202295542E0,6.781811118E-1
2.183075000E0,1.364291191E0,-6.476688981E-1,1.021715045E0
2.198151000E0,8.336727023E-1,-2.443549633E-1,1.172911167E0
2.213227000E0,4.054359198E-1,3.149532974E-1,1.028441668E0
2.228303000E0,6.915274262E-1,-9.813861549E-2,7.397859097E-1
2.243378000E0,1.169930220E0,-5.851902962E-1,5.637379289E-1
2.258454000E0,8.723635674E-1,-1.961753219E-1,4.153131545E-1
2.273530000E0,3.990923762E-1,2.660340071E-1,1.492438316E-1
2.288606000E0,4.188698232E-1,2.060568482E-1,-2.094873041E-1
2.303682000E0,5.919670463E-1,1.279319525E-1,-4.121122956E-1
