"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.215104168E-2,-2.599952745E-1,2.453643715E-1,-4.177607542E-1
2.722704168E-2,-4.931275633E-1,2.012997544E-1,-4.294078231E-1
4.230304167E-2,-6.144996804E-1,-7.200846076E-2,6.611563683E-2
5.737804167E-2,-2.680463058E-1,-8.065707743E-2,3.651469231E-1
7.245404167E-2,1.908794314E-1,2.684971261E-1,8.275067300E-1
8.753004167E-2,4.872280151E-1,4.517248911E-1,1.123122658E0
1.026060417E-1,9.353399116E-1,3.774722689E-1,8.997245210E-1
1.176820417E-1,8.488546219E-1,3.152011764E-1,2.472331417E-1
1.327580417E-1,3.192936426E-1,3.012111282E-1,-1.189578018E0
1.478330417E-1,-2.888407588E-1,3.701661730E-1,-1.508833069E0
1.629090417E-1,-7.148186052E-1,1.156778061E-1,-7.418725026E-1
1.779850417E-1,-6.067570898E-1,8.575584948E-2,-8.197036207E-2
1.930610417E-1,-7.857722282E-2,2.308966058E-1,7.403609973E-1
2.081370417E-1,1.631303000E-1,5.808472002E-1,9.813007808E-1
2.232130417E-1,9.639675871E-1,-3.778412282E-2,-5.143427235E-1
2.382890417E-1,8.024531651E-1,-2.364350885E-1,-1.299720849E0
2.533640417E-1,-5.890397340E-1,9.463075340E-2,-1.330012350E0
2.684400417E-1,-1.167510918E0,7.715073609E-1,-1.179844158E0
2.835160417E-1,-2.367149655E0,2.234373128E-1,-2.842963028E-1
2.985920417E-1,-2.334035411E0,-4.483288282E-1,-9.951019639E-1
3.136687500E-1,-1.570568410E0,-3.377308491E0,-1.446635651E0
3.287447500E-1,-6.132258645E-1,-3.431955692E0,-2.352044250E0
3.438197500E-1,8.495801152E-1,-4.096087416E0,-4.422780125E0
3.588957500E-1,8.339622022E-1,-4.081092231E0,-3.672471260E0
3.739717500E-1,-4.446151519E-1,-7.646017992E-1,5.132547905E0
3.890477500E-1,-8.681111111E-1,1.063955267E0,8.426696711E0
4.041237500E-1,2.759215697E0,-1.290468800E-1,2.363672608E0
4.191997500E-1,2.766954195E0,-1.084894000E0,4.827882242E-1
4.342757500E-1,-1.564459239E0,-5.436654867E-1,-2.488697773E0
4.493507500E-1,-3.970202125E0,1.330453230E0,-2.494423367E0
4.644267500E-1,1.378751524E0,2.030645902E0,4.254808331E-1
4.795027500E-1,2.555789018E0,1.130588675E0,1.684120315E0
4.945787500E-1,2.794653332E0,9.352694526E-1,3.773419930E0
5.096547500E-1,2.728894083E0,8.637732080E-1,3.293103908E0
5.247307500E-1,3.924143169E-1,1.385382266E-1,-3.589915591E-1
5.398057500E-1,-2.301217036E-1,-6.115588233E-2,-1.624712604E0
5.548817500E-1,-1.577198275E0,-2.043347517E-1,-2.108470881E-1
5.699577500E-1,-7.339654590E-1,-1.884060591E-1,9.924239391E-1
5.850337500E-1,7.821830611E-1,4.150032073E-2,1.864855412E0
6.001097500E-1,1.224511623E0,2.011711156E-1,1.590443827E0
6.151857500E-1,9.132645529E-1,2.293424159E-1,2.359234571E-2
6.302617500E-1,7.718598749E-1,1.195176727E-1,-9.516361016E-1
6.453367500E-1,4.685640682E-1,3.167088810E-1,-8.449454659E-1
6.604127500E-1,2.761963011E-1,-1.475126794E-1,-4.537094361E-1
6.754887500E-1,-1.285607717E0,-1.293779201E0,-2.345259726E-1
6.905647500E-1,-2.315132386E0,-1.708700840E0,-6.944691253E-1
7.056407500E-1,-2.606354277E0,-1.235881826E0,-1.753671775E0
7.207167500E-1,-1.408161411E0,-1.019899421E0,-2.315545930E0
7.357927500E-1,1.565877043E-1,-4.273300150E-1,-2.948972463E0
7.508687500E-1,1.075774025E-1,-4.602901849E-1,-3.515457732E0
7.659437500E-1,-9.773404616E-1,2.725094855E-3,-3.645607397E0
7.810197500E-1,-1.635852427E0,1.473033491E-1,-3.853865923E0
7.960957500E-1,-4.694409605E0,-4.000483686E-1,-3.297358927E0
8.111717500E-1,-4.713752779E0,-1.177171103E0,-2.501455813E0
8.262477500E-1,-3.951488696E0,-2.373153284E0,-3.269375907E0
8.413237500E-1,-4.719897618E0,-2.494928274E0,-2.631156996E0
8.563997500E-1,-2.167863974E-1,-2.702946771E0,-4.258107330E0
8.714747500E-1,8.779834038E-1,-1.167637510E0,-5.192995836E0
8.865507500E-1,-2.676027945E-1,4.171400723E-1,-3.385065992E0
9.016267500E-1,-7.846773371E-1,-4.771327972E-2,-2.177829384E0
9.167027500E-1,-1.440654826E0,-3.071038060E0,-1.587899119E-1
9.317787500E-1,-1.047267606E0,-3.816087355E0,1.095002228E-1
9.468547500E-1,-1.248832532E0,-3.750466100E0,2.840226531E-2
9.619307500E-1,-3.608948278E-1,-3.187418994E0,-7.384822869E-1
9.770067500E-1,2.318014625E-1,-9.278282860E-1,-9.124837303E-1
9.920817500E-1,7.461520797E-1,-1.869550726E-1,-5.546452421E-1
1.007157750E0,3.830686390E-1,-3.697209075E-1,4.346498519E-1
1.022233750E0,1.036354655E-1,-1.436424366E0,6.476416987E-1
1.037309750E0,-8.957010520E-1,-2.649366688E0,1.184899076E0
1.052385750E0,-9.389353645E-1,-3.161702062E0,9.684269661E-1
1.067461750E0,-5.519350576E-1,-2.523411231E0,1.458763361E-2
1.082537750E0,2.121410769E-1,-1.732645188E0,4.882694042E-1
1.097612750E0,3.731279631E0,-1.974049240E-1,2.127933923E0
1.112688750E0,4.601634758E0,-2.388382941E-2,3.022333969E0
1.127764750E0,3.101744421E0,-8.910852599E-1,2.365026239E0
1.142840750E0,1.808402299E0,-6.223726639E-1,1.842125530E0
1.157916750E0,5.200431740E-1,5.910251561E-1,2.240454233E-1
