"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.402990341E-3,5.233482743E1,4.863932128E0,4.746831119E0,NaN,NaN,3.933333333E1,1.308229218E2
9.402990341E-3,5.233482742E1,4.863932129E0,4.746831119E0,NaN,NaN,3.933333333E1,1.308229218E2
5.050330162E-1,5.233488587E1,4.863914278E0,4.766347766E0,NaN,NaN,3.500000000E1,2.924223137E1
2.271986008E0,5.233489510E1,4.863911455E0,4.766887128E0,NaN,NaN,3.500000000E1,2.159689713E1
8.276886940E0,5.233490438E1,4.863908614E0,4.776064515E0,NaN,NaN,3.500000000E1,2.091263771E1
1.428193092E1,5.233494446E1,4.863896368E0,4.783675313E0,NaN,NaN,3.500000000E1,2.072496414E1
1.583615398E1,5.233492959E1,4.863900910E0,4.784459293E0,NaN,NaN,3.500000000E1,1.825288582E1
1.720184898E1,5.233490678E1,4.863907881E0,4.784885466E0,NaN,NaN,3.500000000E1,1.693013763E1
2.321079493E1,5.233490118E1,4.863909593E0,4.786694527E0,NaN,NaN,3.500000000E1,1.960793686E1
2.385667193E1,5.233490340E1,4.863908915E0,4.788412511E0,NaN,NaN,3.500000000E1,1.700151443E1
2.527134597E1,5.233490632E1,4.863908022E0,4.789485872E0,NaN,NaN,3.500000000E1,1.633967781E1
3.127573001E1,5.233494470E1,4.863896274E0,4.791027546E0,NaN,NaN,3.500000000E1,1.943825340E1
3.175571597E1,5.233491746E1,4.863904609E0,4.792152762E0,NaN,NaN,3.500000000E1,1.676309013E1
3.317899001E1,5.233490773E1,4.863907585E0,4.792861640E0,NaN,NaN,3.500000000E1,1.622507286E1
3.918772995E1,5.233491129E1,4.863906501E0,4.786450744E0,NaN,NaN,3.500000000E1,1.940826607E1
3.958922398E1,5.233491033E1,4.863906798E0,4.787109375E0,NaN,NaN,3.500000000E1,1.667513084E1
4.101856494E1,5.233491257E1,4.863906115E0,4.787544489E0,NaN,NaN,3.500000000E1,1.618556404E1
4.702455401E1,5.233490419E1,4.863908673E0,4.778861284E0,NaN,NaN,3.500000000E1,1.939556313E1
4.755426800E1,5.233490205E1,4.863909328E0,4.775076568E0,NaN,NaN,3.500000000E1,1.678456497E1
4.897300994E1,5.233490240E1,4.863909231E0,4.772645056E0,NaN,NaN,3.500000000E1,1.623170662E1
5.498716402E1,5.233491025E1,4.863906823E0,4.766024709E0,NaN,NaN,3.500000000E1,1.941315651E1
6.099227393E1,5.233491702E1,4.863904753E0,4.757789791E0,NaN,NaN,3.500000000E1,2.030763435E1
6.138914192E1,5.233490689E1,4.863907848E0,4.754607320E0,NaN,NaN,3.500000000E1,1.716182137E1
6.283675599E1,5.233490055E1,4.863909787E0,4.752640843E0,NaN,NaN,3.500000000E1,1.645342445E1
6.884555995E1,5.233490630E1,4.863908027E0,4.755829930E0,NaN,NaN,3.500000000E1,1.947287750E1
6.923553300E1,5.233490834E1,4.863907403E0,4.757247865E0,NaN,NaN,3.500000000E1,1.670049095E1
7.072053301E1,5.233491168E1,4.863906380E0,4.758177221E0,NaN,NaN,3.500000000E1,1.625362968E1
7.672937596E1,5.233493819E1,4.863898316E0,4.760249674E0,NaN,NaN,3.500000000E1,1.941639328E1
7.848118496E1,5.233491032E1,4.863906828E0,4.768508494E0,NaN,NaN,3.500000000E1,1.780150795E1
8.448896396E1,5.233491173E1,4.863906381E0,4.769121408E0,NaN,NaN,3.500000000E1,1.985421562E1
8.503036797E1,5.233491221E1,4.863906224E0,4.768421650E0,NaN,NaN,3.500000000E1,1.704246712E1
8.656167495E1,5.233490063E1,4.863909751E0,4.767980278E0,NaN,NaN,3.500000000E1,1.647232056E1
9.272677696E1,5.233490034E1,4.863909846E0,4.768560648E0,NaN,NaN,3.500000000E1,1.956340599E1
9.872981799E1,5.233489999E1,4.863910020E0,4.759361029E0,NaN,NaN,3.500000000E1,2.034881592E1
9.873372197E1,5.233490367E1,4.863908858E0,4.759630322E0,NaN,NaN,3.500000000E1,1.684380341E1
