"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.215104168E-2,2.705047607E1,-4.966775513E1,-4.448777771E1
2.722704168E-2,2.731790161E1,-4.926809692E1,-4.485768127E1
4.230304167E-2,2.742860413E1,-4.888711548E1,-4.507418823E1
5.737804167E-2,2.741439819E1,-4.828958130E1,-4.570372009E1
7.245404167E-2,2.728312683E1,-4.822671509E1,-4.565620422E1
8.753004167E-2,2.701257324E1,-4.815658569E1,-4.611048889E1
1.026060417E-1,2.706135559E1,-4.795465088E1,-4.610974121E1
1.176820417E-1,2.726104736E1,-4.778433228E1,-4.653677368E1
1.327580417E-1,2.748985291E1,-4.754666138E1,-4.672526550E1
1.478330417E-1,2.770788574E1,-4.696310425E1,-4.693629456E1
1.629090417E-1,2.750056458E1,-4.659884644E1,-4.740652466E1
1.779850417E-1,2.686195374E1,-4.626889038E1,-4.800288391E1
1.930610417E-1,2.659651184E1,-4.613598633E1,-4.849133301E1
2.081370417E-1,2.616288757E1,-4.578713989E1,-4.886338806E1
2.232130417E-1,2.631427002E1,-4.550219727E1,-4.921580505E1
2.382890417E-1,2.673791504E1,-4.421322632E1,-4.986106873E1
2.533640417E-1,2.684701538E1,-4.350323486E1,-5.057691956E1
2.684400417E-1,2.688058472E1,-4.166888428E1,-5.234782410E1
2.835160417E-1,2.631494141E1,-4.071783447E1,-5.335826111E1
2.985920417E-1,2.430834961E1,-3.782531738E1,-5.601368713E1
3.136687500E-1,2.280815125E1,-3.617596436E1,-5.775126648E1
3.287447500E-1,1.875025940E1,-3.148434448E1,-6.194612122E1
3.438197500E-1,1.620895386E1,-2.885812378E1,-6.350184631E1
3.588957500E-1,9.483123779E0,-2.206915283E1,-6.779147339E1
3.739717500E-1,5.981002808E0,-1.900772095E1,-6.925431824E1
3.890477500E-1,2.244567871E0,-1.480484009E1,-7.039582825E1
4.041237500E-1,2.185516357E0,-1.417297363E1,-7.037042236E1
4.191997500E-1,3.757888794E0,-1.493484497E1,-7.039239502E1
4.342757500E-1,4.423995972E0,-1.572561646E1,-6.995065308E1
4.493507500E-1,2.710586548E0,-1.647720337E1,-7.008523560E1
4.644267500E-1,1.742279053E0,-1.665005493E1,-7.000975037E1
4.795027500E-1,-2.172698975E-1,-1.762765503E1,-6.991508484E1
4.945787500E-1,-1.140838623E0,-1.850582886E1,-6.953889465E1
5.096547500E-1,-2.396911621E0,-2.084118652E1,-6.872671509E1
5.247307500E-1,-2.643402100E0,-2.190002441E1,-6.843237305E1
5.398057500E-1,-2.970977783E0,-2.354522705E1,-6.788458252E1
5.548817500E-1,-3.170852661E0,-2.395645142E1,-6.776527405E1
5.699577500E-1,-3.425430298E0,-2.468157959E1,-6.755126953E1
5.850337500E-1,-3.527816772E0,-2.518090820E1,-6.733776855E1
6.001097500E-1,-3.300018311E0,-2.634228516E1,-6.712980652E1
6.151857500E-1,-2.846420288E0,-2.692068481E1,-6.651602173E1
6.302617500E-1,-1.594223022E0,-2.780407715E1,-6.616241455E1
6.453367500E-1,-7.302703857E-1,-2.799105835E1,-6.617378235E1
6.604127500E-1,1.276916504E0,-2.807492065E1,-6.586672974E1
6.754887500E-1,2.571502686E0,-2.822207642E1,-6.565750122E1
