"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.603624947E-3,-1.329235840E0,3.687132568E0,8.805139618E0
1.882862509E-2,-1.505868530E0,3.866010590E0,8.736582184E0
3.505362500E-2,-1.715283051E0,3.871249695E0,8.784033508E0
5.127862515E-2,-1.624272308E0,3.764222260E0,9.130263519E0
6.750362506E-2,-1.426832886E0,3.633094940E0,9.030870209E0
8.372862497E-2,-1.382225647E0,3.618425446E0,8.852441254E0
9.995362512E-2,-1.440903625E0,3.542982330E0,8.858877869E0
1.161776250E-1,-1.407073975E0,3.488795013E0,8.798852692E0
1.324036249E-1,-1.351539459E0,3.405717773E0,8.652756500E0
1.486286251E-1,-1.415755920E0,3.388204193E0,8.748706970E0
1.648526250E-1,-1.413660278E0,3.322041779E0,8.804391174E0
1.810776251E-1,-1.298998718E0,3.214116211E0,8.910370789E0
1.973036251E-1,-1.270857239E0,3.175795898E0,8.934470673E0
2.135276250E-1,-1.061891785E0,3.198698273E0,8.779692535E0
2.297526251E-1,-1.201850739E0,3.186573486E0,9.030421143E0
2.459776250E-1,-1.329684906E0,3.463647308E0,9.459578705E0
2.622026252E-1,-1.286125488E0,3.601809998E0,9.577832794E0
2.784276251E-1,-1.335971832E0,3.774251404E0,9.732161865E0
2.946526250E-1,-1.445543976E0,3.499123535E0,1.051503387E1
3.108776251E-1,-1.467398529E0,2.277962952E0,1.152333710E1
3.271026250E-1,-1.278790741E0,1.635349274E0,1.193917236E1
3.433276250E-1,-1.985471191E0,1.790426788E0,1.013602203E1
3.595526251E-1,-2.078577576E0,2.620001678E0,7.985743561E0
3.757776250E-1,-1.779948578E0,3.304228821E0,6.916966095E0
3.920026252E-1,-1.360820160E0,2.958747253E0,6.359674988E0
4.082276251E-1,-8.216413879E-1,3.351081390E0,5.569917297E0
4.244526250E-1,-1.901944885E0,3.398233337E0,3.946243744E0
4.406776251E-1,-2.937491455E0,4.517455902E0,2.303410034E0
4.569026250E-1,-4.502636719E0,6.077511749E0,-3.847000122E-2
4.731276250E-1,-5.311853943E0,6.240373077E0,-1.906285858E0
4.893526251E-1,-5.737568665E0,6.213279419E0,-2.709665222E0
5.055766250E-1,-6.600673828E0,5.889652405E0,-2.568209381E0
5.218026252E-1,-6.828949127E0,5.289101257E0,-3.309318237E0
5.380276251E-1,-7.554640045E0,6.191125488E0,-4.417613525E0
5.542516250E-1,-7.986192627E0,6.611301727E0,-4.957840118E0
