"Time (s)","X (hPa)"
-5.530363750E-1,1.015223312E3
4.551926251E-1,1.015228806E3
1.463472625E0,1.015234299E3
2.471711625E0,1.015242462E3
3.479949625E0,1.015242615E3
3.827930625E0,1.015252762E3
4.903381625E0,1.015254517E3
5.978828625E0,1.015258255E3
7.054226625E0,1.015264359E3
8.129693625E0,1.015266953E3
9.205089625E0,1.015266953E3
1.028049562E1,1.015262985E3
1.135593263E1,1.015262299E3
1.243134962E1,1.015257492E3
1.350677463E1,1.015257416E3
1.458221163E1,1.015257416E3
1.565762762E1,1.015263977E3
1.673305562E1,1.015267792E3
1.780846462E1,1.015267792E3
1.888390462E1,1.015267792E3
1.995934062E1,1.015266724E3
2.103477662E1,1.015264435E3
2.211022063E1,1.015260391E3
2.318566862E1,1.015260391E3
2.426111663E1,1.015260391E3
2.533657262E1,1.015258713E3
2.641203262E1,1.015257111E3
2.748745363E1,1.015255966E3
2.856289262E1,1.015255814E3
2.963830962E1,1.015255966E3
3.071376262E1,1.015256195E3
3.178921062E1,1.015256653E3
3.286460862E1,1.015257111E3
3.394002763E1,1.015258102E3
3.501538062E1,1.015258713E3
3.609078862E1,1.015258713E3
3.716620263E1,1.015257034E3
3.824160363E1,1.015252838E3
3.931700562E1,1.015250320E3
4.039241063E1,1.015246735E3
4.146779562E1,1.015244446E3
4.254319463E1,1.015242996E3
4.361857462E1,1.015242996E3
4.469396963E1,1.015242996E3
4.576934463E1,1.015241318E3
4.684471963E1,1.015241318E3
4.792010662E1,1.015241089E3
4.899550662E1,1.015241089E3
5.007090262E1,1.015241089E3
5.114626963E1,1.015242081E3
5.222170063E1,1.015242386E3
5.329716162E1,1.015242386E3
5.437260663E1,1.015241241E3
5.544804262E1,1.015240631E3
5.652347063E1,1.015239334E3
5.759890063E1,1.015236206E3
5.867436763E1,1.015235748E3
5.974982262E1,1.015235138E3
6.082528462E1,1.015235748E3
6.190073962E1,1.015238953E3
6.297618762E1,1.015238953E3
6.405162863E1,1.015237427E3
6.512706263E1,1.015235367E3
6.620250563E1,1.015234909E3
6.727794262E1,1.015229568E3
6.835339463E1,1.015227966E3
6.942883463E1,1.015227966E3
7.050427362E1,1.015227966E3
7.157967762E1,1.015226517E3
7.265511362E1,1.015224991E3
7.373059062E1,1.015224991E3
7.480608362E1,1.015226898E3
7.588158963E1,1.015228882E3
7.695707762E1,1.015231400E3
7.803256062E1,1.015234909E3
7.910805163E1,1.015236206E3
8.018354763E1,1.015236206E3
8.125904363E1,1.015235519E3
8.233455562E1,1.015234528E3
8.341008863E1,1.015232468E3
8.448562862E1,1.015231628E3
8.556112962E1,1.015230942E3
8.663665762E1,1.015230484E3
8.771212562E1,1.015230484E3
8.878761862E1,1.015231857E3
8.986313462E1,1.015233688E3
9.093864262E1,1.015235367E3
9.201412162E1,1.015235367E3
9.308958962E1,1.015235138E3
9.416506362E1,1.015234528E3
9.524053062E1,1.015234299E3
9.631597063E1,1.015233231E3
9.739141662E1,1.015233231E3
9.846692863E1,1.015232849E3
9.954243363E1,1.015232697E3
1.006179626E2,1.015229416E3
1.016934746E2,1.015227127E3
1.027689706E2,1.015223846E3
1.038444976E2,1.015218506E3
1.049199766E2,1.015215836E3
1.059954866E2,1.015215836E3
1.070710026E2,1.015217896E3
1.081465436E2,1.015221481E3
1.092220866E2,1.015225525E3
1.102976406E2,1.015226517E3
1.113731996E2,1.015226517E3
1.124487676E2,1.015226364E3
1.135243216E2,1.015224991E3
1.145998576E2,1.015224991E3
1.156753866E2,1.015227432E3
1.167509166E2,1.015227585E3
1.178264616E2,1.015231323E3
1.189020136E2,1.015233307E3
1.199775156E2,1.015233307E3
1.210530496E2,1.015233307E3
1.221286066E2,1.015232849E3
1.232041616E2,1.015231857E3
1.242796766E2,1.015231018E3
1.253552136E2,1.015230331E3
1.264307856E2,1.015230331E3
1.275063726E2,1.015230789E3
1.285819266E2,1.015230789E3
1.296575206E2,1.015226974E3
1.307330876E2,1.015221329E3
1.318085966E2,1.015217667E3
1.328841266E2,1.015214996E3
1.339596616E2,1.015213013E3
1.350351916E2,1.015213013E3
1.361107156E2,1.015219421E3
1.371862376E2,1.015221939E3
1.382617816E2,1.015224838E3
1.393373456E2,1.015225525E3
1.404129026E2,1.015225754E3
1.414884116E2,1.015226746E3
1.425638816E2,1.015226517E3
1.436393946E2,1.015227127E3
1.447149286E2,1.015227127E3
1.457904576E2,1.015229034E3
1.468659806E2,1.015230103E3
1.479414746E2,1.015230103E3
1.490169586E2,1.015228195E3
1.500924346E2,1.015225220E3
1.511679276E2,1.015218582E3
1.522434056E2,1.015215378E3
1.533188956E2,1.015211639E3
1.543943736E2,1.015208664E3
1.554698976E2,1.015208435E3
1.565453936E2,1.015205917E3
1.576209056E2,1.015205688E3
1.586963536E2,1.015204391E3
1.597718006E2,1.015204010E3
1.608472606E2,1.015203629E3
1.619227166E2,1.015203629E3
1.629981476E2,1.015205307E3
1.640735846E2,1.015205841E3
1.651490526E2,1.015209122E3
1.662245346E2,1.015215836E3
1.673000146E2,1.015223312E3
1.683754856E2,1.015223312E3
1.694509906E2,1.015223312E3
1.705264866E2,1.015222778E3
1.716019856E2,1.015217743E3
1.726774826E2,1.015210953E3
1.737529696E2,1.015208893E3
1.748284566E2,1.015208893E3
1.759039616E2,1.015208893E3
1.769794336E2,1.015209427E3
1.780549326E2,1.015210114E3
