"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.382062515E-2,-2.487277836E-1,-1.058681384E-1,-1.547634304E-1
5.377462506E-2,-2.407981455E-1,-3.247111440E-1,-1.405511796E-1
8.372862497E-2,-1.575047970E-1,-1.049234048E-1,-4.342038184E-2
1.136816251E-1,-1.243395358E-1,9.756079875E-3,1.761156693E-2
1.436356250E-1,-1.933111399E-1,-5.856012926E-2,1.195794065E-2
1.735896252E-1,-1.269050092E-1,-6.047147512E-2,8.217241615E-3
2.035436251E-1,-8.324357867E-2,-3.154702252E-3,-4.945454746E-2
2.334976250E-1,-1.435104012E-1,2.532963753E-1,-3.578681266E-3
2.634506251E-1,2.197372466E-1,1.178324938E0,2.099573165E-1
2.934046250E-1,1.188539743E0,3.022789001E0,4.455594420E-1
3.233586249E-1,3.322532892E0,5.432419300E0,3.627907932E-1
3.533126251E-1,4.669531345E0,7.535841942E0,1.316151857E0
3.832656250E-1,5.053518772E0,8.585625648E0,2.093698740E0
4.132196251E-1,5.466572762E0,7.228471279E0,1.082777381E0
4.431736250E-1,5.740017891E0,4.799386501E0,1.302576810E-1
4.731276250E-1,4.818535328E0,3.264409781E0,1.782190800E-1
5.030806251E-1,3.935310602E0,2.038567066E0,-4.074894264E-2
5.330346250E-1,3.290919304E0,2.132275999E-1,-5.972923636E-1
5.629886251E-1,2.534603834E0,-1.281579256E0,-6.540426612E-1
5.929426251E-1,1.608738422E0,-1.853376031E0,-1.017511249E0
6.228966250E-1,1.818966031E0,-8.952859044E-1,-9.060049057E-1
6.528496251E-1,2.328664064E0,-4.642924368E-1,2.520693541E-1
6.828036250E-1,1.628697515E0,-1.127640128E0,-1.794466227E-1
7.127576252E-1,7.527258396E-1,-1.720046163E0,-3.683853745E-1
7.427115417E-1,3.855725527E-1,-1.224081993E0,-1.990517601E-2
7.726645416E-1,9.106781483E-1,-9.970196486E-1,4.160742462E-1
8.026185418E-1,1.088724375E0,-1.377942085E0,1.120612741E0
8.325725417E-1,9.655784965E-1,-6.695361137E-1,-5.387906432E-1
8.625265418E-1,5.354980230E-1,-7.340318561E-1,1.872948855E-1
8.924795417E-1,4.301539063E-1,-1.906905621E-1,4.157275558E-1
9.224335416E-1,-1.728132069E-1,-6.056407094E-1,2.787826955E-1
9.523875418E-1,3.389835060E-1,-4.183144569E-1,-4.779398739E-1
9.823415417E-1,9.642508030E-1,-2.770421505E-1,-5.882040597E-3
1.012294542E0,1.641499400E0,1.683815718E0,-1.733021736E-1
1.042248542E0,3.497233152E0,2.011676550E0,2.572723627E-1
1.072202542E0,4.024643421E0,1.852910995E0,-1.107130945E-1
1.102156542E0,1.984172106E0,8.789790273E-1,-7.299225330E-1
1.132109542E0,1.219406009E0,9.282159805E-1,-1.088428497E0
1.162063542E0,9.790965319E-1,2.638904572E0,-4.028552771E-2
1.192017542E0,-2.815166116E-2,1.318177819E0,1.000853419E0
1.221971542E0,-1.046348587E-1,2.502267659E-1,1.778678417E0
1.251924542E0,2.825608253E-1,-9.342288598E-3,2.865533113E0
1.281878542E0,-1.615377069E-1,1.156411171E0,3.490282536E0
1.311832542E0,-2.527389288E0,1.708634853E0,1.821548939E0
1.341786542E0,-3.056305170E0,2.126969337E0,1.925277472E0
1.371739542E0,-1.921554565E0,1.064614773E0,3.214764833E0
1.401693542E0,-2.757349491E0,1.297257543E0,2.092745304E0
1.431647542E0,-3.885061264E0,1.253236771E0,-1.973275989E-1
1.461601542E0,-2.898648024E0,1.855524778E-1,-1.125220180E0
1.491554542E0,-1.432056665E0,-1.648742199E0,-1.157175660E0
1.521508542E0,-8.817171454E-1,-2.332677841E0,-8.989581466E-1
1.551462542E0,-6.366611719E-1,-2.210127592E0,-1.449190497E0
1.581416542E0,6.935701370E-1,-2.788330078E0,-4.773001373E-1
1.611369542E0,1.104630232E0,-2.582373142E0,2.661004961E-1
1.641323542E0,1.370863914E0,-2.063316345E0,8.858809471E-1
1.671277542E0,-3.573251963E-1,-1.329245329E0,1.104651928E0
1.701231542E0,-5.925831199E-1,-1.075801849E0,1.965753913E0
1.731184417E0,-9.772825241E-2,-7.663996220E-1,1.553421259E0
1.761138417E0,-6.638770700E-1,-2.273878269E-2,9.221715331E-1
1.791092417E0,-3.993750811E-1,4.416918457E-1,6.751380563E-1
1.821046417E0,3.699637055E-1,1.933589727E-1,5.417392850E-1
1.850999417E0,6.053324342E-1,-3.981011212E-1,6.168593168E-1
1.880953417E0,7.153505087E-1,1.541192979E-1,2.037457824E-1
1.910907417E0,-3.988441080E-3,4.406784475E-1,-3.715843707E-2
1.940860417E0,-7.973932624E-1,-9.377557039E-2,3.990902305E-1
1.970814417E0,-7.444369197E-1,-4.635173678E-1,5.530558228E-1
2.000768417E0,-3.981513083E-1,-3.472426534E-1,1.354815066E-1
2.030722417E0,4.343900383E-1,-8.259658813E-1,3.976153731E-1
2.060675417E0,5.433864594E-1,-1.054015398E0,6.705481410E-1
2.090629417E0,-3.431099653E-1,-5.597823113E-2,4.433929920E-1
2.120583417E0,-2.029856890E-1,-5.358973052E-3,2.668182254E-1
2.150537417E0,9.436038882E-2,-4.615932107E-1,3.211235404E-1
2.180490417E0,-4.061694741E-1,-2.608878613E-1,1.236698627E-1
2.210444417E0,-2.495842874E-1,2.237827182E-1,3.830302507E-2
2.240398417E0,-4.890480340E-1,2.271768749E-1,2.005585283E-1
2.270352417E0,-9.836232662E-1,4.019522294E-2,2.913398445E-1
2.300305417E0,-3.236560822E-1,2.498390526E-1,2.216246277E-1
2.330259417E0,8.101327419E-1,5.230431557E-1,-1.495073438E-1
2.360213417E0,8.484643698E-1,7.537009120E-1,-6.316623092E-1
2.390166417E0,3.548340201E-1,6.842339039E-1,-5.891712904E-1
2.420120417E0,3.823613226E-1,2.462826073E-1,-3.742171526E-1
2.450074417E0,-2.073279768E-1,5.088997483E-1,-3.127500713E-1
2.480028417E0,-2.209207565E-1,5.144641995E-1,-5.757864714E-1
2.509981417E0,-5.010589361E-1,2.792087197E-1,-8.046606779E-1
2.539935417E0,-4.485579580E-2,-1.694296859E-2,-5.469449759E-1
2.569889417E0,-4.549839348E-2,2.744540386E-2,-2.567014396E-1
2.599842417E0,-3.268122301E-2,4.550465643E-1,-1.591929942E-1
2.629796417E0,-1.074562073E0,1.236492634E0,2.782730162E-1
2.659750417E0,-1.636812925E0,1.683480024E0,-2.169942409E-1
