"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.382062515E-2,-1.874574946E-1,1.029718065E-1,-2.261983681E-1
5.377462506E-2,-3.523204708E-1,7.547439784E-2,1.186967236E-1
8.372862497E-2,-1.378019160E-1,-6.273770034E-3,-1.601353562E-1
1.136816251E-1,-1.745402643E-1,-8.602716029E-2,-2.004671109E-1
1.436356250E-1,-1.194330342E-1,-1.757658407E-1,-3.824915189E-1
1.735896252E-1,-1.624850598E-1,-2.501473939E-1,-2.833367747E-1
2.035436251E-1,-3.584599011E-2,-3.229782656E-1,-1.933785313E-1
2.334976250E-1,3.722322866E-2,-2.691043594E-1,-6.678104997E-2
2.634506251E-1,1.074912657E-1,1.301438177E-1,4.986762786E-1
2.934046250E-1,4.622346765E-1,1.009697199E-1,1.297902365E0
3.233586249E-1,1.829819480E0,-2.365936358E0,3.759161494E0
3.533126251E-1,2.240493701E0,-3.342302966E0,2.296071779E0
3.832656250E-1,3.838292449E0,-3.450785188E0,1.841893981E0
4.132196251E-1,5.192193013E0,-3.960608599E0,3.056652155E0
4.431736250E-1,3.323135793E0,-3.155266324E0,2.354605331E0
4.731276250E-1,1.070942690E0,-1.416546464E0,3.036093637E-1
5.030806251E-1,-4.741910630E-1,-1.233486514E0,6.114091346E-1
5.330346250E-1,-1.683861868E0,-1.412812432E0,4.386288822E-2
5.629886251E-1,-2.421290486E0,1.501810563E-1,-7.374411902E-1
5.929426251E-1,-1.315665622E0,-1.488549078E-1,-6.776694900E-1
6.228966250E-1,2.124620891E-1,-2.455579144E0,1.843104939E0
6.528496251E-1,-4.518702528E0,8.238908118E-1,1.216743597E0
6.828036250E-1,1.143490849E0,8.053481215E-1,-3.745838614E0
7.127576252E-1,-7.168101668E-3,-1.661378154E-1,-3.256280483E0
7.427115417E-1,-1.350531399E0,4.147248799E-1,-2.201327589E0
7.726645416E-1,-1.016744263E0,-3.394206360E-1,-4.525891095E-1
8.026185418E-1,-2.039499464E0,-7.043889266E-1,-2.523993906E0
8.325725417E-1,4.561732188E0,5.778357671E0,-3.464903875E0
8.625265418E-1,1.826921015E0,-5.617390841E-2,-1.950644006E0
8.924795417E-1,1.280300492E0,2.889358930E0,-1.642178822E-1
9.224335416E-1,3.465247107E-1,5.977199256E-1,-6.119929790E-2
9.523875418E-1,-2.188200005E0,-2.199730130E0,1.275318957E0
9.823415417E-1,-1.079902378E0,-1.484056369E0,1.561328201E0
1.012294542E0,1.958543594E0,1.869451031E0,3.789314416E0
1.042248542E0,7.084901637E-1,2.383336210E0,3.473610964E0
1.072202542E0,8.607510746E-1,1.360625155E0,6.990048105E-1
1.102156542E0,8.539560252E-1,-1.627324701E0,-3.425808806E0
1.132109542E0,4.721123779E0,-1.025620483E0,-1.044020355E-2
1.162063542E0,1.625461632E-1,2.160654357E-1,1.484141446E0
1.192017542E0,-6.049852080E0,2.311804005E0,-3.951577574E0
1.221971542E0,-3.712396633E0,1.733169537E0,7.832392144E-1
1.251924542E0,6.770093393E-1,1.280956696E0,-3.207969618E-1
1.281878542E0,3.218351349E0,3.493344440E0,2.777123380E0
1.311832542E0,7.585893998E0,5.681633030E0,2.010075690E0
1.341786542E0,1.430190942E0,5.661797521E0,4.968858027E0
1.371739542E0,-4.509759504E0,2.114995789E0,7.252301574E0
1.401693542E0,-5.141829776E0,1.266501648E0,2.307196691E0
1.431647542E0,-1.031216590E1,2.677407303E0,-1.027449930E0
1.461601542E0,-1.276918346E1,-1.560140632E0,-3.736076102E0
1.491554542E0,-9.631361715E0,-4.170201459E0,-7.495128838E0
1.521508542E0,-5.142457767E0,-2.539901841E0,-7.542011814E0
1.551462542E0,-9.447621149E-1,-2.596954293E0,-8.825932317E0
1.581416542E0,6.872583389E-1,-2.681280499E0,-5.766278493E0
1.611369542E0,3.720538296E0,-1.649985439E0,-6.152370728E0
1.641323542E0,4.984975877E0,-9.226631480E-1,-4.915292854E0
1.671277542E0,5.653756430E0,1.791374622E0,-5.852475808E0
1.701231542E0,6.188359171E0,-1.751293713E-1,6.611458433E-1
1.731184417E0,7.281528296E0,1.036385061E0,1.562487412E0
1.761138417E0,2.198699266E0,4.025809731E0,-6.696269372E-1
1.791092417E0,1.275882336E0,-1.488202338E0,1.673253849E-1
1.821046417E0,-1.290223217E-1,-2.069610286E0,1.886392169E0
1.850999417E0,-4.609959438E-1,-1.141565945E0,1.995269955E0
1.880953417E0,2.011173505E0,-2.287771656E0,1.594688905E0
1.910907417E0,2.303985985E0,3.079026818E-1,5.230775866E-1
1.940860417E0,2.152617359E-1,6.459039062E-1,-3.958822274E-1
1.970814417E0,-3.550458580E-1,2.594986120E0,-2.460063958E-1
2.000768417E0,4.352781352E-1,2.411588786E0,-3.075304773E0
2.030722417E0,-1.284106445E0,6.939007759E-2,-3.325905619E0
2.060675417E0,6.039325923E-2,-1.024362600E0,-1.720490873E0
2.090629417E0,1.471027603E0,1.157815357E0,5.000302014E-1
2.120583417E0,1.737140527E-1,-8.482023650E-1,1.082271670E0
