"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.531505585E-2,5.233462466E1,4.863931128E0,4.246586755E0,NaN,NaN,6.100000000E1,2.454610825E1
1.531505585E-2,5.233462876E1,4.863930674E0,4.252570659E0,NaN,NaN,6.100000000E1,1.899743652E1
6.007630825E-1,5.233480497E1,4.863911187E0,4.251618445E0,NaN,NaN,3.800000000E1,1.661750603E1
2.413599014E0,5.233482768E1,4.863908676E0,4.251035750E0,NaN,NaN,3.800000000E1,1.652707100E1
8.419038057E0,5.233484743E1,4.863906496E0,4.250278652E0,NaN,NaN,3.800000000E1,1.949187469E1
8.838253975E0,5.233484844E1,4.863906382E0,4.249534026E0,NaN,NaN,3.800000000E1,1.673761368E1
1.067524207E1,5.233485601E1,4.863905544E0,4.249025270E0,NaN,NaN,3.800000000E1,1.660800934E1
1.668489599E1,5.233488293E1,4.863902569E0,4.241831049E0,NaN,NaN,3.800000000E1,1.951709175E1
1.721030402E1,5.233488659E1,4.863902160E0,4.242790148E0,NaN,NaN,3.800000000E1,1.684684753E1
1.888581300E1,5.233485916E1,4.863905192E0,4.243442431E0,NaN,NaN,3.800000000E1,1.651069832E1
2.489381707E1,5.233486090E1,4.863905001E0,4.241072923E0,NaN,NaN,3.800000000E1,1.948864555E1
2.546388507E1,5.233486524E1,4.863904519E0,4.240608871E0,NaN,NaN,3.800000000E1,1.687112617E1
2.709876800E1,5.233487431E1,4.863903515E0,4.240304634E0,NaN,NaN,3.800000000E1,1.648442459E1
3.310817206E1,5.233484608E1,4.863906650E0,4.242073655E0,NaN,NaN,3.800000000E1,1.948197937E1
3.311277604E1,5.233484328E1,4.863906962E0,4.242787376E0,NaN,NaN,3.800000000E1,1.634348297E1
3.360578299E1,5.233484288E1,4.863907002E0,4.244237140E0,NaN,NaN,3.800000000E1,1.497486210E1
3.539775908E1,5.233484506E1,4.863906760E0,4.245435447E0,NaN,NaN,3.800000000E1,1.569113064E1
4.140737009E1,5.233486431E1,4.863904629E0,4.244641021E0,NaN,NaN,3.800000000E1,1.925809288E1
4.198986208E1,5.233487465E1,4.863903483E0,4.246202096E0,NaN,NaN,3.800000000E1,1.675728607E1
4.379860699E1,5.233485449E1,4.863905711E0,4.247270212E0,NaN,NaN,3.800000000E1,1.659135246E1
4.980392504E1,5.233485833E1,4.863905286E0,4.246667013E0,NaN,NaN,3.800000000E1,1.951001167E1
5.037675309E1,5.233486274E1,4.863904797E0,4.247376427E0,NaN,NaN,3.800000000E1,1.688509941E1
5.201177108E1,5.233487074E1,4.863903911E0,4.247837454E0,NaN,NaN,3.800000000E1,1.649151993E1
5.801970804E1,5.233485423E1,4.863905775E0,4.231159002E0,NaN,NaN,3.800000000E1,1.948318100E1
5.857648504E1,5.233484835E1,4.863906417E0,4.236512527E0,NaN,NaN,3.800000000E1,1.685637093E1
6.039349198E1,5.233484997E1,4.863906211E0,4.240085527E0,NaN,NaN,3.800000000E1,1.664713287E1
6.640243506E1,5.233486493E1,4.863904557E0,4.241069585E0,NaN,NaN,3.800000000E1,1.952778244E1
6.697521901E1,5.233487512E1,4.863903428E0,4.243556380E0,NaN,NaN,3.800000000E1,1.689464188E1
6.879398906E1,5.233485475E1,4.863905681E0,4.245224372E0,NaN,NaN,3.800000000E1,1.666730499E1
7.480603707E1,5.233485869E1,4.863905252E0,4.244243458E0,NaN,NaN,3.800000000E1,1.953517914E1
7.751246798E1,5.233483407E1,4.863907970E0,4.241510198E0,NaN,NaN,3.800000000E1,1.852662277E1
8.352095199E1,5.233483868E1,4.863907460E0,4.242409334E0,NaN,NaN,3.800000000E1,2.005964470E1
8.404385209E1,5.233484770E1,4.863906462E0,4.219969064E0,NaN,NaN,3.800000000E1,1.713612366E1
8.582792699E1,5.233485600E1,4.863905544E0,4.205521964E0,NaN,NaN,3.800000000E1,1.675267982E1
9.183635402E1,5.233487625E1,4.863903304E0,4.214191914E0,NaN,NaN,3.800000000E1,1.955739021E1
9.241995406E1,5.233491308E1,4.863899232E0,4.223804228E0,NaN,NaN,3.800000000E1,1.692011070E1
9.422864699E1,5.233487192E1,4.863903785E0,4.230220124E0,NaN,NaN,3.800000000E1,1.667040443E1
1.002365950E2,5.233485964E1,4.863905224E0,4.227591649E0,NaN,NaN,3.800000000E1,1.953382874E1
1.007445410E2,5.233486656E1,4.863904420E0,4.230169460E0,NaN,NaN,3.800000000E1,1.684038925E1
