"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.382062515E-2,6.830429077E0,-1.675743484E1,-4.854142761E1
5.377462506E-2,6.575614929E0,-1.640529251E1,-4.862949753E1
8.372862497E-2,6.246681213E0,-1.606852341E1,-4.877879333E1
1.136816251E-1,6.075431824E0,-1.581459999E1,-4.884334183E1
1.436356250E-1,6.041717529E0,-1.552856064E1,-4.935729980E1
1.735896252E-1,6.018989563E0,-1.556902695E1,-4.940957642E1
2.035436251E-1,5.955444336E0,-1.544057083E1,-4.928681564E1
2.334976250E-1,6.176567078E0,-1.527476406E1,-4.927211761E1
2.634506251E-1,6.957984924E0,-1.509693813E1,-4.926843262E1
2.934046250E-1,9.623420715E0,-1.603788185E1,-4.895578384E1
3.233586249E-1,1.501021576E1,-1.907564354E1,-4.622380829E1
3.533126251E-1,2.260729218E1,-2.456583214E1,-3.988452911E1
3.832656250E-1,2.931940460E1,-3.102666855E1,-2.942203522E1
4.132196251E-1,3.329993439E1,-3.615946198E1,-1.674716187E1
4.431736250E-1,3.470697021E1,-3.841920471E1,-4.565620422E0
4.731276250E-1,3.469523621E1,-3.850320435E1,4.938537598E0
5.030806251E-1,3.384887695E1,-3.722204208E1,1.234443665E1
5.330346250E-1,3.392131805E1,-3.519813919E1,1.735717010E1
5.629886251E-1,3.504869843E1,-3.263598251E1,1.978626251E1
5.929426251E-1,3.673271942E1,-3.056260681E1,1.974932098E1
6.228966250E-1,3.839252472E1,-2.846274185E1,1.931964874E1
6.528496251E-1,3.913689423E1,-2.685807419E1,1.995688629E1
6.828036250E-1,3.941852570E1,-2.551173019E1,2.001261139E1
7.127576252E-1,4.003563690E1,-2.465165329E1,1.953598785E1
7.427115417E-1,4.128264618E1,-2.390683937E1,1.810679626E1
7.726645416E-1,4.171877289E1,-2.366032028E1,1.676420593E1
8.026185418E-1,4.159400177E1,-2.370976639E1,1.580374146E1
8.325725417E-1,4.150115204E1,-2.406896210E1,1.500975037E1
8.625265418E-1,4.192952728E1,-2.341231918E1,1.480341339E1
8.924795417E-1,4.210828400E1,-2.361375809E1,1.413964844E1
9.224335416E-1,4.208379364E1,-2.399011612E1,1.422100830E1
9.523875418E-1,4.214316559E1,-2.413186264E1,1.332117462E1
9.823415417E-1,4.254834747E1,-2.366719437E1,1.286917114E1
1.012294542E0,4.233272552E1,-2.309875870E1,1.376972198E1
1.042248542E0,4.168178558E1,-2.207530594E1,1.736482239E1
1.072202542E0,4.018590546E1,-1.997060204E1,2.195233917E1
1.102156542E0,3.927703094E1,-1.725572205E1,2.525133514E1
1.132109542E0,3.906667328E1,-1.508296776E1,2.682640076E1
1.162063542E0,3.860999298E1,-1.319499779E1,2.848139191E1
1.192017542E0,3.678768158E1,-1.295648575E1,3.103370667E1
1.221971542E0,3.549854279E1,-1.402747250E1,3.196931458E1
1.251924542E0,3.400357056E1,-1.629224205E1,3.207647705E1
1.281878542E0,3.189589691E1,-1.887294769E1,3.238578033E1
1.311832542E0,2.905020905E1,-2.256469536E1,3.324463654E1
1.341786542E0,2.587469482E1,-2.695521164E1,3.258822632E1
1.371739542E0,2.214159393E1,-3.146205521E1,3.124098206E1
1.401693542E0,1.826779938E1,-3.511807251E1,2.923288727E1
1.431647542E0,1.569643402E1,-3.837985992E1,2.597320557E1
1.461601542E0,1.551714325E1,-4.035743332E1,2.156343842E1
1.491554542E0,1.657825470E1,-4.057288361E1,1.809928131E1
1.521508542E0,1.851359558E1,-3.987710953E1,1.532513428E1
1.551462542E0,2.005744934E1,-3.868088913E1,1.257942963E1
1.581416542E0,2.158525085E1,-3.710440063E1,1.097502899E1
1.611369542E0,2.203253937E1,-3.570457840E1,1.014929962E1
1.641323542E0,2.159870148E1,-3.487255859E1,1.008382416E1
1.671277542E0,2.091490936E1,-3.468211746E1,9.501708984E0
1.701231542E0,1.974339294E1,-3.507352829E1,8.744125366E0
