"Time (s)","Distance (cm)"
3.395083360E-3,5.000000000E0
3.864356513E1,0.000000000E0
3.887683838E1,5.000000000E0
2.252304198E2,0.000000000E0
2.255637013E2,5.000000000E0
2.277476558E2,0.000000000E0
2.292809990E2,5.000000000E0
2.412406874E2,0.000000000E0
2.427618490E2,5.000000000E0
3.962867000E2,0.000000000E0
3.976211514E2,5.000000000E0
4.093695713E2,0.000000000E0
4.108045043E2,5.000000000E0
4.111083718E2,0.000000000E0
4.558058330E2,5.000000000E0
4.805073323E2,0.000000000E0
4.988653102E2,5.000000000E0
4.992083875E2,0.000000000E0
5.000795449E2,5.000000000E0
