"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.199087501E-2,-1.461111603E0,6.487509155E0,7.187902679E0
2.206187500E-2,-1.539548492E0,6.575376434E0,7.325017548E0
3.213287500E-2,-1.623673553E0,6.616540833E0,7.495662689E0
4.220387503E-2,-1.670226746E0,6.564898224E0,7.731123047E0
5.227487502E-2,-1.791624298E0,6.600524139E0,7.937394104E0
6.234587502E-2,-1.889520721E0,6.673871613E0,8.072263641E0
7.241687502E-2,-1.972448273E0,6.523135071E0,8.111931152E0
8.248787501E-2,-1.930385742E0,6.370602264E0,7.981252899E0
9.255887501E-2,-1.791025543E0,6.133645020E0,7.872279510E0
1.026298750E-1,-1.628014526E0,5.997278595E0,7.839497681E0
1.127008750E-1,-1.493893433E0,5.966891785E0,7.906258850E0
1.227718750E-1,-1.450633392E0,6.035898285E0,8.059989166E0
1.328428750E-1,-1.456620941E0,6.099216614E0,8.151898041E0
1.429138750E-1,-1.390907593E0,6.156996460E0,8.255632324E0
1.529848750E-1,-1.339264984E0,6.191574554E0,8.340206451E0
1.630558750E-1,-1.211879883E0,6.040987701E0,8.363857269E0
1.731268750E-1,-1.110241241E0,5.932912445E0,8.310568085E0
1.831978750E-1,-1.111588440E0,5.818400574E0,8.586893463E0
1.932688750E-1,-1.146465912E0,5.718109131E0,8.893156586E0
2.033398750E-1,-1.027164001E0,5.698948975E0,9.063951416E0
2.134108750E-1,-8.132588196E-1,5.472619629E0,9.047934723E0
2.234818750E-1,-5.087919617E-1,5.198539581E0,8.816665649E0
2.335528750E-1,-3.210823059E-1,4.785398712E0,8.025710449E0
2.436238750E-1,7.679031372E-2,4.531077576E0,8.173453217E0
2.536948750E-1,-1.167572021E-2,4.858746185E0,8.376880188E0
2.637668750E-1,8.382568359E-3,4.674479370E0,8.046517181E0
2.738378750E-1,2.267784119E-1,4.126169586E0,7.651039581E0
2.839088750E-1,-1.184037781E-1,4.272864532E0,7.500752106E0
2.939798750E-1,-2.378553772E-1,4.701123962E0,7.799830170E0
3.040508750E-1,4.969665527E-2,4.623884583E0,8.203390961E0
3.141218750E-1,1.748364258E-1,4.362977142E0,8.332871704E0
3.241928750E-1,1.299298096E-1,4.378844147E0,8.389753418E0
3.342638750E-1,2.336640930E-1,4.346810760E0,8.671018524E0
3.443348750E-1,4.233197021E-1,4.013004913E0,8.936566315E0
3.544058750E-1,5.492079163E-1,3.681893463E0,9.094038849E0
3.644768750E-1,5.888754272E-1,3.544479218E0,9.330547028E0
3.745478750E-1,4.498146057E-1,3.578308868E0,9.534273376E0
3.846188750E-1,4.095483398E-1,3.741918640E0,9.623038788E0
3.946898750E-1,4.613406372E-1,3.883075104E0,9.513316956E0
4.047608750E-1,3.929328918E-1,4.041445770E0,9.417815552E0
4.148318750E-1,3.186872864E-1,4.230053558E0,9.572743378E0
4.249028750E-1,2.815644836E-1,4.258195038E0,9.697134705E0
4.349738750E-1,3.113525391E-1,4.155209198E0,9.646539917E0
4.450448750E-1,2.929408264E-1,4.044140167E0,1.004366409E1
4.551158750E-1,4.134402466E-1,3.854035492E0,9.799970856E0
4.651868750E-1,4.966671753E-1,3.755240936E0,9.242530060E0
4.752578750E-1,5.504054260E-1,3.852089539E0,9.196126556E0
4.853288750E-1,5.972579956E-1,3.849993896E0,9.312285004E0
4.953998750E-1,5.402265930E-1,3.818409576E0,9.384135590E0
5.054708750E-1,4.746629333E-1,3.819307709E0,9.322463837E0
5.155418750E-1,4.520599365E-1,3.870950317E0,9.173224182E0
5.256128750E-1,3.673361206E-1,3.817661133E0,8.910221100E0
5.356838750E-1,4.963677979E-1,3.772006073E0,8.721313934E0
5.457548750E-1,6.268963623E-1,3.884721680E0,8.354726257E0
5.558258750E-1,6.848258972E-1,3.887266388E0,8.213120728E0
5.658968750E-1,7.545808411E-1,3.858825531E0,8.172255707E0
5.759678750E-1,4.584965515E-1,3.848047943E0,8.045319672E0
5.860388750E-1,3.433859253E-1,3.832330627E0,8.367150421E0
5.961098750E-1,2.601589966E-1,3.894750824E0,8.556955719E0
6.061818750E-1,2.863545227E-1,3.938759308E0,8.566685486E0
6.162528750E-1,3.252735901E-1,4.093986511E0,8.191266174E0
6.263238750E-1,3.326083374E-1,4.272265778E0,8.099806366E0
6.363948750E-1,1.169068909E-1,4.406686249E0,8.230484619E0
6.464658750E-1,-4.174818420E-1,4.346661072E0,8.467142487E0
6.565368750E-1,-4.207749939E-1,4.139192505E0,9.055269470E0
6.666078750E-1,-1.890568542E-1,4.065246277E0,9.201665039E0
6.766788750E-1,8.831634521E-3,3.989952850E0,9.373807068E0
6.867498750E-1,8.891510010E-2,3.771856384E0,9.415570221E0
6.968208750E-1,1.086740112E-1,3.762575684E0,9.204209747E0
7.068918750E-1,7.499404907E-2,3.721411285E0,8.946595459E0
7.169628750E-1,-2.679428101E-2,3.512595520E0,8.963360596E0
7.270338750E-1,1.796264648E-1,3.165018311E0,9.211544495E0
7.371048750E-1,1.553768921E-1,3.252885590E0,9.103618927E0
7.471758750E-1,1.749861145E-1,3.709585876E0,9.150172119E0
7.572468750E-1,-8.271798706E-1,4.173620911E0,8.991053009E0
7.673178750E-1,-4.580474854E-2,4.204905853E0,8.388705597E0
7.773888750E-1,-2.314187622E-1,4.214785309E0,8.283025360E0
7.874598750E-1,-3.454815674E-1,4.043242035E0,8.147257690E0
7.975308750E-1,-3.152444458E-1,3.507805481E0,7.840695190E0
8.076018750E-1,-3.177891541E-1,3.321592712E0,8.070766754E0
8.176738750E-1,-2.649490356E-1,3.338357849E0,8.287066956E0
8.277448750E-1,-3.980223083E-1,3.273392944E0,8.310418396E0
8.378158750E-1,-3.845503235E-1,3.385060730E0,8.314909058E0
8.478868750E-1,-4.099974060E-1,3.595373383E0,8.273744659E0
8.579578750E-1,-4.599934387E-1,3.711382141E0,8.116870880E0
8.680285417E-1,-5.022056580E-1,3.761078796E0,7.983947296E0
8.780995417E-1,-5.357359314E-1,3.702251129E0,7.785010986E0
8.881705417E-1,-6.469546509E-1,3.699706421E0,7.789202271E0
8.982415417E-1,-7.970924377E-1,3.633843384E0,7.987839203E0
9.083125417E-1,-7.969427490E-1,3.357218628E0,8.208779755E0
9.183835417E-1,-9.325607300E-1,3.118016052E0,8.176596680E0
9.284545417E-1,-9.759704590E-1,2.982098694E0,8.008645935E0
9.385255417E-1,-9.925859070E-1,2.886597290E0,7.581733704E0
9.485965417E-1,-1.006357269E0,2.950813751E0,7.166048126E0
9.586675417E-1,-1.017883301E0,3.177442474E0,6.529721375E0
9.687385417E-1,-1.505269775E0,3.159330139E0,6.025270386E0
9.788105417E-1,-2.100132751E0,3.049308929E0,5.510790253E0
9.888815417E-1,-2.029030609E0,3.704945526E0,6.249055023E0
9.989525417E-1,-2.075733490E0,4.064946899E0,7.959248657E0
1.009023542E0,-2.585423584E0,3.699407043E0,9.006171570E0
1.019094542E0,-2.620600433E0,3.147205353E0,9.327104187E0
1.029165542E0,-2.516417084E0,2.523452454E0,9.238039398E0
1.039236542E0,-2.371518402E0,2.106868744E0,8.966354370E0
1.049307542E0,-2.332449646E0,2.041454773E0,8.358318787E0
1.059378542E0,-2.251617737E0,2.348616028E0,7.317982178E0
1.069449542E0,-2.135010223E0,2.657124481E0,6.157894592E0
1.079520542E0,-2.466421051E0,2.366728363E0,7.733817444E0
1.089591542E0,-2.108515320E0,2.028431854E0,6.076763306E0
1.099663542E0,-1.895957336E0,1.945354614E0,4.117787018E0
1.109734542E0,-2.107766876E0,1.997745667E0,3.681444397E0
1.119805542E0,-1.943109283E0,2.149380341E0,3.551963654E0
1.129876542E0,-2.356699219E0,1.650018768E0,4.147126007E0
1.139947542E0,-3.145558777E0,1.061891785E0,5.320984955E0
1.150018542E0,-3.544479218E0,8.231382751E-1,7.046297150E0
1.160089542E0,-3.609294434E0,4.502636719E-1,8.807534637E0
1.170160542E0,-3.754642181E0,-1.781295776E-2,1.018781433E1
1.180231542E0,-3.813320160E0,-4.391867065E-1,1.123922791E1
1.190302542E0,-3.769910431E0,-5.709127808E-1,1.143726608E1
1.200373542E0,-3.814667358E0,-3.408412170E-1,1.094658646E1
1.210445542E0,-3.747457123E0,-9.669891357E-2,1.005025040E1
1.220516542E0,-3.924987946E0,9.595046997E-2,8.786877594E0
1.230587542E0,-3.981121216E0,5.777984619E-1,7.795040131E0
1.240658542E0,-3.965254211E0,8.900491333E-1,6.905889130E0
1.250729542E0,-4.567601624E0,5.526507568E-1,7.162455597E0
1.260800542E0,-4.992268524E0,2.321672058E-1,7.990832977E0
1.270871542E0,-5.427263947E0,-1.787283325E-1,7.733368378E0
1.280942542E0,-5.726491699E0,-3.237767029E-1,8.627758484E0
1.291013542E0,-5.959706726E0,-4.346960449E-1,9.522148590E0
1.301084542E0,-6.140680389E0,-4.168830872E-1,9.556277618E0
1.311156542E0,-6.347400513E0,-1.913021851E-1,8.975036316E0
1.321227542E0,-6.954687653E0,1.722917175E-1,8.535999298E0
1.331298542E0,-7.807015228E0,6.384223938E-1,8.766519928E0
1.341369542E0,-8.028404846E0,1.278641052E0,9.323361969E0
1.351440542E0,-8.157436523E0,1.338666229E0,9.199270020E0
1.361511542E0,-8.107889557E0,7.029382324E-1,9.025631104E0
1.371582542E0,-7.653135223E0,7.289840698E-2,8.636739807E0
1.381653542E0,-7.453450470E0,-7.135661316E-1,8.169411621E0
1.391724542E0,-7.109316101E0,-1.181942139E0,7.814349976E0
1.401796542E0,-6.943610687E0,-1.851050720E0,7.346423035E0
1.411867542E0,-6.688690796E0,-2.312840424E0,6.890171814E0
1.421938542E0,-6.712341614E0,-2.283202057E0,6.268514557E0
1.432009542E0,-7.104526062E0,-2.309696960E0,5.994883575E0
1.442080542E0,-7.290439453E0,-2.595452728E0,6.092779999E0
1.452151542E0,-7.470964050E0,-3.103346558E0,6.037993927E0
1.462222542E0,-8.196355591E0,-3.266207886E0,5.764063568E0
1.472293542E0,-8.913963318E0,-2.804567871E0,6.240971832E0
1.482364542E0,-9.399852905E0,-2.235601044E0,7.360194397E0
1.492436542E0,-9.789642334E0,-1.871707764E0,8.067772980E0
1.502507542E0,-9.974208527E0,-1.799258423E0,8.268206177E0
1.512578542E0,-9.842482452E0,-1.845063171E0,8.136629791E0
1.522649542E0,-9.490414581E0,-2.039957886E0,7.507039032E0
1.532720542E0,-8.928183746E0,-2.147733765E0,6.482419739E0
1.542791542E0,-8.575367432E0,-2.215093689E0,5.346132660E0
