"Time (s)","X (hPa)"
-5.111875000E-1,1.014409943E3
5.073315000E-1,1.014420166E3
1.526232500E0,1.014430313E3
2.545275500E0,1.014448547E3
3.564167500E0,1.014461365E3
4.583001500E0,1.014479370E3
4.741002500E0,1.014481583E3
5.684390500E0,1.014481583E3
6.627863500E0,1.014483719E3
7.571422500E0,1.014483719E3
8.514977500E0,1.014482269E3
9.458558500E0,1.014477081E3
1.040223250E1,1.014465103E3
1.134574350E1,1.014446182E3
1.228921650E1,1.014442749E3
1.323268950E1,1.014432526E3
1.417618950E1,1.014432526E3
1.511965150E1,1.014438400E3
1.606306350E1,1.014446487E3
1.700621950E1,1.014449310E3
1.794953650E1,1.014452209E3
1.889292750E1,1.014467545E3
1.983639750E1,1.014469147E3
2.077993250E1,1.014469147E3
2.172335550E1,1.014475403E3
2.266684550E1,1.014476471E3
2.361033550E1,1.014476471E3
2.455379450E1,1.014461594E3
2.549730350E1,1.014461212E3
2.644079450E1,1.014443970E3
2.738432850E1,1.014443741E3
2.832782550E1,1.014424210E3
2.927146550E1,1.014422150E3
3.021512950E1,1.014420929E3
3.115874050E1,1.014414139E3
3.210244450E1,1.014403610E3
3.304645450E1,1.014401093E3
3.399088650E1,1.014401093E3
3.493555550E1,1.014400101E3
3.588044850E1,1.014400101E3
3.682527050E1,1.014408875E3
3.777009950E1,1.014414368E3
3.871483850E1,1.014415970E3
3.965957050E1,1.014418259E3
4.060439550E1,1.014418259E3
4.154926650E1,1.014406509E3
4.249418050E1,1.014389877E3
4.343948950E1,1.014388657E3
4.438470450E1,1.014384537E3
4.532968050E1,1.014384537E3
4.731313062E1,1.014391327E3
4.833403962E1,1.014392090E3
4.935507062E1,1.014392853E3
5.037601363E1,1.014395523E3
5.139687463E1,1.014400940E3
5.241784962E1,1.014395523E3
5.257261962E1,1.014386215E3
5.351800162E1,1.014386215E3
5.446321362E1,1.014390259E3
5.540836863E1,1.014404755E3
5.635335163E1,1.014418106E3
5.729821162E1,1.014427795E3
5.824340763E1,1.014427795E3
5.918863062E1,1.014416962E3
6.013409763E1,1.014403152E3
6.107995562E1,1.014403076E3
6.202598962E1,1.014395981E3
6.297189362E1,1.014395981E3
6.391769962E1,1.014400406E3
6.486341062E1,1.014400406E3
6.580899762E1,1.014400253E3
6.675467163E1,1.014396744E3
6.770035362E1,1.014400253E3
6.864593562E1,1.014401703E3
6.959160162E1,1.014406052E3
7.053722662E1,1.014408112E3
7.148285763E1,1.014409485E3
7.242811763E1,1.014409485E3
7.337335262E1,1.014417801E3
7.431861462E1,1.014423294E3
7.526383162E1,1.014428482E3
7.620892062E1,1.014428940E3
7.715404662E1,1.014432220E3
7.809900062E1,1.014432220E3
7.904399462E1,1.014431458E3
7.998907062E1,1.014431458E3
8.093412563E1,1.014434509E3
8.187912063E1,1.014434509E3
8.282416563E1,1.014426193E3
8.376924262E1,1.014417496E3
8.471419262E1,1.014410095E3
8.565918762E1,1.014395065E3
8.660414962E1,1.014393387E3
8.754896663E1,1.014393387E3
8.849404062E1,1.014402618E3
8.943900962E1,1.014410172E3
9.038380962E1,1.014414520E3
9.132862263E1,1.014415131E3
9.227350162E1,1.014415131E3
9.321833063E1,1.014414673E3
9.416334463E1,1.014406204E3
9.510863763E1,1.014406204E3
9.605430563E1,1.014406128E3
9.700024863E1,1.014406128E3
9.794622663E1,1.014406128E3
9.889209262E1,1.014404373E3
9.983804862E1,1.014402313E3
1.007838676E2,1.014392548E3
1.017297176E2,1.014386826E3
1.026756736E2,1.014384155E3
1.036216346E2,1.014365311E3
1.045676156E2,1.014356308E3
1.055133606E2,1.014356308E3
1.064589446E2,1.014367142E3
1.074043816E2,1.014372253E3
1.083497566E2,1.014392090E3
1.092950576E2,1.014416504E3
1.102402646E2,1.014427032E3
1.111852106E2,1.014429474E3
1.121303606E2,1.014434891E3
1.130754026E2,1.014434891E3
1.140203896E2,1.014431458E3
1.149653806E2,1.014431458E3
1.159104076E2,1.014432373E3
1.168554386E2,1.014432373E3
1.178004236E2,1.014419632E3
1.187453836E2,1.014419250E3
1.196904306E2,1.014412155E3
1.206354496E2,1.014394073E3
1.215805486E2,1.014391556E3
1.225256246E2,1.014388046E3
1.234706906E2,1.014388046E3
1.244157746E2,1.014392776E3
1.253608576E2,1.014398575E3
1.263058356E2,1.014398575E3
1.272510966E2,1.014395828E3
1.281962306E2,1.014390869E3
1.291414946E2,1.014384003E3
1.300865296E2,1.014381714E3
1.310316616E2,1.014381714E3
1.319768436E2,1.014394455E3
1.329220536E2,1.014407730E3
1.338672016E2,1.014417419E3
1.348122916E2,1.014427872E3
1.357575946E2,1.014429321E3
1.367028686E2,1.014429321E3
1.376480066E2,1.014435272E3
1.385931146E2,1.014435349E3
1.395383986E2,1.014435349E3
1.404836936E2,1.014436111E3
1.414290846E2,1.014434662E3
1.423744296E2,1.014434128E3
1.433198776E2,1.014433136E3
1.442653106E2,1.014428101E3
1.452107326E2,1.014419403E3
1.461560806E2,1.014406586E3
1.471014896E2,1.014404526E3
1.480469126E2,1.014404449E3
1.489923536E2,1.014396210E3
1.499378876E2,1.014392166E3
1.508834616E2,1.014384918E3
1.518289986E2,1.014377594E3
1.527745856E2,1.014364090E3
1.537202526E2,1.014364090E3
1.546659186E2,1.014364090E3
1.556116356E2,1.014362640E3
1.565573346E2,1.014358444E3
1.575031086E2,1.014355087E3
1.584488996E2,1.014346695E3
1.593947066E2,1.014337616E3
1.603403896E2,1.014337616E3
1.612859896E2,1.014344788E3
1.622315986E2,1.014351883E3
1.631772846E2,1.014351883E3
1.641230646E2,1.014355469E3
1.650688926E2,1.014360809E3
1.660146476E2,1.014361572E3
1.669604386E2,1.014363708E3
1.679061886E2,1.014368591E3
1.688518756E2,1.014368591E3
1.697975876E2,1.014365005E3
1.707432956E2,1.014364243E3
1.716890586E2,1.014361420E3
1.726347046E2,1.014361420E3
1.735803726E2,1.014366226E3
1.745260636E2,1.014366226E3
1.754718106E2,1.014364929E3
1.764174936E2,1.014362869E3
1.773632366E2,1.014357147E3
1.783088956E2,1.014345703E3
1.792546286E2,1.014337082E3
1.802002786E2,1.014337082E3
1.811460656E2,1.014341812E3
1.820918886E2,1.014343338E3
1.830380716E2,1.014347229E3
1.839843386E2,1.014354553E3
1.849304776E2,1.014358673E3
1.858763756E2,1.014359360E3
1.868222536E2,1.014360504E3
1.877682266E2,1.014362564E3
1.887140486E2,1.014363937E3
1.896599236E2,1.014369431E3
1.906058166E2,1.014376144E3
1.915516596E2,1.014384155E3
1.924972726E2,1.014387817E3
1.934429956E2,1.014394531E3
1.943888326E2,1.014398041E3
1.953346016E2,1.014403152E3
1.962805416E2,1.014403610E3
1.972264516E2,1.014403763E3
1.981725116E2,1.014406357E3
1.991184116E2,1.014403763E3
2.000641106E2,1.014397430E3
2.010099096E2,1.014396973E3
2.019556046E2,1.014397430E3
2.029012206E2,1.014396973E3
2.038468826E2,1.014397736E3
2.047925026E2,1.014395218E3
2.057381896E2,1.014397736E3
2.066838976E2,1.014402161E3
2.076294216E2,1.014406281E3
2.085750376E2,1.014402161E3
2.095207956E2,1.014399261E3
2.104666106E2,1.014391632E3
2.114122806E2,1.014370575E3
2.123579556E2,1.014367294E3
2.133036456E2,1.014368515E3
2.142494266E2,1.014368515E3
2.151953676E2,1.014380493E3
2.161417636E2,1.014385452E3
2.170884496E2,1.014385834E3
2.180354136E2,1.014387283E3
2.189823636E2,1.014387283E3
2.199292086E2,1.014376907E3
2.208759766E2,1.014376526E3
2.218227966E2,1.014376526E3
2.227696066E2,1.014371872E3
2.237164106E2,1.014357452E3
2.246630426E2,1.014356689E3
2.256097326E2,1.014356689E3
2.265561126E2,1.014353790E3
2.275024856E2,1.014358063E3
2.284488226E2,1.014369736E3
2.293950336E2,1.014381409E3
2.303413326E2,1.014386139E3
2.312875836E2,1.014386139E3
2.322337786E2,1.014386139E3
2.331801266E2,1.014395065E3
2.341263976E2,1.014395065E3
2.350728146E2,1.014395065E3
2.360192706E2,1.014397278E3
2.369655766E2,1.014401093E3
2.379119896E2,1.014401093E3
2.388585156E2,1.014401093E3
2.398051036E2,1.014401550E3
2.407516256E2,1.014401550E3
2.416980606E2,1.014404678E3
2.426445926E2,1.014403076E3
2.435912456E2,1.014404068E3
2.445378586E2,1.014403076E3
2.454844526E2,1.014395523E3
2.464309826E2,1.014392700E3
2.473775056E2,1.014386139E3
2.483241126E2,1.014382477E3
2.492707056E2,1.014378281E3
2.502172826E2,1.014378281E3
2.511638086E2,1.014381866E3
2.521103646E2,1.014381866E3
2.530569026E2,1.014364929E3
2.540035036E2,1.014364853E3
2.549499896E2,1.014361649E3
2.558965926E2,1.014351654E3
2.568430726E2,1.014351654E3
2.577897856E2,1.014358597E3
2.587363926E2,1.014363022E3
2.596828686E2,1.014368744E3
2.606295676E2,1.014368744E3
2.615762026E2,1.014375153E3
2.625228146E2,1.014375153E3
2.634695766E2,1.014376297E3
2.644164046E2,1.014383850E3
2.653633356E2,1.014383850E3
2.663100256E2,1.014377441E3
2.672567136E2,1.014377441E3
2.682034356E2,1.014380646E3
2.691499126E2,1.014380646E3
2.700964616E2,1.014380646E3
2.710430316E2,1.014384995E3
2.719894966E2,1.014397888E3
2.729359166E2,1.014400635E3
2.738823016E2,1.014404373E3
2.748287116E2,1.014405518E3
2.757752296E2,1.014405518E3
2.767217636E2,1.014399872E3
2.776682396E2,1.014399872E3
2.786147136E2,1.014399872E3
2.795609936E2,1.014398193E3
2.805072576E2,1.014398193E3
2.814535816E2,1.014398804E3
2.823998916E2,1.014399033E3
2.833463026E2,1.014403763E3
2.842926526E2,1.014403763E3
2.852390266E2,1.014404297E3
2.861852206E2,1.014407501E3
2.871313686E2,1.014407883E3
2.880774376E2,1.014407883E3
2.890237616E2,1.014397354E3
2.899701056E2,1.014389496E3
2.909165226E2,1.014379807E3
2.918629406E2,1.014362183E3
2.928092406E2,1.014359818E3
2.937554936E2,1.014359665E3
2.947018096E2,1.014358063E3
2.956480576E2,1.014358063E3
2.965944806E2,1.014367447E3
2.975410386E2,1.014378967E3
2.984874316E2,1.014391479E3
2.994339056E2,1.014402008E3
3.003803286E2,1.014402008E3
3.013267686E2,1.014401932E3
3.022732406E2,1.014396210E3
3.032197926E2,1.014389343E3
3.041662476E2,1.014389343E3
3.051128246E2,1.014389343E3
3.060594476E2,1.014385376E3
3.070064406E2,1.014384613E3
3.079538316E2,1.014383011E3
3.089015476E2,1.014381714E3
3.098495286E2,1.014378433E3
3.107975836E2,1.014377747E3
3.117456686E2,1.014376373E3
3.126935486E2,1.014374161E3
3.136414586E2,1.014371262E3
3.145893386E2,1.014370193E3
3.155370756E2,1.014368057E3
3.164849516E2,1.014366455E3
3.174328496E2,1.014366455E3
3.183810006E2,1.014365540E3
3.193295136E2,1.014365616E3
3.202780006E2,1.014365158E3
3.212264406E2,1.014362106E3
3.221748566E2,1.014352951E3
3.231232036E2,1.014352951E3
3.240715456E2,1.014357376E3
3.250200376E2,1.014358063E3
3.259685376E2,1.014358521E3
3.269170886E2,1.014358521E3
3.278657556E2,1.014357834E3
3.288146826E2,1.014355316E3
3.297638326E2,1.014347076E3
3.307128976E2,1.014346008E3
3.316618886E2,1.014345779E3
3.326107356E2,1.014343643E3
3.335596016E2,1.014343491E3
