"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.612287503E-2,-6.652447581E-1,-2.577832341E-1,2.552039027E-1
7.619387502E-2,-6.477315426E-1,-2.892253101E-1,3.060881197E-1
8.626487502E-2,-6.393377781E-1,-2.888433933E-1,3.145279288E-1
9.633587502E-2,-6.201294661E-1,-2.557365894E-1,3.106232285E-1
1.064068750E-1,-5.996575952E-1,-2.095758319E-1,3.093347251E-1
1.164778750E-1,-5.830951333E-1,-1.769052297E-1,3.212041557E-1
1.265488750E-1,-5.627031326E-1,-1.608714908E-1,3.487217724E-1
1.366198750E-1,-5.427123904E-1,-1.371816099E-1,3.958501518E-1
1.466908750E-1,-5.258668065E-1,-1.311540902E-1,4.629131854E-1
1.567618750E-1,-5.104728937E-1,-1.317253411E-1,5.181745291E-1
1.668328750E-1,-5.255135894E-1,-1.034520268E-1,5.745134354E-1
1.769038750E-1,-5.524466634E-1,-1.210725680E-1,6.212460399E-1
1.869748750E-1,-5.847735405E-1,-2.405452132E-1,6.494587064E-1
1.970458750E-1,-6.554676294E-1,-3.995263577E-1,6.508039236E-1
2.071168750E-1,-7.574574947E-1,-5.725983381E-1,6.145132780E-1
2.171878750E-1,-9.266760349E-1,-7.954833508E-1,4.960244894E-1
2.272588750E-1,-1.097487688E0,-7.243847847E-1,3.997403979E-1
2.373298750E-1,-1.201813102E0,-6.925259233E-1,3.295645118E-1
2.474008750E-1,-1.256156683E0,-7.658109665E-1,2.919696569E-1
2.574718750E-1,-1.273947358E0,-7.418997288E-1,2.718854249E-1
2.675438750E-1,-1.204379916E0,-5.964502692E-1,2.322146446E-1
2.776148750E-1,-1.038716912E0,-4.208813608E-1,2.140923589E-1
2.876858750E-1,-8.153554201E-1,-3.117679358E-1,2.526081502E-1
2.977568750E-1,-6.139594316E-1,-2.181240320E-1,3.274762630E-1
3.078278750E-1,-4.407947361E-1,-1.096212640E-1,4.102767706E-1
3.178988750E-1,-2.960857749E-1,1.005693153E-2,4.845552742E-1
3.279698750E-1,-2.217359543E-1,8.558901399E-2,5.121521354E-1
3.380408750E-1,-2.297629863E-1,1.238961890E-1,4.767813683E-1
3.481118750E-1,-3.093597889E-1,1.147268564E-1,3.786881864E-1
3.581828750E-1,-4.203273058E-1,7.990788668E-2,2.399092913E-1
3.682538750E-1,-5.030112267E-1,1.131024305E-2,1.115081757E-1
3.783248750E-1,-5.407154560E-1,-7.438601553E-2,1.978730969E-2
3.883958750E-1,-5.324789882E-1,-1.071550921E-1,-2.936422639E-2
3.984668750E-1,-4.697892368E-1,-8.969593793E-2,-3.145986795E-2
4.085378750E-1,-3.654070795E-1,-8.348273486E-2,1.000263169E-2
4.186088750E-1,-2.457477897E-1,-9.922814369E-2,7.594835758E-2
4.286798750E-1,-1.300975829E-1,-1.034651995E-1,1.334362179E-1
