"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.612287503E-2,-6.706525388E-1,8.045792127E-1,2.847401065E-1
7.619387502E-2,-8.116315395E-1,7.280327278E-1,3.103859943E-1
8.626487502E-2,-8.423464517E-1,6.377768612E-1,1.842972207E-1
9.633587502E-2,-7.589765585E-1,4.481253451E-1,-1.311530471E-3
1.064068750E-1,-6.375255771E-1,3.321604407E-1,-8.287375689E-2
1.164778750E-1,-5.177181749E-1,3.144404536E-1,-7.627517402E-2
1.265488750E-1,-4.832236956E-1,4.104014486E-1,2.283863962E-2
1.366198750E-1,-5.232601659E-1,5.218891400E-1,1.168846714E-1
1.466908750E-1,-5.126629646E-1,6.178208989E-1,1.685752273E-1
1.567618750E-1,-4.861648451E-1,7.087421787E-1,2.397013432E-1
1.668328750E-1,-4.296855658E-1,6.395123148E-1,2.506631184E-1
1.769038750E-1,-3.369601277E-1,5.386519378E-1,1.686214203E-1
1.869748750E-1,-3.731260335E-1,4.874081093E-1,3.065718555E-1
1.970458750E-1,-4.734593571E-1,4.070732135E-1,6.307262886E-1
2.071168750E-1,-4.695628822E-1,4.483715129E-1,7.702958179E-1
2.171878750E-1,-3.692458212E-1,3.473509222E-1,7.703753400E-1
2.272588750E-1,-1.437793784E-1,1.556025946E-1,5.993378502E-1
2.373298750E-1,-5.079059623E-2,-1.312547886E-1,-2.615360159E-1
2.474008750E-1,2.670601911E-1,-3.483548892E-1,-3.920622414E-1
2.574718750E-1,2.395826447E-1,-7.512093365E-2,-1.807444525E-1
2.675438750E-1,6.753614478E-2,1.085421565E-1,-4.545876878E-1
2.776148750E-1,2.796976139E-1,-3.792515767E-1,-9.257206571E-1
2.876858750E-1,1.630912699E-2,-3.615073237E-1,-1.200254449E0
2.977568750E-1,-2.870034175E-1,1.666704968E-1,-1.055680287E0
3.078278750E-1,-6.557177268E-2,2.745144957E-1,-6.242417264E-1
3.178988750E-1,9.955637477E-2,2.515530646E-2,-4.596373433E-1
3.279698750E-1,5.024212740E-2,-3.031781316E-4,-4.271624923E-1
3.380408750E-1,8.755825371E-2,4.797903568E-2,-2.099898863E-1
3.481118750E-1,2.742763679E-1,-2.054489386E-1,7.763932943E-2
3.581828750E-1,4.105998885E-1,-5.342995629E-1,2.260668057E-1
3.682538750E-1,4.762560073E-1,-6.784591565E-1,4.230121386E-1
3.783248750E-1,3.751255620E-1,-6.398426825E-1,6.244118804E-1
3.883958750E-1,2.655746877E-1,-4.464661977E-1,7.250950867E-1
3.984668750E-1,3.213718162E-1,-2.510361707E-1,6.447215992E-1
4.085378750E-1,2.692796297E-1,-6.582210660E-2,4.903492588E-1
4.186088750E-1,1.823886895E-1,1.556262758E-1,5.791953617E-1
4.286798750E-1,1.124163754E-1,2.514463529E-1,7.412591296E-1
4.387508750E-1,1.174678581E-1,1.738558477E-1,7.123709607E-1
4.488218750E-1,8.473309837E-2,8.258431971E-2,9.136888415E-1
4.588928750E-1,1.172641557E-1,-8.042932838E-2,1.044642498E0
4.689638750E-1,2.162925818E-1,-2.363593671E-1,3.449991721E-1
4.790348750E-1,2.321430860E-1,-1.380474991E-1,2.233373255E-1
4.891058750E-1,2.862129835E-1,-1.130184925E-1,3.126775181E-1
4.991768750E-1,2.306996278E-1,-1.419861835E-1,4.093834484E-1
5.092478750E-1,1.397218493E-1,-1.541364053E-1,3.857431555E-1
5.193188750E-1,9.367963068E-2,-1.054539496E-1,2.514916688E-1
5.293898750E-1,2.716521375E-2,-1.237852630E-1,1.895374954E-2
5.394608750E-1,2.226806100E-2,-2.150687778E-1,-1.909291327E-1
5.495318750E-1,2.454638473E-1,-1.246181989E-1,-5.061870271E-1
5.596028750E-1,2.605389925E-1,-1.047727489E-1,-7.303809696E-1
5.696738750E-1,4.180790620E-1,-1.511540329E-1,-7.377654183E-1
5.797448750E-1,2.342958847E-1,-1.870997912E-1,-8.992169827E-1
5.898158750E-1,3.610202506E-2,-2.244968283E-1,-6.522598296E-1
5.998868750E-1,5.678918168E-2,-1.819399157E-1,-4.018422943E-1
6.099588750E-1,1.992188400E-2,-1.579347566E-1,-3.135779893E-1
6.200298750E-1,1.473353443E-1,-3.768881321E-2,-6.309841508E-1
6.301008750E-1,1.925875492E-1,1.408912924E-1,-8.355419737E-1
6.401718750E-1,1.321487548E-1,2.928689057E-1,-7.243121445E-1
6.502428750E-1,-2.744210134E-1,3.077132320E-1,-5.404522955E-1
6.603138750E-1,-4.283217028E-1,1.206947172E-1,-1.402337730E-2
6.703848750E-1,-1.031530702E-1,2.513630301E-2,2.671084124E-1
6.804558750E-1,9.493283518E-2,2.726322770E-2,3.571882778E-1
6.905268750E-1,2.391455653E-1,-1.540469429E-1,4.685145861E-1
7.005978750E-1,2.469836117E-1,-1.574032447E-1,2.715365088E-1
7.106688750E-1,2.536181550E-1,-1.029797003E-1,-2.151775360E-2
7.207398750E-1,1.367548259E-1,-2.155298308E-1,-1.161151779E-1
7.308108750E-1,3.093909444E-1,-4.818719655E-1,8.246503651E-2
7.408818750E-1,2.003755289E-1,-4.784650853E-1,3.569725156E-2
7.509528750E-1,6.044866890E-1,-1.052913970E-1,1.896018147E-2
7.610238750E-1,-6.563913260E-1,5.155291235E-1,-5.508661866E-3
7.710948750E-1,-4.573830955E-2,6.099344668E-1,-6.465839374E-1
7.811658750E-1,2.754235916E-2,6.490804061E-1,-8.276447242E-1
7.912368750E-1,-1.980183700E-1,5.266391256E-1,-9.529774529E-1
8.013078750E-1,-1.027465425E-1,9.175772399E-2,-1.209157419E0
8.113788750E-1,-1.346336570E-1,-2.989216509E-1,-1.148023025E0
8.214508750E-1,5.714191496E-4,-2.719405514E-1,-8.615895653E-1
8.315218750E-1,-9.829593435E-2,-3.844570604E-1,-7.774598265E-1
8.415928750E-1,-8.495945871E-2,-3.516503799E-1,-7.766879940E-1
8.516638750E-1,-6.604561642E-2,-1.762301096E-1,-7.753893274E-1
8.617348750E-1,-8.067217056E-2,-4.469290048E-2,-9.041315675E-1
8.718055417E-1,-1.088353944E-1,1.531385779E-2,-1.040305034E0
8.818765417E-1,-9.439825349E-2,-1.116058052E-2,-1.234936624E0
8.919475417E-1,-1.553322705E-1,-6.607938409E-3,-1.312223951E0
9.020185417E-1,-3.066149057E-1,1.974312365E-3,-1.156642406E0
9.120895417E-1,-2.929620226E-1,-1.930548880E-1,-9.308194292E-1
9.221605417E-1,-3.930577299E-1,-4.413180166E-1,-9.086883026E-1
9.322315417E-1,-4.533445698E-1,-5.555594543E-1,-1.043798745E0
9.423025417E-1,-4.359326579E-1,-6.632683825E-1,-1.420966374E0
9.523735417E-1,-4.656047192E-1,-6.637981403E-1,-1.854970694E0
9.624445417E-1,-3.420957372E-1,-4.245984882E-1,-2.399069313E0
9.725155417E-1,-6.912254555E-1,-3.944967297E-1,-3.002330645E0
9.825875417E-1,-1.174246033E0,-5.129507938E-1,-3.486257907E0
9.926585417E-1,-1.226641763E0,-3.900677562E-2,-3.222907500E0
1.002729542E0,-9.556816439E-1,5.951775563E-1,-1.551121886E0
1.012800542E0,-1.401269151E0,3.908615157E-1,-3.087721628E-1
1.022871542E0,-1.466393977E0,-5.442442149E-2,1.553160810E-1
1.032942542E0,-1.330754946E0,-6.232412678E-1,1.196486503E-1
1.043013542E0,-1.144050719E0,-1.038224887E0,-1.239410913E-1
1.053084542E0,-1.066746728E0,-1.135673121E0,-6.507044703E-1
1.063155542E0,-9.837199201E-1,-8.202631992E-1,-1.619196925E0
1.073226542E0,-8.518739779E-1,-3.848476544E-1,-2.822978999E0
1.083297542E0,-1.009937081E0,-3.857142118E-1,-2.352911392E0
1.093368542E0,-1.024702031E0,-7.622553116E-1,-2.213832445E0
1.103440542E0,-4.725208059E-1,-7.312668228E-1,-5.035231526E0
1.113511542E0,-6.687172566E-1,-6.781033534E-1,-5.557524124E0
1.123582542E0,-3.232438754E-1,-3.448921680E-1,-5.814270685E0
1.133653542E0,-3.770413291E-1,-5.925246745E-1,-5.409318257E0
1.143724542E0,-8.862762174E-1,-1.118417988E0,-4.322866412E0
1.153795542E0,-1.206569734E0,-1.294305597E0,-2.721999339E0
1.163866542E0,-1.038817502E0,-1.462900120E0,-8.452144378E-1
1.173937542E0,-9.421469477E-1,-1.805183553E0,6.470797813E-1
1.184008542E0,-8.137733746E-1,-2.106444528E0,1.864979373E0
1.194079542E0,-5.684759536E-1,-2.249283382E0,2.347593350E0
1.204150542E0,-3.861208856E-1,-1.985610209E0,2.057327040E0
1.214222542E0,-1.436763212E-1,-1.675934359E0,1.330958430E0
1.224293542E0,6.435270131E-2,-1.421219997E0,2.109043908E-1
1.234364542E0,5.333566993E-2,-1.074719406E0,-7.466251194E-1
1.244435542E0,5.511994779E-1,-5.537604122E-1,-1.559147190E0
1.254506542E0,3.108566952E-1,-7.950124370E-1,-1.512298713E0
1.264577542E0,1.576116979E-1,-1.091358974E0,-4.324770266E-1
1.274648542E0,7.961802721E-2,-1.423489594E0,-3.194111717E-1
