"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.424400330E-2,5.233595078E1,4.864120409E0,-1.992504120E0,NaN,NaN,1.414000000E3,2.102256584E1
1.435957909E0,5.233494833E1,4.863895567E0,2.679243088E0,NaN,NaN,3.800000000E1,1.824008751E1
1.672417998E0,5.233494845E1,4.863895447E0,2.950331807E0,NaN,NaN,3.800000000E1,1.583904457E1
7.679906964E0,5.233496012E1,4.863917953E0,3.176681280E0,NaN,NaN,3.800000000E1,1.929856300E1
7.697140932E0,5.233495995E1,4.863918409E0,3.270726264E0,NaN,NaN,3.800000000E1,1.624734879E1
8.096288919E0,5.233495882E1,4.863917771E0,3.312088072E0,NaN,NaN,3.800000000E1,1.480047703E1
9.407557964E0,5.233495897E1,4.863918991E0,3.344470620E0,NaN,NaN,3.800000000E1,1.505554676E1
1.541634190E1,5.233495716E1,4.863915976E0,3.312134743E0,NaN,NaN,3.800000000E1,1.907913399E1
3.443193901E1,5.233496846E1,4.863864201E0,2.770007610E0,NaN,NaN,3.500000000E1,2.394828415E1
3.731233394E1,5.233495624E1,4.863881423E0,2.877935171E0,NaN,NaN,3.500000000E1,2.028349113E1
3.770837295E1,5.233495720E1,4.863897362E0,2.988714337E0,NaN,NaN,3.500000000E1,1.714818382E1
3.964681399E1,5.233495514E1,4.863911708E0,3.164022803E0,NaN,NaN,3.800000000E1,1.689640808E1
4.181201899E1,5.233495501E1,4.863918672E0,3.284877837E0,NaN,NaN,3.800000000E1,1.697781181E1
4.501078296E1,5.233478233E1,4.863931458E0,3.734795779E0,NaN,NaN,3.500000000E1,1.784677505E1
4.623239696E1,5.233474654E1,4.863933185E0,3.986046523E0,NaN,NaN,3.500000000E1,1.659315872E1
4.661376798E1,5.233474572E1,4.863932687E0,4.128461644E0,NaN,NaN,3.500000000E1,1.499513435E1
4.787289780E1,5.233474572E1,4.863932687E0,4.128461644E0,NaN,NaN,3.500000000E1,1.499513435E1
4.788692683E1,5.233481158E1,4.863918869E0,4.242426395E0,NaN,NaN,3.500000000E1,1.584382248E1
4.788692683E1,5.233484323E1,4.863914078E0,4.306703657E0,NaN,NaN,3.500000000E1,1.401001263E1
5.229587680E1,5.233492671E1,4.863897581E0,4.077004805E0,NaN,NaN,3.800000000E1,1.767441177E1
5.830329078E1,5.233496467E1,4.863910813E0,3.836845279E0,NaN,NaN,3.800000000E1,1.981803131E1
5.884074276E1,5.233496175E1,4.863912824E0,3.759288400E0,NaN,NaN,3.800000000E1,1.701969910E1
6.013967376E1,5.233496113E1,4.863913543E0,3.711425573E0,NaN,NaN,3.800000000E1,1.623603058E1
6.123040276E1,5.233494960E1,4.863929716E0,3.560130060E0,NaN,NaN,3.500000000E1,1.559765720E1
6.615146583E1,5.233495541E1,4.863917114E0,3.566149712E0,NaN,NaN,3.800000000E1,1.856162453E1
6.669171279E1,5.233495535E1,4.863913306E0,3.554452062E0,NaN,NaN,3.800000000E1,1.633239365E1
6.798757880E1,5.233495517E1,4.863909576E0,3.546681523E0,NaN,NaN,3.800000000E1,1.586932087E1
7.295832675E1,5.233488323E1,4.863924350E0,3.917052001E0,NaN,NaN,3.500000000E1,1.868062782E1
7.446782475E1,5.233487358E1,4.863940065E0,4.055742562E0,NaN,NaN,3.500000000E1,1.726343918E1
7.662181681E1,5.233481356E1,4.863950479E0,4.192250878E0,NaN,NaN,3.500000000E1,1.713648033E1
8.005249077E1,5.233478746E1,4.863924234E0,4.247582287E0,NaN,NaN,3.500000000E1,1.807876396E1
8.048720485E1,5.233478882E1,4.863919075E0,4.275014341E0,NaN,NaN,3.500000000E1,1.595018864E1
8.649540084E1,5.233490458E1,4.863935650E0,3.901167631E0,NaN,NaN,3.500000000E1,1.933032036E1
8.653058284E1,5.233491498E1,4.863936963E0,3.752713799E0,NaN,NaN,3.500000000E1,1.628374863E1
9.254129582E1,5.233494325E1,4.863947751E0,3.524998546E0,NaN,NaN,3.500000000E1,1.942594910E1
9.254779082E1,5.233493834E1,4.863946428E0,3.468080997E0,NaN,NaN,3.500000000E1,1.631225395E1
9.855398184E1,5.233496026E1,4.863930762E0,3.477555871E0,NaN,NaN,3.800000000E1,1.943149757E1
9.966443079E1,5.233496178E1,4.863926596E0,3.481920362E0,NaN,NaN,3.800000000E1,1.730318451E1
1.056677077E2,5.233496160E1,4.863921776E0,3.490222037E0,NaN,NaN,3.800000000E1,1.971066666E1
1.059466318E2,5.233496031E1,4.863922125E0,3.464372873E0,NaN,NaN,3.800000000E1,1.673192215E1
1.119541008E2,5.233496056E1,4.863926656E0,3.398365200E0,NaN,NaN,3.800000000E1,1.955099106E1
1.121023977E2,5.233496064E1,4.863927293E0,3.371250689E0,NaN,NaN,3.800000000E1,1.652074623E1
1.181095257E2,5.233496176E1,4.863930885E0,3.408386230E0,NaN,NaN,3.800000000E1,1.949101067E1
1.183134698E2,5.233496109E1,4.863929038E0,3.430567861E0,NaN,NaN,3.800000000E1,1.653863907E1
1.243215678E2,5.233488576E1,4.863932386E0,3.835088313E0,NaN,NaN,3.500000000E1,1.949660683E1
