"Time (s)","X (µT)","Y (µT)","Z (µT)"
6.612287503E-2,-6.897430420E-1,-3.502742004E1,-6.055601501E1
7.619387502E-2,-7.664337158E-1,-3.492778778E1,-6.043827057E1
8.626487502E-2,-8.082656860E-1,-3.482613373E1,-6.023899078E1
9.633587502E-2,-1.123100281E0,-3.440615845E1,-6.006783295E1
1.064068750E-1,-1.356227875E0,-3.407042694E1,-6.003617096E1
1.164778750E-1,-1.572990417E0,-3.364848709E1,-5.983600616E1
1.265488750E-1,-1.730690002E0,-3.334848022E1,-5.959307861E1
1.366198750E-1,-1.911880493E0,-3.301076508E1,-5.994057465E1
1.466908750E-1,-2.180229187E0,-3.252125549E1,-6.062938690E1
1.567618750E-1,-2.486099243E0,-3.207355881E1,-6.125744629E1
1.668328750E-1,-2.751880646E0,-3.157855606E1,-6.188888550E1
1.769038750E-1,-3.014297485E0,-3.118519592E1,-6.239566040E1
1.869748750E-1,-3.193855286E0,-3.077249718E1,-6.250956726E1
1.970458750E-1,-3.413631439E0,-3.048816490E1,-6.268324280E1
2.071168750E-1,-3.717929840E0,-3.008587456E1,-6.290110779E1
2.171878750E-1,-4.053005219E0,-2.969208336E1,-6.307611084E1
2.272588750E-1,-4.415210724E0,-2.935467911E1,-6.307623291E1
2.373298750E-1,-4.928894043E0,-2.880720711E1,-6.322039795E1
2.474008750E-1,-5.568275452E0,-2.817213631E1,-6.353556824E1
2.574718750E-1,-6.130878448E0,-2.748428726E1,-6.376981354E1
2.675438750E-1,-6.630031586E0,-2.676368904E1,-6.409295654E1
2.776148750E-1,-7.247539520E0,-2.596604729E1,-6.438098907E1
2.876858750E-1,-7.800296783E0,-2.512483025E1,-6.483279419E1
2.977568750E-1,-8.236824036E0,-2.438331032E1,-6.522498322E1
3.078278750E-1,-8.493202209E0,-2.367205048E1,-6.544484711E1
3.178988750E-1,-8.766685486E0,-2.322817993E1,-6.547162628E1
3.279698750E-1,-8.966659546E0,-2.285018158E1,-6.544773865E1
3.380408750E-1,-9.183341980E0,-2.251564598E1,-6.552096558E1
3.481118750E-1,-9.271514893E0,-2.226408386E1,-6.557524872E1
3.581828750E-1,-9.314414978E0,-2.205398560E1,-6.563367462E1
3.682538750E-1,-9.349361420E0,-2.172783852E1,-6.577355957E1
3.783248750E-1,-9.369895935E0,-2.150869370E1,-6.572097778E1
3.883958750E-1,-9.430156708E0,-2.117049789E1,-6.577292633E1
3.984668750E-1,-9.434906006E0,-2.083484650E1,-6.579721832E1
4.085378750E-1,-9.532722473E0,-2.054076576E1,-6.577183533E1
4.186088750E-1,-9.577919006E0,-2.024577713E1,-6.578861237E1
4.286798750E-1,-9.613239288E0,-2.000572205E1,-6.570548248E1
4.387508750E-1,-9.659706116E0,-1.972839165E1,-6.580419922E1
4.488218750E-1,-9.669906616E0,-1.960874367E1,-6.567372894E1
4.588928750E-1,-9.745697021E0,-1.964886475E1,-6.541298676E1
4.689638750E-1,-9.899143219E0,-1.957362175E1,-6.551446533E1
4.790348750E-1,-1.016865540E1,-1.939850998E1,-6.565824890E1
4.891058750E-1,-1.032264709E1,-1.929854584E1,-6.557868195E1
4.991768750E-1,-1.053423309E1,-1.919916153E1,-6.555403137E1
5.092478750E-1,-1.067247772E1,-1.913579369E1,-6.561674500E1
5.193188750E-1,-1.085555649E1,-1.908092690E1,-6.566977692E1
5.293898750E-1,-1.098705292E1,-1.910646439E1,-6.556574249E1
5.394608750E-1,-1.104662704E1,-1.915896988E1,-6.547329712E1
5.495318750E-1,-1.114308167E1,-1.921006584E1,-6.528702545E1
5.596028750E-1,-1.124785233E1,-1.927250862E1,-6.513851929E1
5.696738750E-1,-1.130180740E1,-1.940525818E1,-6.488858795E1
5.797448750E-1,-1.135152817E1,-1.952501869E1,-6.499217224E1
5.898158750E-1,-1.132283401E1,-1.957203865E1,-6.531366730E1
5.998868750E-1,-1.113459778E1,-1.978787994E1,-6.529892731E1
6.099588750E-1,-1.095370865E1,-1.993024254E1,-6.526718903E1
6.200298750E-1,-1.082865143E1,-1.998729706E1,-6.535119629E1
6.301008750E-1,-1.063656998E1,-2.010902786E1,-6.543618011E1
6.401718750E-1,-1.035387421E1,-2.034241104E1,-6.530219269E1
6.502428750E-1,-1.007913589E1,-2.057361031E1,-6.493498230E1
6.603138750E-1,-9.725673676E0,-2.067387390E1,-6.491665649E1
6.703848750E-1,-9.435268402E0,-2.061722183E1,-6.528122711E1
6.804558750E-1,-9.036575317E0,-2.058248520E1,-6.556122589E1
