"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.415683333E-2,-3.513650298E-1,7.863198966E-2,8.765041828E-2
5.399083333E-2,-1.853482425E-1,-1.108998619E-2,1.591612399E-1
8.382583333E-2,4.686324392E-3,1.404406279E-1,8.589003235E-2
1.136598333E-1,-4.222441837E-2,2.336412296E-2,1.148617864E-1
1.434948333E-1,-1.818667501E-1,-4.019020125E-2,2.080735415E-1
1.733288333E-1,-1.228364334E-1,3.456650302E-5,1.428055316E-1
2.031638333E-1,-1.533680260E-1,-2.817457914E-2,1.520592719E-1
2.329978333E-1,-1.326427907E-1,-6.169383228E-2,1.310207397E-1
2.628318333E-1,-9.478805214E-2,-5.256421864E-2,9.732431918E-2
2.926668333E-1,-1.860744953E-1,9.942880273E-2,5.235250294E-2
3.225008333E-1,-4.432880282E-1,3.091226220E-1,2.691790275E-2
3.523358333E-1,-9.021664858E-1,8.061581254E-1,8.357378095E-2
3.821698333E-1,-1.596854806E0,1.276255608E0,9.948186576E-2
4.120048333E-1,-2.011014223E0,1.735765576E0,1.085328981E-1
4.418388333E-1,-2.206690311E0,1.792657733E0,1.014395058E-1
4.716728333E-1,-2.266649723E0,1.153160810E0,3.429156542E-1
5.015078333E-1,-2.041604280E0,9.575021267E-1,4.850091934E-1
5.313418333E-1,-1.955776453E0,1.838133335E0,3.592526615E-1
5.611768333E-1,-2.200151205E0,2.965563059E0,6.618377566E-2
5.910108333E-1,-2.425335646E0,3.701518774E0,-4.939887524E-1
6.208458333E-1,-3.300032854E0,3.410876989E0,-4.162249267E-1
6.506798333E-1,-3.441889763E0,3.437270880E0,-3.632598817E-1
6.805148333E-1,-3.087311029E0,3.206892490E0,-3.164767027E-1
7.103488333E-1,-1.533963680E0,3.096498489E0,-8.129556477E-2
7.401828333E-1,-1.130068064E0,2.176602125E0,-6.667495966E-1
7.700178333E-1,-1.000371933E0,3.494015336E-1,-1.030768394E0
7.998518333E-1,-2.826747596E-1,-4.106691778E-1,-1.132268429E0
8.296868333E-1,-2.309129089E-1,-4.053595364E-1,-1.327924609E0
8.595198333E-1,-1.966423988E-1,-4.033422768E-1,-7.652670145E-1
8.893548333E-1,7.025635242E-1,3.667414784E-1,-8.341000676E-1
9.191888333E-1,5.036547780E-1,-5.638687015E-1,-1.099381924E0
9.490228333E-1,4.656646848E-1,-4.559614658E-1,-1.432690024E0
9.788578333E-1,9.131212831E-1,2.922420800E-1,-8.627039790E-1
1.008691833E0,-1.124361604E-1,6.973087788E-1,3.991094232E-1
1.038526833E0,-6.789368987E-1,-9.091495872E-1,1.026771665E0
1.068360833E0,-4.201830029E-1,-4.276950061E-1,9.929129481E-1
1.098195833E0,7.698574066E-1,1.587271988E-1,7.534026355E-2
1.128029833E0,5.929793715E-1,1.911291629E-1,-2.984021008E-1
1.157863833E0,-1.855858862E-1,-2.814029455E-1,-3.755168617E-1
1.187698833E0,-2.937336266E-1,-3.673840761E-1,-4.037871957E-1
1.217532833E0,1.557462513E-1,6.246147677E-3,-1.335474014E0
1.247367833E0,-1.409377903E-1,-1.650098562E-1,-2.188802242E0
1.277201833E0,-6.320044994E-1,-1.845519781E0,-2.759765387E0
1.307036833E0,-1.430263996E0,-1.529073834E0,-2.955363274E0
1.336870833E0,2.921701968E-1,-3.261795759E0,-3.388120890E0
1.366704833E0,-4.741325080E-1,-1.913512826E0,-3.707005978E0
1.396539833E0,-5.387176871E-1,8.577147871E-2,-8.595851898E0
1.426373833E0,-1.568795145E-1,1.849527121E0,9.596917629E-1
1.456208833E0,5.192787945E-2,-1.170909524E0,-1.077605933E-1
1.486042833E0,1.306576654E-2,-4.498522729E-2,2.535796165E-2
1.515877833E0,1.382629387E-2,-1.111527085E-1,-1.621956006E-2
1.545711833E0,-1.089812256E-2,-6.948030740E-2,1.575589180E-2
1.575545833E0,2.955778688E-2,6.518659741E-2,-6.800676230E-3
1.605380833E0,4.370423406E-2,2.069250941E-1,2.280436456E-3
1.635214833E0,-1.004584040E-2,3.184396625E-1,6.578626111E-3
1.665049833E0,1.683759969E-3,2.972913086E-1,-9.457949549E-3
1.694883833E0,-3.400289640E-2,1.577260792E-1,-2.675380558E-2
1.724717833E0,-6.801856309E-2,1.060750857E-1,-2.379024029E-2
1.754552833E0,-4.599199444E-2,9.539783746E-2,-1.499740966E-2
1.784386833E0,-3.924717382E-2,5.581704155E-2,-2.007435076E-3
1.814221833E0,-3.212384507E-2,3.144972771E-2,9.560542181E-3
1.844055833E0,-4.930989817E-3,4.840409849E-3,9.026998654E-3
1.873891458E0,-1.138082426E-2,-1.805967093E-2,6.482862867E-3
1.903725458E0,-4.398358613E-2,5.712619517E-3,2.490009367E-2
1.933559458E0,-4.721100628E-2,-1.745272428E-3,4.452457651E-2
1.963394458E0,-1.004254445E-2,1.236850489E-2,4.290302843E-2
1.993228458E0,4.948326387E-3,3.757241741E-2,7.589414716E-2
2.023063458E0,3.385176416E-3,4.749969766E-2,5.596167594E-2
2.052897458E0,-2.252130955E-2,6.108510867E-2,8.787744492E-2
2.082732458E0,-2.664885484E-2,-1.340079121E-2,5.213653669E-2
2.112566458E0,-4.485579953E-2,-1.037272289E-1,1.008198112E-1
2.142400458E0,-5.510587245E-2,-2.543930709E-1,8.058417588E-2
2.172235458E0,-4.867102206E-2,-1.705762893E-1,1.567334235E-1
2.202069458E0,-7.205622643E-2,-4.271618426E-1,1.288649887E-1
2.231904458E0,-4.247245193E-2,-5.467501283E-1,1.825108677E-1
2.261738458E0,7.544312160E-3,-6.208915114E-1,1.721400768E-1
2.291573458E0,4.671841860E-2,-5.997330546E-1,1.650501788E-1
2.321407458E0,7.165933400E-2,-5.651225448E-1,1.500593722E-1
2.351241458E0,8.492304385E-2,-4.750081897E-1,9.821441770E-2
2.381076458E0,1.188109443E-1,-5.484811068E-1,1.286226511E-1
2.410910458E0,1.677101944E-3,-2.973989546E-1,6.397419423E-2
2.440745458E0,6.464498490E-2,-4.035407901E-1,4.210212082E-2
2.470579458E0,1.300303265E-2,-2.353448570E-1,9.331239760E-2
2.500413458E0,1.760274172E-2,-8.841034025E-2,1.196734905E-1
2.530248458E0,9.748767130E-3,-4.954203963E-2,1.172567606E-1
2.560082458E0,-3.904377110E-3,-5.993684381E-2,1.005016863E-1
2.589917458E0,3.284063423E-3,-4.695088416E-2,1.206432730E-1
2.619751458E0,-8.932908624E-2,1.357821226E-1,2.989926636E-1
2.649585458E0,-1.594211906E-2,-9.579645097E-2,2.205984741E-1
2.679420458E0,-8.270093799E-2,-6.262826920E-2,2.042953372E-1
2.709254458E0,-1.290702522E-1,1.055375859E-1,1.637561768E-1
2.739089458E0,-8.816701174E-2,6.309604645E-2,7.272702456E-2
2.768923458E0,-3.008454666E-2,2.061271481E-2,2.528533153E-2
2.798758458E0,-4.182340950E-2,1.212791800E-1,1.237495095E-1
2.828592458E0,-1.124473363E-1,2.086951286E-1,1.131555885E-1
2.858426458E0,-8.448506147E-2,1.203194819E-2,7.359923422E-2
2.888261583E0,1.286507305E-2,-4.758150876E-2,-3.847659379E-2
2.918095583E0,2.827537805E-2,-9.503841400E-2,-1.842002124E-1
2.947930583E0,-3.096493334E-2,-2.474635094E-2,-1.952803582E-1
2.977764583E0,3.789210925E-3,-1.147713661E-1,-1.442389488E-1
3.007598583E0,1.009094343E-2,-9.070283175E-2,-8.476932347E-2
3.037433583E0,-9.317630902E-4,-6.393121183E-2,-7.140862942E-2
3.067267583E0,-1.139808912E-3,-6.789762527E-2,-7.972325385E-2
3.097102583E0,-4.547259770E-3,-1.403206587E-1,-9.737770259E-2
3.126936583E0,3.717591986E-2,-1.198448315E-1,-7.457487285E-2
3.156770583E0,2.193330601E-2,2.320566960E-2,-6.250936538E-2
3.186605583E0,-2.901789546E-2,2.009821087E-1,-6.101709604E-2
3.216439583E0,5.481297616E-3,1.649430543E-1,-6.868153811E-2
3.246274583E0,5.003075302E-2,7.321998477E-2,-4.350242764E-2
3.276108583E0,4.564190283E-3,1.883336604E-1,3.825613856E-2
3.305943583E0,-7.207959890E-2,3.001400232E-1,1.274459660E-1
3.335777583E0,-7.456382364E-2,2.469002008E-1,3.168469071E-1
3.365612583E0,-1.674265265E-1,1.809877008E-1,6.553862095E-1
3.395446583E0,-1.590683460E-1,-6.231491268E-2,4.752264023E-1
3.425280583E0,-5.044692755E-2,-2.804024518E-1,5.428966284E-1
3.455115583E0,-6.282902509E-2,-3.714484572E-1,4.221829772E-1
3.484949583E0,5.150539055E-2,-2.673130631E-1,2.048985064E-1
3.514784583E0,1.807501316E-1,-2.230919749E-1,-8.258745819E-2
3.544618583E0,2.668118179E-1,-4.855474234E-1,-3.189050853E-1
3.574453583E0,3.206455708E-1,-5.494001508E-1,-4.319634140E-1
3.604287583E0,2.387041301E-1,-1.499210149E-1,-1.723158956E-1
3.634121583E0,2.964012139E-2,1.825542599E-1,-2.479335293E-2
3.663956583E0,-1.166824624E-2,-8.065996319E-2,-2.162896469E-2
3.693790583E0,2.255099826E-2,-2.019014210E-1,-1.667295769E-2
3.723625583E0,-5.519933999E-3,-1.885811388E-1,-2.479784191E-2
3.753459583E0,1.065669488E-2,-2.636573911E-1,-5.852479488E-2
3.783294583E0,1.638182998E-2,-2.375025451E-1,-6.916102767E-2
3.813128583E0,-1.026041247E-2,-1.687905788E-1,-2.895127982E-2
3.842962583E0,-1.725557633E-2,-5.982181057E-2,-6.651776843E-3
3.872797375E0,5.724327639E-4,1.199153066E-2,-1.882167533E-2
3.902631375E0,3.640460223E-2,3.621318564E-2,-4.399370775E-2
3.932466375E0,5.018042400E-2,7.927201688E-2,-5.392044783E-2
3.962300375E0,3.739493713E-2,8.717685938E-2,-5.828916654E-2
3.992134375E0,1.775487140E-2,1.064870059E-1,-6.186576188E-2
4.021969375E0,-2.044589724E-3,7.068303227E-2,-6.576909870E-2
4.051803375E0,-9.962979704E-3,4.535550252E-2,-5.961361155E-2
4.081638375E0,-6.892228499E-3,4.507089779E-2,-5.985413864E-2
4.111472375E0,1.297525130E-2,8.253612369E-2,-9.464465082E-2
4.141307375E0,3.117969260E-2,2.212470919E-1,-5.400864035E-2
4.171141375E0,3.172612190E-2,2.252022326E-1,-8.248579502E-2
