"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.415683333E-2,-7.970975541E-2,-2.823639442E-1,-2.061646378E-1
5.399083333E-2,-9.405085579E-2,2.275350416E-1,2.869544470E-1
8.382583333E-2,-1.518375725E-3,2.543107577E-1,3.445191157E-1
1.136598333E-1,9.624480419E-2,-2.838276485E-1,-3.478432578E-1
1.434948333E-1,-2.400920834E-1,-1.601252697E-1,-6.466728151E-1
1.733288333E-1,1.193702497E-1,-1.163499436E-1,8.525591254E-2
2.031638333E-1,-6.252851620E-2,-6.867277041E-2,-1.431626433E-1
2.329978333E-1,1.702321820E-1,6.053461567E-2,5.952640951E-2
2.628318333E-1,1.680731707E-1,1.557698250E-2,1.074063349E-1
2.926668333E-1,2.711163864E-2,-1.232669073E-1,-3.035494298E-1
3.225008333E-1,-1.818872177E-1,-1.555138631E-1,-8.670140272E-1
3.523358333E-1,-6.190681831E-1,-4.836270073E-1,-1.614846012E0
3.821698333E-1,-5.022571135E-1,-7.870387352E-1,-2.415243296E0
4.120048333E-1,-4.150043768E-1,-5.540216365E-1,-1.637909185E0
4.418388333E-1,-2.640199131E-1,-6.938744634E-2,-5.523952335E-1
4.716728333E-1,-3.046101147E-1,-1.595465416E-1,3.168261176E-1
5.015078333E-1,-5.867096186E-1,2.895991427E-1,1.186380760E0
5.313418333E-1,-1.147184827E0,-1.565317172E-1,6.553810734E-1
5.611768333E-1,-3.404199252E-1,-9.553414822E-2,-5.733148170E-1
5.910108333E-1,1.021093715E0,-5.918417197E-1,-1.101837623E0
6.208458333E-1,5.245145398E-1,9.734783757E-1,-1.068249462E0
6.506798333E-1,3.911214244E-1,8.330305946E-1,4.861901343E-1
6.805148333E-1,3.040289015E-1,1.032374455E0,2.148979075E0
7.103488333E-1,-1.305180395E0,1.763733664E0,6.162475886E0
7.401828333E-1,-2.293359840E-1,-3.692434824E-1,4.803399950E0
7.700178333E-1,1.389306625E0,-2.149705446E-1,1.202807343E0
7.998518333E-1,1.142955244E-1,-6.912221664E-1,1.151983345E-1
8.296868333E-1,2.981249678E-1,-8.997636974E-2,-7.781696784E-1
8.595198333E-1,-4.040105296E0,3.691358936E-1,-1.266713902E0
8.893548333E-1,-7.901088157E-1,1.087839389E-1,8.949818444E-1
9.191888333E-1,-8.402390420E-2,-1.115187986E0,-9.504327446E-1
9.490228333E-1,4.766416311E-2,-8.928657371E-1,1.092754558E0
9.788578333E-1,-2.024146138E0,3.109698973E0,1.376594194E0
1.008691833E0,6.624778390E-2,-1.216302132E0,6.422398947E-2
1.038526833E0,2.262962797E0,2.628118783E-1,-8.759696227E-1
1.068360833E0,-6.022322220E-1,-2.441703701E-1,-1.347737015E0
1.098195833E0,-2.135236511E-1,-1.884528369E0,1.808842009E0
1.128029833E0,3.974118590E-1,-1.071385324E-1,5.433305874E-3
1.157863833E0,1.960629880E-1,2.328834897E-1,-7.513964474E-1
1.187698833E0,-4.189515397E-1,6.407858384E-1,-1.788434496E-1
1.217532833E0,8.568848956E-1,5.216559530E0,9.288535222E-1
1.247367833E0,1.481550253E0,5.036172343E0,-1.743136847E-1
1.277201833E0,1.072773161E0,5.467528458E0,-7.066354269E-1
1.307036833E0,1.399039023E0,6.999360380E0,-2.149175103E0
1.336870833E0,3.741035418E-1,7.573845810E-1,5.043829857E0
1.366704833E0,-7.242851011E-1,-1.085184753E-1,9.332753328E-1
1.396539833E0,6.979649416E0,-2.383039054E1,2.561793816E-1
1.426373833E0,-7.667439852E0,-8.452183555E0,3.857186337E-1
1.456208833E0,5.171352367E0,4.734867074E0,-4.234436631E-2
1.486042833E0,-2.500356244E0,-1.748771809E0,6.682026286E-2
1.515877833E0,-1.385407117E-1,2.812113118E-1,3.361996973E-1
1.545711833E0,2.136557981E-1,-2.436201471E-1,2.193144776E-1
1.575545833E0,3.873607877E-1,2.419706476E-1,1.603371217E-1
1.605380833E0,2.984053418E-1,4.792261004E-2,-6.667112231E-2
1.635214833E0,3.680252150E-1,1.517627281E-1,5.437557897E-2
1.665049833E0,3.624039942E-1,8.636103630E-2,1.616362999E-1
1.694883833E0,2.652291173E-1,8.101317286E-3,2.726456891E-1
1.724717833E0,3.512130082E-3,3.792562544E-2,1.926551942E-1
1.754552833E0,-1.620807248E-1,7.179854572E-2,2.268567646E-1
1.784386833E0,-2.054413372E-1,3.131768703E-3,3.382368672E-1
1.814221833E0,-1.023952711E-1,-6.176823199E-2,2.836577868E-1
1.844055833E0,3.767331809E-2,2.515121341E-2,1.359325246E-1
1.873891458E0,-5.961441010E-2,-4.677772522E-5,1.146796864E-1
1.903725458E0,-7.792174995E-2,-7.272766829E-2,1.214168118E-1
1.933559458E0,6.625041515E-2,3.203163207E-2,7.399359047E-2
1.963394458E0,2.217293411E-1,9.891734719E-3,5.768102825E-2
1.993228458E0,3.721080333E-1,1.288024664E-2,7.194476265E-2
2.023063458E0,3.061169422E-1,1.820881426E-1,1.317084960E-1
2.052897458E0,1.370239440E-1,-3.002311349E-2,3.315952342E-2
2.082732458E0,-3.836504370E-2,1.103492385E-1,-1.008990051E-1
2.112566458E0,-2.793606681E-1,-5.693960130E-2,-9.024128515E-2
2.142400458E0,-3.763776702E-1,-2.191945732E-2,1.266857743E-2
2.172235458E0,-5.403362283E-1,-1.980995733E-1,9.830920022E-2
2.202069458E0,-6.198662549E-1,-4.027679086E-2,-1.597927276E-1
2.231904458E0,-5.127373704E-1,-1.963068169E-1,-1.024455754E-1
2.261738458E0,-2.683021215E-1,-1.157637602E-1,-1.062164265E-1
2.291573458E0,9.527657837E-2,-7.744987965E-2,-2.764744824E-1
2.321407458E0,4.809153610E-1,7.560976088E-2,-1.653504878E-1
2.351241458E0,4.900431570E-1,2.921865356E-1,-1.046733554E-1
2.381076458E0,-1.197267106E-1,2.382997656E-1,-2.468372852E-1
2.410910458E0,-7.331677526E-2,-1.065836316E-1,-9.716195458E-1
2.440745458E0,2.457251447E-1,-5.607947588E-2,-1.489677681E-1
2.470579458E0,-5.477222849E-1,-1.801433587E-1,2.960883826E-1
2.500413458E0,-6.677844796E-1,-2.099624044E-1,1.278341675E-1
2.530248458E0,-7.707806982E-1,-1.739014560E-1,2.023037213E-1
2.560082458E0,-5.684997810E-1,-2.451538718E-1,3.026284705E-2
2.589917458E0,-6.630591984E-1,-8.137336135E-2,1.897702146E-1
2.619751458E0,-1.098573854E0,-2.633416361E-1,1.440794867E-1
2.649585458E0,-4.153759673E-1,6.200445950E-2,3.570075989E-2
2.679420458E0,-3.910231912E-1,-1.505687267E-1,2.438288927E-2
2.709254458E0,-1.711038557E-1,-5.547078073E-2,-9.608612537E-2
2.739089458E0,2.070092681E-1,6.462284267E-2,1.909560299E-1
2.768923458E0,-1.749925464E-1,-1.412558663E-1,2.502222383E-1
2.798758458E0,-6.693826698E-1,-1.397817832E-1,1.191639161E-1
2.828592458E0,-8.803228748E-1,-1.145060241E-2,-6.812590043E-2
2.858426458E0,-5.474508280E-1,-2.806950027E-1,2.089560986E-1
2.888261583E0,-8.337714368E-1,-8.080197144E-1,2.458800960E-1
2.918095583E0,-1.828935966E-2,7.522939950E-1,-1.404594755E-1
2.947930583E0,-4.322621414E-1,1.803047419E-2,-1.200421679E-1
2.977764583E0,-4.275156641E-1,-5.445102632E-2,-1.833102290E-1
3.007598583E0,-1.989646688E-1,-7.279958904E-2,-2.980571401E-1
3.037433583E0,-1.892675002E-1,-1.887884670E-1,-1.525339576E-1
3.067267583E0,-9.046300426E-2,9.398814440E-3,-3.901086867E-1
3.097102583E0,1.447052850E-1,1.570836943E-1,-1.924611032E-1
3.126936583E0,-2.455011964E-2,-4.193272233E-2,-7.661372781E-2
3.156770583E0,-9.910460427E-2,-1.766543251E-1,-6.102503261E-2
3.186605583E0,-1.206052548E-1,-2.135315448E-1,-1.465055148E-1
3.216439583E0,3.114175893E-1,1.282235920E-1,-8.174407482E-3
3.246274583E0,2.456666726E-1,-3.020437717E-2,1.476807686E-1
3.276108583E0,-5.535456732E-2,-1.990684569E-2,8.527579308E-3
3.305943583E0,-2.984689303E-1,2.969479233E-1,-9.249595324E-2
3.335777583E0,-4.436433081E-1,1.708948177E-1,-9.659951091E-2
3.365612583E0,-2.042938650E0,1.036968613E-1,7.964609385E-2
3.395446583E0,1.083099782E0,-2.279367453E-1,2.592070699E-2
3.425280583E0,1.665963833E-1,2.100641459E-1,-1.118969782E-1
3.455115583E0,6.648848453E-1,4.020370066E-2,2.928683392E-1
3.484949583E0,1.043394995E0,2.461619318E-2,3.250466816E-1
3.514784583E0,1.190341079E0,-4.198534727E-2,2.898441410E-1
3.544618583E0,1.290909388E0,6.580690384E-2,1.139142494E-1
3.574453583E0,1.183390494E0,1.447197568E-1,-3.275469875E-1
3.604287583E0,-1.260058747E0,1.109936017E-1,-3.402073789E-1
3.634121583E0,-1.559077754E0,-4.491041690E-1,1.005662620E-1
3.663956583E0,-5.914984882E-2,1.170852309E-1,-6.595542312E-2
3.693790583E0,-2.394657004E-1,4.535568237E-2,-8.832803965E-2
3.723625583E0,-1.602651644E-1,6.717515230E-2,1.624496841E-1
3.753459583E0,1.055156377E-1,7.191139698E-2,1.762678242E-1
3.783294583E0,9.979603752E-2,-1.319365740E-2,1.367581789E-1
3.813128583E0,5.004222572E-2,-6.811421514E-2,4.109190186E-2
3.842962583E0,1.954890838E-1,6.202960253E-2,-9.770706492E-3
3.872797375E0,3.951748605E-1,1.157163978E-3,-1.363102913E-2
3.902631375E0,4.826592931E-1,-4.119948149E-3,-3.614163995E-2
3.932466375E0,3.540334126E-1,3.003656209E-2,-2.689262386E-5
3.962300375E0,2.876623987E-1,2.484686583E-1,-9.524997354E-2
3.992134375E0,5.845300689E-2,8.884084046E-2,-1.709269774E-1
4.021969375E0,3.215237707E-3,7.290951669E-2,-1.190574968E-1
4.051803375E0,-6.342123985E-2,-2.451562107E-2,-2.978337765E-1
4.081638375E0,1.193149205E-1,5.041293919E-2,-3.827645838E-1
4.111472375E0,2.847558939E-1,-1.353162646E-2,-2.721352637E-1
4.141307375E0,3.043195081E-1,-1.092417759E-1,-9.759704590E-2
4.171141375E0,3.993363239E-1,4.692975283E-2,5.888496995E-2
4.200975375E0,1.504899354E-1,-1.519094932E-1,1.863437462E-1
4.230810375E0,8.081992239E-2,-4.032473803E-2,1.105240703E-1
4.260644375E0,4.967999071E-2,2.925420463E-2,8.949397445E-2
4.290479375E0,-4.528917030E-2,-8.252760172E-3,5.043632805E-2
4.320313375E0,-1.159266052E-1,-2.982606232E-2,7.336502393E-2
4.350148375E0,-7.040179208E-2,3.544172823E-2,6.473277032E-2
4.379982375E0,-6.881485775E-2,2.718312085E-2,1.028975560E-1
4.409816375E0,-3.251228781E-1,-4.509138823E-2,2.419273965E-1
4.439651375E0,-3.923106019E-1,-7.980455339E-2,3.150362849E-1
4.469485375E0,-4.064028302E-1,-8.735974073E-2,2.477494508E-1
4.499320375E0,-2.746973674E-1,-2.034947991E-2,2.079515104E-1
4.529154375E0,-2.492594942E-1,-2.032959938E-2,1.945520492E-1
4.558988375E0,-1.699196483E-1,-2.218959868E-2,1.063251847E-1
4.588823375E0,7.793461382E-3,3.528677702E-2,1.198638278E-1
4.618657375E0,-2.299856097E-2,-3.294321299E-2,-1.439566221E-3
4.648492375E0,2.619771883E-2,6.585134268E-2,-1.640354490E-1
4.678326375E0,8.510300785E-2,5.926270008E-2,-6.372586152E-2
4.708160375E0,3.274733126E-3,1.148159266E-2,4.235430658E-2
4.737995375E0,-8.811315447E-2,-1.323634207E-2,9.389985144E-2
4.767829375E0,-9.061854020E-2,-1.828131974E-2,3.107444286E-2
4.797664375E0,-9.057892531E-2,3.817413211E-2,8.892441910E-2
4.827498375E0,-1.802537249E-1,-3.716373324E-2,2.112283083E-1
4.857333375E0,-8.664667279E-2,-7.575067878E-3,1.794481430E-1
4.887167958E0,4.869795084E-2,6.765754759E-2,-1.098050455E-2
4.917001958E0,3.723273039E-2,8.278487921E-3,-4.324308336E-2
4.946836958E0,1.641344132E-1,1.065298373E-1,-2.898874104E-2
4.976670958E0,1.737690166E-1,-5.061700702E-2,-3.145568132E-2
5.006505958E0,2.442281114E-1,4.299165308E-2,-2.949976942E-2
5.036339958E0,2.392901377E-1,7.336501479E-2,-1.165320843E-1
5.066173958E0,1.951701182E-1,6.685121655E-3,-5.728400230E-2
5.096008958E0,9.292205080E-2,-4.018265069E-2,-5.790029883E-2
5.125842958E0,1.667187363E-2,-6.350660920E-3,-1.490804275E-2
5.155677958E0,-4.506083652E-2,1.135529280E-2,-5.065442920E-3
5.185511958E0,-5.672047690E-2,1.251304150E-3,3.443657359E-2
5.215345958E0,-1.428107871E-1,-1.494022071E-2,5.544444999E-2
5.245180958E0,-1.227913825E-1,-1.479345560E-3,5.550705174E-2
5.275014958E0,-1.021067110E-1,-1.745686233E-2,5.908611417E-2
5.304849958E0,-1.299023277E-1,-1.188797414E-2,2.306845346E-2
5.334683958E0,5.651947886E-2,3.738124967E-2,3.067272088E-2
5.364518958E0,9.073913902E-2,-3.403021038E-2,-2.565992117E-2
5.394352958E0,1.723861501E-2,5.681739450E-3,-3.938569346E-2
5.424186958E0,-5.180048347E-3,-3.628957450E-2,-4.426577965E-2
5.454021958E0,-1.651385263E-2,-9.290640950E-3,-3.870854935E-2
5.483855958E0,-8.763777584E-2,1.479228616E-2,-4.598308861E-2
5.513690958E0,-8.673671991E-2,1.606814861E-2,-3.467398882E-3
5.543524958E0,-7.644006550E-2,1.003382206E-2,6.505376419E-2
5.573358958E0,-4.485691488E-3,9.414017200E-3,-1.138977310E-2
5.603193958E0,1.495907798E-2,1.102609456E-2,1.455371062E-2
5.633027958E0,3.515492231E-3,-9.196500778E-3,4.958730320E-2
5.662862958E0,7.752428547E-2,-4.209235132E-2,-7.651675539E-3
5.692696958E0,1.354187371E-1,2.969216108E-2,-5.441711247E-2
5.722530958E0,4.579071522E-2,-7.380355597E-3,-9.777714014E-3
5.752365958E0,-4.782671571E-2,-2.584995568E-2,-3.427344541E-2
5.782199958E0,-9.169413552E-2,4.697653055E-3,-6.960409482E-2
5.812034958E0,-8.271149665E-2,2.879052043E-2,-3.840334296E-2
5.841868958E0,-4.456528500E-2,-5.298746824E-3,3.236550808E-2
