"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.415683333E-2,4.015518665E0,9.619031906E0,-5.372303391E1
5.399083333E-2,4.046371937E0,1.035689545E1,-5.338122940E1
8.382583333E-2,4.134010792E0,1.032349777E1,-5.352470016E1
1.136598333E-1,4.326598644E0,1.017661476E1,-5.308140945E1
1.434948333E-1,4.459787846E0,1.057585907E1,-5.362411118E1
1.733288333E-1,4.680103779E0,1.065976524E1,-5.346931839E1
2.031638333E-1,4.516743183E0,1.095023727E1,-5.317963791E1
2.329978333E-1,4.525531292E0,1.107777405E1,-5.308536148E1
2.628318333E-1,4.518820286E0,1.147474098E1,-5.300595474E1
2.926668333E-1,4.665749073E0,1.138697624E1,-5.294171524E1
3.225008333E-1,4.896632671E0,1.193353271E1,-5.331049728E1
3.523358333E-1,5.675709248E0,1.289504242E1,-5.287676620E1
3.821698333E-1,7.004954815E0,1.472823524E1,-5.208467484E1
4.120048333E-1,9.244741440E0,1.714140892E1,-5.137399673E1
4.418388333E-1,1.221039581E1,2.011327553E1,-4.955409622E1
4.716728333E-1,1.413632965E1,2.343111992E1,-4.731961441E1
5.015078333E-1,1.590305519E1,2.625842094E1,-4.550244522E1
5.313418333E-1,1.804884911E1,2.883970451E1,-4.342584610E1
5.611768333E-1,2.108985901E1,3.129448128E1,-4.015023422E1
5.910108333E-1,2.438075638E1,3.382195282E1,-3.550886154E1
6.208458333E-1,2.763923264E1,3.689261627E1,-2.996297073E1
6.506798333E-1,2.983892059E1,3.991436768E1,-2.384629440E1
6.805148333E-1,3.151755524E1,4.219795227E1,-1.671019745E1
7.103488333E-1,3.255477524E1,4.341152954E1,-1.132774734E1
7.401828333E-1,3.257674789E1,4.404463959E1,-7.052806854E0
7.700178333E-1,3.153789902E1,4.546858978E1,-4.878509521E0
7.998518333E-1,3.011313248E1,4.623147583E1,-4.136730194E0
8.296868333E-1,2.794440079E1,4.713594818E1,-4.626979828E0
8.595198333E-1,2.658243179E1,4.811901855E1,-4.764968872E0
8.893548333E-1,2.558016205E1,4.870341492E1,-4.335887909E0
9.191888333E-1,2.423347473E1,4.962838745E1,-5.171783447E0
9.490228333E-1,2.270802879E1,5.009815979E1,-6.629764557E0
9.788578333E-1,2.068656158E1,5.089653015E1,-7.379817963E0
1.008691833E0,1.950614548E1,5.148944092E1,-8.743335724E0
1.038526833E0,2.032211685E1,5.101151276E1,-8.432209015E0
1.068360833E0,2.141926765E1,5.069664001E1,-7.863250732E0
1.098195833E0,2.254934502E1,5.013819885E1,-8.094676971E0
1.128029833E0,2.285295677E1,4.995680237E1,-8.757640839E0
1.157863833E0,2.260208321E1,5.009704590E1,-9.514221191E0
1.187698833E0,2.158421326E1,5.032772064E1,-9.612621307E0
1.217532833E0,2.040298462E1,5.070848846E1,-9.157890320E0
1.247367833E0,1.778014755E1,5.121910095E1,-9.502494812E0
1.277201833E0,1.398406219E1,5.243258667E1,-9.917125702E0
1.307036833E0,8.134792328E0,5.327201080E1,-1.001255798E1
1.336870833E0,2.115288258E0,5.288418579E1,-8.953308105E0
1.366704833E0,-4.166058540E0,5.161334229E1,-9.016685486E0
1.396539833E0,-1.099620628E1,4.969082642E1,-7.595634460E0
1.426373833E0,-1.879017067E1,4.732159424E1,-6.872612000E0
1.456208833E0,-1.850794601E1,4.743333435E1,-7.133075714E0
1.486042833E0,-1.837380028E1,4.761980438E1,-7.054439545E0
1.515877833E0,-1.803788567E1,4.720453644E1,-7.270256042E0
1.545711833E0,-1.824147224E1,4.723848724E1,-7.326820374E0
1.575545833E0,-1.843055916E1,4.755397034E1,-6.889896393E0
1.605380833E0,-1.814739418E1,4.763763428E1,-6.898864746E0
1.635214833E0,-1.819877243E1,4.744712067E1,-7.108139038E0
1.665049833E0,-1.809749794E1,4.761312103E1,-7.240486145E0
1.694883833E0,-1.806383514E1,4.738298035E1,-7.420413971E0
1.724717833E0,-1.818894386E1,4.750434875E1,-7.612995148E0
1.754552833E0,-1.838855171E1,4.777436066E1,-7.489395142E0
1.784386833E0,-1.842344475E1,4.729377747E1,-7.170780182E0
1.814221833E0,-1.813636017E1,4.755809784E1,-6.798732758E0
1.844055833E0,-1.796208382E1,4.767047882E1,-6.944110870E0
1.873891458E0,-1.790648651E1,4.774206543E1,-7.011566162E0
1.903725458E0,-1.777156067E1,4.743054199E1,-7.172859192E0
1.933559458E0,-1.787679482E1,4.757641602E1,-7.028354645E0
1.963394458E0,-1.780253601E1,4.741707611E1,-6.966342926E0
1.993228458E0,-1.765302658E1,4.752733612E1,-6.887218475E0
2.023063458E0,-1.744099045E1,4.763813782E1,-7.042816162E0
2.052897458E0,-1.746933937E1,4.736608124E1,-7.135204315E0
2.082732458E0,-1.725357056E1,4.765557861E1,-7.178443909E0
2.112566458E0,-1.706490517E1,4.755824280E1,-6.895500183E0
2.142400458E0,-1.693421745E1,4.774332428E1,-6.915233612E0
2.172235458E0,-1.704867935E1,4.788852692E1,-6.781398773E0
2.202069458E0,-1.674303246E1,4.793890381E1,-6.346458435E0
2.231904458E0,-1.668957520E1,4.832919312E1,-6.329601288E0
2.261738458E0,-1.640632629E1,4.840533447E1,-6.030281067E0
2.291573458E0,-1.608637238E1,4.819015503E1,-5.424266815E0
2.321407458E0,-1.594803238E1,4.836063385E1,-5.501457214E0
2.351241458E0,-1.593013000E1,4.838668823E1,-5.811656952E0
2.381076458E0,-1.549842072E1,4.837829590E1,-5.455341339E0
2.410910458E0,-1.541559792E1,4.836144257E1,-5.149467468E0
2.440745458E0,-1.518469429E1,4.828934479E1,-5.396930695E0
2.470579458E0,-1.543062401E1,4.838910675E1,-5.344970703E0
2.500413458E0,-1.502422428E1,4.825045013E1,-4.876991272E0
2.530248458E0,-1.480620480E1,4.840084839E1,-4.696117401E0
2.560082458E0,-1.447048283E1,4.858176422E1,-4.879035950E0
2.589917458E0,-1.441145706E1,4.846289825E1,-4.684345245E0
2.619751458E0,-1.432398605E1,4.863375092E1,-4.816406250E0
