"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.098016667E-2,9.950095415E-2,1.421594024E-1,-1.392514855E-1
2.605616665E-2,8.347177505E-2,7.171973586E-2,-1.207075417E-1
4.113216666E-2,3.904929012E-2,4.656838253E-2,-9.706985205E-2
5.620716666E-2,1.743874885E-2,-6.055719219E-3,-5.521615222E-2
7.128316668E-2,2.149953693E-2,-8.362747729E-2,-1.950342953E-2
8.635916666E-2,2.532259375E-2,-8.164732158E-2,-9.087614715E-3
1.014351667E-1,1.097811945E-2,-2.622194029E-2,-8.898416534E-3
1.165111667E-1,-7.671473548E-3,3.445746005E-2,-6.222700235E-3
1.315871667E-1,-2.976186387E-2,4.962629080E-2,-1.181800198E-2
1.466631667E-1,-4.329685867E-2,-1.593680121E-2,3.293192713E-3
1.617381667E-1,-2.862650342E-2,-8.742114156E-2,2.107561193E-2
1.768141667E-1,5.922407843E-3,-1.197386608E-1,2.652112953E-2
1.918901667E-1,4.072432965E-2,-7.129123062E-2,3.175610676E-2
2.069661667E-1,7.823087275E-2,-3.994438332E-3,5.162911117E-2
2.220421667E-1,1.082348526E-1,2.140481025E-3,6.854429096E-2
2.371181667E-1,8.287411183E-2,-4.764805362E-2,7.254846394E-2
2.521941667E-1,3.645788133E-2,-1.006675959E-1,6.897424161E-2
2.672691667E-1,-3.500887891E-3,-1.279776245E-1,6.886238605E-2
2.823449167E-1,-3.334829956E-2,-1.598310918E-1,6.892200559E-2
2.974209167E-1,-4.635860771E-2,-1.798639894E-1,7.497274131E-2
3.124969167E-1,-3.112132847E-2,-1.661492437E-1,7.997815311E-2
3.275729167E-1,1.432611234E-2,-7.691954076E-2,1.117911711E-1
3.426489167E-1,7.162465900E-2,-2.591452748E-2,1.625508070E-1
3.577249167E-1,9.715285152E-2,-4.812086374E-2,1.780939549E-1
3.727999167E-1,6.863385439E-2,-7.023974508E-2,1.538914144E-1
3.878759167E-1,-1.850753091E-2,-6.790377200E-2,2.112204880E-1
4.029519167E-1,-1.584862024E-1,-7.087572664E-2,5.141991377E-1
4.180279167E-1,-2.490617782E-1,-1.878350377E-1,8.298926950E-1
4.331039167E-1,-2.331464589E-1,-1.754822433E-1,5.664504170E-1
4.481799167E-1,-2.365648150E-1,-1.009004489E-1,3.064230978E-1
4.632559167E-1,-2.475632131E-1,-4.642312229E-2,2.532226741E-1
4.783309167E-1,-1.272363663E-1,3.237481043E-2,2.366446555E-1
4.934069167E-1,5.771296471E-2,2.296415418E-1,2.149334997E-1
5.084829167E-1,1.767525673E-1,4.168745279E-1,1.833506078E-1
5.235589167E-1,2.062746137E-1,4.939821959E-1,1.338408589E-1
5.386349167E-1,1.852971315E-1,4.850940406E-1,1.043072343E-1
5.537109167E-1,1.179071814E-1,4.235305488E-1,1.144626662E-1
5.687869167E-1,3.675060719E-2,3.785967231E-1,1.133011132E-1
5.838619167E-1,1.765424572E-2,3.641839921E-1,8.639401197E-2
5.989379167E-1,7.573545724E-2,3.640111089E-1,6.198530644E-2
6.140139167E-1,1.408774406E-1,3.253630400E-1,4.330988973E-2
6.290899167E-1,1.719400138E-1,2.550962567E-1,1.923160255E-2
6.441659167E-1,1.511368603E-1,1.389505416E-1,-5.914153997E-3
6.592419167E-1,9.123253822E-2,-2.112061530E-2,-1.480264403E-2
6.743179167E-1,2.149579674E-2,-1.540198028E-1,-2.096147090E-2
6.893929167E-1,-4.213447496E-2,-1.856677383E-1,-1.603047550E-2
7.044689167E-1,-6.246055663E-2,-1.771273017E-1,4.476429021E-4
7.195449167E-1,-9.005116671E-2,-1.697434187E-1,4.884420335E-2
7.346209167E-1,-1.546450704E-1,-1.044610813E-1,7.926469296E-2
7.496969167E-1,-1.741742492E-1,-6.377859414E-2,4.109280929E-2
7.647729167E-1,-1.069387197E-1,-8.703605831E-2,-2.614877559E-2
7.798489167E-1,-7.912346162E-3,-1.020668373E-1,-7.994642109E-2
7.949239167E-1,6.700556725E-2,-3.268962726E-2,-1.154194623E-1
8.099999167E-1,1.038561165E-1,7.284092903E-2,-1.193161160E-1
8.250759167E-1,1.069252118E-1,1.446587741E-1,-8.884730935E-2
8.401519167E-1,7.096227258E-2,1.739585996E-1,1.799955498E-4
8.552279167E-1,-1.110436767E-2,1.439397186E-1,1.100095585E-1
8.703039167E-1,-9.232016653E-2,8.327519149E-2,1.892444193E-1
8.853799167E-1,-1.067446396E-1,2.583869267E-3,2.099748403E-1
9.004549167E-1,-9.765351564E-2,-7.025180012E-2,2.021507472E-1
