"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.098016667E-2,4.138622694E-3,2.094823480E-2,1.337807858E-1
2.605616665E-2,-2.031829964E-1,-3.698188484E-2,-1.288790649E-1
4.113216666E-2,-3.890050247E-1,1.218548048E-1,-1.113362485E-1
5.620716666E-2,-4.421948797E-1,1.539823312E-1,-2.670540333E-2
7.128316668E-2,-3.739853915E-1,2.243518174E-2,-1.054586273E-1
8.635916666E-2,-1.961216429E-1,4.914584756E-2,-1.357296628E-1
1.014351667E-1,1.832185556E-1,1.432819265E-1,-2.738122451E-1
1.165111667E-1,2.601255944E-1,1.567714530E-1,-2.833619177E-1
1.315871667E-1,2.258283124E-1,2.626089799E-1,-1.379773325E-1
1.466631667E-1,1.998304222E-2,2.540053868E-1,-3.131768703E-3
1.617381667E-1,-1.822045753E-1,1.766981792E-1,3.088130933E-1
1.768141667E-1,-1.227562992E-1,1.655861306E-1,3.499289596E-1
1.918901667E-1,-6.172467023E-3,7.104016185E-2,3.357178867E-1
2.069661667E-1,8.348727599E-4,9.972192407E-2,3.501400441E-1
2.220421667E-1,4.844575312E-2,1.030402189E-1,1.497103554E-1
2.371181667E-1,1.115156849E-1,5.797748208E-2,-5.415281832E-2
2.521941667E-1,1.147958633E-1,5.065384448E-2,-2.775895464E-1
2.672691667E-1,1.462235145E-1,3.334959447E-2,-2.816749960E-1
2.823449167E-1,1.227328373E-1,-8.901801109E-3,-3.175084877E-1
2.974209167E-1,3.654038351E-2,-3.220938742E-2,-2.659033012E-1
3.124969167E-1,-1.911151472E-2,-6.272425175E-2,7.526535988E-3
3.275729167E-1,-1.167946974E-1,-1.335311097E-1,1.994993967E-1
3.426489167E-1,-3.748642646E-1,-4.985043705E-2,4.003290349E-1
3.577249167E-1,-3.588502758E-1,-2.647151470E-2,2.642269045E-1
3.727999167E-1,-1.358044340E-1,-2.724042356E-2,-3.067917109E-2
3.878759167E-1,-1.129455484E-1,-9.600543380E-3,-9.125749469E-2
4.029519167E-1,-5.134223717E-1,-1.994666523E-1,-1.999478781E-1
4.180279167E-1,-1.233579485E0,-1.106117785E0,-3.049720573E-1
4.331039167E-1,8.170401409E-1,9.750085920E-1,2.128737330E-1
4.481799167E-1,5.779506357E-1,4.928735018E-1,-6.615539789E-3
4.632559167E-1,1.637125365E-1,-4.438369972E-1,-2.858586788E-2
4.783309167E-1,2.562785650E-1,-1.930633664E-1,1.762748408E-1
4.934069167E-1,3.207382704E-1,-8.188557744E-2,4.912356967E-1
5.084829167E-1,4.269267764E-1,-1.375867385E-1,2.921081829E-1
5.235589167E-1,3.610266095E-1,-1.059129560E-1,-2.049589419E-1
5.386349167E-1,2.188374545E-1,-6.613610208E-2,-2.148465836E-1
5.537109167E-1,4.050929077E-2,2.478342354E-2,-3.055906928E-1
5.687869167E-1,5.581942096E-2,5.667355299E-2,-3.209799796E-1
5.838619167E-1,9.201522075E-2,3.437578082E-3,2.341692924E-2
5.989379167E-1,8.955215424E-2,-5.993162155E-2,2.005080414E-1
6.140139167E-1,5.409032620E-2,-6.771309614E-2,1.707211554E-1
6.290899167E-1,6.132267416E-4,1.883388162E-3,7.627634346E-2
6.441659167E-1,-1.431462711E-1,1.417061019E-1,-3.107268870E-1
6.592419167E-1,-1.999736059E-1,1.591249573E-1,-4.829858601E-1
6.743179167E-1,-2.223128933E-1,1.268302006E-1,-6.276395434E-1
6.893929167E-1,-2.048901641E-1,1.106258118E-1,-6.163199186E-1
7.044689167E-1,-2.248005912E-1,1.863554406E-1,-4.221069896E-1
