"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.098016667E-2,-8.975524902E-1,-3.571856689E1,-3.994122314E1
2.605616665E-2,-8.349151611E-1,-3.568960571E1,-3.997940063E1
4.113216666E-2,-6.787872314E-1,-3.576321411E1,-4.024017334E1
5.620716666E-2,-4.949798584E-1,-3.574398804E1,-4.015658569E1
7.128316668E-2,-5.136108398E-1,-3.578414917E1,-3.997680664E1
8.635916666E-2,-6.784667969E-1,-3.568011475E1,-3.996185303E1
1.014351667E-1,-7.859191895E-1,-3.578207397E1,-3.989372253E1
1.165111667E-1,-6.826629639E-1,-3.581588745E1,-3.992864990E1
1.315871667E-1,-6.816864014E-1,-3.580007935E1,-4.005194092E1
1.466631667E-1,-8.162078857E-1,-3.583206177E1,-3.992111206E1
1.617381667E-1,-8.737182617E-1,-3.582565308E1,-3.982257080E1
1.768141667E-1,-9.140472412E-1,-3.586285400E1,-3.984027100E1
1.918901667E-1,-8.511199951E-1,-3.571023560E1,-3.987852478E1
2.069661667E-1,-9.076995850E-1,-3.576794434E1,-3.965634155E1
2.220421667E-1,-1.065078735E0,-3.583843994E1,-3.969090271E1
2.371181667E-1,-1.100189209E0,-3.596105957E1,-3.989115906E1
2.521941667E-1,-1.033401489E0,-3.594552612E1,-3.986161804E1
2.672691667E-1,-1.240936279E0,-3.584808350E1,-3.975013733E1
2.823449167E-1,-1.423965454E0,-3.587963867E1,-3.940383911E1
2.974209167E-1,-1.628356934E0,-3.574914551E1,-3.959521484E1
3.124969167E-1,-1.813949585E0,-3.575073242E1,-3.955902100E1
3.275729167E-1,-1.932632446E0,-3.577645874E1,-3.958210754E1
3.426489167E-1,-2.069992065E0,-3.580786133E1,-3.968684387E1
3.577249167E-1,-2.213378906E0,-3.581491089E1,-3.965290833E1
3.727999167E-1,-2.378173828E0,-3.599307251E1,-3.952236938E1
3.878759167E-1,-2.483917236E0,-3.601925659E1,-3.956013489E1
4.029519167E-1,-2.452117920E0,-3.593325806E1,-3.964260864E1
4.180279167E-1,-3.199676514E0,-3.584338379E1,-4.002325439E1
4.331039167E-1,-3.332168579E0,-3.580328369E1,-4.018051147E1
4.481799167E-1,-3.688705444E0,-3.567330933E1,-3.997389221E1
4.632559167E-1,-3.706741333E0,-3.531588745E1,-3.984924316E1
4.783309167E-1,-3.931533813E0,-3.532778931E1,-4.004043579E1
4.934069167E-1,-3.825698853E0,-3.518542480E1,-3.997924805E1
5.084829167E-1,-3.810531616E0,-3.516833496E1,-4.013076782E1
5.235589167E-1,-3.560028076E0,-3.509771729E1,-4.017593384E1
5.386349167E-1,-3.502838135E0,-3.531286621E1,-4.002558899E1
5.537109167E-1,-3.397842407E0,-3.526931763E1,-4.009999084E1
5.687869167E-1,-3.124832153E0,-3.542044067E1,-3.988439941E1
5.838619167E-1,-2.967895508E0,-3.542355347E1,-3.999174500E1
5.989379167E-1,-2.593795776E0,-3.539849854E1,-4.013368225E1
6.140139167E-1,-2.461303711E0,-3.526901245E1,-4.017431641E1
6.290899167E-1,-2.362823486E0,-3.527673340E1,-4.017378235E1
6.441659167E-1,-2.177017212E0,-3.541253662E1,-4.014726257E1
6.592419167E-1,-2.254592896E0,-3.542413330E1,-4.017617798E1
6.743179167E-1,-2.344970703E0,-3.552117920E1,-4.032182312E1
