"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.599227118E0,5.233482670E1,4.863705700E0,2.667114115E1,NaN,NaN,2.489999962E1,2.116007805E0
2.319622712E1,5.233483880E1,4.863747100E0,2.667118186E1,NaN,NaN,1.357100010E1,2.755173683E0
4.320722712E1,5.233483350E1,4.863736700E0,2.707116998E1,NaN,NaN,1.563899994E1,2.486450195E0
6.323322712E1,5.233484150E1,4.863751700E0,2.707118982E1,NaN,NaN,1.442399979E1,3.400481939E0
8.319922712E1,5.233484270E1,4.863756200E0,2.717119255E1,NaN,NaN,1.691699982E1,3.254605770E0
1.032272271E2,5.233482790E1,4.863710300E0,2.667114547E1,NaN,NaN,1.491800022E1,3.044459105E0
1.231802271E2,5.233482960E1,4.863728600E0,2.667115834E1,NaN,NaN,1.630200005E1,3.644080400E0
1.432802271E2,5.233483180E1,4.863738000E0,2.667116681E1,NaN,NaN,1.446100044E1,2.593147516E0
1.632482271E2,5.233483050E1,4.863707000E0,2.667114724E1,NaN,NaN,1.517300034E1,3.125632048E0
1.832642271E2,5.233483220E1,4.863722200E0,2.667115833E1,NaN,NaN,1.477700043E1,2.793478489E0
2.033012271E2,5.233483700E1,4.863709400E0,2.667115775E1,NaN,NaN,1.822900009E1,2.890189886E0
2.232912271E2,5.233483640E1,4.863744000E0,2.707117824E1,NaN,NaN,1.402900028E1,3.284810543E0
2.432602271E2,5.233483070E1,4.863727400E0,2.667115920E1,NaN,NaN,1.769000053E1,3.100593090E0
2.624222271E2,5.233484220E1,4.863762100E0,3.057119675E1,NaN,NaN,3.000000000E1,4.472988605E0
2.832702271E2,5.233483780E1,4.863734100E0,2.667117301E1,NaN,NaN,1.597000027E1,3.152908087E0
3.033182271E2,5.233483530E1,4.863742400E0,2.667117425E1,NaN,NaN,1.453699970E1,3.080271482E0
3.233332271E2,5.233483100E1,4.863718300E0,2.667115441E1,NaN,NaN,1.462300014E1,2.909837961E0
3.433142271E2,5.233484270E1,4.863759200E0,3.057119580E1,NaN,NaN,1.600799942E1,3.599970102E0
3.632632271E2,5.233483350E1,4.863737500E0,2.707117044E1,NaN,NaN,1.487800026E1,3.441376448E0
3.835032271E2,5.233483370E1,4.863738000E0,2.667116948E1,NaN,NaN,1.509300041E1,2.536383152E0
4.033452271E2,5.233483360E1,4.863736700E0,2.707117012E1,NaN,NaN,1.431200027E1,3.216903687E0
4.033462271E2,5.233483390E1,4.863738900E0,2.667117028E1,NaN,NaN,1.406499958E1,2.907890081E0
4.435302271E2,5.233482830E1,4.863715900E0,2.707115077E1,NaN,NaN,1.612500000E1,2.251366615E0
4.633592271E2,5.233483590E1,4.863714400E0,2.667115907E1,NaN,NaN,1.604599953E1,2.787034512E0
4.833572271E2,5.233483160E1,4.863711800E0,2.667115153E1,NaN,NaN,1.489200020E1,2.982610703E0
5.035472271E2,5.233483210E1,4.863719700E0,2.667115676E1,NaN,NaN,1.505399990E1,3.139886141E0
