"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.623749849E-4,-6.305337982E0,4.231101379E0,5.390739899E0
1.652137499E-2,-6.003864899E0,4.280498657E0,5.749543762E0
3.288137499E-2,-5.634732513E0,4.269272003E0,6.732250214E0
4.924037500E-2,-5.352569275E0,4.227209473E0,7.385342102E0
6.560137498E-2,-5.310357056E0,4.179309082E0,7.479047241E0
8.196037498E-2,-5.490881653E0,4.146676941E0,7.330106964E0
9.831937499E-2,-5.461842041E0,4.201013947E0,7.183412018E0
1.146793750E-1,-5.192552032E0,4.323908386E0,6.864125977E0
1.310403750E-1,-5.060526581E0,4.612059174E0,6.634952545E0
1.473993750E-1,-5.038222961E0,4.710853729E0,6.405180359E0
1.637583750E-1,-5.060227203E0,4.710853729E0,6.334227905E0
1.801173750E-1,-5.082830200E0,4.646188202E0,6.463259583E0
1.964783750E-1,-5.072351990E0,4.589007111E0,6.611002350E0
2.128383750E-1,-5.039121094E0,4.502187653E0,6.688241730E0
2.291973750E-1,-4.991669769E0,4.430187378E0,6.695726166E0
2.455563750E-1,-4.962181091E0,4.565955048E0,6.656507721E0
2.619173750E-1,-4.860392761E0,4.589306488E0,6.680906982E0
2.782763750E-1,-4.783452759E0,4.532125397E0,6.741081848E0
2.946363750E-1,-4.731660461E0,4.522395630E0,6.795119476E0
3.109953750E-1,-4.421056366E0,4.564907227E0,6.887178040E0
3.273563750E-1,-4.118834839E0,4.583169250E0,6.938670959E0
3.437153750E-1,-4.079317017E0,4.618495789E0,6.720574493E0
3.600753750E-1,-4.165388031E0,4.653672638E0,6.546636200E0
3.764346250E-1,-4.164040833E0,4.778812408E0,6.707102509E0
3.927956250E-1,-3.871249695E0,4.486919403E0,6.895111542E0
4.091546250E-1,-3.853885803E0,3.916455688E0,6.971003723E0
4.255136250E-1,-3.885919189E0,4.179458771E0,7.494764557E0
4.418736250E-1,-3.540287933E0,4.156107330E0,7.745193787E0
4.582346250E-1,-3.184028778E0,4.327051849E0,7.879165192E0
4.745936250E-1,-2.682421875E0,4.720733185E0,7.810907135E0
4.909526250E-1,-2.334994354E0,4.544848938E0,7.297325134E0
5.073116250E-1,-2.318827972E0,3.491040344E0,6.912774811E0
5.236726250E-1,-2.903362427E0,2.905158691E0,7.339687042E0
5.400326250E-1,-3.331472168E0,2.752027130E0,8.078999634E0
5.563916250E-1,-2.256108398E0,3.263962555E0,9.473948822E0
5.727506250E-1,-1.407373352E0,3.729344788E0,9.895621948E0
5.891116250E-1,-1.172960815E0,3.388353882E0,9.529183960E0
6.054706250E-1,-1.586550751E0,2.797382812E0,9.297166443E0
6.218306250E-1,-2.343526611E0,2.178419952E0,9.250313873E0
6.381896250E-1,-2.503693542E0,1.880389709E0,9.637259216E0
6.545506250E-1,-2.362537079E0,2.035167847E0,1.033495834E1
6.709096250E-1,-2.209405518E0,2.437830505E0,1.129116989E1
6.872696250E-1,-1.389261017E0,2.226619720E0,1.187435715E1
7.036286250E-1,-1.322649536E0,2.051483917E0,1.111588440E1
7.199896250E-1,-1.596579895E0,1.773961029E0,9.907297668E0
7.363486250E-1,-1.682501221E0,1.537452850E0,9.122629395E0
7.527076250E-1,-1.500479736E0,1.480271759E0,9.009464722E0
7.690676250E-1,-4.216731262E-1,1.251697083E0,9.913135529E0
7.854286250E-1,-2.412982178E-1,7.529342651E-1,9.993518372E0
8.017876250E-1,-1.088237000E-1,2.945874023E-1,1.027643005E1
8.181466250E-1,-2.580633545E-1,3.098556519E-2,1.009410919E1
8.345056250E-1,2.743794250E-1,-7.506889343E-1,9.654772797E0
8.508666250E-1,4.799020386E-1,-9.644444275E-1,9.433981934E0
8.672266250E-1,3.915856934E-1,-7.981402588E-1,1.001103195E1
8.835856250E-1,2.165995789E-1,-7.815248108E-1,1.115495316E1
8.999446250E-1,7.866142273E-1,-1.345402222E0,1.218466187E1
9.163056250E-1,1.566043396E0,1.839075623E0,9.873767395E0
9.326646250E-1,9.312135315E-1,6.990463257E-1,9.322314148E0
9.490246250E-1,2.580633545E-1,5.592370605E-1,9.769434357E0
9.653836250E-1,-3.872447205E-1,4.725672913E-1,9.928703156E0
9.817446250E-1,-1.394649811E0,8.541238403E-1,1.017194733E1
9.981036250E-1,-1.488055573E0,1.130299530E0,9.944570160E0
1.014463625E0,-7.803273010E-1,1.884730682E0,9.578281860E0
1.030822625E0,1.405577087E-1,2.875520325E0,8.425828400E0
1.047183625E0,6.267466736E-1,3.689527588E0,7.291187897E0
1.063542625E0,1.051114197E0,4.034709778E0,6.860383759E0
1.079901625E0,8.319699097E-1,4.207899628E0,7.175328827E0
1.096261625E0,1.442101135E0,4.504432983E0,6.975045319E0
1.112622625E0,2.295476532E0,4.514312439E0,7.683971100E0
1.128981625E0,2.567760315E0,4.599635010E0,8.407566376E0
1.145340625E0,2.325114899E0,4.040547638E0,9.016500092E0
1.161699625E0,1.811532898E0,3.661086731E0,9.103319550E0
1.178060625E0,1.633253632E0,3.629352722E0,8.916657715E0
1.194420625E0,2.068997498E0,3.712879028E0,8.514893188E0
1.210779625E0,2.935096436E0,3.966601410E0,8.343349915E0
1.227138625E0,2.984344025E0,3.994742889E0,8.262218628E0
1.243499625E0,1.884880371E0,3.171903992E0,8.318052521E0
1.259859625E0,1.281335449E0,2.827619934E0,8.962312775E0
1.276218625E0,2.313888245E0,2.967728577E0,9.626631317E0
1.292577625E0,3.413202209E0,2.864892426E0,1.007988876E1
1.308938625E0,4.011957092E0,2.714455261E0,1.044318329E1
1.325297625E0,4.045187988E0,2.471360779E0,1.029304550E1
1.341657625E0,3.485950928E0,2.830014954E0,9.377848663E0
1.358016625E0,2.394420776E0,3.261866913E0,8.063132629E0
1.374377625E0,2.736010437E0,2.448757782E0,7.382647705E0
1.390736625E0,3.428021393E0,1.776805115E0,8.162076874E0
1.407095625E0,2.615061951E0,1.949096832E0,8.820557556E0
1.423455625E0,2.581082611E0,1.733994141E0,8.327333221E0
1.439816625E0,2.841391296E0,1.886526947E0,7.313790894E0
1.456175625E0,2.909050598E0,1.620679779E0,6.400090942E0
1.472534625E0,3.450325012E0,9.469308472E-1,6.223907318E0
1.488893625E0,3.839216309E0,3.908372498E-1,6.431974640E0
1.505254625E0,4.026776276E0,1.639091492E-1,6.431525574E0
1.521614625E0,4.090843048E0,-1.049317932E-1,6.451733551E0
1.537973625E0,4.234095154E0,-2.366578674E-1,6.535409546E0
1.554332625E0,4.505929871E0,-3.140469360E-1,6.535858612E0
1.570693625E0,5.635031891E0,-1.369651794E-1,6.243815918E0
1.587053625E0,6.778803406E0,2.737806702E-1,5.699248352E0
1.603412625E0,7.468868408E0,4.763095093E-1,5.776038666E0
1.619771625E0,7.892188110E0,-2.109114075E-1,6.298601990E0
1.636132625E0,7.869136047E0,-9.523196411E-1,6.438710632E0
1.652491625E0,7.555238800E0,-1.324146423E0,5.858367462E0
1.668851625E0,8.468639374E0,-6.245013428E-1,5.444927216E0
1.685210625E0,8.715176697E0,6.497987366E-1,5.271437988E0
1.701571625E0,8.422684937E0,1.757495270E0,5.118007050E0
1.717930625E0,7.603588257E0,2.023043060E0,5.345982971E0
1.734289625E0,7.244035950E0,2.426753540E0,5.505551147E0
1.750649625E0,7.492070160E0,2.749332733E0,5.732778625E0
1.767010625E0,8.346044312E0,1.923350372E0,6.492598572E0
1.783369625E0,9.378896484E0,1.548829193E0,7.332801361E0
1.799728625E0,1.046922913E1,1.510808258E0,7.395670624E0
1.816087625E0,1.193722641E1,1.301244049E0,7.160809021E0
1.832448625E0,1.285002823E1,7.479945374E-1,7.254963226E0
1.848808625E0,1.207224564E1,-3.237767029E-1,7.839946747E0
1.865167625E0,1.102846619E1,-7.226971436E-1,7.815397797E0
1.881526625E0,1.061712158E1,-9.499246216E-1,6.975195007E0
1.897887625E0,1.037103333E1,-7.408094788E-1,6.000122681E0
1.914246625E0,9.410031738E0,-1.416204987E0,5.748046875E0
1.930606625E0,7.239096222E0,-2.807861023E0,7.481891327E0
1.946965625E0,5.560636597E0,-3.827690277E0,9.154363403E0
1.963326625E0,5.367987213E0,-4.282145233E0,9.901459808E0
1.979685625E0,5.936055908E0,-4.402345276E0,9.664652252E0
1.996044625E0,5.879922638E0,-5.003495178E0,8.771160278E0
2.012404625E0,6.824907532E0,-5.551655273E0,8.000413055E0
2.028765625E0,7.229965210E0,-6.118376770E0,8.599916382E0
2.045124625E0,6.692882080E0,-6.885980530E0,9.245074768E0
2.061483625E0,6.175408173E0,-7.518864441E0,8.757987671E0
2.077842625E0,6.952891388E0,-6.351442108E0,7.093299408E0
2.094203625E0,6.736441498E0,-5.573060760E0,5.720204773E0
2.110563625E0,8.130193176E0,-4.095333710E0,9.535171509E-2
2.126922625E0,5.807024231E0,-2.442470856E0,7.750881958E-1
2.143281625E0,4.102818146E0,-3.440595245E0,2.763253784E0
2.159642625E0,6.359375610E0,-2.201771393E0,5.298531647E0
2.176001625E0,8.277187500E0,-8.753796387E-1,7.308252411E0
2.192361625E0,9.582024078E0,1.735191650E0,5.127437439E0
2.208720625E0,8.493038635E0,2.366129608E0,4.637805634E0
2.225081625E0,7.346872101E0,1.989512787E0,4.376149750E0
2.241440625E0,6.618786163E0,1.562301178E0,5.022505646E0
2.257799625E0,6.822961578E0,8.274792480E-1,6.805897064E0
2.274159625E0,7.709268494E0,8.583151245E-1,7.203769684E0
2.290520625E0,8.595725098E0,1.003812561E0,6.171665955E0
2.306879625E0,8.793314209E0,9.196875000E-1,4.597988434E0
2.325756625E0,9.264683990E0,-3.070115662E-1,4.256997528E0
2.340857625E0,9.912686462E0,-1.450783081E0,5.057682495E0
2.355958625E0,1.006611740E1,-2.653382263E0,5.511538696E0
2.371059750E0,1.054751633E1,-3.646716614E0,2.062710571E0
2.386160750E0,9.166188812E0,-3.903732147E0,3.107537842E-1
2.401261750E0,8.312514038E0,-4.943320312E0,-3.017574921E0
2.416362750E0,8.451574860E0,-4.818030853E0,-3.063379669E0
2.431464750E0,8.331823883E0,-4.993316345E0,-1.443747711E0
2.446565750E0,7.794441376E0,-5.036277008E0,-1.313069458E0
2.461666750E0,5.685926056E0,-5.067112885E0,9.877958679E-1
2.476767750E0,2.637664948E0,-5.513784027E0,1.021176453E0
2.491869750E0,-7.812254333E-1,-6.116730194E0,2.273472290E0
2.506970750E0,9.607022095E-1,-7.184160461E0,4.074976044E0
2.522071750E0,2.118888748E1,-6.086942139E0,1.046848068E1
2.537172750E0,1.938573715E1,-4.406386871E0,-3.480262756E0
2.552274750E0,7.764952698E0,-6.906487885E0,-3.357518005E-1
2.567375750E0,7.454348602E0,-6.793472900E0,-7.566764832E-1
2.582476750E0,7.623646545E0,-6.815327454E0,-9.535171509E-2
2.597577750E0,7.167245636E0,-6.570586395E0,-3.562591553E-2
2.612679750E0,7.230863342E0,-6.468498688E0,1.080602875E0
2.627780750E0,7.292984161E0,-6.783892822E0,3.428769836E0
2.642881750E0,6.637048187E0,-6.845115509E0,3.540587311E0
2.657982750E0,6.774911499E0,-6.954238586E0,1.543889465E0
2.673084750E0,7.198380890E0,-7.894134064E0,9.524693298E-1
2.688185750E0,7.000941467E0,-8.553363190E0,3.836521912E-1
2.703286750E0,6.636748810E0,-8.858578491E0,1.353186035E-1
2.718387750E0,5.690117340E0,-8.859626312E0,1.594184875E-1
2.733489750E0,4.789290619E0,-8.066276093E0,6.448590088E-1
2.748590750E0,5.845943298E0,-6.667135620E0,1.104403381E0
2.763691750E0,5.469326477E0,-6.766379242E0,1.592238922E0
2.778792750E0,5.921236725E0,-6.516249390E0,1.376687164E0
2.793894750E0,6.709048462E0,-6.391408997E0,1.098415833E0
2.808995750E0,7.660619659E0,-6.331533508E0,9.286688232E-1
2.824096750E0,6.183940430E0,-7.370073853E0,6.524931335E-1
2.839197750E0,6.102958832E0,-7.762707367E0,7.966433716E-1
2.854299750E0,5.862259369E0,-8.003107452E0,8.470884705E-1
2.869400750E0,5.994883575E0,-7.811655579E0,6.500981140E-1
2.884501750E0,5.863905945E0,-8.194858704E0,6.791377258E-1
2.899602750E0,5.759722595E0,-8.581205292E0,6.944059753E-1
2.914704750E0,5.567222900E0,-8.613837433E0,5.498066711E-1
2.929805750E0,4.613705750E0,-8.806935883E0,6.182144165E-1
2.944906750E0,4.389921112E0,-8.841513977E0,9.774673462E-1
2.960007750E0,3.921994171E0,-8.919352112E0,1.107846222E0
2.975109750E0,4.224365387E0,-8.426427155E0,7.117698669E-1
2.990210750E0,3.441792755E0,-8.115673370E0,7.964936829E-1
3.005311750E0,3.935915222E0,-7.257507935E0,8.011340332E-1
3.020412750E0,7.269932098E0,-6.688840485E0,1.842668152E-1
3.035514750E0,8.045319672E0,-7.026687927E0,5.318440247E-1
3.050615750E0,6.692283325E0,-8.180787964E0,2.089654541E-1
3.065716750E0,5.768554230E0,-8.156688080E0,-1.398092651E-1
3.080817750E0,5.701793060E0,-7.222630463E0,-4.864883423E-1
3.095919750E0,5.493875427E0,-6.435417480E0,-6.683601379E-1
3.111020750E0,5.712121582E0,-6.049519958E0,-3.215313721E-1
3.126121750E0,6.058201904E0,-5.987698517E0,-4.399351501E-1
3.141222750E0,5.909411316E0,-5.620811462E0,-9.102571106E-1
3.156324750E0,5.783972168E0,-5.499862976E0,-1.355281677E0
3.171425750E0,5.602998505E0,-5.128185883E0,-1.217568054E0
3.186526750E0,4.872816925E0,-4.245022430E0,-1.052311707E0
3.201627750E0,3.862567749E0,-5.121749268E0,-1.946552124E0
3.216729750E0,6.430328064E0,-4.227808228E0,2.262395325E0
3.231830750E0,5.009482727E0,-6.583459625E0,-7.860154724E-1
3.246931750E0,3.484753418E0,-7.418273621E0,-3.258124695E0
3.262032750E0,4.621339874E0,-8.068072357E0,-1.232387238E0
3.277134750E0,4.838238831E0,-9.168733521E0,-1.643133087E0
3.292235750E0,5.116809540E0,-1.042821442E1,-1.804048462E0
3.307336750E0,5.228926392E0,-1.281964142E1,-1.601070557E0
3.322437750E0,6.186335449E0,-1.319356384E1,-1.148411865E0
3.337539750E0,5.738616486E0,-1.396820297E1,-1.135987701E0
3.352640750E0,5.107379150E0,-1.335717361E1,-1.315314789E0
3.367741750E0,3.963607635E0,-1.118219650E1,2.844085693E-2
3.382842750E0,4.134851532E0,-9.404193878E0,2.649490356E-2
3.397943750E0,4.315525818E0,-1.091155930E1,-1.309776306E0
3.413045750E0,2.105671234E0,-8.593030701E0,-3.791615295E-1
3.428146750E0,2.528990936E0,-8.530909882E0,-9.002279663E-1
3.443247750E0,2.364782410E0,-8.834927673E0,5.598358154E-2
3.458348750E0,2.768492889E0,-8.685837708E0,1.558259583E-1
3.473450750E0,3.349734192E0,-8.749605103E0,5.334906006E-1
3.488551750E0,3.606749725E0,-9.025032349E0,3.800596619E-1
3.503652750E0,3.453767853E0,-9.062005463E0,4.680766296E-1
3.518753750E0,3.857029266E0,-9.508227539E0,3.165916443E-1
3.533855750E0,3.910468140E0,-9.689350891E0,5.728587341E-1
3.548956750E0,4.656067657E0,-1.006177643E1,8.529263306E-1
3.564057750E0,5.186265106E0,-9.675878906E0,9.605525208E-1
3.579158750E0,3.970942383E0,-8.682843933E0,7.804769897E-1
3.594260750E0,4.135749664E0,-7.717052307E0,6.340814209E-1
3.609361750E0,3.462150421E0,-5.837860107E0,9.713301086E-1
3.624462750E0,3.658691711E0,-5.046904907E0,9.921368408E-1
3.639563750E0,4.182452545E0,-6.248156891E0,5.198689270E-1
3.654665750E0,4.291875000E0,-7.642207947E0,5.098397827E-1
3.669766750E0,3.642824707E0,-8.980724487E0,3.610491943E-1
3.684867750E0,3.560196533E0,-9.582473145E0,2.254312134E-1
3.699968750E0,3.680396576E0,-1.027298721E1,5.162763977E-1
3.715070750E0,3.653901672E0,-9.966125336E0,6.906637573E-1
3.730171750E0,4.051624603E0,-9.761500854E0,5.060975647E-1
3.745272750E0,4.040397949E0,-9.740544434E0,3.254232788E-1
3.760373750E0,4.344266052E0,-9.658065948E0,2.775228882E-1
3.775474750E0,4.499642944E0,-9.172475739E0,3.703298950E-1
3.790576750E0,4.279001770E0,-8.606203308E0,6.644682312E-1
3.805677750E0,4.497996368E0,-8.327183533E0,4.891827393E-1
3.820778750E0,4.636159058E0,-8.864416351E0,8.277786255E-1
3.835879750E0,4.585115204E0,-8.521030426E0,8.020321655E-1
3.850981750E0,4.118385773E0,-7.619006195E0,7.390132141E-1
3.866082750E0,4.100872192E0,-7.685917053E0,1.031355286E0
3.881183750E0,4.181105347E0,-8.817863159E0,1.019679565E0
3.896284750E0,3.978127441E0,-9.327253876E0,8.292755127E-1
3.911386750E0,3.849245453E0,-1.024319916E1,9.162446594E-1
3.926487750E0,3.746259613E0,-1.044497955E1,1.143322449E0
3.941588750E0,3.761078796E0,-9.716594238E0,1.022673340E0
3.956689750E0,3.989054718E0,-8.759035492E0,6.825805664E-1
3.971791750E0,4.580624542E0,-8.172405396E0,5.333409119E-1
3.986892750E0,4.799319763E0,-8.079748077E0,2.546205139E-1
4.001993750E0,5.156177673E0,-8.624165955E0,2.888992310E-1
4.017094750E0,5.160069580E0,-9.035061493E0,3.177891541E-1
4.032196750E0,4.797224121E0,-9.327702942E0,5.032534790E-1
