"Time (s)","X (hPa)"
-5.379680000E-1,1.015410080E3
4.937120000E-1,1.015417633E3
1.525392000E0,1.015425110E3
2.557105000E0,1.015434418E3
3.588795000E0,1.015447464E3
3.782625000E0,1.015454330E3
4.847569000E0,1.015456009E3
5.912528000E0,1.015459824E3
6.977505000E0,1.015466461E3
8.042453000E0,1.015467987E3
9.107425000E0,1.015467987E3
1.017241500E1,1.015466309E3
1.123743200E1,1.015462265E3
1.230236100E1,1.015458527E3
1.336733700E1,1.015456467E3
1.443227600E1,1.015456467E3
1.549719700E1,1.015459747E3
1.656210100E1,1.015465240E3
1.762705900E1,1.015466537E3
1.869203900E1,1.015466537E3
1.975699800E1,1.015465317E3
2.082200900E1,1.015463943E3
2.188707100E1,1.015461426E3
2.295206600E1,1.015461273E3
2.401703700E1,1.015459976E3
2.508198600E1,1.015459595E3
2.614697300E1,1.015459976E3
2.721197700E1,1.015460205E3
2.827689800E1,1.015460205E3
2.934186900E1,1.015459213E3
3.040691100E1,1.015458298E3
3.147190100E1,1.015456009E3
3.253693800E1,1.015455399E3
3.360195400E1,1.015453644E3
3.466691400E1,1.015453110E3
3.573187100E1,1.015452881E3
3.679687000E1,1.015452881E3
3.786192100E1,1.015450668E3
3.892695700E1,1.015446701E3
3.999195900E1,1.015445404E3
4.105694500E1,1.015445251E3
4.212206900E1,1.015445023E3
4.318712100E1,1.015445023E3
4.425217000E1,1.015446701E3
4.531714300E1,1.015446701E3
4.638213700E1,1.015446701E3
4.744714600E1,1.015447006E3
4.851214200E1,1.015447006E3
4.957715900E1,1.015445480E3
5.064215000E1,1.015444565E3
5.170721900E1,1.015444183E3
5.277224100E1,1.015441666E3
5.383724000E1,1.015440140E3
5.490229100E1,1.015438766E3
5.596732600E1,1.015438538E3
5.703240500E1,1.015437775E3
5.809749800E1,1.015437317E3
5.916256100E1,1.015437088E3
6.022760600E1,1.015437317E3
6.129259400E1,1.015439301E3
6.235764800E1,1.015439377E3
6.342261700E1,1.015439377E3
6.448765500E1,1.015438766E3
6.555275300E1,1.015437927E3
6.661787700E1,1.015432358E3
6.768300700E1,1.015431366E3
6.874809900E1,1.015429230E3
6.981320200E1,1.015429230E3
7.087832200E1,1.015430298E3
7.194342600E1,1.015431747E3
7.300844200E1,1.015431747E3
7.407354600E1,1.015431747E3
7.513866200E1,1.015432358E3
7.620376800E1,1.015434113E3
7.726887700E1,1.015435104E3
7.833393400E1,1.015437088E3
7.939894900E1,1.015438309E3
8.046399600E1,1.015438690E3
8.152908600E1,1.015439377E3
8.259416000E1,1.015439835E3
8.365920600E1,1.015439835E3
8.472425400E1,1.015439835E3
8.578926400E1,1.015439148E3
8.685430400E1,1.015437469E3
8.791937600E1,1.015437469E3
8.898444700E1,1.015438690E3
9.004950800E1,1.015439377E3
9.111459300E1,1.015439606E3
9.217975100E1,1.015439606E3
9.324485100E1,1.015438766E3
9.430990300E1,1.015436783E3
9.537498400E1,1.015435181E3
9.644011600E1,1.015434341E3
9.750514800E1,1.015434341E3
9.857027500E1,1.015433884E3
9.963540300E1,1.015433426E3
1.007003880E2,1.015429688E3
1.017654360E2,1.015426483E3
1.028304840E2,1.015422745E3
1.038955780E2,1.015417404E3
1.049606810E2,1.015415955E3
1.060257780E2,1.015415955E3
1.070908690E2,1.015420151E3
1.081559490E2,1.015423965E3
1.092209630E2,1.015425034E3
1.102860050E2,1.015426331E3
1.113510500E2,1.015428238E3
1.124161840E2,1.015428238E3
1.134812800E2,1.015428238E3
1.145464050E2,1.015429535E3
1.156114710E2,1.015431824E3
1.166765570E2,1.015434036E3
1.177416810E2,1.015434113E3
1.188068100E2,1.015434341E3
1.198719470E2,1.015434494E3
1.209370350E2,1.015434494E3
1.220022170E2,1.015434494E3
1.230673090E2,1.015434494E3
1.241323930E2,1.015434341E3
1.251974880E2,1.015433044E3
1.262626380E2,1.015432663E3
1.273278540E2,1.015431824E3
1.283929770E2,1.015431519E3
1.294580850E2,1.015429535E3
1.305231880E2,1.015425034E3
1.315882920E2,1.015421219E3
1.326533840E2,1.015418930E3
1.337185090E2,1.015415573E3
1.347836830E2,1.015415573E3
1.358488130E2,1.015418472E3
1.369139470E2,1.015420837E3
1.379790560E2,1.015422668E3
1.390441050E2,1.015427322E3
1.401091440E2,1.015427322E3
1.411741770E2,1.015427933E3
1.422392550E2,1.015427399E3
1.433043450E2,1.015427933E3
1.443694610E2,1.015427399E3
1.454345870E2,1.015427094E3
1.464997200E2,1.015426941E3
1.475648550E2,1.015425949E3
1.486300120E2,1.015425034E3
1.496951540E2,1.015419998E3
1.507603000E2,1.015416183E3
1.518254530E2,1.015412598E3
1.528906350E2,1.015410461E3
1.539558210E2,1.015409698E3
1.550209950E2,1.015409698E3
1.560861310E2,1.015411835E3
1.571512650E2,1.015414734E3
1.582164310E2,1.015417404E3
1.592815640E2,1.015417709E3
1.603466780E2,1.015418549E3
1.614117930E2,1.015418701E3
1.624769470E2,1.015418549E3
1.635421060E2,1.015418701E3
1.646072390E2,1.015418472E3
1.656723770E2,1.015417709E3
1.667375190E2,1.015417404E3
1.678026670E2,1.015417252E3
1.688677840E2,1.015416870E3
1.699328910E2,1.015416870E3
1.709980120E2,1.015417709E3
1.720631780E2,1.015418243E3
1.731283620E2,1.015419540E3
1.741935260E2,1.015419998E3
1.752586440E2,1.015419998E3
1.763238610E2,1.015419998E3
1.773891030E2,1.015419998E3
1.784543350E2,1.015419159E3
1.795195680E2,1.015417252E3
1.805848380E2,1.015416183E3
1.816500220E2,1.015415573E3
1.827152650E2,1.015415573E3
1.837804020E2,1.015414734E3
1.848455680E2,1.015414734E3
1.859107560E2,1.015414581E3
1.869759120E2,1.015412827E3
1.880411210E2,1.015412827E3
1.891063150E2,1.015412827E3
1.901715240E2,1.015414963E3
1.912366900E2,1.015415802E3
1.923018640E2,1.015417023E3
1.933670470E2,1.015419312E3
1.944322100E2,1.015422745E3
1.954973530E2,1.015425110E3
1.965625210E2,1.015427628E3
1.976276710E2,1.015428467E3
1.986928550E2,1.015427628E3
1.997580120E2,1.015427170E3
2.008231920E2,1.015427170E3
2.018883430E2,1.015427628E3
2.029534790E2,1.015429077E3
2.040186060E2,1.015430069E3
2.050838010E2,1.015430756E3
2.061489690E2,1.015430756E3
2.072141350E2,1.015430527E3
2.082792680E2,1.015430145E3
2.093444380E2,1.015430527E3
2.104096580E2,1.015429840E3
2.114749420E2,1.015428772E3
2.125401520E2,1.015426331E3
2.136053630E2,1.015425644E3
2.146705850E2,1.015422745E3
2.157358020E2,1.015422745E3
2.168010470E2,1.015424652E3
2.178662220E2,1.015426559E3
2.189313570E2,1.015426941E3
2.199965220E2,1.015426941E3
2.210616820E2,1.015426788E3
2.221268150E2,1.015424271E3
2.231919500E2,1.015422897E3
2.242570580E2,1.015419846E3
2.253222200E2,1.015418091E3
2.263873640E2,1.015417938E3
2.274524850E2,1.015417938E3
2.285176160E2,1.015420609E3
2.295827480E2,1.015423126E3
2.306478850E2,1.015425110E3
2.317130470E2,1.015426712E3
2.327782280E2,1.015426788E3
2.338433790E2,1.015428467E3
2.349084800E2,1.015429306E3
2.359736270E2,1.015429306E3
2.370387690E2,1.015431366E3
2.381039110E2,1.015432663E3
2.391691020E2,1.015433731E3
2.402342770E2,1.015434036E3
2.412994420E2,1.015435638E3
2.423646400E2,1.015435791E3
2.434298510E2,1.015436249E3
2.444951070E2,1.015436249E3
2.455602880E2,1.015435944E3
2.466254920E2,1.015435562E3
2.476907150E2,1.015435562E3
2.487558640E2,1.015433884E3
2.498210670E2,1.015433884E3
2.508862870E2,1.015433884E3
2.519514440E2,1.015431519E3
2.530166130E2,1.015430527E3
2.540818020E2,1.015427780E3
2.551469480E2,1.015426941E3
2.562121240E2,1.015426712E3
2.572773140E2,1.015426331E3
2.583424900E2,1.015426712E3
2.594076870E2,1.015427399E3
2.604729070E2,1.015427933E3
2.615380320E2,1.015429230E3
2.626032400E2,1.015431366E3
2.636684510E2,1.015434113E3
2.647336770E2,1.015436172E3
2.657988930E2,1.015438080E3
2.668641260E2,1.015438995E3
2.679293720E2,1.015439606E3
2.689946130E2,1.015439987E3
2.700598790E2,1.015440140E3
2.711251210E2,1.015440140E3
2.721904140E2,1.015438156E3
2.732556940E2,1.015437622E3
2.743209810E2,1.015435791E3
2.753863020E2,1.015435638E3
2.764515650E2,1.015435638E3
2.775168170E2,1.015436859E3
2.785820800E2,1.015436859E3
2.796473220E2,1.015435104E3
2.807125510E2,1.015435104E3
2.817778490E2,1.015435104E3
2.828431170E2,1.015435181E3
2.839083400E2,1.015435333E3
2.849736320E2,1.015436401E3
2.860388770E2,1.015437012E3
2.871041720E2,1.015437012E3
2.881694710E2,1.015434265E3
2.892347280E2,1.015434265E3
2.903000240E2,1.015434341E3
2.913653100E2,1.015434494E3
2.924306460E2,1.015435410E3
2.934959390E2,1.015437622E3
2.945612270E2,1.015438919E3
2.956265720E2,1.015441208E3
2.966918700E2,1.015441208E3
2.977571610E2,1.015440826E3
2.988224780E2,1.015440674E3
2.998876890E2,1.015438080E3
3.009529550E2,1.015435562E3
3.020182670E2,1.015433884E3
3.030836280E2,1.015431824E3
3.041490160E2,1.015429230E3
3.052143040E2,1.015428772E3
3.062795690E2,1.015427094E3
3.073448960E2,1.015427094E3
3.084101580E2,1.015427628E3
3.094753930E2,1.015430145E3
3.105407180E2,1.015430527E3
3.116060820E2,1.015432816E3
3.126713930E2,1.015433197E3
3.137366940E2,1.015434265E3
3.148019620E2,1.015435333E3
3.158673340E2,1.015435791E3
3.169326790E2,1.015435791E3
3.179980130E2,1.015435791E3
3.190633570E2,1.015435638E3
3.201287530E2,1.015433044E3
3.211940930E2,1.015431824E3
3.222593490E2,1.015431824E3
3.233246300E2,1.015431976E3
3.243899730E2,1.015433197E3
3.254552590E2,1.015433273E3
3.265205830E2,1.015433273E3
3.275859560E2,1.015432205E3
3.286513070E2,1.015432205E3
3.297166690E2,1.015427780E3
3.307819990E2,1.015425262E3
3.318473790E2,1.015422134E3
3.329127230E2,1.015418777E3
3.339780150E2,1.015414276E3
3.350433770E2,1.015413666E3
