"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.400437500E-2,-3.940726519E-1,-2.450443059E-1,4.854052663E-1
2.910537500E-2,-4.403724968E-1,-2.030299753E-1,4.187467992E-1
4.420637499E-2,-3.952889144E-1,-8.115014434E-2,3.212295771E-1
5.930737499E-2,-3.575189114E-1,9.731876105E-2,2.617914379E-1
7.440937500E-2,-3.427584171E-1,2.486140877E-1,3.098959923E-1
8.951037499E-2,-3.082332611E-1,3.025448918E-1,3.835555017E-1
1.046113750E-1,-2.407135963E-1,2.639596760E-1,4.233703017E-1
1.197123750E-1,-1.837056875E-1,1.229763776E-1,4.060042202E-1
1.348143750E-1,-1.443531215E-1,-3.633673489E-2,3.608798981E-1
1.499153750E-1,-1.523667127E-1,-1.549613327E-1,3.211724758E-1
1.650163750E-1,-1.964217871E-1,-2.051296830E-1,3.071429431E-1
1.801173750E-1,-2.516644299E-1,-1.914987266E-1,3.002757132E-1
1.952193750E-1,-2.837442160E-1,-1.831790507E-1,2.960747778E-1
2.103203750E-1,-2.695444524E-1,-2.242543548E-1,2.929504812E-1
2.254213750E-1,-2.180314362E-1,-3.600121737E-1,2.792429030E-1
2.405223750E-1,-1.603457332E-1,-5.322586298E-1,2.550386190E-1
2.556243750E-1,-1.043866277E-1,-6.820095778E-1,2.472034395E-1
2.707253750E-1,-4.334431514E-2,-7.926293612E-1,2.750299573E-1
2.858263750E-1,4.522010684E-3,-8.720261455E-1,3.120827973E-1
3.009273750E-1,2.560768835E-2,-9.292411804E-1,3.329484165E-1
3.160293750E-1,1.680694334E-2,-9.408807755E-1,3.038442433E-1
3.311303750E-1,-3.180517629E-2,-9.431379437E-1,2.457799762E-1
3.462313750E-1,-1.420318186E-1,-1.008963585E0,1.564642042E-1
3.613333750E-1,-2.957823277E-1,-1.062734008E0,4.564985633E-2
3.764346250E-1,-4.504875243E-1,-1.069853067E0,-5.482704937E-2
3.915356250E-1,-5.764831901E-1,-1.077618003E0,-7.936078310E-2
4.066366250E-1,-6.593428850E-1,-1.171191096E0,1.323120389E-2
4.217386250E-1,-6.257680058E-1,-1.258644104E0,1.541631818E-1
4.368396250E-1,-5.161393881E-1,-1.344346285E0,2.202345580E-1
4.519406250E-1,-4.064660966E-1,-1.534467340E0,1.855992526E-1
4.670416250E-1,-3.899520934E-1,-1.700914621E0,-4.497244209E-2
4.821436250E-1,-5.619307160E-1,-1.797325015E0,-3.512295187E-1
4.972446250E-1,-8.907607794E-1,-1.765372634E0,-4.832754433E-1
5.123456250E-1,-1.223878145E0,-1.446140051E0,-3.342943192E-1
5.274466250E-1,-1.482811451E0,-1.447285295E0,-1.682581566E-2
5.425486250E-1,-1.623804688E0,-1.563789368E0,1.747544855E-1
5.576496250E-1,-1.641101956E0,-1.482284784E0,1.572149098E-1
5.727506250E-1,-1.636874676E0,-1.007337928E0,-1.957600936E-2
5.878516250E-1,-1.652636766E0,-4.781518579E-1,-2.733861804E-1
6.029536250E-1,-1.673423886E0,-3.492617309E-1,-3.846919835E-1
6.180546250E-1,-1.687640309E0,-6.829938889E-1,-2.463341057E-1
6.331556250E-1,-1.696504593E0,-1.052004457E0,1.213770173E-2
6.482576250E-1,-1.672525764E0,-9.161059260E-1,2.857918739E-1
6.633586250E-1,-1.524942040E0,-3.144220710E-1,5.685964227E-1
6.784596250E-1,-1.295898438E0,-2.489208281E-1,6.741180420E-1
6.935606250E-1,-1.080912232E0,-4.664617777E-1,6.237574220E-1
7.086626250E-1,-9.961427450E-1,-5.022003055E-1,6.316236258E-1
7.237636250E-1,-1.042656660E0,-4.229595363E-1,7.935320139E-1
7.388646250E-1,-1.134578586E0,-4.602391720E-1,1.041609168E0
7.539656250E-1,-1.253135800E0,-7.091850042E-1,1.204057813E0
7.690676250E-1,-1.352676511E0,-1.104030848E0,1.199751496E0
7.841686250E-1,-1.451888323E0,-1.318714976E0,1.219990134E0
7.992696250E-1,-1.485655546E0,-1.211958170E0,1.421484232E0
8.143706250E-1,-1.410331368E0,-8.424472213E-1,1.862506628E0
8.294726250E-1,-1.293133974E0,-3.916280866E-1,2.276801348E0
8.445736250E-1,-1.059474707E0,-1.689185388E-3,2.525631666E0
8.596746250E-1,-4.439323246E-1,1.027681306E-1,2.580146313E0
8.747756250E-1,4.811693132E-1,2.102228552E-1,2.497582197E0
8.898776250E-1,1.355239272E0,1.066922069E0,1.631269097E0
9.049786250E-1,1.266498685E0,5.359603167E-1,-4.905400574E-1
9.200796250E-1,1.594393969E0,3.075890243E-1,-8.559638262E-1
9.351806250E-1,2.082254648E0,2.069021761E-1,-9.726546407E-1
9.502826250E-1,2.408474445E0,-3.622140288E-1,-1.207275987E0
9.653836250E-1,2.490357876E0,-1.555583954E0,-1.206194043E0
9.804846250E-1,2.649214506E0,-2.098682404E0,-9.078977704E-1
9.955866250E-1,2.808898926E0,-2.245830536E0,-5.383677483E-1
1.010687625E0,2.796633244E0,-2.290539503E0,-3.146238327E-1
1.025788625E0,2.617228746E0,-2.493836403E0,-2.753600478E-1
1.040889625E0,2.408555746E0,-2.827308178E0,-3.371800184E-1
1.055991625E0,1.876350880E0,-2.407109022E0,-4.440002441E-1
1.071092625E0,1.030282140E0,-1.217491150E0,-3.562581912E-2
1.086193625E0,4.300101995E-1,-5.161969066E-1,3.812153041E-1
1.101294625E0,-9.891467541E-2,3.354744315E-1,4.575857222E-1
1.116396625E0,-2.947842479E-1,5.771660209E-1,5.235021114E-1
1.131497625E0,-1.467423141E-1,3.200854957E-1,3.945526779E-1
1.146598625E0,2.000222951E-1,-1.611249745E-1,3.952614367E-1
1.161699625E0,5.116873980E-1,-6.653200984E-1,5.234378576E-1
1.176801625E0,6.324607134E-1,-8.184132576E-1,6.957537532E-1
1.191902625E0,5.295761228E-1,-5.611012578E-1,8.333608508E-1
1.207003625E0,3.114731908E-1,-2.249809951E-1,8.441008329E-1
1.222105625E0,1.426332742E-1,-5.212383345E-2,7.111338377E-1
1.237206625E0,4.760183394E-2,-7.464382797E-2,6.686279774E-1
1.252307625E0,7.300332934E-2,-4.463012516E-1,8.691730499E-1
1.267408625E0,1.596827060E-1,-9.054502249E-1,1.098284364E0
1.282510625E0,2.490739226E-1,-1.126772046E0,1.222422123E0
1.297611625E0,3.297992647E-1,-1.043276548E0,1.248958945E0
1.312712625E0,4.539372027E-1,-8.038422465E-1,1.250516653E0
1.327813625E0,6.241410971E-1,-6.809987426E-1,1.236723423E0
1.342915625E0,6.787620187E-1,-7.218529582E-1,1.358006716E0
1.358016625E0,5.025085211E-1,-7.776046395E-1,1.601066351E0
1.373117625E0,2.123605907E-1,-6.357476115E-1,1.657810569E0
1.388218625E0,1.459854245E-1,-3.608671427E-1,1.587363958E0
1.403320625E0,4.140036404E-1,-6.456038356E-2,1.677962184E0
1.418421625E0,8.094199896E-1,-1.289176941E-1,1.809114575E0
1.433522625E0,1.111667156E0,-6.910225749E-1,1.949515104E0
1.448623625E0,1.288074136E0,-1.371156454E0,2.133479357E0
1.463725625E0,1.406626582E0,-1.893938541E0,2.263655424E0
1.478826625E0,1.539235473E0,-2.034418106E0,2.320184469E0
1.493927625E0,1.578948736E0,-1.875941157E0,2.467548609E0
1.509028625E0,1.373038054E0,-1.585212827E0,2.655080080E0
1.524130625E0,1.141060710E0,-1.380943298E0,2.899452686E0
1.539231625E0,1.075416565E0,-1.423076153E0,3.203381062E0
1.554332625E0,1.158854246E0,-1.758210778E0,3.419165611E0
1.569434625E0,1.240679622E0,-2.128404617E0,3.473024368E0
1.584535625E0,1.121147275E0,-2.250143766E0,3.363046169E0
1.599636625E0,7.690476179E-1,-2.078894138E0,3.322831392E0
1.614737625E0,3.695737422E-1,-1.429001331E0,3.349089861E0
1.629838625E0,1.175544858E-1,-6.830219626E-1,3.398555517E0
1.644940625E0,7.458073087E-3,-2.007671595E-1,3.355956078E0
1.660041625E0,-9.855890274E-2,-7.469860837E-3,3.072461128E0
1.675142625E0,-2.597102523E-1,1.535134315E-1,2.634240389E0
1.690244625E0,-5.577783585E-1,4.072637260E-1,2.247326851E0
1.705345625E0,-1.073209643E0,8.245023489E-1,1.857765079E0
1.720446625E0,-1.637055039E0,1.306813240E0,1.570443153E0
1.735547625E0,-2.174736977E0,1.500077486E0,1.241543770E0
1.750649625E0,-2.642420530E0,1.402805686E0,9.933263063E-1
