"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.400437500E-2,-4.061277187E-1,-4.837079912E-2,-1.149856128E0
2.910537500E-2,5.390255749E-2,-9.051928371E-2,-2.080696607E-1
4.420637499E-2,1.869249594E-1,-5.860430360E-2,3.299197876E-1
5.930737499E-2,4.293803412E-1,-1.232876649E-1,7.982443392E-1
7.440937500E-2,3.845532471E-1,-1.427834514E-1,7.550041795E-1
8.951037499E-2,2.044291842E-1,-1.619520861E-1,5.758548474E-1
1.046113750E-1,2.660021192E-1,-1.159309906E-1,4.907375139E-1
1.197123750E-1,5.949939537E-1,4.186197102E-2,1.028256261E-1
1.348143750E-1,6.386071658E-1,2.204338905E-1,-2.987927198E-2
1.499153750E-1,6.308876717E-1,3.504426375E-1,-3.214775777E-1
1.650163750E-1,5.853068715E-1,3.331556368E-1,-4.076596892E-1
1.801173750E-1,5.047720009E-1,2.771767330E-1,-3.213781750E-1
1.952193750E-1,4.581275922E-1,2.383187690E-1,-2.643391711E-1
2.103203750E-1,4.673626846E-1,1.613311118E-1,-1.604014045E-1
2.254213750E-1,4.281366384E-1,7.616758525E-2,-1.873810422E-1
2.405223750E-1,4.135162604E-1,1.459503034E-1,-2.747103775E-1
2.556243750E-1,3.778722185E-1,2.134452984E-1,-3.203525734E-1
2.707253750E-1,3.971311927E-1,1.904096076E-1,-3.346846837E-1
2.858263750E-1,3.340496761E-1,1.166914210E-1,-3.759987706E-1
3.009273750E-1,3.253531122E-1,9.797886908E-2,-3.648732734E-1
3.160293750E-1,4.186600560E-1,1.010992357E-1,-3.768004239E-1
3.311303750E-1,6.455960503E-1,1.042666724E-1,-4.047612244E-1
3.462313750E-1,5.528671038E-1,1.252251399E-1,-6.102008075E-1
3.613333750E-1,3.344057715E-1,1.844980726E-1,-9.376431298E-1
3.764346250E-1,1.917758095E-1,3.222245595E-1,-9.302738839E-1
3.915356250E-1,3.278481191E-1,2.336354417E-1,-8.089570230E-1
4.066366250E-1,3.637196177E-1,-1.724759048E-1,-8.908244741E-1
4.217386250E-1,3.598727345E-2,-1.128670496E-1,-5.842730838E-1
4.368396250E-1,3.691259533E-2,4.649296582E-2,-4.158399439E-1
4.519406250E-1,2.663295633E-1,6.918513268E-2,-3.372826016E-1
4.670416250E-1,3.045890647E-1,3.250639674E-1,-3.458066726E-1
4.821436250E-1,6.889177787E-1,7.783410019E-1,-7.063670397E-1
4.972446250E-1,6.753025371E-1,6.547343713E-1,-1.190384933E0
5.123456250E-1,4.098295909E-1,-4.679564694E-1,-1.674677061E0
5.274466250E-1,-1.269825205E-1,-6.258514649E-1,-1.509137709E0
5.425486250E-1,-8.340233056E-1,-6.006517196E-1,-7.213908756E-1
5.576496250E-1,-3.904161040E-1,-1.045762825E-1,3.501195788E-2
5.727506250E-1,6.068956688E-1,8.132439092E-1,7.625605363E-1
5.878516250E-1,7.200581490E-1,9.638062039E-1,4.990002143E-1
6.029536250E-1,4.656585136E-1,4.994294000E-1,3.237310946E-2
6.180546250E-1,-1.358220488E-2,3.731049836E-1,-1.581303459E-1
6.331556250E-1,-7.853566374E-1,1.417774379E-2,4.997030497E-3
6.482576250E-1,-8.889646210E-1,1.605449536E-1,2.204692662E-1
6.633586250E-1,-9.706986094E-1,8.290158963E-1,1.096400297E0
6.784596250E-1,-6.940463716E-1,1.144526537E0,1.766128099E0
6.935606250E-1,8.831166744E-2,1.037945171E0,2.126877916E0
7.086626250E-1,-1.318781018E-2,1.075382919E0,1.534646187E0
7.237636250E-1,-4.060979710E-1,8.630436947E-1,5.458024979E-2
7.388646250E-1,-5.255072509E-1,8.458815321E-1,-4.657172781E-1
7.539656250E-1,-4.529705673E-1,9.237466371E-1,-7.285589772E-1
7.690676250E-1,5.055831559E-2,1.002792076E0,-1.607446361E-1
7.841686250E-1,4.673026045E-1,6.300550282E-1,1.519662112E-1
7.992696250E-1,3.827406102E-1,5.514438184E-1,4.025258338E-1
8.143706250E-1,7.492972970E-2,3.943785428E-1,3.810232830E-1
8.294726250E-1,1.745151030E-1,2.173696937E-1,1.798644465E-1
8.445736250E-1,7.167363457E-1,-3.881540721E-1,-3.191872233E-1
8.596746250E-1,8.061227314E-1,-2.526157229E-1,-3.203800553E-1
8.747756250E-1,6.659344936E-1,-1.079656211E-1,6.359648091E-1
8.898776250E-1,6.913114826E-1,-2.713697901E-1,1.369734825E0
9.049786250E-1,2.158982492E0,-8.262672664E-1,1.401929594E0
9.200796250E-1,2.427954558E0,1.511221802E0,1.387193441E-1
9.351806250E-1,1.600351349E0,4.481236275E-1,-4.839459729E-1
9.502826250E-1,1.200719156E0,-3.791031305E-2,-2.687906563E-1
9.653836250E-1,2.495532437E-1,-3.462531806E-1,1.635776120E-1
9.804846250E-1,-6.564680707E-1,-5.471981551E-1,3.893064487E-1
9.955866250E-1,-1.534510385E0,-5.560091051E-1,3.038488072E-1
1.010687625E0,-1.627411825E0,-6.383091040E-1,2.814463699E-1
1.025788625E0,-8.218393162E-1,7.402458072E-2,-5.487518334E-1
1.040889625E0,-7.220359696E-1,3.485089633E-1,-1.240386813E0
1.055991625E0,-5.832274555E-1,8.269968528E-1,-2.117897177E0
1.071092625E0,-5.530043672E-1,7.360393202E-1,-2.264219656E0
1.086193625E0,-8.650651503E-1,1.102658572E0,-1.920779936E0
1.101294625E0,-4.301027647E-1,1.132358919E0,-2.041132007E0
1.116396625E0,6.457185495E-1,1.171747226E0,-1.295505007E0
1.131497625E0,8.594160090E-1,1.281190146E0,-9.339085132E-1
1.146598625E0,6.169099027E-1,7.480269894E-1,-6.520931840E-2
1.161699625E0,2.129172948E-1,4.193126053E-1,5.873294234E-2
1.176801625E0,-2.988387667E-1,2.206037521E-1,-6.017778933E-2
1.191902625E0,-3.285845760E-1,2.355746707E-1,-1.468352795E-1
1.207003625E0,5.378915074E-1,3.754234046E-1,-5.695065254E-1
1.222105625E0,8.861933331E-1,5.713048366E-1,-5.791310424E-1
1.237206625E0,2.053105058E-1,1.186841521E-1,-6.514412194E-1
1.252307625E0,-6.410954484E-1,-3.975314346E-1,-5.076125783E-1
