"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
5.073419809E-1,5.233494575E1,4.863897359E0,3.588674068E0,NaN,NaN,1.046666667E2,2.610356712E1
2.005923986E0,5.233494205E1,4.863897809E0,3.566768885E0,NaN,NaN,1.046666667E2,2.042259979E1
7.045562983E0,5.233495877E1,4.863925546E0,3.556934714E0,NaN,NaN,3.800000000E1,2.014901924E1
1.305624294E1,5.233494915E1,4.863899320E0,3.544418752E0,NaN,NaN,3.800000000E1,2.051582336E1
1.306077695E1,5.233494852E1,4.863897293E0,3.557473123E0,NaN,NaN,3.800000000E1,1.693859482E1
1.344605291E1,5.233494774E1,4.863895526E0,3.553984284E0,NaN,NaN,3.800000000E1,1.521341419E1
1.524680698E1,5.233494651E1,4.863892370E0,3.551181734E0,NaN,NaN,3.800000000E1,1.582032871E1
2.125729597E1,5.233494664E1,4.863893019E0,3.532437921E0,NaN,NaN,3.800000000E1,1.929499817E1
2.185316694E1,5.233494713E1,4.863894298E0,3.500622988E0,NaN,NaN,3.800000000E1,1.678938866E1
2.364638400E1,5.233494746E1,4.863895158E0,3.479281962E0,NaN,NaN,3.800000000E1,1.659255981E1
2.965694296E1,5.233494764E1,4.863895595E0,3.529425979E0,NaN,NaN,3.800000000E1,1.951321411E1
3.029079592E1,5.233494762E1,4.863895522E0,3.534043372E0,NaN,NaN,3.800000000E1,1.694055176E1
3.196558595E1,5.233494761E1,4.863895497E0,3.537047386E0,NaN,NaN,3.800000000E1,1.655643845E1
3.797617793E1,5.233494838E1,4.863895129E0,3.592418849E0,NaN,NaN,3.800000000E1,1.950300980E1
3.848448694E1,5.233494800E1,4.863895261E0,3.607430756E0,NaN,NaN,3.800000000E1,1.682393456E1
4.018050194E1,5.233494785E1,4.863895311E0,3.617351443E0,NaN,NaN,3.800000000E1,1.651865196E1
4.619020998E1,5.233494779E1,4.863895328E0,3.626976758E0,NaN,NaN,3.800000000E1,1.949183273E1
4.658091390E1,5.233494769E1,4.863895370E0,3.631065279E0,NaN,NaN,3.800000000E1,1.671167755E1
4.839936197E1,5.233494765E1,4.863895386E0,3.633840233E0,NaN,NaN,3.800000000E1,1.657818985E1
5.440917492E1,5.233494754E1,4.863895430E0,3.622081727E0,NaN,NaN,3.800000000E1,1.950873947E1
5.488545299E1,5.233494756E1,4.863895423E0,3.627747566E0,NaN,NaN,3.800000000E1,1.679837036E1
5.656422091E1,5.233494757E1,4.863895420E0,3.631495357E0,NaN,NaN,3.800000000E1,1.648972893E1
6.257415295E1,5.233494757E1,4.863895416E0,3.635146856E0,NaN,NaN,3.800000000E1,1.948377037E1
6.309784794E1,5.233495211E1,4.863905210E0,3.615132391E0,NaN,NaN,3.800000000E1,1.682720947E1
6.477994597E1,5.233495453E1,4.863910453E0,3.601934165E0,NaN,NaN,3.800000000E1,1.650717163E1
7.079021096E1,5.233495031E1,4.863901325E0,3.574660957E0,NaN,NaN,3.800000000E1,1.948888969E1
7.138408792E1,5.233494886E1,4.863898194E0,3.566901982E0,NaN,NaN,3.800000000E1,1.689233017E1
7.306444097E1,5.233494798E1,4.863896290E0,3.561823130E0,NaN,NaN,3.800000000E1,1.653778267E1
7.907430792E1,5.233494715E1,4.863894484E0,3.556909084E0,NaN,NaN,3.800000000E1,1.949733353E1
7.957001197E1,5.233494732E1,4.863894846E0,3.554799259E0,NaN,NaN,3.800000000E1,1.680955887E1
8.128175199E1,5.233494729E1,4.863894797E0,3.553400218E0,NaN,NaN,3.800000000E1,1.652633286E1
8.838490796E1,5.233494710E1,4.863894385E0,3.524053037E0,NaN,NaN,3.800000000E1,2.005920982E1
9.094614792E1,5.233494726E1,4.863894719E0,3.510035813E0,NaN,NaN,3.800000000E1,1.864365578E1
9.695555294E1,5.233495261E1,4.863905171E0,3.527507901E0,NaN,NaN,3.800000000E1,2.009312248E1
9.759504294E1,5.233495260E1,4.863905744E0,3.540698349E0,NaN,NaN,3.800000000E1,1.725159836E1
9.928362596E1,5.233495030E1,4.863900980E0,3.548991084E0,NaN,NaN,3.800000000E1,1.672234726E1
1.052910310E2,5.233495428E1,4.863913772E0,3.546233952E0,NaN,NaN,3.800000000E1,1.954824448E1
1.056823250E2,5.233495442E1,4.863914573E0,3.548848510E0,NaN,NaN,3.800000000E1,1.674347305E1
1.075056269E2,5.233495443E1,4.863914973E0,3.550617516E0,NaN,NaN,3.800000000E1,1.659815788E1
1.135162140E2,5.233494854E1,4.863898453E0,3.529368401E0,NaN,NaN,3.800000000E1,1.951481247E1
1.139934859E2,5.233495164E1,4.863907139E0,3.498462498E0,NaN,NaN,3.800000000E1,1.680258751E1
1.156707270E2,5.233495321E1,4.863911526E0,3.478035152E0,NaN,NaN,3.800000000E1,1.649037743E1
1.216811399E2,5.233494810E1,4.863896726E0,3.487322509E0,NaN,NaN,3.800000000E1,1.948421669E1
1.220700510E2,5.233494767E1,4.863895609E0,3.491268396E0,NaN,NaN,3.800000000E1,1.670581818E1
1.237691909E2,5.233494703E1,4.863893836E0,3.514071763E0,NaN,NaN,3.800000000E1,1.646312904E1
1.302291449E2,5.233494712E1,4.863894136E0,3.483285129E0,NaN,NaN,3.800000000E1,1.971772385E1
1.307916160E2,5.233494737E1,4.863894827E0,3.507404149E0,NaN,NaN,3.800000000E1,1.698766708E1
1.324697130E2,5.233494753E1,4.863895297E0,3.523017883E0,NaN,NaN,3.800000000E1,1.658281898E1
1.384794430E2,5.233494762E1,4.863895531E0,3.559430897E0,NaN,NaN,3.800000000E1,1.951000404E1
1.388701130E2,5.233494766E1,4.863895455E0,3.582295716E0,NaN,NaN,3.800000000E1,1.672172356E1
1.406871229E2,5.233494769E1,4.863895424E0,3.597793996E0,NaN,NaN,3.800000000E1,1.658173752E1
1.466973330E2,5.233494712E1,4.863895627E0,3.618726730E0,NaN,NaN,3.800000000E1,1.950996017E1
1.467018800E2,5.233494735E1,4.863895521E0,3.625098407E0,NaN,NaN,3.800000000E1,1.635991287E1
1.470898460E2,5.233494741E1,4.863895490E0,3.618930072E0,NaN,NaN,3.800000000E1,1.485736752E1
1.487841619E2,5.233494740E1,4.863895491E0,3.613846898E0,NaN,NaN,3.800000000E1,1.552490902E1
1.547937150E2,5.233495112E1,4.863906014E0,3.595410883E0,NaN,NaN,3.800000000E1,1.921127892E1
1.553917199E2,5.233495587E1,4.863916903E0,3.562659204E0,NaN,NaN,3.800000000E1,1.674586296E1
1.614002169E2,5.233496017E1,4.863927234E0,3.554685593E0,NaN,NaN,3.800000000E1,1.955549622E1
1.614250450E2,5.233496024E1,4.863927084E0,3.543243647E0,NaN,NaN,3.800000000E1,1.640615845E1
1.674314950E2,5.233495795E1,4.863923130E0,3.518141031E0,NaN,NaN,3.800000000E1,1.945820808E1
1.679909760E2,5.233495650E1,4.863919943E0,3.510801435E0,NaN,NaN,3.800000000E1,1.684525681E1
1.696677439E2,5.233495558E1,4.863917862E0,3.505973399E0,NaN,NaN,3.800000000E1,1.651109505E1
1.756783019E2,5.233495050E1,4.863903891E0,3.511453867E0,NaN,NaN,3.800000000E1,1.949015999E1
