"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.400437500E-2,4.114519882E1,-4.112425232E1,-5.656021881E1
2.910537500E-2,4.128670883E1,-4.116493988E1,-5.642551422E1
4.420637499E-2,4.119291306E1,-4.109184265E1,-5.714160919E1
5.930737499E-2,4.102690125E1,-4.079044342E1,-5.748378754E1
7.440937500E-2,4.079174423E1,-4.065321350E1,-5.756816864E1
8.951037499E-2,4.078572083E1,-4.076353073E1,-5.760457611E1
1.046113750E-1,4.087284088E1,-4.055006409E1,-5.767943573E1
1.197123750E-1,4.096286774E1,-4.064446640E1,-5.774359894E1
1.348143750E-1,4.076397705E1,-4.068283844E1,-5.804183197E1
1.499153750E-1,4.052537155E1,-4.062152863E1,-5.815962982E1
1.650163750E-1,4.049641418E1,-4.061958694E1,-5.865091705E1
1.801173750E-1,4.037450027E1,-4.068535233E1,-5.849765778E1
1.952193750E-1,3.963507462E1,-4.074214554E1,-5.911414337E1
2.103203750E-1,3.931140900E1,-4.071446228E1,-5.919611359E1
2.254213750E-1,3.902173615E1,-4.043342590E1,-5.992638397E1
2.405223750E-1,3.849338531E1,-4.044405746E1,-6.020313263E1
2.556243750E-1,3.782339859E1,-4.044744873E1,-6.067768097E1
2.707253750E-1,3.702941895E1,-4.084079742E1,-6.110395050E1
2.858263750E-1,3.636085510E1,-4.087368011E1,-6.139226532E1
3.009273750E-1,3.480233002E1,-4.107007980E1,-6.207759857E1
3.160293750E-1,3.436626053E1,-4.131142426E1,-6.267160797E1
3.311303750E-1,3.262575531E1,-4.134777832E1,-6.349308014E1
3.462313750E-1,3.189568710E1,-4.146448135E1,-6.375457001E1
3.613333750E-1,3.013697815E1,-4.108856964E1,-6.478020477E1
3.764346250E-1,2.948569489E1,-4.096395874E1,-6.513910675E1
3.915356250E-1,2.782048416E1,-4.038434601E1,-6.616982269E1
4.066366250E-1,2.709338760E1,-4.010901642E1,-6.695978546E1
4.217386250E-1,2.553342819E1,-3.893706512E1,-6.783637238E1
4.368396250E-1,2.466453552E1,-3.857653809E1,-6.846135712E1
4.519406250E-1,2.273157883E1,-3.805986404E1,-6.931443024E1
4.670416250E-1,2.174634552E1,-3.783181763E1,-7.026583099E1
4.821436250E-1,1.948439980E1,-3.744388580E1,-7.159587860E1
4.972446250E-1,1.821224022E1,-3.689073181E1,-7.225325775E1
5.123456250E-1,1.612663269E1,-3.542572784E1,-7.346828461E1
5.274466250E-1,1.477714062E1,-3.459192657E1,-7.402895355E1
5.425486250E-1,1.266512394E1,-3.268148041E1,-7.532859039E1
5.576496250E-1,1.145584106E1,-3.152067947E1,-7.607570648E1
5.727506250E-1,8.963032722E0,-2.924111176E1,-7.752350616E1
5.878516250E-1,7.557295799E0,-2.647826767E1,-7.879821014E1
6.029536250E-1,7.165213108E0,-2.532833481E1,-7.896779633E1
6.180546250E-1,6.880284309E0,-2.264839554E1,-7.992449188E1
6.331556250E-1,6.297167778E0,-2.121081161E1,-8.037705231E1
6.482576250E-1,4.326931953E0,-1.883428574E1,-8.127544403E1
6.633586250E-1,3.484511375E0,-1.756858063E1,-8.134355927E1
6.784596250E-1,2.967295647E0,-1.533887100E1,-8.234764862E1
6.935606250E-1,2.668296814E0,-1.449956894E1,-8.227640533E1
7.086626250E-1,1.370973587E0,-1.269363403E1,-8.253818512E1
7.237636250E-1,9.210557938E-1,-1.174068069E1,-8.271604156E1
7.388646250E-1,1.170263290E-1,-1.029189682E1,-8.298233795E1
7.539656250E-1,-4.295558929E-1,-9.221019745E0,-8.305634308E1
7.690676250E-1,-1.992910385E0,-7.179431915E0,-8.326427460E1
7.841686250E-1,-2.611759186E0,-6.290397644E0,-8.348171234E1
7.992696250E-1,-5.063861847E0,-3.543617249E0,-8.332338715E1
8.143706250E-1,-6.100095749E0,-2.407421112E0,-8.330706024E1
8.294726250E-1,-7.458166122E0,-7.315063477E-2,-8.350400543E1
8.445736250E-1,-7.923545837E0,1.131515503E0,-8.353121185E1
8.596746250E-1,-8.148424149E0,2.979156494E0,-8.361064911E1
8.747756250E-1,-7.816623688E0,3.475814819E0,-8.348374176E1
8.898776250E-1,-7.374593735E0,3.010169983E0,-8.301407623E1
9.049786250E-1,-5.957977295E0,1.395988464E0,-8.352031708E1
9.200796250E-1,-5.421731949E0,2.513656616E-1,-8.365589142E1
9.351806250E-1,-4.620304108E0,-2.677021027E0,-8.379001617E1
9.502826250E-1,-4.906816483E0,-4.784851074E0,-8.336174774E1
9.653836250E-1,-5.774868011E0,-8.437068939E0,-8.288149261E1
9.804846250E-1,-7.119407654E0,-1.061535645E1,-8.268921661E1
9.955866250E-1,-1.067682266E1,-1.509533691E1,-8.178926849E1
1.010687625E0,-1.229709435E1,-1.738813019E1,-8.121544647E1
1.025788625E0,-1.584631348E1,-2.187860107E1,-7.925981903E1
1.040889625E0,-1.798262024E1,-2.388265610E1,-7.828820038E1
1.055991625E0,-2.206362915E1,-2.786415482E1,-7.620886993E1
1.071092625E0,-2.382627106E1,-2.936922836E1,-7.529199982E1
1.086193625E0,-2.591308212E1,-3.097114563E1,-7.407622528E1
1.101294625E0,-2.656041718E1,-3.102680588E1,-7.376288605E1
1.116396625E0,-2.634090042E1,-3.064512634E1,-7.413661957E1
1.131497625E0,-2.617235565E1,-3.051661301E1,-7.402977753E1
1.146598625E0,-2.593841171E1,-3.037236023E1,-7.397971344E1
1.161699625E0,-2.599141312E1,-3.031317520E1,-7.378394318E1
