"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.635037500E-2,1.332030743E-1,-1.573736668E-1,1.089233533E-1
5.616637500E-2,-3.681446910E-1,2.573568225E-1,-1.024861038E-1
8.598337500E-2,-5.002681613E-1,4.787690938E-1,-1.991367340E-1
1.158003750E-1,-4.239096940E-1,2.919930816E-1,-1.709618270E-1
1.456163750E-1,-1.802142113E-1,-8.440224826E-2,-1.467009634E-1
1.754333750E-1,-6.672462076E-2,-2.101013511E-1,-1.343605369E-1
2.052503750E-1,-1.511055231E-1,-8.523732424E-2,-1.001018956E-1
2.350663750E-1,-1.850588769E-1,5.794601515E-2,-6.963092834E-2
2.648833750E-1,-1.904510111E-1,1.166832522E-1,-2.021506056E-2
2.947003750E-1,-1.738038361E-1,1.130328402E-1,3.879382089E-2
3.245173750E-1,-1.273744404E-1,1.004779935E-1,4.219252616E-2
3.543333750E-1,-9.856636822E-2,6.638972461E-2,1.861196384E-2
3.841503750E-1,-6.959538907E-2,1.271565109E-1,8.190204389E-3
4.139673750E-1,-5.791729782E-3,1.598796099E-1,3.628710285E-2
4.437833750E-1,2.754731849E-2,1.212880164E-1,4.096894339E-2
4.736003750E-1,2.878924832E-2,5.984364077E-2,2.375813946E-2
5.034173750E-1,2.025851235E-2,2.400433645E-2,7.122218609E-2
5.332333750E-1,2.882422134E-2,1.941548847E-2,6.517799944E-2
5.630492917E-1,3.917652741E-2,4.120343551E-2,5.238113459E-3
5.928662917E-1,6.385462824E-3,3.672977537E-2,-1.539353654E-2
6.226832917E-1,-5.111055449E-3,-4.008329287E-2,-3.348291293E-2
6.524992917E-1,5.999024026E-3,-2.208147012E-2,-5.192811042E-2
6.823162917E-1,-1.675956696E-2,4.678508639E-2,-1.402812824E-2
7.121332917E-1,-5.758033134E-3,7.633815054E-3,1.119413506E-2
7.419492917E-1,1.418439019E-2,-5.159149319E-2,-2.449129336E-2
7.717662917E-1,2.982747182E-2,-2.033501305E-2,-5.816928577E-3
8.015832917E-1,2.334726229E-2,1.513214223E-2,2.030653879E-2
8.313992917E-1,5.430517718E-2,1.064604800E-2,1.255540829E-2
8.612162917E-1,7.267171890E-2,-1.978436485E-4,-2.875360660E-4
8.910332917E-1,3.471280634E-2,-4.732642695E-2,-6.737855263E-3
9.208492917E-1,8.060266264E-3,-7.899839431E-2,6.039063446E-3
9.506662917E-1,4.442882910E-2,-1.156803872E-2,2.361072600E-2
9.804832917E-1,6.318108737E-2,2.373874933E-2,3.289463744E-2
1.010300292E0,7.285089791E-2,-2.863131650E-2,2.367863245E-2
1.040116292E0,8.530825377E-2,-5.175495520E-2,-2.146368288E-2
1.069933292E0,5.337071046E-2,-6.989023089E-2,-2.799079940E-2
1.099750292E0,1.996944845E-2,-3.924994171E-2,2.910103183E-3
1.129566292E0,-2.821099479E-3,2.101630904E-3,1.429565251E-2
1.159383292E0,1.158162300E-2,-2.795857936E-2,1.066670753E-2
1.189200292E0,5.787294358E-2,-3.214332834E-2,-5.737030413E-3
1.219016292E0,4.469601065E-2,2.041608561E-3,-1.020704163E-3
1.248833292E0,-5.194678437E-3,-7.807376795E-3,7.885067025E-4
1.278650292E0,5.434643826E-4,-1.965063810E-2,3.918394446E-3
1.308467292E0,9.920964018E-3,-1.637226716E-2,2.751038410E-2
1.338283292E0,7.097925525E-3,1.547251921E-2,3.265136853E-2
1.368100292E0,-1.129135769E-2,2.608995326E-2,2.733370662E-2
1.397917292E0,-4.031484015E-3,1.300832257E-2,1.832650229E-2
1.427733292E0,-1.637436263E-2,-7.758907042E-3,2.112413757E-2
1.457550292E0,6.746028084E-4,-2.392559871E-2,3.593105823E-2
1.487367292E0,-1.074807253E-2,4.655234516E-3,4.980519414E-2
1.517183292E0,-1.560657285E-2,-1.267670002E-2,2.642409503E-2
1.547001375E0,-2.127452567E-2,6.003395468E-2,3.290051967E-2
1.576818375E0,-8.137203008E-2,4.800236970E-2,5.109775811E-2
1.606634375E0,-6.642875075E-2,-7.640615106E-2,5.926795304E-2
1.636451375E0,-2.069862559E-2,-1.624496430E-1,9.323589504E-2
1.666268375E0,1.413356047E-2,-6.105386466E-2,8.991106600E-2
1.696084375E0,-5.667775869E-2,6.807069294E-3,8.596335351E-2
1.725901375E0,-7.595817000E-2,-7.615448907E-3,8.608504385E-2
1.755718375E0,-2.311653644E-2,-6.925723702E-2,7.742141187E-2
1.785534375E0,2.732014284E-2,-1.001165509E-1,1.119996011E-1
1.815351375E0,-3.030853579E-3,-1.093652993E-1,1.398054063E-1
1.845168375E0,-6.450653076E-2,-7.560397685E-2,1.525769830E-1
1.874984375E0,-8.583503962E-2,6.490782835E-3,2.038132846E-1
1.904801375E0,-3.548497707E-2,2.810616232E-2,2.402001917E-1
1.934618375E0,-9.739889950E-2,9.640170634E-2,2.995825410E-1
1.964434375E0,-1.512144059E-1,1.573723555E-1,3.105125725E-1
1.994251375E0,-1.163011268E-1,1.959882975E-1,3.048347235E-1
2.024068375E0,-7.309793681E-2,2.649497688E-1,3.402132094E-1
2.053884375E0,-1.401597559E-1,3.218166232E-1,3.484824598E-1
2.083701375E0,-2.479091585E-1,3.779405057E-1,3.223495185E-1
2.113518375E0,-2.242867649E-1,3.263767064E-1,4.026375413E-1
2.143334375E0,-2.337140590E-1,2.685084641E-1,4.272192121E-1
2.173151375E0,-3.492456675E-1,8.986225724E-2,5.393263102E-1
2.202968375E0,-4.179236293E-1,-1.142406166E-1,5.197608471E-1
2.232784375E0,-4.020358920E-1,-1.460904926E-1,3.780797720E-1
2.262601375E0,-6.233116388E-1,3.045431674E-1,1.833335906E-1
2.292418375E0,-7.280060053E-1,3.293114603E-1,8.773769438E-2
2.322234375E0,-4.871773720E-1,2.611170411E-1,3.309729695E-1
2.352051375E0,-6.526031494E-1,-4.526287019E-1,4.142248631E-1
2.381867375E0,-6.214086413E-1,-1.104848832E-1,2.497256696E-1
2.411684375E0,-6.445747018E-1,7.635523081E-1,1.825206578E-1
2.441501375E0,-6.450234056E-1,8.640871048E-1,1.125307977E-1
2.471317375E0,-6.006793380E-1,2.005612701E-1,9.859074652E-2
2.501134375E0,-6.620777249E-1,6.565707326E-1,2.818407416E-1
2.530951375E0,-8.213523626E-1,4.694698155E-1,1.155404374E-1
2.560766542E0,-9.274611473E-1,1.615972221E-1,2.167272419E-1
2.590583542E0,-7.001574636E-1,-3.810811043E-1,1.556776166E-1
2.620399542E0,-7.350214720E-1,-2.199928761E-1,1.697247177E-1
2.650216542E0,-9.130241871E-1,2.764337659E-1,-9.005028009E-2
2.680033542E0,-8.906335235E-1,3.346933126E-1,-2.239216566E-1
2.709849542E0,-6.468057632E-1,-1.980400458E-2,-2.926563378E-3
2.739666542E0,-4.785836935E-1,-3.448564410E-1,-5.905148014E-2
2.769483542E0,-6.805371642E-1,-2.405032068E-1,-4.142914712E-1
2.799299542E0,-6.227493882E-1,-1.191391051E-2,-4.258465469E-1
2.829116542E0,-2.156108767E-1,3.184683919E-1,-4.552289471E-2
2.858932542E0,8.379121125E-2,4.844240844E-1,2.698901892E-1
2.888749542E0,9.034375101E-2,5.466718078E-1,1.668358594E-1
2.918566542E0,-2.919360399E-1,4.429080784E-1,-1.070211306E-1
2.948382542E0,-5.563574433E-1,2.912906706E-1,-3.319533169E-1
2.978199542E0,-4.543260336E-1,1.890612841E-1,-2.432024032E-1
3.008016542E0,-1.364626586E-1,-2.161810994E-1,1.619416326E-1
3.037832542E0,-3.658929095E-2,-5.087565184E-1,2.606165409E-1
3.067649542E0,-5.142350793E-1,3.621971011E-1,6.641231477E-2
3.097465542E0,-4.636422992E-1,1.606288552E-1,-7.332042605E-2
3.127282542E0,-3.497579694E-1,-7.405551076E-1,1.167928614E-2
