"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.635037500E-2,2.058933270E-1,-5.706093103E-2,-1.104502199E0
5.616637500E-2,9.150834755E-1,5.570417234E-1,-4.906287557E-1
8.598337500E-2,5.133263312E-1,3.044613031E-1,-3.385561252E-1
1.158003750E-1,1.469878918E-1,6.014036715E-2,-5.234333897E-1
1.456163750E-1,-1.069218931E-1,-1.255663249E-1,-2.576335841E-1
1.754333750E-1,-2.721745862E-1,-2.044224599E-1,8.142949462E-2
2.052503750E-1,-2.642334826E-1,-2.361067674E-1,3.081739926E-1
2.350663750E-1,-2.317377278E-1,-1.894889635E-1,3.990689600E-1
2.648833750E-1,-3.726806219E-1,-2.090423450E-1,2.410233986E-1
2.947003750E-1,-3.322454446E-1,-1.244112074E-1,2.479757380E-1
3.245173750E-1,-9.989514783E-2,-2.781725138E-2,2.641193157E-1
3.543333750E-1,-2.623324066E-2,1.028627560E-1,2.031194079E-1
3.841503750E-1,2.556760825E-2,1.087313139E-1,3.883784956E-1
4.139673750E-1,-2.830147393E-2,1.122297031E-1,2.700647646E-1
4.437833750E-1,9.613348782E-2,1.341859978E-1,-4.557436824E-2
4.736003750E-1,1.221014111E-1,9.511607230E-2,-1.357372642E-1
5.034173750E-1,8.170350976E-2,-9.393668890E-2,-1.230558228E-1
5.332333750E-1,3.789891829E-1,5.096725523E-2,5.177709460E-2
5.630492917E-1,4.940319083E-1,1.096309081E-1,1.900345087E-2
5.928662917E-1,2.937336358E-1,4.725134969E-2,-2.386248708E-1
6.226832917E-1,2.111530437E-1,6.930412352E-3,-2.545059085E-1
6.524992917E-1,7.284585513E-2,-6.979382783E-2,1.015035707E-1
6.823162917E-1,-1.524920221E-1,-2.475217018E-1,6.835395098E-3
7.121332917E-1,-1.309476636E-1,-8.881160438E-2,-5.147947133E-2
7.419492917E-1,-2.467334971E-2,7.642223150E-2,-3.842088461E-2
7.717662917E-1,-4.023571417E-2,-7.139742672E-2,2.300920290E-1
8.015832917E-1,-6.316549726E-2,-3.589488745E-2,1.185522974E-1
