"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.635037500E-2,-4.911018372E0,-2.311479950E1,-4.541741562E1
5.616637500E-2,-4.959716797E0,-2.302581787E1,-4.540596390E1
8.598337500E-2,-4.425949097E0,-2.235944748E1,-4.600925064E1
1.158003750E-1,-3.670375824E0,-2.161553574E1,-4.617181778E1
1.456163750E-1,-3.429374695E0,-2.118186188E1,-4.652038193E1
1.754333750E-1,-3.429534912E0,-2.138491440E1,-4.639012527E1
2.052503750E-1,-3.566772461E0,-2.106311035E1,-4.662438583E1
2.350663750E-1,-3.571044922E0,-2.104877090E1,-4.644826126E1
2.648833750E-1,-3.585777283E0,-2.065679932E1,-4.664529037E1
2.947003750E-1,-3.414787292E0,-2.056532669E1,-4.661800766E1
3.245173750E-1,-3.222427368E0,-2.024944687E1,-4.682791519E1
3.543333750E-1,-3.181724548E0,-2.000770950E1,-4.701186752E1
3.841503750E-1,-3.026542664E0,-1.986740494E1,-4.693249130E1
4.139673750E-1,-2.742706299E0,-1.973294067E1,-4.701631546E1
4.437833750E-1,-2.632354736E0,-1.972785187E1,-4.725287247E1
4.736003750E-1,-2.381866455E0,-1.983304596E1,-4.721815109E1
5.034173750E-1,-2.379890442E0,-1.968273926E1,-4.716798019E1
5.332333750E-1,-2.349769592E0,-1.983917618E1,-4.725265121E1
5.630492917E-1,-2.358253479E0,-1.988999176E1,-4.694268417E1
5.928662917E-1,-2.240097046E0,-1.998811340E1,-4.692024612E1
6.226832917E-1,-2.279487610E0,-1.986991882E1,-4.688276291E1
6.524992917E-1,-2.253654480E0,-2.004828644E1,-4.676511765E1
6.823162917E-1,-2.333412170E0,-2.008215714E1,-4.714359665E1
7.121332917E-1,-2.212745667E0,-2.001086807E1,-4.700059891E1
7.419492917E-1,-2.099617004E0,-2.009150314E1,-4.706418991E1
7.717662917E-1,-2.349357605E0,-2.001684952E1,-4.717525864E1
8.015832917E-1,-2.467666626E0,-2.001887894E1,-4.700484085E1
8.313992917E-1,-2.343338013E0,-2.013564301E1,-4.714130020E1
8.612162917E-1,-2.357795715E0,-2.016742706E1,-4.659164810E1
8.910332917E-1,-2.373741150E0,-2.034628677E1,-4.658127213E1
9.208492917E-1,-2.501045227E0,-2.019743729E1,-4.679698563E1
9.506662917E-1,-2.541481018E0,-2.030691528E1,-4.663174057E1
9.804832917E-1,-2.600006104E0,-2.043082428E1,-4.693114090E1
1.010300292E0,-2.576324463E0,-2.034384537E1,-4.670023727E1
1.040116292E0,-2.507019043E0,-2.062093353E1,-4.656132889E1
1.069933292E0,-2.622764587E0,-2.056400681E1,-4.647890854E1
1.099750292E0,-2.713180542E0,-2.073983383E1,-4.680350113E1
1.129566292E0,-2.849182129E0,-2.064411163E1,-4.673724747E1
1.159383292E0,-2.792755127E0,-2.061932755E1,-4.689525986E1
1.189200292E0,-2.855659485E0,-2.073643875E1,-4.686732101E1
1.219016292E0,-2.805488586E0,-2.106254578E1,-4.682258224E1
1.248833292E0,-2.693557739E0,-2.097817612E1,-4.658657455E1
1.278650292E0,-2.771255493E0,-2.097931290E1,-4.687291336E1
1.308467292E0,-2.768440247E0,-2.084311295E1,-4.697261429E1
1.338283292E0,-2.795799255E0,-2.103363037E1,-4.679827499E1
1.368100292E0,-2.702697754E0,-2.118179703E1,-4.670788193E1
1.397917292E0,-2.714546204E0,-2.101581192E1,-4.653252792E1
1.427733292E0,-2.965377808E0,-2.086050415E1,-4.677790451E1
