"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.103874998E-3,-1.147513733E0,4.414470062E0,8.562643890E0
1.711087501E-2,-1.003213806E0,4.566853180E0,8.435857544E0
3.211687501E-2,-9.648934937E-1,4.793781281E0,8.183482361E0
4.712387500E-2,-9.782157898E-1,4.938380585E0,7.794740753E0
6.212987500E-2,-1.203647003E0,5.012925568E0,7.901917877E0
7.713687500E-2,-1.467847595E0,5.083428955E0,8.302484894E0
9.714487501E-2,-1.586850128E0,5.067412262E0,8.584348755E0
1.171538750E-1,-1.594484253E0,4.947212219E0,9.173822937E0
1.371628750E-1,-8.879534912E-1,4.950056305E0,8.988807678E0
1.571708750E-1,-6.653663635E-1,4.645290070E0,9.236692200E0
1.771798750E-1,-4.962181091E-1,4.505630493E0,9.174122314E0
1.971878750E-1,-4.793032837E-1,4.427492981E0,8.818461914E0
2.171968750E-1,-5.596861267E-1,4.488416290E0,8.623716888E0
2.372058750E-1,-7.101232910E-1,4.547543335E0,8.385562134E0
2.572138750E-1,-7.084767151E-1,4.652026062E0,8.161328430E0
2.772228750E-1,-7.779322815E-1,4.731361084E0,8.252488861E0
2.972318750E-1,-8.292755127E-1,4.712799683E0,8.641529846E0
3.172398750E-1,-9.131011963E-1,4.689148865E0,8.848100281E0
3.372488750E-1,-8.021818542E-1,4.588258667E0,8.711883545E0
3.572568750E-1,-5.002597046E-1,4.511318665E0,8.498577118E0
3.772658750E-1,-4.421804810E-1,4.500840454E0,8.511150970E0
3.972748750E-1,-4.637356567E-1,4.551734619E0,8.619226227E0
4.172828750E-1,-4.043092346E-1,4.559368744E0,8.792416077E0
4.372918750E-1,-3.643423462E-1,4.606670380E0,8.842112732E0
4.572998750E-1,-4.796026611E-1,4.451592865E0,9.328301697E0
4.773088750E-1,-3.061134338E-1,4.631818085E0,8.779093781E0
4.973178750E-1,-5.918692017E-1,4.643344116E0,8.502768402E0
5.173258750E-1,-7.461982727E-1,4.836592255E0,8.533753967E0
5.373348750E-1,-7.952961731E-1,4.983287201E0,8.629854126E0
5.573432917E-1,-1.393901367E0,5.194647675E0,8.080945587E0
5.773512917E-1,-1.593586121E0,4.768184509E0,7.603588257E0
5.973602917E-1,-2.770289154E0,4.215234375E-1,8.652157745E0
6.173682917E-1,-2.524350586E0,1.742676086E0,6.945706329E0
6.373772917E-1,1.288819885E-1,2.758164368E0,5.707181854E0
6.573862917E-1,1.570683746E0,2.564616852E0,5.149741058E0
6.773942917E-1,1.526076508E0,2.923271027E0,4.945116577E0
6.974032917E-1,1.309327240E0,3.141966248E0,4.498744812E0
7.174122917E-1,3.447480927E0,4.427792358E0,4.474345551E0
7.374202917E-1,3.390449524E-1,6.025120697E0,6.126609650E0
7.574292917E-1,-2.280956726E0,4.270918579E0,6.445446625E0
7.774372917E-1,-3.461551666E0,1.273851013E-1,5.104235687E0
7.974462917E-1,-2.446811829E0,-3.230731659E0,4.990023193E0
8.174552917E-1,5.059478760E-2,-2.793490906E0,6.685547333E0
8.374632917E-1,-4.294569397E-1,-4.164190521E0,8.863218842E0
8.574722917E-1,-3.357218628E0,-6.386020203E0,1.037267990E1
8.774802917E-1,-4.347858582E0,-6.262227631E0,1.277443542E1
8.974892917E-1,-3.981869659E0,-4.809498596E0,1.201192108E1
9.174982917E-1,-2.849474487E0,-4.529281311E0,1.221235428E1
9.375062917E-1,-1.357826385E0,-3.921096039E0,1.322439972E1
9.575152917E-1,-8.623567200E-1,-3.910767517E0,1.718546265E1
9.775242917E-1,-1.977238312E0,-5.714067535E0,1.529055313E1
9.975322917E-1,-4.149521027E0,-7.824977875E0,1.400098480E1
1.017541292E0,-3.015479279E0,-8.061935120E0,1.055006104E1
1.037549292E0,-1.517843628E-1,-7.377408600E0,7.999215546E0
1.057558292E0,1.476230164E0,-4.275409241E0,6.555018768E0
1.077567292E0,-2.393971710E0,-1.434017944E-1,-3.633394318E0
1.097575292E0,-9.511820068E0,1.082997894E0,-8.389603729E0
1.117584292E0,-1.332364334E1,9.391470337E-1,-4.729265442E0
1.137593292E0,-1.335103638E1,9.126521301E-1,-2.143692169E0
1.157601292E0,-1.241787689E1,5.831872559E-1,-2.351310425E0
1.177610292E0,-1.045695465E1,8.875044250E-1,-3.235970764E0
1.197618292E0,-9.561666412E0,1.805245972E-1,-3.005899200E0
1.217627292E0,-9.928852844E0,-1.231189728E0,-1.865720215E0
1.237636292E0,-9.845027161E0,-2.588716736E0,-9.952803040E-1
1.257644292E0,-1.099972595E1,-4.661755829E0,-7.872129822E-1
1.277653292E0,-1.066157913E1,-6.751560059E0,-3.784130859E-1
1.297662292E0,-8.910819855E0,-5.071304169E0,8.424481201E-1
1.317670292E0,-7.434889069E0,-3.655548248E0,2.356699219E0
1.337679292E0,-7.810458069E0,-3.738775177E0,2.706821136E0
1.357687292E0,-8.881480865E0,-4.223167877E0,2.322270813E0
1.377696292E0,-9.848020935E0,-4.957690430E0,1.425036621E0
1.397705292E0,-8.609795837E0,-4.394262085E0,1.385668488E0
1.417713292E0,-6.706803131E0,-3.916605377E0,4.117936707E-1
1.437722292E0,-6.934329987E0,-6.273304596E0,-5.508544922E-1
1.457731292E0,-9.130562897E0,-1.112127319E1,-7.458988953E-1
1.477739292E0,-1.269824387E1,-1.681498306E1,-4.114942932E-1
1.497748292E0,-1.600576584E1,-2.149365372E1,3.258873138E0
1.517757292E0,-1.339429642E1,-1.800890030E1,8.959468689E0
1.537765292E0,-1.193004135E1,-1.272129593E1,1.256157806E1
1.557774500E0,-1.285691391E1,-1.039887543E1,1.296439041E1
1.577782500E0,-1.290316772E1,-8.071664886E0,1.112217133E1
1.597791500E0,-9.436676331E0,-3.661236420E0,6.463708649E0
1.617800500E0,-6.740333405E0,-6.818321228E-1,1.505269775E0
1.637808500E0,-4.787194977E0,9.434880066E-1,-1.513802032E0
1.657817500E0,-4.607119446E0,6.884184265E-1,-2.911146240E0
1.677825500E0,-5.369184723E0,1.486408997E-1,-2.623594208E0
1.697834500E0,-5.613476715E0,-1.031205597E0,-3.607498169E-2
1.717843500E0,-5.200485535E0,-4.965773621E0,4.057462463E0
1.737851500E0,-3.894750824E0,-6.861132202E0,6.437513123E0
1.757860500E0,-3.010988617E0,-6.568640442E0,5.667214966E0
1.777869500E0,-2.709365845E0,-5.932463379E0,4.492906952E0
1.797877500E0,-3.028202820E0,-4.734055481E0,3.568429413E0
1.817886500E0,-4.283642120E0,-3.648961945E0,3.031795349E0
1.837895500E0,-7.125332794E0,-3.191064148E0,3.190016327E0
1.857903500E0,-1.127799728E1,-4.200265503E0,2.955005035E0
1.877912500E0,-1.389650208E1,-5.062921600E0,1.149459686E0
1.897920500E0,-1.479164063E1,-6.771468658E0,7.590715027E-1
1.917929500E0,-1.392254791E1,-7.080875244E0,1.487307129E0
1.937938500E0,-1.344294525E1,-6.003266144E0,1.794468384E0
1.957946500E0,-1.415875671E1,-4.377197571E0,1.666334839E0
1.977955500E0,-1.448298248E1,-2.895428925E0,9.386979675E-1
1.997964500E0,-1.395203659E1,-1.904639282E0,-2.469863892E-1
2.017972500E0,-1.375070526E1,-1.196461945E0,-1.563049622E0
2.037981500E0,-1.326496536E1,-9.165440369E-1,-2.271226959E0
2.057989500E0,-1.270497986E1,-8.560697937E-1,-2.397414551E0
2.077998500E0,-1.142783569E1,-2.474354553E-1,-1.779349823E0
2.098007500E0,-1.010249176E1,5.281018066E-1,-1.501826935E0
2.118015500E0,-9.637259216E0,4.255650330E-1,-7.304809570E-1
2.138024500E0,-9.317224731E0,3.809577942E-1,1.046324158E0
2.158033500E0,-8.632997589E0,1.058598633E0,3.273991699E0
2.178041500E0,-8.867260437E0,1.845961304E0,4.844226379E0
2.198050500E0,-9.613159332E0,1.436412964E0,5.120402069E0
2.218059500E0,-1.040441391E1,7.225474548E-1,6.007307739E0
2.238067500E0,-1.184846100E1,-4.203259277E-1,6.536756744E0
2.258076500E0,-1.357991043E1,-6.014492798E-1,6.941215668E0
2.278084500E0,-1.616293900E1,-8.217910767E-2,8.160280609E0
2.298093500E0,-1.820918381E1,-6.140231323E-1,9.406289520E0
2.318102500E0,-1.791908707E1,-1.263223114E0,9.468560028E0
2.338110500E0,-1.548095718E1,-1.315165100E0,9.221573639E0
2.358119500E0,-1.299702255E1,-4.258644104E-1,9.707463226E0
2.378128500E0,-1.093281509E1,1.966909790E-1,1.019814285E1
2.398136500E0,-9.388326874E0,3.562591553E-2,9.976603546E0
2.418145500E0,-7.021149445E0,-1.158441010E0,8.430019684E0
2.438154500E0,-4.480183411E0,-1.907333679E0,6.227649536E0
2.458162500E0,-2.697989502E0,-2.134561157E0,3.939956818E0
2.478171500E0,-1.851649475E0,-2.262844391E0,2.037113800E0
2.498179500E0,-2.064656525E0,-2.409838715E0,6.789880371E-1
2.518188500E0,-2.729424133E0,-3.010240173E0,-2.851570129E-1
2.538197500E0,-2.982996826E0,-3.932921448E0,-1.141526184E0
2.558206000E0,-2.513423309E0,-4.169130249E0,-1.689686279E0
2.578215000E0,-2.042801971E0,-3.911665649E0,-2.077679443E0
2.598224000E0,-1.447639618E0,-3.675007782E0,-2.203567657E0
2.618232000E0,-1.182391205E0,-3.081941071E0,-1.716031494E0
2.638241000E0,-2.524649963E0,-3.231480103E0,-1.316961365E0
2.658250000E0,-5.819149017E0,-4.154311066E0,-1.169817352E0
2.678258000E0,-8.539292450E0,-5.413342896E0,-1.840572510E0
2.698267000E0,-8.144263916E0,-4.672982483E0,-1.733545074E0
2.718275000E0,-7.094496918E0,-4.550537109E0,-1.642234955E0
2.738284000E0,-7.964637451E0,-5.733676758E0,-1.238973541E0
2.758293000E0,-1.079869400E1,-7.219037933E0,-2.146536255E-1
2.778301000E0,-1.421174652E1,-9.143436127E0,8.665480042E-1
2.798310000E0,-1.587748260E1,-1.092757599E1,9.970765686E-1
2.818319000E0,-1.663655411E1,-1.238180191E1,1.054706726E0
2.838327000E0,-1.779724045E1,-1.259765305E1,1.427731018E0
2.858336000E0,-1.884655838E1,-1.277578262E1,3.673061829E0
2.878345000E0,-2.161609909E1,-1.275063492E1,4.709955597E0
2.898353000E0,-2.130803970E1,-1.106214615E1,3.311862946E0
2.918362000E0,-1.778197220E1,-7.922874298E0,1.682201843E0
2.938371000E0,-1.402493500E1,-4.176464996E0,-1.923500061E-1
2.958379000E0,-1.111693222E1,-1.976639557E0,-9.228309631E-1
2.978388000E0,-9.493707733E0,-1.247954865E0,1.242416382E-1
2.998397000E0,-9.013656006E0,-1.737287292E0,5.510041809E-1
3.018405000E0,-8.748407593E0,-2.437531128E0,5.008584595E-1
3.038414000E0,-8.575517120E0,-3.045716400E0,5.587879944E-1
3.058422000E0,-9.067693634E0,-4.454137573E0,6.735992432E-1
3.078431000E0,-9.532626801E0,-5.896089020E0,7.743397522E-1
3.098440000E0,-9.539961548E0,-7.063511353E0,1.538051605E0
3.118448000E0,-9.493258667E0,-7.595954132E0,2.208208008E0
3.138457000E0,-9.472152557E0,-7.938890991E0,3.060984650E0
3.158466000E0,-9.041498108E0,-7.713160400E0,3.646417236E0
3.178474000E0,-7.939789124E0,-7.059320068E0,3.043471069E0
3.198483000E0,-7.115752716E0,-6.097420349E0,2.284848633E0
3.218492000E0,-7.524402924E0,-5.805976410E0,1.769620056E0
3.238500000E0,-8.010442200E0,-5.501210175E0,6.879693604E-1
3.258509000E0,-7.503446503E0,-5.135820007E0,-3.478765869E-1
3.278518000E0,-5.899082794E0,-4.247716827E0,-2.585124207E-1
3.298526000E0,-4.664001160E0,-3.100352783E0,-1.801503754E0
3.318535000E0,-4.822521515E0,-3.514391785E0,-5.448968811E0
3.338544000E0,-6.104156342E0,-2.634820862E0,-5.022056580E0
3.358552000E0,-8.639434204E0,-3.804039459E0,-3.184777222E0
3.378561000E0,-9.954599304E0,-4.493805084E0,-4.272565155E0
3.398569000E0,-9.898915100E0,-4.960384827E0,-3.291505280E0
3.418578000E0,-1.007539810E1,-4.841831360E0,-1.020727386E0
3.438587000E0,-1.124611359E1,-5.004842377E0,-5.574407959E-1
3.458595000E0,-1.419348450E1,-4.949457550E0,-1.368154907E0
3.478604000E0,-1.643821655E1,-4.558021545E0,-6.715036011E-1
3.498613000E0,-1.840033630E1,-3.488345947E0,1.942959595E-1
3.518621000E0,-2.020692947E1,-3.241509247E0,1.087488556E0
3.538630000E0,-1.925236450E1,-1.712888031E0,2.340832214E0
3.558638625E0,-1.606249786E1,1.735640717E0,3.541934509E0
3.578646625E0,-1.287472687E1,4.278403015E0,4.897964630E0
3.598655625E0,-1.067160828E1,4.563560028E0,5.883664856E0
3.618664625E0,-1.083072739E1,2.356848907E0,6.350543976E0
3.638672625E0,-1.235246292E1,-8.933422852E-1,6.343807983E0
3.658681625E0,-1.352677094E1,-3.265459442E0,6.266718292E0
3.678690625E0,-1.383483032E1,-4.387825470E0,6.427633667E0
3.698698625E0,-1.412133453E1,-5.217550049E0,6.749015350E0
3.718707625E0,-1.510688507E1,-6.404282227E0,6.610852661E0
3.738716625E0,-1.495255600E1,-6.577621765E0,6.927444305E0
3.758724625E0,-1.357287506E1,-6.080655212E0,6.756499786E0
3.778733625E0,-1.186058578E1,-5.772146759E0,5.830225983E0
3.798742625E0,-9.934091949E0,-5.244943085E0,4.916226654E0
3.818750625E0,-7.885152740E0,-4.316124573E0,4.270768890E0
3.838759625E0,-6.334676971E0,-3.606001282E0,3.490591278E0
3.858768625E0,-5.391638031E0,-3.101849670E0,2.704426117E0
3.878776625E0,-4.864434357E0,-2.862048340E0,1.979783020E0
3.898785625E0,-4.530329132E0,-2.864892426E0,1.399888916E0
3.918794625E0,-4.362378387E0,-3.069965973E0,6.541397095E-1
3.938802625E0,-3.954776001E0,-3.251688080E0,1.706451416E-2
3.958811625E0,-3.397484894E0,-3.054248657E0,-3.345542908E-1
3.978820625E0,-3.018173676E0,-2.835703125E0,-6.095324707E-1
3.998828625E0,-2.915936279E0,-2.976111145E0,-9.861492920E-1
4.018837625E0,-2.987038422E0,-3.373684387E0,-1.303040314E0
4.038846625E0,-3.066523132E0,-3.755540314E0,-1.461860046E0
4.058854625E0,-3.580554199E0,-4.440066833E0,-1.522783356E0
4.078863625E0,-5.073100433E0,-5.922284546E0,-1.974094849E0
4.098872625E0,-5.879623260E0,-6.846911774E0,-3.004552002E0
4.118880625E0,-5.695805511E0,-6.941515045E0,-3.937262421E0
4.138889625E0,-7.951614532E0,-8.963809662E0,-4.432432709E0
4.158898625E0,-1.265887573E1,-1.142514130E1,-3.506907349E0
4.178906625E0,-1.670556061E1,-1.256217682E1,-1.678908691E0
4.198915625E0,-1.895687897E1,-1.340118210E1,-1.231339417E0
4.218924625E0,-2.095851654E1,-1.366403549E1,7.725434875E-1
4.238932625E0,-2.368150406E1,-1.201117264E1,3.701652374E0
4.258941625E0,-2.581022736E1,-9.032666473E0,5.415887604E0
4.278949625E0,-2.445255066E1,-4.907245331E0,3.973786469E0
4.298958625E0,-1.865106491E1,-2.770289154E0,-8.443940735E-1
4.318967625E0,-1.350805984E1,-3.044668579E0,-4.399201813E0
4.338976625E0,-8.289911041E0,-1.971699829E0,-5.940396881E0
4.358984625E0,-4.759652252E0,-1.471140747E0,-3.715423737E0
4.378993625E0,-4.157454529E0,-2.368225250E0,-1.531016235E0
4.399002625E0,-4.608466644E0,-3.395838318E0,1.646575928E-1
4.419010625E0,-5.115162964E0,-4.102369080E0,1.337618408E0
4.439019625E0,-6.215674438E0,-4.925956421E0,2.471959534E0
4.459028625E0,-7.470664673E0,-5.873635712E0,3.283422089E0
4.479036625E0,-7.281308441E0,-4.925207977E0,4.840184784E0
4.499045625E0,-7.197482758E0,-3.820505219E0,5.074297943E0
4.519054625E0,-7.860154724E0,-2.752476196E0,4.542902985E0
4.539062625E0,-7.815697174E0,-2.161056061E0,3.296295319E0
4.559071875E0,-7.308252411E0,-1.344354401E0,2.549797668E0
4.579080875E0,-7.316784668E0,-9.313632202E-1,2.242037659E0
4.599088875E0,-8.447233887E0,-8.601113892E-1,2.345622253E0
4.619097875E0,-9.524244232E0,7.409591675E-2,2.581531677E0
4.639106875E0,-1.013108231E1,8.861572266E-1,2.762056274E0
4.659114875E0,-1.010698242E1,1.284927979E0,1.656455383E0
4.679123875E0,-1.081665665E1,8.767268372E-1,-1.012344818E0
4.699132875E0,-1.212059509E1,2.969824219E-1,-2.054926758E0
4.719140875E0,-1.366643051E1,-2.248324585E-1,-9.812095642E-1
4.739149875E0,-1.631996246E1,-1.999541931E0,-3.775149536E-1
4.759158875E0,-1.804243057E1,-3.210523682E0,-1.448986816E-1
4.779166875E0,-1.704759933E1,-2.305056610E0,1.289119263E0
4.799175875E0,-1.727946716E1,-2.391726379E0,2.053579559E0
4.819184875E0,-1.834046082E1,-3.292852478E0,2.073787537E0
4.839192875E0,-1.679462540E1,-2.956352234E0,1.533111877E0
4.859201875E0,-1.843072311E1,-4.144880676E0,1.587598572E0
4.879210875E0,-2.163720520E1,-7.024741974E0,9.503736877E-1
4.899218875E0,-1.998928207E1,-7.702083435E0,-5.686674500E-1
4.919227875E0,-1.649045792E1,-6.245612183E0,-1.715283051E0
4.939236875E0,-1.527932648E1,-4.860392761E0,-1.585802307E0
4.959244875E0,-1.463761093E1,-4.744384003E0,3.614982605E-1
4.979253875E0,-1.274045609E1,-4.677024078E0,1.656455383E0
4.999262875E0,-9.966125336E0,-5.374573517E0,1.977088623E0
5.019270875E0,-6.869664459E0,-5.630241852E0,1.656305695E0
5.039279875E0,-4.830005951E0,-5.863007812E0,1.842668152E0
5.059288875E0,-3.547023926E0,-6.320007477E0,2.640958099E0
5.079296875E0,-2.516117706E0,-6.858288116E0,2.680924988E0
5.099305875E0,-5.218148804E-1,-7.145540771E0,2.899171143E0
5.119314875E0,2.337239685E0,-5.748346252E0,3.923640747E0
5.139322875E0,4.055067444E0,-4.466711426E0,4.568350067E0
5.159331875E0,3.100652161E0,-4.977898407E0,3.553610229E0
5.179340875E0,1.393751678E0,-5.890700226E0,2.054926758E0
5.199349875E0,6.828799438E-1,-6.105503540E0,7.738906860E-1
5.219357875E0,4.135899353E-1,-6.328539734E0,-8.746311951E-1
5.239366875E0,9.524693298E-1,-6.772965546E0,-2.488275604E0
5.259375875E0,9.472302246E-1,-7.513176270E0,-3.176544342E0
5.279383875E0,-4.520000610E0,-9.157357178E0,-2.972817993E-1
5.299392875E0,-1.592119171E1,-1.059751236E1,3.695066071E0
5.319401875E0,-2.296269882E1,-7.066954193E0,4.760251007E0
5.339409875E0,-2.660402664E1,-7.613018646E0,2.629731445E0
5.359418875E0,-2.947460724E1,-8.262218628E0,3.282673645E0
5.379427875E0,-2.895488800E1,-7.268285522E0,4.648283844E0
5.399435875E0,-3.038336746E1,-8.007298737E0,7.781568146E0
5.419444875E0,-2.925695984E1,-5.999823303E0,1.086365891E1
5.439453875E0,-2.916684723E1,-5.944438477E0,1.305585022E1
5.459461875E0,-2.491179565E1,-3.769161987E0,1.536464905E1
5.479470875E0,-1.863325195E1,-1.746418304E0,1.409244461E1
5.499479875E0,-1.222747284E1,8.038284302E-2,1.143127853E1
5.519487875E0,-7.926915894E0,6.370751953E-1,8.761430511E0
5.539496875E0,-6.316414948E0,4.936734009E-1,6.964866486E0
5.559505667E0,-7.081473999E0,-5.599855042E-1,6.304888916E0
5.579514667E0,-7.186555481E0,-1.306483154E0,6.255192261E0
5.599522667E0,-6.107898560E0,-1.136885834E0,6.324947205E0
5.619531667E0,-4.283492432E0,-5.304968262E-1,5.783223724E0
5.639540667E0,-2.591560822E0,-4.613406372E-1,3.859723663E0
5.659548667E0,-1.775757294E0,-1.727108459E0,8.214916992E-1
5.679557667E0,-3.646417236E-1,-3.522175598E0,-2.218386841E-1
5.699566667E0,-8.869056702E-1,-1.391206970E0,-2.498903503E0
5.719574667E0,-4.428989868E0,-1.087488556E0,-2.694247284E0
5.739583667E0,-9.126820679E0,-2.638862457E0,-5.227429504E0
5.759592667E0,-1.235515732E1,-3.254532166E0,-3.995491333E0
5.779600667E0,-1.391895538E1,-3.284320221E0,-6.328839111E-1
5.799609667E0,-1.610291382E1,-4.448898468E0,1.411414948E0
5.819618667E0,-1.742601242E1,-4.722679138E0,6.070326691E0
5.839626667E0,-1.988614655E1,-2.050286407E0,1.153755753E1
5.859635667E0,-2.174303513E1,1.579665070E0,1.311886917E1
5.879644667E0,-1.814481766E1,5.356610870E0,9.031768341E0
5.899653667E0,-1.240126144E1,6.639143829E0,1.790726166E0
5.919661667E0,-8.384664001E0,6.416407013E0,-4.762496338E0
5.939670667E0,-7.309150543E0,4.128414917E0,-7.460934906E0
5.959679667E0,-6.975943451E0,2.880160675E0,-6.524033203E0
5.979687667E0,-6.485862579E0,1.346599731E0,-4.463717651E0
5.999696667E0,-7.143145752E0,3.861968994E-2,-1.281784515E0
6.019705667E0,-7.399412842E0,-4.602928162E-1,9.815089417E-1
6.039713667E0,-8.043224030E0,-1.183439026E0,1.255439301E0
6.059722667E0,-8.366851044E0,-2.188898163E0,1.074016571E0
6.079731667E0,-8.364905090E0,-2.445764008E0,2.094444580E0
6.099739667E0,-8.896150360E0,-1.978136444E0,3.273692322E0
6.119748667E0,-1.160791122E1,-2.153721313E0,4.590953064E0
6.139757667E0,-1.385129608E1,-8.722361755E-1,5.977220306E0
6.159766667E0,-1.394290558E1,2.070644073E0,5.968688049E0
6.179774667E0,-1.247056732E1,3.479963379E0,4.370162201E0
6.199783667E0,-1.007839188E1,3.914809113E0,9.900411987E-1
6.219792667E0,-7.133116608E0,4.348607025E0,-1.260079651E0
6.239800667E0,-5.909561005E0,4.022734680E0,-1.527124329E0
6.259809667E0,-7.999664612E0,3.444038086E0,-5.987548828E-1
6.279818667E0,-1.171718399E1,2.720742188E0,7.300318909E-1
6.299826667E0,-1.377555359E1,3.045566711E0,2.518363037E0
6.319835667E0,-1.544518158E1,2.175725555E0,2.751578064E0
6.339844667E0,-1.695030167E1,6.056405640E-1,3.528312836E0
6.359852667E0,-1.670271652E1,-3.240760803E-1,4.530778198E0
6.379861667E0,-1.571656723E1,-1.859882355E0,4.859045563E0
6.399870667E0,-1.473460922E1,-3.087329865E0,4.047133942E0
6.419879667E0,-1.423839111E1,-3.478316803E0,2.978356476E0
6.439887667E0,-1.375654312E1,-2.505190430E0,1.925595703E0
6.459896667E0,-1.335657486E1,-2.169139252E0,8.890013123E-1
6.479905667E0,-1.178948364E1,-2.107916565E0,-7.369175720E-1
6.499913667E0,-8.603209534E0,-7.929011536E-1,-2.251617737E0
6.519922667E0,-5.493426361E0,3.824546814E-1,-3.172353058E0
6.539931667E0,-3.427871704E0,6.494993591E-1,-3.494632874E0
6.559939875E0,-2.224524078E0,4.085005188E-1,-2.852019196E0
6.579948875E0,-1.741328888E0,2.269281006E-1,-1.635498962E0
6.599957875E0,-1.777852936E0,-3.802093506E-1,-5.635780334E-1
6.619965875E0,-2.081870728E0,-1.245709534E0,8.517288208E-2
6.639974875E0,-2.061213684E0,-2.174228668E0,3.070115662E-1
6.659983875E0,-1.832938385E0,-2.436034241E0,1.182989960E0
6.679992875E0,-1.607058105E0,-2.748584290E0,1.748813324E0
6.700000875E0,-2.056723022E0,-3.541186066E0,2.094743958E0
6.720009875E0,-3.301983490E0,-4.705165558E0,2.042801971E0
6.740018875E0,-5.569917297E0,-5.620961151E0,2.068847809E0
6.760026875E0,-8.546327820E0,-6.781348114E0,2.228865051E0
6.780035875E0,-1.241413467E1,-7.758665771E0,1.622775421E0
6.800044875E0,-1.483370316E1,-8.611741791E0,4.574487305E-1
6.820052875E0,-1.622655670E1,-7.986342316E0,-1.758842468E-1
6.840061875E0,-1.815020645E1,-8.864266663E0,8.425978088E-1
6.860070875E0,-1.966011658E1,-9.788295135E0,1.720971222E0
6.880079875E0,-2.081421661E1,-8.817414093E0,4.083059235E0
6.900087875E0,-2.169049438E1,-7.389982452E0,5.666616211E0
