"Time (s)","X (hPa)"
-5.139021250E-1,1.015629349E3
5.182408750E-1,1.015637512E3
1.550397875E0,1.015645752E3
2.582547875E0,1.015651703E3
3.614718875E0,1.015655746E3
3.807785875E0,1.015660858E3
4.873186875E0,1.015662079E3
5.938653875E0,1.015662537E3
7.004093875E0,1.015663528E3
8.069568875E0,1.015662537E3
9.135020875E0,1.015660858E3
1.020047787E1,1.015660782E3
1.126590587E1,1.015660782E3
1.233130687E1,1.015662308E3
1.339674587E1,1.015662689E3
1.446217587E1,1.015662384E3
1.552759387E1,1.015662384E3
1.659301488E1,1.015660400E3
1.765843787E1,1.015659409E3
1.872389987E1,1.015658340E3
1.978935087E1,1.015658340E3
2.085480188E1,1.015659409E3
2.192021987E1,1.015659943E3
2.298563288E1,1.015660553E3
2.405102088E1,1.015660629E3
2.511642188E1,1.015660629E3
2.618183588E1,1.015660248E3
2.724729988E1,1.015658951E3
2.831276588E1,1.015657425E3
3.099072167E1,1.015614090E3
3.202281967E1,1.015614700E3
3.305495967E1,1.015615311E3
3.408707467E1,1.015619278E3
3.511917767E1,1.015626678E3
3.531236067E1,1.015632019E3
3.637780567E1,1.015635529E3
3.744326367E1,1.015637207E3
3.850869967E1,1.015640869E3
3.957418867E1,1.015642090E3
4.063964567E1,1.015642090E3
4.170508167E1,1.015641937E3
4.277054667E1,1.015641479E3
4.383600467E1,1.015639343E3
4.490148267E1,1.015637817E3
4.596695567E1,1.015636139E3
4.703244367E1,1.015634460E3
4.809796167E1,1.015631943E3
4.916347267E1,1.015631943E3
5.022894667E1,1.015631943E3
5.129439767E1,1.015631332E3
5.235988567E1,1.015630875E3
5.342539467E1,1.015631332E3
5.449088567E1,1.015633621E3
5.555637067E1,1.015634689E3
5.662185067E1,1.015637283E3
5.768734867E1,1.015638657E3
5.875284467E1,1.015641022E3
5.981833367E1,1.015641022E3
6.088380967E1,1.015641861E3
6.194928767E1,1.015641861E3
6.301475867E1,1.015642242E3
6.408024567E1,1.015642242E3
6.514569367E1,1.015642242E3
6.621115367E1,1.015643311E3
6.727664367E1,1.015644608E3
6.834211067E1,1.015645065E3
6.940759667E1,1.015646210E3
7.047309067E1,1.015646210E3
7.153855667E1,1.015646210E3
7.260401467E1,1.015644455E3
7.366945467E1,1.015642853E3
7.473491567E1,1.015642853E3
7.580040767E1,1.015642548E3
7.686588267E1,1.015641937E3
7.793135767E1,1.015641098E3
7.899683467E1,1.015639343E3
8.006229267E1,1.015634918E3
8.112775467E1,1.015631409E3
8.219318767E1,1.015628891E3
8.325863467E1,1.015623550E3
8.432408367E1,1.015622787E3
8.538957567E1,1.015622787E3
8.645502267E1,1.015625305E3
8.752049167E1,1.015627289E3
8.858599267E1,1.015631332E3
8.965150067E1,1.015634689E3
9.071698267E1,1.015637894E3
9.178247867E1,1.015640259E3
9.284794967E1,1.015640564E3
9.391342767E1,1.015640793E3
9.497890467E1,1.015641403E3
9.604433567E1,1.015641708E3
9.710976967E1,1.015642776E3
9.817523767E1,1.015643539E3
9.924066567E1,1.015644455E3
1.003061027E2,1.015645065E3
1.013715357E2,1.015645065E3
1.024369577E2,1.015644608E3
1.035024057E2,1.015643768E3
1.045678317E2,1.015640640E3
1.056332567E2,1.015637054E3
1.066986797E2,1.015635986E3
1.077641527E2,1.015633926E3
1.088296397E2,1.015630264E3
1.098951267E2,1.015628433E3
1.109606367E2,1.015622330E3
1.120261187E2,1.015618896E3
1.130916307E2,1.015616913E3
1.141571027E2,1.015616913E3
1.152225897E2,1.015618057E3
1.162880627E2,1.015624847E3
1.173535177E2,1.015627594E3
1.184190027E2,1.015630264E3
1.194844807E2,1.015631409E3
1.205499297E2,1.015631409E3
1.216154497E2,1.015632248E3
1.226809387E2,1.015631332E3
1.237464057E2,1.015632248E3
1.248118967E2,1.015631790E3
1.258773947E2,1.015632248E3
1.269428897E2,1.015631790E3
1.280084127E2,1.015629425E3
1.290739057E2,1.015626984E3
1.301393627E2,1.015621643E3
1.312048457E2,1.015618668E3
1.322703437E2,1.015615616E3
1.333358767E2,1.015614319E3
1.344013677E2,1.015614090E3
1.354668317E2,1.015614090E3
1.365323427E2,1.015614243E3
1.375978177E2,1.015615997E3
1.386632997E2,1.015616608E3
1.397287347E2,1.015618515E3
1.407941707E2,1.015620041E3
1.418596027E2,1.015621262E3
1.429250697E2,1.015623169E3
1.439905437E2,1.015623779E3
1.450560267E2,1.015623779E3
1.461215427E2,1.015622787E3
1.471870307E2,1.015622559E3
1.482525777E2,1.015620422E3
1.493181067E2,1.015618896E3
1.503836417E2,1.015618896E3
1.514491587E2,1.015618896E3
1.525147137E2,1.015617294E3
1.535802567E2,1.015616226E3
1.546458037E2,1.015614929E3
1.557113657E2,1.015614548E3
1.567768847E2,1.015614548E3
1.578424497E2,1.015615768E3
1.589079427E2,1.015616913E3
1.599734457E2,1.015618744E3
1.610389587E2,1.015618744E3
1.621044817E2,1.015618286E3
1.631699887E2,1.015616608E3
1.642355137E2,1.015614090E3
1.653010407E2,1.015613556E3
1.663665447E2,1.015613403E3
1.674320287E2,1.015613403E3
1.684974957E2,1.015613861E3
1.695629447E2,1.015614929E3
1.706284117E2,1.015616608E3
1.716939067E2,1.015617218E3
1.727593507E2,1.015619583E3
1.738248357E2,1.015621948E3
1.748903077E2,1.015625687E3
1.759557897E2,1.015626984E3
1.770212487E2,1.015629044E3
1.780867147E2,1.015629730E3
1.791521907E2,1.015630951E3
1.802176037E2,1.015632019E3
1.812830627E2,1.015632248E3
1.823484997E2,1.015632858E3
1.834139677E2,1.015633469E3
1.844794557E2,1.015633926E3
1.855449487E2,1.015634537E3
1.866104177E2,1.015635529E3
1.876759057E2,1.015636978E3
1.887413627E2,1.015640030E3
1.898068607E2,1.015640030E3
1.908723497E2,1.015639114E3
1.919378457E2,1.015638123E3
1.930033497E2,1.015636673E3
1.940688357E2,1.015626755E3
1.951343337E2,1.015614548E3
1.961998267E2,1.015609665E3
1.972653267E2,1.015609665E3
1.983308897E2,1.015610733E3
1.993963967E2,1.015617828E3
2.004618737E2,1.015627289E3
2.015273507E2,1.015633316E3
2.025928337E2,1.015633316E3
2.036582987E2,1.015630493E3
2.047238267E2,1.015628662E3
2.057893927E2,1.015626907E3
2.068549387E2,1.015626755E3
2.079204687E2,1.015626755E3
2.089859647E2,1.015629044E3
2.100514357E2,1.015630569E3
2.111169827E2,1.015633316E3
2.121824837E2,1.015633926E3
2.132479687E2,1.015634079E3
2.143134917E2,1.015635376E3
2.153789947E2,1.015635529E3
2.164444787E2,1.015636444E3
2.175099597E2,1.015637054E3
2.185754507E2,1.015638885E3
2.196409727E2,1.015639725E3
2.207064657E2,1.015640640E3
2.217719227E2,1.015641098E3
2.228373997E2,1.015642242E3
2.239028737E2,1.015642319E3
2.249683687E2,1.015642319E3
2.260339097E2,1.015642090E3
2.270993957E2,1.015641937E3
2.281648267E2,1.015641403E3
2.292302897E2,1.015640259E3
2.302957847E2,1.015639954E3
2.313612687E2,1.015638046E3
2.324267497E2,1.015636444E3
2.334922387E2,1.015634079E3
2.345577247E2,1.015632858E3
2.356232057E2,1.015632553E3
2.366887167E2,1.015632553E3
2.377542077E2,1.015633011E3
2.388197217E2,1.015633011E3
2.398852227E2,1.015632019E3
2.409507007E2,1.015632019E3
2.420161537E2,1.015633850E3
2.430816007E2,1.015635147E3
2.441470227E2,1.015637817E3
2.452124697E2,1.015640564E3
2.462779067E2,1.015643768E3
2.473433337E2,1.015644226E3
2.484087527E2,1.015644989E3
2.494742157E2,1.015645218E3
2.505397147E2,1.015645218E3
2.516051467E2,1.015644836E3
2.526706077E2,1.015644455E3
2.537360797E2,1.015644150E3
2.548015737E2,1.015643539E3
2.558670297E2,1.015642548E3
2.569324697E2,1.015641632E3
2.579979177E2,1.015640640E3
2.590634237E2,1.015640182E3
2.601289167E2,1.015640182E3
