"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.836187500E-2,2.083601058E-2,-5.573962256E-2,1.419665366E-1
3.336787500E-2,-2.230498940E-2,3.317089379E-2,7.434799522E-2
4.837487500E-2,-1.112207472E-1,5.101780221E-2,2.774667181E-2
6.338087500E-2,-1.733311266E-1,1.014724653E-2,3.380507231E-2
7.838787501E-2,-1.986642778E-1,-4.742475599E-2,7.600440085E-2
9.339387501E-2,-2.182390839E-1,-1.113853976E-1,1.354517788E-1
1.084008750E-1,-2.048926651E-1,-1.689914316E-1,2.064023763E-1
1.234068750E-1,-1.960561723E-1,-1.407317221E-1,2.469523549E-1
1.384138750E-1,-1.790971011E-1,-1.443804651E-1,2.325613946E-1
1.534198750E-1,-1.230127513E-1,-1.254895926E-1,2.123137563E-1
1.684258750E-1,-1.895559207E-2,-1.061270759E-1,1.751916856E-1
1.834328750E-1,6.115528196E-2,-8.981627971E-2,1.397057027E-1
1.984388750E-1,9.234760702E-2,-9.268111736E-2,1.136421412E-1
2.134458750E-1,8.262026310E-2,-1.068050191E-1,9.570829570E-2
2.284518750E-1,4.342972115E-2,-1.623657495E-1,8.269981295E-2
2.434588750E-1,-2.284975164E-2,-2.406811565E-1,6.771958619E-2
2.584648750E-1,-1.071353555E-1,-2.959924340E-1,5.313032493E-2
2.734718750E-1,-1.724109799E-1,-2.896465659E-1,5.268936604E-2
2.884778750E-1,-1.874581128E-1,-2.038352638E-1,6.784009188E-2
3.034848750E-1,-1.549835950E-1,-9.910050780E-2,1.118313745E-1
3.184908750E-1,-1.093402430E-1,-3.486788645E-2,1.572122723E-1
3.334978750E-1,-8.820030093E-2,-4.585654289E-2,1.703456044E-1
3.485038750E-1,-9.711469710E-2,-7.817054540E-2,1.547706276E-1
3.635108750E-1,-1.160481200E-1,-1.098543480E-1,1.280913949E-1
3.785168750E-1,-1.422191560E-1,-1.176227853E-1,1.238270923E-1
3.935228750E-1,-1.577326506E-1,-1.110130921E-1,1.331544369E-1
4.085298750E-1,-1.510031074E-1,-6.791755557E-2,1.439418495E-1
4.235358750E-1,-1.177253947E-1,-1.064102910E-2,1.506978273E-1
4.385428750E-1,-6.448075175E-2,3.836673498E-2,1.537930518E-1
4.535488750E-1,6.791033596E-2,4.608740285E-2,1.569847614E-1
4.685558750E-1,1.233789250E-1,4.617875069E-2,1.318429261E-1
4.835618750E-1,1.226065308E-1,-2.108346671E-2,1.100418270E-1
4.985688750E-1,8.493918926E-2,-1.220989525E-1,1.259172261E-1
5.135748750E-1,4.478763044E-2,-1.881904453E-1,1.796853542E-1
5.285818750E-1,5.197150633E-2,-2.145173848E-1,2.950066328E-1
5.435872917E-1,4.640454799E-2,-3.016000092E-1,4.876784980E-1
5.585942917E-1,-3.839622065E-2,-5.396244526E-1,8.257020712E-1
5.736002917E-1,-1.452987641E-1,-9.113324881E-1,1.261656165E0
5.886072917E-1,-1.116952673E-1,-1.193918586E0,1.684377909E0
6.036132917E-1,-2.803022861E-1,-8.621441722E-1,1.959776878E0
6.186192917E-1,-5.426279902E-1,-8.962272406E-1,2.209259510E0
6.336262917E-1,-9.317094088E-1,-6.350665689E-1,2.324357033E0
6.486322917E-1,-1.201748848E0,-4.180993438E-1,2.323319435E0
6.636392917E-1,-1.345970511E0,-2.282211781E-1,2.221595526E0
6.786452917E-1,-1.502836466E0,2.305772752E-1,2.091816187E0
6.936522917E-1,-1.705458403E0,7.098140121E-1,2.030299664E0
7.086582917E-1,-1.962058783E0,1.223626614E0,1.925863981E0
7.236652917E-1,-2.380310297E0,1.389333248E0,1.942131639E0
7.386712917E-1,-2.768905878E0,1.694136977E0,2.019898415E0
7.536782917E-1,-3.121178150E0,1.861256242E0,2.021687984E0
7.686842917E-1,-3.638919830E0,1.372204542E0,2.208544731E0
7.836912917E-1,-4.267150402E0,8.848575950E-1,2.614420652E0
7.986972917E-1,-4.899495602E0,1.415724754E0,2.989667177E0
8.137042917E-1,-5.328403473E0,2.689784288E0,2.856421232E0
8.287102917E-1,-5.303556442E0,3.945102930E0,2.203355312E0
8.437162917E-1,-4.909996033E0,4.894088268E0,1.612319112E0
8.587232917E-1,-4.249709606E0,5.376378536E0,1.386249900E0
8.737292917E-1,-3.336008549E0,4.763868332E0,1.359827042E0
8.887362917E-1,-2.244450569E0,3.425954103E0,1.302972317E0
9.037422917E-1,-1.281680107E0,2.125576735E0,1.287146926E0
9.187492917E-1,-3.399691284E-1,1.458528399E0,1.268050551E0
9.337552917E-1,8.510115743E-1,1.623483658E0,1.184922099E0
9.487622917E-1,2.623261452E0,2.955314636E0,1.085789204E0
9.637682917E-1,4.672278404E0,4.913410187E0,1.073437810E0
9.787752917E-1,6.720717430E0,6.160016060E0,1.194909930E0
9.937812917E-1,8.670065880E0,6.936326504E0,1.613363862E0
1.008788292E0,1.084143639E1,6.617905617E0,2.127786398E0
1.023794292E0,1.301800251E1,6.325470924E0,2.207864285E0
1.038800292E0,1.465036583E1,6.122993946E0,1.462948918E0
1.053807292E0,1.463256264E1,6.932780743E0,-1.664152443E-1
1.068813292E0,1.273359299E1,6.116151333E0,-2.374031305E0
1.083820292E0,1.032244110E1,3.475543499E0,-3.728275299E0
1.098826292E0,7.969565868E0,1.191866621E-1,-4.080318928E0
1.113833292E0,6.123540878E0,-1.471927047E0,-3.904954910E0
1.128839292E0,4.933518410E0,-1.756129503E0,-3.626562357E0
1.143846292E0,4.231454849E0,-1.423451543E0,-3.425080538E0
1.158852292E0,3.506777525E0,-8.293303847E-1,-3.097568512E0
1.173859292E0,2.529851437E0,-2.590465844E-1,-2.761490345E0
1.188865292E0,1.424106717E0,-1.075607352E-2,-2.542163134E0
1.203872292E0,4.292056859E-1,2.301733568E-2,-2.348271847E0
1.218878292E0,-4.110906422E-1,-7.875313610E-2,-2.145809889E0
1.233885292E0,-1.103107333E0,-2.804772258E-1,-1.973173261E0
1.248891292E0,-1.636162519E0,-6.354544759E-1,-1.900712967E0
1.263898292E0,-2.008037090E0,-1.727283359E0,-1.967296004E0
1.278904292E0,-2.164472818E0,-3.034295321E0,-2.105926991E0
1.293910292E0,-2.227662802E0,-3.757061720E0,-2.315773964E0
1.308917292E0,-2.251928091E0,-3.653102875E0,-2.544767618E0
1.323923292E0,-2.097778320E0,-3.139202118E0,-2.754452467E0
1.338930292E0,-1.806419373E0,-2.497035742E0,-2.832233429E0
1.353936292E0,-1.404569983E0,-1.912349582E0,-2.666399717E0
1.368943292E0,-9.913524985E-1,-1.698207021E0,-2.141556740E0
1.383949292E0,-6.678184271E-1,-1.553794861E0,-1.363646030E0
1.398956292E0,-4.174405336E-1,-1.505843759E0,-5.984412432E-1
1.413962292E0,-3.862205148E-1,-1.517233133E0,7.590135187E-2
1.428969292E0,-7.085500956E-1,-1.411366343E0,7.902745605E-1
1.443975292E0,-1.525309563E0,-1.180485487E0,1.364569068E0
1.458982292E0,-2.832070351E0,-8.122996688E-1,1.428292274E0
1.473988292E0,-4.598287582E0,-5.885419846E-1,7.492374778E-1
1.488995292E0,-5.988021851E0,-6.718347669E-1,-6.148248315E-1
1.504001292E0,-6.263516426E0,-1.080388427E0,-2.363367796E0
1.519008292E0,-5.530824661E0,-5.970684886E-1,-3.763228655E0
1.534014292E0,-4.078467846E0,3.676048815E-1,-4.467467308E0
1.549020500E0,-2.162723303E0,8.927102089E-1,-4.501096725E0
1.564027500E0,6.238226220E-2,6.166226268E-1,-4.019000530E0
1.579033500E0,1.965274334E0,1.682753442E-3,-3.233011961E0
1.594040500E0,3.058381796E0,-6.921434999E-1,-2.439534664E0
1.609046500E0,3.340747595E0,-1.530858159E0,-1.646547318E0
1.624053500E0,2.777948856E0,-1.990276933E0,-8.718675971E-1
1.639059500E0,1.590845704E0,-2.023548365E0,-2.671734095E-1
1.654066500E0,1.427784096E-2,-1.879416466E0,2.322902828E-1
1.669072500E0,-1.697522759E0,-1.830711246E0,8.391650319E-1
1.684079500E0,-3.258028269E0,-1.939894438E0,1.606399179E0
1.699085500E0,-4.384785652E0,-2.128910303E0,2.449588299E0
1.714092500E0,-4.949860096E0,-2.185286045E0,3.255612135E0
1.729098500E0,-4.909336567E0,-2.479873657E0,3.802826405E0
1.744105500E0,-4.528160572E0,-3.074593544E0,3.880755663E0
1.759111500E0,-4.194531441E0,-3.739764214E0,3.581526518E0
1.774117500E0,-3.883639097E0,-4.281667709E0,3.106741428E0
1.789124500E0,-3.555104256E0,-4.488037586E0,2.540678263E0
1.804130500E0,-3.194228888E0,-4.249835491E0,1.967101693E0
1.819137500E0,-2.766561985E0,-3.527604818E0,1.447938800E0
1.834143500E0,-2.299530268E0,-2.369601011E0,1.104877353E0
1.849150500E0,-1.965860367E0,-9.157007933E-1,1.130979538E0
1.864156500E0,-1.976620197E0,1.250914931E-1,1.495620012E0
1.879163500E0,-2.359021425E0,1.653109193E-1,1.804607868E0
1.894169500E0,-2.869623184E0,-5.423937440E-1,1.885565400E0
1.909176500E0,-3.121467352E0,-1.586785674E0,1.599053264E0
1.924182500E0,-3.008562803E0,-2.350805998E0,1.013585091E0
1.939189500E0,-2.625146866E0,-2.501277208E0,5.114164352E-1
1.954195500E0,-2.022346258E0,-2.106534243E0,2.577514946E-1
1.969202500E0,-1.359443188E0,-1.404942274E0,2.270521522E-1
1.984208500E0,-8.508500457E-1,-6.796139479E-1,1.980650872E-1
1.999215500E0,-5.901664495E-1,-1.062049270E-1,2.095131129E-1
2.014221500E0,-6.079490185E-1,2.968304604E-2,2.697661817E-1
2.029228500E0,-8.253071308E-1,-2.588188052E-1,5.235022902E-1
2.044234500E0,-1.114755869E0,-7.907680869E-1,8.644904494E-1
2.059240500E0,-1.341565847E0,-1.223761678E0,1.317846656E0
2.074247500E0,-1.485053897E0,-1.318292737E0,1.779536366E0
2.089253500E0,-1.605142474E0,-1.205892205E0,2.036997080E0
2.104260500E0,-1.677000642E0,-9.460638762E-1,2.214987040E0
2.119266500E0,-1.573410630E0,-6.750510335E-1,2.387498140E0
2.134273500E0,-1.173112512E0,-2.848939598E-1,2.518320799E0
2.149279500E0,-5.693272948E-1,1.807791889E-1,2.511027813E0
2.164286500E0,2.357061654E-1,5.265478492E-1,2.476706982E0
2.179292500E0,1.092789292E0,5.923405886E-1,2.502156019E0
2.194299500E0,1.863418698E0,6.439839602E-1,2.604023933E0
2.209305500E0,2.391731501E0,9.469536543E-1,2.613974333E0
2.224312500E0,2.730660677E0,1.145174503E0,2.402357101E0
2.239318500E0,2.921467781E0,9.631837606E-1,2.183508396E0
2.254325500E0,3.002016306E0,5.811002851E-1,2.148866653E0
2.269331500E0,3.035824537E0,1.639693975E-1,2.275913000E0
2.284338500E0,3.075206757E0,-6.087549776E-2,2.425433159E0
2.299344500E0,3.045277119E0,-1.016235724E-1,2.697566748E0
2.314351500E0,2.984164000E0,-8.172228932E-2,3.054729462E0
2.329357500E0,2.908874989E0,-3.950399160E-2,3.289613247E0
2.344364500E0,2.862745285E0,1.211819872E-1,3.172056913E0
