"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.836187500E-2,8.359150261E-2,-2.466741478E-1,-1.345795155E-2
3.336787500E-2,1.279245070E-1,3.483654141E-2,-3.547330320E-1
4.837487500E-2,1.268585595E-1,1.408339897E-1,-6.312770963E-1
6.338087500E-2,-1.284916869E-1,2.670046243E-1,-5.819160712E-1
7.838787501E-2,-3.148692007E-1,3.355225897E-1,-3.067554581E-1
9.339387501E-2,-5.049982882E-1,3.764387736E-1,3.099024296E-5
1.084008750E-1,-5.262304784E-1,3.600586760E-1,9.999674320E-2
1.234068750E-1,-3.819246313E-1,2.715762699E-1,5.828001702E-1
1.384138750E-1,-1.088780791E-2,3.530092728E-1,3.853537309E-1
1.534198750E-1,2.297474818E-1,5.911330372E-2,6.010972774E-1
1.684258750E-1,2.990246350E-1,-9.711055756E-3,6.595910686E-1
1.834328750E-1,4.067672579E-1,-1.853178522E-1,4.678749007E-1
1.984388750E-1,3.936599931E-1,-2.152538422E-1,2.786736202E-1
2.134458750E-1,3.015800875E-1,-1.753378245E-1,5.283076286E-2
2.284518750E-1,2.250033434E-1,-1.520290688E-1,-3.710058331E-2
2.434588750E-1,7.845223859E-2,-8.537197977E-2,-2.833876455E-1
2.584648750E-1,4.470898032E-2,-2.268485785E-2,-4.030105680E-1
2.734718750E-1,-6.742438987E-2,8.155725628E-2,-4.168240303E-1
2.884778750E-1,-1.292001501E-1,1.333732349E-1,-2.814937323E-1
3.034848750E-1,-2.338525926E-1,1.075127542E-1,8.052843869E-2
3.184908750E-1,-3.103408246E-1,1.079369697E-1,1.873898131E-1
3.334978750E-1,-2.383698591E-1,6.316776305E-2,9.729357541E-2
3.485038750E-1,-1.069599731E-1,-1.778635293E-2,-1.472211957E-2
3.635108750E-1,1.150783569E-1,-1.615965754E-2,-2.070481521E-1
3.785168750E-1,1.195122274E-1,-2.640310228E-2,-1.813320976E-1
3.935228750E-1,6.017925113E-2,4.018645138E-2,-1.006019300E-1
4.085298750E-1,4.097257297E-2,5.931620210E-2,-1.813104630E-2
4.235358750E-1,1.192002785E-1,8.874699265E-2,9.827181458E-2
4.385428750E-1,1.326204424E-1,1.336118013E-1,1.207911962E-1
4.535488750E-1,4.259586968E-2,4.978728712E-2,5.834533042E-1
4.685558750E-1,2.351033852E-2,-3.992917389E-2,4.468325257E-1
4.835618750E-1,8.376088914E-2,1.084775448E-1,-3.707660973E-2
4.985688750E-1,-1.033518390E-1,8.435748786E-2,-1.656352472E-1
5.135748750E-1,-2.834836495E-1,3.015227848E-1,-1.974014157E-1
5.285818750E-1,-4.102591055E-1,3.160273880E-1,-9.044414699E-2
5.435872917E-1,-5.779956593E-1,5.579667529E-1,-1.499179316E-1
5.585942917E-1,-1.033279239E0,6.554220039E-1,-4.569920629E-1
5.736002917E-1,-1.585779503E0,4.101093802E-1,-1.041334729E0
5.886072917E-1,-1.764624487E0,-4.168424490E-1,-1.302164986E0
6.036132917E-1,-3.601687206E0,-4.061582996E0,-2.548321831E-1
6.186192917E-1,-3.583070841E0,-2.825940029E0,-1.541537715E0
6.336262917E-1,-9.612051431E-1,-1.622711102E0,-2.705604916E0
6.486322917E-1,-7.706267703E-1,-1.436270292E0,-3.469132581E0
6.636392917E-1,3.371121553E-1,-1.247495273E0,-3.879362122E0
6.786452917E-1,2.444725250E-1,-7.843250424E-1,-3.899723296E0
6.936522917E-1,-3.797662778E-1,-2.639667034E-1,-4.583217782E0
