"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
3.112709522E-2,5.233482752E1,4.863932127E0,4.765519619E0,NaN,NaN,3.933333333E1,7.364193726E1
3.112709522E-2,5.233482747E1,4.863932129E0,4.765519619E0,NaN,NaN,3.933333333E1,7.364193726E1
6.539530754E-1,5.233487444E1,4.863917554E0,4.746680498E0,NaN,NaN,3.500000000E1,2.779751015E1
2.331593990E0,5.233489693E1,4.863910539E0,4.745147884E0,NaN,NaN,3.500000000E1,2.109411812E1
8.337504029E0,5.233492532E1,4.863918989E0,4.724381864E0,NaN,NaN,3.500000000E1,2.077530479E1
8.431078076E0,5.233492454E1,4.863919934E0,4.717012048E0,NaN,NaN,3.500000000E1,1.715921593E1
1.443868399E1,5.233492586E1,4.863929728E0,4.721201718E0,NaN,NaN,3.500000000E1,1.967213440E1
1.654480708E1,5.233487019E1,4.863932496E0,4.733687699E0,NaN,NaN,3.933333333E1,1.817397881E1
2.273565805E1,5.233491421E1,4.863935446E0,4.742868364E0,NaN,NaN,3.500000000E1,2.004995346E1
2.290577710E1,5.233492287E1,4.863930239E0,4.741752267E0,NaN,NaN,3.500000000E1,1.682378197E1
2.891493106E1,5.233493607E1,4.863929065E0,4.760962665E0,NaN,NaN,3.500000000E1,1.957792091E1
2.899327505E1,5.233493472E1,4.863929025E0,4.768769801E0,NaN,NaN,3.500000000E1,1.647024155E1
3.154054423E1,5.233491143E1,4.863908816E0,4.762143910E0,NaN,NaN,3.500000000E1,2.101567841E1
3.154309817E1,5.233490114E1,4.863907885E0,4.741914213E0,NaN,NaN,3.500000000E1,1.910050583E1
3.154309817E1,5.233489928E1,4.863909340E0,4.733354688E0,NaN,NaN,3.500000000E1,1.611202621E1
3.209194227E1,5.233489898E1,4.863909315E0,4.731981933E0,NaN,NaN,3.500000000E1,1.490029621E1
3.399261721E1,5.233490011E1,4.863907768E0,4.730823576E0,NaN,NaN,3.500000000E1,1.577015018E1
4.000053127E1,5.233485224E1,4.863919027E0,4.712905884E0,NaN,NaN,3.933333333E1,1.927938271E1
4.097433825E1,5.233489372E1,4.863926446E0,4.714397013E0,NaN,NaN,3.500000000E1,1.711174774E1
4.698232825E1,5.233490702E1,4.863926787E0,4.710384011E0,NaN,NaN,3.500000000E1,1.965888596E1
4.714241322E1,5.233491529E1,4.863926287E0,4.708754182E0,NaN,NaN,3.500000000E1,1.659354401E1
5.315081926E1,5.233492073E1,4.863931314E0,4.691036820E0,NaN,NaN,3.500000000E1,1.951231575E1
5.322294219E1,5.233492512E1,4.863928745E0,4.688738823E0,NaN,NaN,3.500000000E1,1.642618942E1
5.923107227E1,5.233490906E1,4.863915684E0,4.711178243E0,NaN,NaN,3.500000000E1,1.946480179E1
5.973642321E1,5.233492408E1,4.863922746E0,4.719380915E0,NaN,NaN,3.500000000E1,1.680045128E1
6.574382718E1,5.233493420E1,4.863925945E0,4.713914514E0,NaN,NaN,3.500000000E1,1.957036781E1
6.602890523E1,5.233494965E1,4.863927288E0,4.711633146E0,NaN,NaN,3.500000000E1,1.665889740E1
7.203271516E1,5.233492996E1,4.863928835E0,4.732475162E0,NaN,NaN,3.500000000E1,1.952831841E1
7.204879018E1,5.233492472E1,4.863929319E0,4.740921021E0,NaN,NaN,3.500000000E1,1.638181686E1
7.805791922E1,5.233491680E1,4.863923581E0,4.748288929E0,NaN,NaN,3.500000000E1,1.945280075E1
7.813156517E1,5.233491678E1,4.863921970E0,4.751319706E0,NaN,NaN,3.500000000E1,1.639294434E1
8.414064117E1,5.233492361E1,4.863923672E0,4.732925534E0,NaN,NaN,3.500000000E1,1.945591736E1
8.433624919E1,5.233492731E1,4.863924477E0,4.725248039E0,NaN,NaN,3.500000000E1,1.651073837E1
9.034412225E1,5.233491171E1,4.863941812E0,4.736689389E0,NaN,NaN,3.500000000E1,1.948858643E1
9.094850822E1,5.233492727E1,4.863934221E0,4.742094278E0,NaN,NaN,3.500000000E1,1.690144539E1
9.695631726E1,5.233491429E1,4.863927636E0,4.739468932E0,NaN,NaN,3.500000000E1,1.959919739E1
9.728392418E1,5.233491367E1,4.863923732E0,4.737761796E0,NaN,NaN,3.500000000E1,1.671393776E1
1.032921792E2,5.233492342E1,4.863926028E0,4.734140813E0,NaN,NaN,3.500000000E1,1.954632378E1
1.034901982E2,5.233492511E1,4.863925972E0,4.738283515E0,NaN,NaN,3.500000000E1,1.656465912E1
1.094979972E2,5.233492583E1,4.863928564E0,4.727423549E0,NaN,NaN,3.500000000E1,1.950380898E1
1.097231723E2,5.233492714E1,4.863926308E0,4.722900391E0,NaN,NaN,3.500000000E1,1.656579208E1
1.157313982E2,5.233493605E1,4.863932317E0,4.690241456E0,NaN,NaN,3.500000000E1,1.950436211E1
1.159051733E2,5.233493771E1,4.863930506E0,4.691231370E0,NaN,NaN,3.500000000E1,1.651794815E1
1.219098252E2,5.233492370E1,4.863932076E0,4.703991711E0,NaN,NaN,3.500000000E1,1.948886108E1
1.220532282E2,5.233492065E1,4.863931618E0,4.709260941E0,NaN,NaN,3.500000000E1,1.648037338E1
1.280619542E2,5.233492453E1,4.863930405E0,4.718244314E0,NaN,NaN,3.500000000E1,1.948046112E1
1.281096152E2,5.233492673E1,4.863929772E0,4.721921027E0,NaN,NaN,3.500000000E1,1.638414001E1
1.341182632E2,5.233485222E1,4.863931560E0,4.725588739E0,NaN,NaN,3.933333333E1,1.945319176E1
