"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.836187500E-2,1.181594467E1,-1.841362000E1,-5.632293701E1
3.336787500E-2,1.186516953E1,-1.844667053E1,-5.646759033E1
4.837487500E-2,1.174872208E1,-1.830987549E1,-5.639215088E1
6.338087500E-2,1.195897293E1,-1.828726196E1,-5.638055420E1
7.838787501E-2,1.195875931E1,-1.791377258E1,-5.618414307E1
9.339387501E-2,1.187676620E1,-1.777267456E1,-5.632989502E1
1.084008750E-1,1.153934097E1,-1.761810303E1,-5.651599121E1
1.234068750E-1,1.148340988E1,-1.757250977E1,-5.637524414E1
1.384138750E-1,1.143625259E1,-1.739802551E1,-5.673449707E1
1.534198750E-1,1.127763748E1,-1.738601685E1,-5.683166504E1
1.684258750E-1,1.097919846E1,-1.737165833E1,-5.686846924E1
1.834328750E-1,1.084153366E1,-1.736709595E1,-5.697766113E1
1.984388750E-1,1.074772263E1,-1.749710083E1,-5.695306396E1
2.134458750E-1,1.081391525E1,-1.753668213E1,-5.687396240E1
2.284518750E-1,1.041282272E1,-1.761360168E1,-5.674694824E1
2.434588750E-1,1.013345718E1,-1.747009277E1,-5.685198975E1
2.584648750E-1,9.945949554E0,-1.763644409E1,-5.690417480E1
2.734718750E-1,9.763477325E0,-1.760624695E1,-5.702301025E1
2.884778750E-1,9.390605927E0,-1.727047729E1,-5.697882080E1
3.034848750E-1,9.227344513E0,-1.724600220E1,-5.698443604E1
3.184908750E-1,9.153629303E0,-1.699778748E1,-5.709710693E1
3.334978750E-1,9.066997528E0,-1.711482239E1,-5.725524902E1
3.485038750E-1,9.067813873E0,-1.711421204E1,-5.739605713E1
3.635108750E-1,8.958209991E0,-1.708142090E1,-5.734790039E1
3.785168750E-1,8.802837372E0,-1.705116272E1,-5.753717041E1
3.935228750E-1,8.558673859E0,-1.683688354E1,-5.754284668E1
4.085298750E-1,8.461605072E0,-1.671742249E1,-5.761895752E1
4.235358750E-1,8.333156586E0,-1.663154602E1,-5.754211426E1
4.385428750E-1,8.501331329E0,-1.663153076E1,-5.761291504E1
4.535488750E-1,8.356014252E0,-1.656636047E1,-5.763391113E1
4.685558750E-1,8.452816010E0,-1.667749023E1,-5.758172607E1
4.835618750E-1,8.383487701E0,-1.668141174E1,-5.755456543E1
4.985688750E-1,8.421527863E0,-1.681855774E1,-5.749829102E1
5.135748750E-1,8.037517548E0,-1.696499634E1,-5.762182617E1
5.285818750E-1,7.959018707E0,-1.698478699E1,-5.764782715E1
5.435872917E-1,7.658119202E0,-1.699630737E1,-5.753302002E1
5.585942917E-1,7.290084839E0,-1.702444458E1,-5.750793457E1
5.736002917E-1,6.153099060E0,-1.732446289E1,-5.767846680E1
5.886072917E-1,5.259464264E0,-1.719596863E1,-5.769256592E1
6.036132917E-1,3.607837677E0,-1.703634644E1,-5.766632080E1
6.186192917E-1,2.615581512E0,-1.694174194E1,-5.793518066E1
6.336262917E-1,7.851257324E-1,-1.617202759E1,-5.833862305E1
6.486322917E-1,8.249282837E-2,-1.564033508E1,-5.840466309E1
6.636392917E-1,-4.401092529E-1,-1.497714233E1,-5.878674316E1
6.786452917E-1,-1.382244110E0,-1.321057129E1,-5.935485840E1
6.936522917E-1,-1.586849213E0,-1.215827942E1,-5.966674805E1
7.086582917E-1,-1.261005402E0,-1.003526306E1,-6.001245117E1
7.236652917E-1,-6.125946045E-1,-8.722702026E0,-6.042712402E1
7.386712917E-1,9.663429260E-1,-5.710632324E0,-6.119262695E1
7.536782917E-1,1.867294312E0,-4.117538452E0,-6.107873535E1
7.686842917E-1,3.958061218E0,-2.253265381E-1,-6.127258301E1
7.836912917E-1,4.637264252E0,1.857818604E0,-6.111627197E1
7.986972917E-1,6.240795135E0,6.545547485E0,-6.087969971E1
