"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.249125002E-3,-2.562970276E0,4.866380310E0,7.408094788E0
1.948112501E-2,-2.547702026E0,4.695735168E0,7.408843231E0
3.571212500E-2,-2.437680817E0,4.710853729E0,8.238268433E0
5.194412501E-2,-2.695594482E0,4.590653687E0,8.585097198E0
6.817812500E-2,-2.672093353E0,4.644990692E0,8.489895172E0
8.440912500E-2,-2.809058533E0,4.615801392E0,8.207282867E0
1.006411250E-1,-3.304378510E0,4.392465820E0,7.975864105E0
1.168721250E-1,-3.303181000E0,4.410129089E0,7.903265076E0
1.331071250E-1,-3.113375702E0,4.591551819E0,8.001161499E0
1.493381250E-1,-2.914289703E0,4.613106995E0,7.862250366E0
1.655701250E-1,-2.536026306E0,4.065695343E0,8.404722290E0
1.818011250E-1,-2.325713654E0,3.992497559E0,9.376052399E0
1.980351250E-1,-2.276466064E0,4.095782776E0,9.557026062E0
2.142671250E-1,-2.835852814E0,4.302053833E0,9.348958740E0
2.304981250E-1,-3.245700531E0,5.634732513E0,9.018595734E0
2.467301250E-1,-2.243085480E0,5.548362122E0,9.434580688E0
2.629641250E-1,-1.569486237E0,4.995112610E0,8.078550568E0
2.791951250E-1,-3.127895508E0,4.668192444E0,8.243058472E0
2.954271250E-1,-4.594695282E0,4.564907227E0,1.028151947E1
3.116591250E-1,-2.906056824E0,2.967728577E0,1.202569244E1
3.278931250E-1,-1.735790405E0,4.267625427E0,1.016835480E1
3.441241250E-1,9.758207703E-1,4.152365112E0,9.493558044E0
3.603561250E-1,4.948709106E-1,4.534969482E0,9.786199493E0
3.765871250E-1,-7.753875732E-2,4.057163086E0,9.144483948E0
3.928211250E-1,-1.585353241E0,3.156036987E0,8.208480377E0
4.090531250E-1,-3.326981506E0,1.118324432E0,7.383246460E0
4.252841250E-1,-3.149001617E0,3.553610229E-1,9.037606201E0
4.415161250E-1,-3.728596344E0,9.364526367E-1,8.578660583E0
4.577501250E-1,-3.363954620E0,3.962260437E-1,8.373587036E0
4.739821250E-1,-3.380420380E0,9.068142700E-1,9.807155914E0
4.902131250E-1,-2.449356537E0,1.296154633E0,1.140852585E1
5.064451250E-1,-2.949466553E0,9.346563721E-1,8.833879852E0
5.226791250E-1,-4.027524719E0,1.278191986E0,6.509363708E0
5.389101250E-1,-3.033741302E0,1.534010010E0,6.058800659E0
5.551421250E-1,-2.505639496E0,1.740730133E0,7.549400940E0
5.713731250E-1,-2.490371246E0,1.293310547E0,8.012088776E0
5.876071250E-1,-2.039808197E0,1.440604248E0,8.219707031E0
6.038391250E-1,-1.274599457E0,1.792073364E0,8.931925964E0
6.200701250E-1,-1.252744904E0,1.760788422E0,8.372239838E0
6.363021250E-1,-2.366279297E0,1.983974304E0,7.000342712E0
6.525361250E-1,-1.556762695E0,1.995949402E0,7.113657074E0
6.687681250E-1,-1.369202728E0,1.867067413E0,7.602091370E0
6.849991250E-1,-2.811154175E-1,1.164129181E0,7.970175934E0
7.012311250E-1,4.972659302E-1,1.775457916E0,9.880353699E0
7.174651250E-1,4.210743713E-1,2.319726105E0,9.570048981E0
7.336961250E-1,-8.506809998E-1,2.226470032E0,6.823560333E0
7.499281250E-1,-1.156195679E0,2.275418243E0,6.741381226E0
7.661591250E-1,2.342628479E-1,1.751507721E0,1.021326141E1
7.823931250E-1,1.266815643E0,1.938169556E0,1.078851517E1
7.986251250E-1,4.899311829E-1,2.243235168E0,9.461824036E0
8.148561250E-1,-1.980381775E-1,2.223775635E0,8.618328094E0
8.310881667E-1,-6.975494385E-1,2.799029388E0,8.544232178E0
8.473221667E-1,-1.802252197E-1,2.853516083E0,8.115224304E0
8.635541667E-1,2.697690125E0,2.665656738E0,1.002869522E1
8.797851667E-1,4.255650330E0,3.471431122E0,1.039692947E1
8.960171667E-1,3.801794128E0,3.900438995E0,8.961564331E0
9.122511667E-1,3.488345947E0,3.506757660E0,8.924890594E0
9.284821667E-1,3.289409637E0,2.886148224E0,9.057664490E0
9.447141667E-1,2.708168335E0,3.647165680E0,9.557475128E0
9.609451667E-1,3.912414093E0,3.944746857E0,1.062999481E1
9.771791667E-1,5.197192383E0,2.853815460E0,1.176014465E1
9.934111667E-1,4.221371613E0,2.104623413E0,1.071217392E1
1.009642167E0,3.739822998E0,1.985920258E0,9.764045563E0
1.025874167E0,3.411855011E0,2.457439728E0,9.236841888E0
1.042108167E0,3.600911865E0,3.052751770E0,8.853938141E0
1.058340167E0,3.933819580E0,2.828967133E0,8.756640472E0
1.074571167E0,4.072880402E0,2.385738831E0,8.744665375E0
1.090803167E0,4.101321259E0,2.163750458E0,8.639434204E0
1.107037167E0,4.063150635E0,1.922452240E0,8.735833740E0
1.123268167E0,4.060306549E0,1.784738617E0,8.931476898E0
1.139500167E0,4.375101929E0,2.011517029E0,9.150920563E0
1.155731167E0,4.688999176E0,2.167193298E0,9.100924530E0
1.171965167E0,4.398902435E0,1.777104492E0,8.899144135E0
1.188197167E0,4.706512756E0,1.707948303E0,9.015452271E0
1.204428167E0,4.410727844E0,1.808688812E0,8.813073120E0
1.220660167E0,4.322860565E0,1.973346405E0,8.641679535E0
1.236894167E0,4.713099060E0,1.978136444E0,8.670270081E0
1.253126167E0,4.961732025E0,2.035616913E0,8.843609619E0
1.269357167E0,4.774321747E0,2.313139801E0,8.726852417E0
1.285589167E0,4.620591431E0,2.315983887E0,8.437055054E0
1.301823167E0,4.614005127E0,2.211052094E0,8.449030151E0
1.318054167E0,4.423750763E0,2.289788361E0,8.539292450E0
1.334286167E0,4.423750763E0,2.484234009E0,8.532406769E0
1.350517167E0,4.522096252E0,2.424508209E0,8.481063538E0
1.366751167E0,4.462370453E0,2.302062836E0,8.386011200E0
1.382983167E0,4.443060608E0,2.275717621E0,8.333919525E0
1.399214167E0,4.524191895E0,2.462978210E0,8.273594971E0
1.415446167E0,4.368964691E0,2.609673157E0,8.358618164E0
1.431680167E0,4.413721619E0,2.679577789E0,8.611143036E0
1.447911167E0,4.481829987E0,2.564167786E0,8.993747406E0
1.464143167E0,4.225263519E0,2.313289490E0,9.279503174E0
1.480374167E0,3.639531555E0,2.303260345E0,9.221124573E0
1.496609167E0,3.661386108E0,2.559078369E0,9.272916870E0
1.512840167E0,4.149970093E0,2.637964325E0,9.212592316E0
1.529072167E0,4.279301147E0,2.751578064E0,8.967402191E0
1.545303167E0,4.102818146E0,2.713257751E0,8.698710938E0
1.561537167E0,4.070485382E0,2.808459778E0,8.522377625E0
1.577769167E0,4.651876373E0,3.308569794E0,8.463400269E0
1.594000167E0,6.255641327E0,3.212619324E0,8.134234772E0
1.610232167E0,6.230044556E0,2.350711670E0,9.870773621E0
1.626466167E0,5.414989471E0,2.724484406E0,1.130868347E1
1.642697167E0,4.644092560E0,3.426225128E0,8.989406433E0
1.658929167E0,5.225333862E0,3.594026184E0,7.482490082E0
