"Time (s)","X (hPa)"
-5.783627500E-1,1.015462036E3
4.217702500E-1,1.015461121E3
1.421896250E0,1.015460281E3
2.421975250E0,1.015460281E3
3.422035250E0,1.015462189E3
3.780101250E0,1.015473709E3
4.846928250E0,1.015474396E3
5.913695250E0,1.015479202E3
6.980397250E0,1.015486374E3
8.047210250E0,1.015491180E3
9.114018250E0,1.015491180E3
1.018083525E1,1.015486984E3
1.124764725E1,1.015482559E3
1.231441025E1,1.015479736E3
1.338116425E1,1.015476151E3
1.444790125E1,1.015476151E3
1.551466725E1,1.015476379E3
1.658146625E1,1.015481720E3
1.764824225E1,1.015482483E3
1.871503725E1,1.015484848E3
1.978186425E1,1.015484848E3
2.084870225E1,1.015486145E3
2.191550125E1,1.015487595E3
2.298228625E1,1.015487595E3
2.404910225E1,1.015486603E3
2.511595125E1,1.015486603E3
2.618272925E1,1.015486069E3
2.724942525E1,1.015482712E3
2.831617925E1,1.015482483E3
2.938291225E1,1.015478745E3
3.044970325E1,1.015474930E3
3.151652525E1,1.015474243E3
3.258334125E1,1.015473251E3
3.365021525E1,1.015474243E3
3.471706225E1,1.015474930E3
3.578387125E1,1.015475769E3
3.685067725E1,1.015475769E3
3.791741725E1,1.015472641E3
3.898428025E1,1.015471573E3
4.005111525E1,1.015471344E3
4.111784425E1,1.015471344E3
4.218464625E1,1.015472183E3
4.325144825E1,1.015473022E3
4.431823625E1,1.015473022E3
4.538498725E1,1.015473022E3
4.645179025E1,1.015471115E3
4.751855425E1,1.015468597E3
4.858531825E1,1.015466766E3
4.965216525E1,1.015466766E3
5.071901925E1,1.015467072E3
5.178587325E1,1.015467834E3
5.285270925E1,1.015468369E3
5.391953825E1,1.015468369E3
5.498639625E1,1.015467529E3
5.605323325E1,1.015465317E3
5.712008625E1,1.015463181E3
5.818687625E1,1.015462570E3
5.925367225E1,1.015461884E3
6.032035425E1,1.015461884E3
6.138709525E1,1.015465851E3
6.245393625E1,1.015466080E3
6.352071225E1,1.015466080E3
6.458756325E1,1.015462952E3
6.565434625E1,1.015458679E3
6.672120625E1,1.015454330E3
6.778798325E1,1.015449219E3
6.885479325E1,1.015447998E3
6.992161525E1,1.015446472E3
7.098848225E1,1.015445251E3
7.205539925E1,1.015444412E3
7.312217725E1,1.015441666E3
7.418896925E1,1.015441666E3
7.525579525E1,1.015444641E3
7.632263425E1,1.015447311E3
7.738945125E1,1.015450516E3
7.845629825E1,1.015458755E3
7.952313325E1,1.015458908E3
8.058994525E1,1.015459366E3
8.165677925E1,1.015458908E3
8.272363325E1,1.015458908E3
8.379046125E1,1.015454330E3
8.485726425E1,1.015454330E3
8.592411725E1,1.015455322E3
8.699095525E1,1.015455627E3
8.805776325E1,1.015457458E3
8.912458425E1,1.015457840E3
9.019137125E1,1.015460205E3
9.125819725E1,1.015462036E3
9.232496825E1,1.015462036E3
9.339179825E1,1.015461426E3
9.445868225E1,1.015461426E3
9.552554225E1,1.015461426E3
9.659239125E1,1.015458755E3
9.765926325E1,1.015458069E3
9.872608625E1,1.015456161E3
9.979297125E1,1.015454483E3
1.008598283E2,1.015451202E3
1.019266422E2,1.015448151E3
1.029934973E2,1.015444794E3
1.040603092E2,1.015438080E3
1.051271002E2,1.015435333E3
1.061940282E2,1.015435333E3
1.072608673E2,1.015437317E3
1.083277303E2,1.015440598E3
1.093945742E2,1.015445709E3
1.104614423E2,1.015448990E3
1.115283033E2,1.015453110E3
1.125951893E2,1.015455627E3
1.136620353E2,1.015455627E3
1.147288612E2,1.015454254E3
1.157956402E2,1.015454254E3
1.168624543E2,1.015454330E3
1.179292733E2,1.015454559E3
1.189961213E2,1.015454941E3
1.200629683E2,1.015457458E3
1.211298172E2,1.015457458E3
1.221965573E2,1.015457077E3
1.232633832E2,1.015454254E3
1.243302813E2,1.015454254E3
1.253971403E2,1.015454788E3
1.264639953E2,1.015454788E3
1.275308482E2,1.015454330E3
1.285976572E2,1.015452423E3
1.296644762E2,1.015452042E3
1.307313302E2,1.015447540E3
1.317981552E2,1.015447311E3
1.328649872E2,1.015443573E3
1.339318212E2,1.015442047E3
1.349985633E2,1.015442047E3
1.360653633E2,1.015442352E3
1.371322223E2,1.015444641E3
1.381990453E2,1.015449066E3
1.392658782E2,1.015450516E3
1.403326953E2,1.015453415E3
1.413995802E2,1.015455627E3
1.424664303E2,1.015455627E3
1.435331593E2,1.015454559E3
1.445999052E2,1.015453033E3
1.456666422E2,1.015450974E3
1.467334693E2,1.015449677E3
1.478002623E2,1.015446548E3
1.488670932E2,1.015444412E3
1.499339073E2,1.015439377E3
1.510007682E2,1.015437622E3
1.520675692E2,1.015433655E3
1.531343743E2,1.015430679E3
1.542011223E2,1.015430679E3
1.552678863E2,1.015430679E3
1.563347212E2,1.015432587E3
1.574014792E2,1.015432663E3
1.584682463E2,1.015432663E3
1.595350463E2,1.015431366E3
1.606018622E2,1.015431366E3
1.616686672E2,1.015432434E3
1.627355143E2,1.015434036E3
1.638022953E2,1.015435333E3
1.648689883E2,1.015435333E3
1.659357282E2,1.015435333E3
1.670025173E2,1.015433731E3
1.680693682E2,1.015433655E3
1.691362473E2,1.015433731E3
1.702030672E2,1.015434799E3
1.712699492E2,1.015434799E3
1.723368153E2,1.015434723E3
1.734037172E2,1.015434723E3
1.744705462E2,1.015435791E3
1.755374552E2,1.015437241E3
1.766042702E2,1.015438995E3
1.776711643E2,1.015438995E3
1.787380422E2,1.015439377E3
1.798049253E2,1.015439377E3
1.808718473E2,1.015439606E3
1.819387282E2,1.015439606E3
1.830055892E2,1.015437927E3
1.840724562E2,1.015436859E3
1.851393342E2,1.015434494E3
1.862062233E2,1.015433731E3
1.872731403E2,1.015430756E3
1.883400433E2,1.015430756E3
1.894069542E2,1.015432892E3
1.904738862E2,1.015434036E3
1.915408602E2,1.015435638E3
1.926078552E2,1.015438309E3
1.936747533E2,1.015440369E3
1.947416683E2,1.015443802E3
1.958085793E2,1.015444870E3
1.968754982E2,1.015447159E3
1.979423652E2,1.015447311E3
1.990092872E2,1.015449905E3
2.000762313E2,1.015450974E3
2.011431903E2,1.015450974E3
2.022101362E2,1.015450974E3
2.032770713E2,1.015450974E3
2.043439402E2,1.015451202E3
2.054108532E2,1.015451965E3
2.064777502E2,1.015451202E3
2.075446683E2,1.015451965E3
2.086115202E2,1.015452805E3
2.096784142E2,1.015452805E3
2.107452703E2,1.015452042E3
2.118121712E2,1.015450516E3
2.128790032E2,1.015449219E3
2.139457963E2,1.015446091E3
2.150126923E2,1.015442352E3
2.160795562E2,1.015442352E3
2.171463893E2,1.015445480E3
2.182132552E2,1.015447540E3
2.192801783E2,1.015451965E3
2.203469872E2,1.015452881E3
2.214138002E2,1.015453262E3
2.224806413E2,1.015453262E3
2.235475753E2,1.015452423E3
2.246144812E2,1.015448227E3
2.256813603E2,1.015445023E3
2.267482673E2,1.015444794E3
2.278151162E2,1.015444794E3
2.288820302E2,1.015447006E3
2.299489513E2,1.015453873E3
2.310158393E2,1.015454025E3
2.320827262E2,1.015457306E3
2.331496093E2,1.015457687E3
2.342165313E2,1.015457306E3
2.352834032E2,1.015452042E3
2.363503502E2,1.015451202E3
2.374172952E2,1.015451202E3
2.384842133E2,1.015452576E3
2.395511052E2,1.015455780E3
2.406180713E2,1.015459976E3
2.416850273E2,1.015461655E3
2.427519242E2,1.015462570E3
2.438188073E2,1.015464249E3
2.448857143E2,1.015464249E3
2.459526113E2,1.015462036E3
2.470195022E2,1.015461731E3
2.480864552E2,1.015461731E3
2.491534022E2,1.015460052E3
2.502203293E2,1.015458527E3
2.512872453E2,1.015457687E3
2.523542102E2,1.015457687E3
2.534211082E2,1.015456390E3
2.544880023E2,1.015455399E3
2.555549253E2,1.015455399E3
2.566218612E2,1.015455093E3
2.576886982E2,1.015455093E3
2.587556493E2,1.015455780E3
2.598226302E2,1.015455780E3
2.608895723E2,1.015455399E3
2.619564822E2,1.015455399E3
2.630233633E2,1.015457077E3
2.640902862E2,1.015460434E3
2.651571992E2,1.015461426E3
2.662241312E2,1.015463409E3
2.672909962E2,1.015465240E3
2.683577902E2,1.015468369E3
2.694246402E2,1.015468369E3
2.704915593E2,1.015468140E3
2.715584942E2,1.015467300E3
2.726254482E2,1.015467300E3
2.736923822E2,1.015465317E3
2.747593352E2,1.015463333E3
2.758262563E2,1.015462723E3
2.768932053E2,1.015461731E3
2.779600743E2,1.015461731E3
2.790269842E2,1.015461731E3
2.800939212E2,1.015462494E3
2.811608002E2,1.015464172E3
2.822277012E2,1.015466080E3
2.832945372E2,1.015466766E3
2.843613452E2,1.015470428E3
2.854282302E2,1.015470428E3
2.864950942E2,1.015467834E3
2.875619342E2,1.015464783E3
2.886288812E2,1.015462341E3
2.896958682E2,1.015456619E3
2.907628682E2,1.015456619E3
2.918298542E2,1.015457458E3
2.928968162E2,1.015459518E3
2.939637522E2,1.015461884E3
2.950306623E2,1.015462265E3
2.960976323E2,1.015462265E3
2.971645963E2,1.015461044E3
