"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.198812500E-2,-3.070297837E-1,-1.338973492E-1,-2.730726302E-1
4.195512501E-2,-2.825091481E-1,-7.421593368E-2,-3.252467215E-1
7.192212500E-2,-1.149975657E-1,-1.608768404E-1,-3.692317307E-1
1.018891250E-1,-1.228286996E-1,-4.167534113E-1,-2.027574629E-1
1.318561250E-1,-7.759761810E-2,-8.558756709E-1,-1.588389277E-1
1.618231250E-1,-3.212309778E-1,-7.708805799E-1,-1.715884358E-1
1.917901250E-1,-2.768887281E-1,-1.471946239E-1,-5.560172722E-2
2.217571250E-1,-1.864888072E-1,2.267590314E-1,8.567214943E-3
2.517241250E-1,3.621485457E-2,-1.984457970E-1,-7.669324875E-1
2.816911250E-1,-2.789196000E-2,-1.093999743E0,-1.078983665E0
3.116591250E-1,6.079887748E-1,-1.796621203E0,-8.432385325E-1
3.416261250E-1,-9.849797189E-2,-6.098818183E-1,-1.707009673E0
3.715931250E-1,-1.385973096E0,1.277913690E0,-1.864565849E0
4.015601250E-1,-2.513777256E0,1.354340434E0,-1.263291001E0
4.315271250E-1,-2.553180933E0,1.003768444E0,1.435965598E-1
4.614941250E-1,-1.306152105E0,5.954971910E-1,5.237812400E-1
4.914611250E-1,3.888376951E-1,2.325765938E-1,-3.894543052E-1
5.214281250E-1,4.927386343E-1,-8.179308176E-1,-5.596661568E-1
5.513951250E-1,9.925863147E-2,-3.770533502E-1,-4.135240614E-1
5.813621250E-1,1.992163435E-2,-3.355141878E-1,-3.114669919E-1
6.113291250E-1,4.107845426E-1,-7.330566049E-1,-4.325991869E-1
6.412961250E-1,4.824551344E-1,-1.257695436E0,-3.023588061E-1
6.712641250E-1,5.210099220E-1,-2.386393309E0,-2.767449245E-2
7.012311250E-1,7.367264032E-1,-2.736327887E0,-2.750412524E-1
7.311981250E-1,2.382256389E-1,-2.621019363E0,-4.537010491E-1
7.611651250E-1,5.119975656E-2,-3.392776966E0,-6.512416005E-1
7.911321250E-1,2.397306412E-1,-3.434853792E0,-1.068984270E0
8.210991250E-1,-1.911547929E-1,-2.723087311E0,-5.969083905E-1
8.510661667E-1,-1.265985668E-1,-2.512761831E0,-2.625962794E-1
8.810331667E-1,2.121458948E-1,-2.539720058E0,-1.089628339E0
9.110001667E-1,-7.157773376E-1,-2.411241770E0,-1.411691785E0
9.409671667E-1,-1.215547442E0,-1.715488791E0,-7.161702514E-1
9.709341667E-1,-8.813344240E-1,-4.966059923E-1,-3.930587471E-1
1.000901167E0,-5.460464954E-1,-8.205995560E-1,-7.944349647E-1
1.030868167E0,-3.333850205E-1,-1.011237502E0,-7.718427777E-1
1.060836167E0,-4.039528966E-1,-7.123996615E-1,-6.667891741E-1
1.090803167E0,-6.051820517E-1,-4.900026917E-1,-5.524455309E-1
1.120770167E0,-4.957796931E-1,-4.092858732E-1,-2.893167138E-1
1.150737167E0,-1.633648127E-1,-1.632774472E-1,-1.806610972E-1
1.180704167E0,-2.566532418E-2,-3.678909689E-2,-1.338124573E-1
1.210671167E0,6.216413900E-2,6.921522319E-2,8.993662894E-3
1.240638167E0,1.033200175E-1,3.732140362E-2,1.134111434E-1
1.270605167E0,1.507298797E-1,2.221487761E-1,1.584132463E-1
1.300572167E0,1.789961159E-1,1.439123154E-1,6.922031939E-2
1.330539167E0,3.460375071E-1,1.707400829E-1,1.037888080E-1
1.360506167E0,2.845551372E-1,2.898400128E-1,1.911261827E-1
1.390473167E0,1.546468139E-1,2.931613922E-1,2.515548170E-1
1.420440167E0,1.409095228E-1,1.353995800E-1,1.935832947E-1
1.450407167E0,2.650568783E-1,-1.079204082E-1,-1.265934259E-1
1.480374167E0,4.135231972E-1,-1.971313506E-1,-1.890514046E-1
1.510342167E0,4.980893135E-1,-5.506421328E-1,-5.371196866E-1
1.540309167E0,3.183886111E-1,-8.327872157E-1,-9.289065599E-1
1.570276167E0,1.796757877E-1,-1.650957346E0,-1.688460469E0
1.600243167E0,1.763620228E-1,-2.829958439E0,-3.536957979E0
1.630210167E0,1.661047578E0,-1.510881782E0,-3.536308527E0
1.660177167E0,1.977513194E0,-1.419986963E0,-3.166128397E0
1.690144167E0,6.693964601E-1,-1.730262518E0,-3.986896515E0
1.720111167E0,-1.731950194E-1,-1.237300873E0,-3.637253046E0
1.750078167E0,-1.924005747E-1,-5.797093511E-1,-2.300520420E0
1.780045167E0,3.308426738E-1,2.700333297E-1,-1.120787501E0
1.810012167E0,6.688128710E-1,4.084613323E-1,-5.479238629E-1
1.839978625E0,3.389641345E-1,4.200965762E-1,-4.388410747E-1
1.869945625E0,3.260242343E-1,4.710898697E-1,-4.676688313E-1
1.899912625E0,2.075685412E-1,5.223606229E-1,1.200800762E-1
1.929879625E0,4.795837775E-2,5.300942063E-1,3.868353367E-1
1.959846625E0,1.765202582E-1,2.303607911E-1,3.751435578E-1
1.989813625E0,2.381079495E-1,-7.933371700E-3,3.164068758E-1
2.019781625E0,2.487036884E-1,-3.198598921E-1,2.951465547E-1
2.049748625E0,1.802551746E-1,-4.806353748E-1,1.584076881E-1
2.079715625E0,-1.231596097E-1,-9.310154319E-1,3.839264810E-1
2.109682625E0,-3.928196132E-1,-1.480704784E0,5.800672770E-1
2.139649625E0,-7.811563462E-2,-1.499245048E0,8.575109392E-2
2.169616625E0,1.777935624E-1,-9.147283435E-1,6.983656287E-1
2.199583625E0,4.197161198E-1,-9.277675152E-1,9.115492105E-1
2.229550625E0,3.630557060E-1,-7.688311934E-1,4.696031809E-1
2.259517625E0,2.041249573E-1,-3.787224889E-1,6.405915618E-1
2.289484625E0,-2.638196945E-1,-4.767132103E-1,4.037084877E-1
2.319451625E0,-4.035088420E-1,-1.122269630E0,1.833028160E-2
2.349418625E0,-1.645119041E-1,-1.646358848E0,-1.374906600E-1
2.379385625E0,-1.154241562E0,-2.338675737E0,7.333410531E-2
2.409352625E0,-2.033765078E0,-2.875771046E0,2.825184166E-1
2.439319625E0,-1.318556547E0,-2.811210632E0,2.881353796E-1
2.469286625E0,-1.199362755E0,-2.069274902E0,9.306578897E-3
2.499253625E0,-9.192197323E-1,-2.102233887E0,1.322196871E-1
2.529220625E0,-7.036370039E-1,-1.870081902E0,1.415015310E-1
2.559187625E0,-1.065688968E0,-9.809245467E-1,2.835179269E-1
2.589154625E0,-1.194862604E0,-1.181654453E0,4.610210657E-2
2.619122625E0,-9.053422213E-1,-1.622433066E0,1.360000074E-1
2.649089625E0,-7.789573669E-1,-1.522420645E0,8.753974736E-2
2.679056625E0,-2.050082535E-1,-1.831794739E0,6.569128036E-1
2.709023625E0,-1.284202188E-2,-1.193427920E0,-4.740292951E-2
2.738990625E0,2.577873878E-2,-2.621321678E-1,-5.611910224E-1
2.768957625E0,4.243701696E-2,3.378542364E-1,-1.012012362E0
2.798924625E0,-1.341304630E-1,9.009968489E-2,-1.064975858E0
2.828891625E0,-1.604013592E-1,-5.120918155E-1,-1.026914835E0
2.858859042E0,2.397995740E-1,-4.510412812E-1,-7.410792112E-1
2.888826042E0,2.153315023E-2,-1.041265488E0,-8.624902368E-1
2.918793042E0,-1.994551420E-1,-1.997327685E0,-3.716635704E-1
2.948760042E0,-1.779041141E-1,-2.575991631E0,1.042808741E-1
2.978727042E0,-3.723330200E-1,-1.996558547E0,1.010759473E0
3.008694042E0,-1.667480767E-1,-7.292448282E-1,6.306704879E-1
3.038661042E0,-1.154903099E-1,-1.493911892E-1,-1.179553121E-1
3.068628042E0,-2.125933617E-1,4.721152782E-1,-7.351896167E-1
3.098595042E0,-3.502319455E-1,1.423172355E0,-1.547601104E0
3.128562042E0,-3.689994514E-1,1.693307042E0,-2.056475639E0
3.158529042E0,-9.988807440E-1,5.599207878E-1,-1.262353510E-1
3.188496042E0,-5.393155217E-1,8.602759838E-1,-1.889012456E-1
3.218463042E0,-2.087603807E-1,1.141143322E0,-4.268993065E-2
3.248430042E0,-8.717504889E-2,-9.627738595E-1,-6.491770744E-1
3.278397042E0,-4.766326547E-1,-5.844694972E-1,-9.292148352E-1
3.308364042E0,-1.106748223E0,-7.639279366E-1,-9.551343918E-1
3.338331042E0,-1.714285851E0,-1.017876506E0,-8.354830742E-1
3.368298042E0,-9.467120171E-1,4.819180369E-1,-3.354606032E-1
3.398265042E0,-1.200840354E0,-2.148585320E-1,-1.872518778E0
3.428233042E0,-7.004504204E-1,-1.912462264E-1,-3.289714575E0
3.458200042E0,8.471212387E-1,-6.046962142E-1,-2.861035824E0
3.488167042E0,1.254414320E0,-7.336239330E-3,-2.300956964E0
3.518134042E0,-1.032279849E0,-2.130156308E-1,-4.940460622E-1
3.548101042E0,-7.617481947E-1,-4.458132386E-1,-3.880271018E-1
3.578068042E0,-1.292456388E0,4.032578468E0,-2.684084892E0
3.608035042E0,-9.364264458E-2,6.361543655E0,-5.776755810E0
3.638002042E0,1.961095333E0,2.273042917E0,-3.268092632E0
3.667969042E0,-3.460093141E-1,-2.102289200E0,3.163166717E-2
3.697936042E0,-3.668849170E-1,-2.139414072E0,2.780438066E-1
3.727903042E0,-4.971713126E-1,-1.624975204E-1,5.746239051E-2
3.757870042E0,3.800186217E-1,2.609367967E-1,-1.688779593E-1
3.787837042E0,2.116013318E-1,5.044305921E-1,-6.440782547E-2
3.817804042E0,2.187341303E-1,9.064415097E-2,-4.873716831E-2
3.847770917E0,1.176970266E-2,-3.011609912E-1,3.714509774E-3
3.877737917E0,3.313742578E-3,-2.465488166E-1,1.445416361E-2
3.907704917E0,1.095126197E-1,1.145627648E-1,-2.829436585E-2
3.937671917E0,7.244931906E-2,1.138487011E-1,-1.258081347E-1
3.967638917E0,1.952672377E-2,-1.382254213E-1,-1.237690374E-1
3.997605917E0,8.403591067E-2,-2.521268725E-1,-1.356343329E-1
4.027572917E0,7.715891302E-2,-2.381201684E-1,-1.086274758E-1
4.057539917E0,9.683860838E-2,-8.749826811E-3,-2.417818010E-1
4.087506917E0,1.651007980E-1,-2.298765257E-2,-3.419282734E-1
4.117473917E0,7.747647166E-2,-3.222637475E-1,-9.191195667E-2
4.147440917E0,6.991741061E-2,-6.054107100E-3,-1.680113971E-1
4.177407917E0,4.698398709E-2,-1.387057900E-1,-7.897295058E-2
4.207374917E0,9.882803075E-3,-1.509074569E-1,-2.806274407E-2
4.237341917E0,4.534367844E-2,-1.286615580E-1,-2.143037319E-2
4.267308917E0,5.605882034E-2,-1.941753030E-1,-8.750050515E-2
4.297275917E0,1.925374195E-2,-2.185673267E-1,-1.024476886E-1
4.327242917E0,4.378116503E-2,-2.284061015E-1,-7.057916373E-2
4.357209917E0,7.387188077E-2,-2.666287124E-1,-1.099551395E-1
4.387176917E0,1.501748562E-1,-2.251479477E-1,-8.494707197E-2
4.417143917E0,2.531145215E-1,-2.798506021E-1,-2.382531390E-2
4.447110917E0,3.444084525E-1,-2.100082487E-1,3.451351542E-3
4.477077917E0,2.797945142E-1,-2.164485157E-1,1.100164186E-2
4.507044917E0,2.296294421E-1,-2.800339758E-1,4.093686491E-2
4.537011917E0,2.315561473E-1,-3.631743193E-1,7.679210603E-2
4.566979917E0,2.752488554E-1,-4.174727798E-1,1.014633253E-1
4.596946917E0,3.631896377E-1,-2.920735180E-1,1.020774543E-1
4.626913917E0,4.762371778E-1,-3.416035771E-1,8.527720720E-2
4.656880917E0,5.256311297E-1,-2.869792283E-1,4.910706356E-2
4.686847917E0,5.503444076E-1,-1.625473350E-1,-3.843160113E-3
4.716814917E0,5.263325572E-1,-7.155369967E-2,-9.736550599E-2
4.746781917E0,5.068783164E-1,-1.804636717E-1,-1.643230021E-1
4.776748917E0,5.694488287E-1,-1.769529656E-2,-1.484613568E-1
4.806715917E0,5.943191648E-1,2.575492859E-1,-4.088734835E-2
4.836683000E0,4.409733713E-1,1.971744150E-1,6.184241548E-2
4.866650000E0,1.406530142E-1,3.652572259E-2,1.187375411E-1
4.896617000E0,6.185839698E-2,-1.540488796E-3,8.978422731E-2
4.926584000E0,4.560143501E-2,2.762611508E-1,1.646408997E-2
4.956551000E0,-1.210101247E-1,6.454985142E-1,-4.300574213E-2
4.986518000E0,-2.721960843E-1,6.377123594E-1,2.432692051E-2
5.016485000E0,-2.649467885E-1,5.007743239E-1,1.253795475E-1
5.046452000E0,-1.450434327E-1,7.121057510E-1,1.994360387E-1
5.076419000E0,-1.071997732E-1,7.917241454E-1,1.886525154E-1
5.106386000E0,-1.212616041E-1,6.484143734E-1,1.075613573E-1
5.136353000E0,-1.116157770E-1,6.525265574E-1,5.804189295E-2
5.166320000E0,-9.247022122E-2,5.390627384E-1,9.755650908E-2
5.196287000E0,-6.082782522E-2,3.471821249E-1,1.593917906E-1
5.226254000E0,-1.974081993E-2,2.419957668E-1,1.637747437E-1
5.256221000E0,1.281914301E-2,2.799912989E-1,1.517967284E-1
5.286188000E0,5.847792700E-2,3.082208931E-1,1.137767583E-1
5.316155000E0,7.806978375E-2,3.963463902E-1,6.097281724E-2
5.346122000E0,1.187372431E-1,4.958566129E-1,2.749646548E-3
5.376089000E0,1.654531807E-1,3.021943867E-1,2.388046123E-2
5.406056000E0,1.624328047E-1,2.641834915E-1,1.460144995E-3
5.436023000E0,1.423884779E-1,3.453963995E-1,-4.532295838E-2
5.465990000E0,7.216664404E-2,4.558403194E-1,-9.961187840E-2
5.495957000E0,5.076923966E-2,6.133191586E-1,-9.956961125E-2
5.525924000E0,7.080443203E-2,8.079087734E-1,-1.046164557E-1
5.555891000E0,3.570448607E-2,9.002274275E-1,-1.104127914E-1
5.585858000E0,8.690979332E-3,8.675464988E-1,-1.116088480E-1
5.615825000E0,-3.748661280E-2,8.351181746E-1,-1.596802771E-1
5.645792000E0,-9.447025508E-2,8.427522182E-1,-2.054664344E-1
5.675759000E0,-1.715147346E-1,7.606893778E-1,-1.917414963E-1
5.705726000E0,-1.950700134E-1,7.550804615E-1,-1.691923141E-1
5.735693000E0,-1.763472408E-1,9.022901058E-1,-2.004862279E-1
5.765660000E0,-1.516848505E-1,9.343432188E-1,-2.620957792E-1
5.795627000E0,-2.469901443E-1,9.996168613E-1,-3.268460631E-1
5.825594000E0,-3.714849353E-1,1.035093427E0,-2.827821076E-1
5.855561000E0,-4.640346169E-1,1.054469943E0,-1.918321252E-1
5.885528000E0,-4.370540380E-1,9.920958877E-1,-4.794822633E-2
5.915495000E0,-3.684196174E-1,9.427560568E-1,9.878616780E-2
5.945462000E0,-2.712720037E-1,9.776018858E-1,7.131505013E-2
5.975429000E0,-2.448014617E-1,1.128389359E0,-2.198712528E-2
6.005396000E0,-2.376611978E-1,1.166454196E0,-4.945515841E-2
6.035363000E0,-3.309300840E-1,1.151569724E0,-5.564929172E-2
6.065330000E0,-4.248128831E-1,1.220642090E0,-3.410043567E-2
6.095297000E0,-4.175311923E-1,1.287656546E0,-4.291675054E-3
6.125264000E0,-3.987329304E-1,1.463038921E0,6.415997446E-2
6.155231000E0,-4.065354764E-1,1.590445161E0,1.008532345E-1
6.185198000E0,-3.679482937E-1,1.717769980E0,7.455797493E-2
