"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.198812500E-2,2.940301627E-1,1.101720679E-1,-8.168028170E-1
4.195512501E-2,4.186650261E-1,1.302859050E-1,1.073268127E-1
7.192212500E-2,2.026823285E-1,1.259203738E-1,2.831847471E-1
1.018891250E-1,-3.717721108E-1,-1.719841540E-2,-2.330700159E-1
1.318561250E-1,-4.946586567E-1,1.124744090E-1,-3.138253266E-1
1.618231250E-1,-2.532627904E-1,5.622302502E-2,-4.016879278E-1
1.917901250E-1,1.275115474E-1,-2.770030707E-1,1.035094580E0
2.217571250E-1,-5.138492185E-1,1.158912295E-1,8.467961097E-1
2.517241250E-1,2.431339511E-1,1.377482970E0,9.105804616E-1
2.816911250E-1,-2.958889925E-1,6.146341664E-1,-5.171616662E-1
3.116591250E-1,-1.373876554E0,-4.910588184E-1,3.009264858E0
3.416261250E-1,2.089743565E0,2.635807872E-1,6.174963784E-1
3.715931250E-1,2.591374295E0,6.164473879E-1,1.042949145E0
4.015601250E-1,9.507239360E-1,-2.936910242E-1,-9.366929573E-1
4.315271250E-1,8.641541541E-2,-1.910976933E0,1.107287228E-1
4.614941250E-1,3.686961830E-2,-1.483109267E0,-6.553769803E-1
4.914611250E-1,8.734643832E-1,-4.733977421E-1,2.298562108E0
5.214281250E-1,-1.295158267E-4,-8.948669466E-1,-1.430048854E0
5.513951250E-1,5.975731605E-1,-1.881363563E-1,-2.146806981E0
5.813621250E-1,7.344275352E-1,-6.402737685E-1,-1.130212991E0
6.113291250E-1,1.865177301E0,-9.347695157E-2,-5.404581428E-2
6.412961250E-1,5.372319415E-1,2.858849913E-3,-2.158309039E0
6.712641250E-1,1.081036446E0,-1.968707809E-1,-1.762332087E0
7.012311250E-1,1.968472020E0,-8.040405379E-1,6.189804018E-2
7.311981250E-1,5.825684743E-1,-4.385280177E-2,-1.389521218E0
7.611651250E-1,-3.998526330E-1,-5.304004933E-1,-1.733077882E0
7.911321250E-1,4.487656883E-1,-5.532085812E-1,1.093983058E0
8.210991250E-1,-1.805317454E0,-2.767107099E-1,-7.130422211E-1
8.510661667E-1,-2.571430612E0,4.122997472E-1,-1.176943939E0
8.810331667E-1,1.240163157E0,8.027332467E-1,1.657893798E0
9.110001667E-1,5.479680142E-1,1.226453775E0,5.542283356E-2
9.409671667E-1,-1.006025732E0,7.052367729E-1,9.793431330E-1
9.709341667E-1,2.432330614E-1,1.414115192E0,2.664011917E0
1.000901167E0,-2.867799076E-1,-1.154323693E-1,2.025839784E0
1.030868167E0,-1.098698545E0,2.934088960E-1,7.983601141E-1
1.060836167E0,-8.109152555E-1,7.255048303E-1,4.064621794E-1
1.090803167E0,-7.294933623E-1,8.036895588E-2,4.069895983E-1
1.120770167E0,-8.756719995E-1,-2.351194650E-1,5.825908399E-1
1.150737167E0,-4.272753435E-1,1.201275373E-1,9.656518775E-1
1.180704167E0,-4.991224211E-1,-2.831867936E-1,5.991051310E-1
1.210671167E0,-5.358791882E-1,-1.888820225E-1,5.605509299E-1
1.240638167E0,-2.520617723E-1,-5.195967391E-2,4.213363266E-1
1.270605167E0,-8.674344420E-2,2.288052030E-1,5.518017411E-1
1.300572167E0,-2.766639322E-1,1.745012341E-1,1.084488934E-1
1.330539167E0,-4.397407302E-1,2.792716442E-1,2.293324757E-1
1.360506167E0,-2.674820495E-1,2.229546252E-1,1.609446108E-1
1.390473167E0,-2.489013523E-1,9.185800374E-2,-3.117150664E-3
1.420440167E0,-2.998800096E-1,4.092238194E-1,1.619561791E-2
1.450407167E0,-1.812473130E-1,3.422436717E-1,5.899787968E-1
1.480374167E0,-8.888928464E-1,-9.401796520E-2,1.010473709E0
1.510342167E0,-8.153269798E-1,6.842879534E-2,1.125187894E0
1.540309167E0,-6.548457608E-1,2.249394625E-2,7.792940980E-1
1.570276167E0,-9.181397420E-1,-5.865897506E-2,5.736989790E-1
1.600243167E0,1.022865129E0,-2.201783672E-1,6.471172035E-1
1.630210167E0,9.459157705E-2,-1.534206769E0,4.385845603E0
1.660177167E0,-1.065263289E-1,-1.448383384E0,1.239423192E0
1.690144167E0,2.368843886E0,-2.377530509E0,-9.776936334E-1
1.720111167E0,-8.201269591E-1,-7.579114151E-1,-1.691127033E0
1.750078167E0,-9.776719987E-2,-1.189317816E0,-6.412945461E-1
1.780045167E0,-8.655551469E-1,-4.096512508E-1,-1.022407876E0
1.810012167E0,-8.455541611E-2,7.237975895E-1,-1.455135748E0
1.839978625E0,8.187516940E-1,3.508914113E-3,-2.146883579E0
1.869945625E0,1.637511574E0,1.695212483E0,-1.915143805E0
1.899912625E0,2.180163592E-2,1.041037690E0,-2.298329388E0
