"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.512694359E-2,5.233482860E1,4.863931770E0,4.705688119E0,NaN,NaN,3.933333333E1,2.422410011E1
1.512694359E-2,5.233482801E1,4.863931950E0,4.707952797E0,NaN,NaN,3.933333333E1,1.884697342E1
4.817650318E-1,5.233488466E1,4.863930406E0,4.691583395E0,NaN,NaN,3.500000000E1,1.642211151E1
2.089540005E0,5.233491050E1,4.863930651E0,4.680396497E0,NaN,NaN,3.500000000E1,1.623266602E1
8.098022938E0,5.233490248E1,4.863911765E0,4.689002872E0,NaN,NaN,3.500000000E1,1.941026878E1
8.637547016E0,5.233490176E1,4.863909672E0,4.692748487E0,NaN,NaN,3.500000000E1,1.680139160E1
1.005064702E1,5.233490361E1,4.863907117E0,4.695148826E0,NaN,NaN,3.500000000E1,1.623484993E1
1.606084204E1,5.233491101E1,4.863905126E0,4.706482351E0,NaN,NaN,3.500000000E1,1.941183853E1
1.646472204E1,5.233491352E1,4.863905249E0,4.711342573E0,NaN,NaN,3.500000000E1,1.667930222E1
1.788626599E1,5.233490005E1,4.863909864E0,4.714512527E0,NaN,NaN,3.500000000E1,1.617997551E1
2.389416599E1,5.233490167E1,4.863909544E0,4.714444935E0,NaN,NaN,3.500000000E1,1.939505005E1
2.429794896E1,5.233490334E1,4.863908976E0,4.717106402E0,NaN,NaN,3.500000000E1,1.666988373E1
2.578932595E1,5.233490682E1,4.863907892E0,4.718849540E0,NaN,NaN,3.500000000E1,1.624420547E1
3.179750502E1,5.233491686E1,4.863904805E0,4.727666676E0,NaN,NaN,3.500000000E1,1.941336060E1
3.219656396E1,5.233492681E1,4.863912970E0,4.726159453E0,NaN,NaN,3.500000000E1,1.667573166E1
3.820343101E1,5.233489965E1,4.863911382E0,4.737870812E0,NaN,NaN,3.500000000E1,1.953474998E1
3.864540601E1,5.233489699E1,4.863911173E0,4.748691976E0,NaN,NaN,3.500000000E1,1.678179932E1
4.006040895E1,5.233489676E1,4.863910276E0,4.755639374E0,NaN,NaN,3.500000000E1,1.622658730E1
4.607019699E1,5.233490249E1,4.863907350E0,4.761958659E0,NaN,NaN,3.500000000E1,1.940927696E1
4.658276999E1,5.233490813E1,4.863906570E0,4.764709175E0,NaN,NaN,3.500000000E1,1.677661896E1
4.799824095E1,5.233489701E1,4.863910188E0,4.766478479E0,NaN,NaN,3.500000000E1,1.622436714E1
5.414316297E1,5.233489741E1,4.863909809E0,4.766398072E0,NaN,NaN,3.500000000E1,1.948341370E1
5.454595196E1,5.233489975E1,4.863909597E0,4.767104864E0,NaN,NaN,3.500000000E1,1.671801186E1
5.595306098E1,5.233490290E1,4.863908763E0,4.767561615E0,NaN,NaN,3.500000000E1,1.618570518E1
6.196404696E1,5.233491003E1,4.863906494E0,4.768022895E0,NaN,NaN,3.500000000E1,1.939839363E1
6.236887693E1,5.233491247E1,4.863905982E0,4.772320092E0,NaN,NaN,3.500000000E1,1.667270088E1
6.383843803E1,5.233489870E1,4.863910257E0,4.775139987E0,NaN,NaN,3.500000000E1,1.622414970E1
6.984830797E1,5.233490231E1,4.863909079E0,4.774039447E0,NaN,NaN,3.500000000E1,1.940863419E1
7.026538396E1,5.233490438E1,4.863908538E0,4.774267197E0,NaN,NaN,3.500000000E1,1.668959808E1
7.183398795E1,5.233490774E1,4.863907529E0,4.774413943E0,NaN,NaN,3.500000000E1,1.632971954E1
7.784439898E1,5.233493688E1,4.863898601E0,4.779171824E0,NaN,NaN,3.500000000E1,1.943877792E1
7.844673800E1,5.233491546E1,4.863905189E0,4.768137813E0,NaN,NaN,3.500000000E1,1.687284470E1
7.986176801E1,5.233490909E1,4.863907149E0,4.761110723E0,NaN,NaN,3.500000000E1,1.627368546E1
8.587106895E1,5.233491257E1,4.863906098E0,4.755995274E0,NaN,NaN,3.500000000E1,1.942231941E1
8.587601602E1,5.233491094E1,4.863906622E0,4.753901839E0,NaN,NaN,3.500000000E1,1.630860329E1
8.627419198E1,5.233491284E1,4.863906033E0,4.751541615E0,NaN,NaN,3.500000000E1,1.483773136E1
8.770151198E1,5.233490275E1,4.863909110E0,4.749675214E0,NaN,NaN,3.500000000E1,1.521220112E1
9.371142793E1,5.233490205E1,4.863909317E0,4.747471273E0,NaN,NaN,3.500000000E1,1.912368393E1
9.425889397E1,5.233490289E1,4.863909064E0,4.746481001E0,NaN,NaN,3.500000000E1,1.665184212E1
9.570265400E1,5.233490497E1,4.863908443E0,4.745833457E0,NaN,NaN,3.500000000E1,1.618784142E1
1.017130920E2,5.233491547E1,4.863905230E0,4.742942452E0,NaN,NaN,3.500000000E1,1.939869118E1
1.021164870E2,5.233491730E1,4.863904668E0,4.740371943E0,NaN,NaN,3.500000000E1,1.667155075E1
1.035418370E2,5.233490381E1,4.863908783E0,4.738706172E0,NaN,NaN,3.500000000E1,1.617974472E1
1.095509930E2,5.233490490E1,4.863908455E0,4.732438326E0,NaN,NaN,3.500000000E1,1.939568710E1
1.099565960E2,5.233490635E1,4.863908015E0,4.734442711E0,NaN,NaN,3.500000000E1,1.667190552E1
1.113808600E2,5.233490939E1,4.863907086E0,4.735747337E0,NaN,NaN,3.500000000E1,1.617884636E1
1.173908950E2,5.233491829E1,4.863904366E0,4.740889013E0,NaN,NaN,3.500000000E1,1.939592552E1
1.179176750E2,5.233490502E1,4.863908420E0,4.753120303E0,NaN,NaN,3.500000000E1,1.678212357E1
1.192198950E2,5.233489826E1,4.863910475E0,4.760863781E0,NaN,NaN,3.500000000E1,1.611441994E1
1.252296439E2,5.233483560E1,4.863929627E0,4.768849254E0,NaN,NaN,3.933333333E1,1.937756348E1
1.257571790E2,5.233486659E1,4.863920373E0,4.765084743E0,NaN,NaN,3.500000000E1,1.677278328E1
1.270600030E2,5.233487776E1,4.863917054E0,4.762709498E0,NaN,NaN,3.500000000E1,1.611010361E1
1.330692379E2,5.233483052E1,4.863931239E0,4.760283470E0,NaN,NaN,3.933333333E1,1.937605667E1
1.336206959E2,5.233487240E1,4.863918396E0,4.768256426E0,NaN,NaN,3.500000000E1,1.679349136E1
1.349008900E2,5.233489011E1,4.863912959E0,4.773301542E0,NaN,NaN,3.500000000E1,1.609825325E1
1.409113150E2,5.233483448E1,4.863929945E0,4.778527260E0,NaN,NaN,3.933333333E1,1.937337875E1
1.413063930E2,5.233488131E1,4.863915653E0,4.785446107E0,NaN,NaN,3.500000000E1,1.664982414E1
1.426256729E2,5.233492011E1,4.863903803E0,4.789907396E0,NaN,NaN,3.500000000E1,1.606187630E1
1.486332940E2,5.233483971E1,4.863928375E0,4.794581771E0,NaN,NaN,3.933333333E1,1.936152840E1
1.490630010E2,5.233487508E1,4.863917568E0,4.791193604E0,NaN,NaN,3.500000000E1,1.667504120E1
1.503506500E2,5.233488580E1,4.863914293E0,4.789040983E0,NaN,NaN,3.500000000E1,1.604309273E1
1.563605350E2,5.233482885E1,4.863931696E0,4.786826193E0,NaN,NaN,3.933333333E1,1.935749817E1
1.567729230E2,5.233487130E1,4.863918497E0,4.783948898E0,NaN,NaN,3.500000000E1,1.665690613E1
1.580747759E2,5.233486935E1,4.863919080E0,4.780684948E0,NaN,NaN,3.500000000E1,1.604792976E1
1.640845110E2,5.233482653E1,4.863932312E0,4.777301729E0,NaN,NaN,3.933333333E1,1.935877991E1
1.644903520E2,5.233485883E1,4.863922683E0,4.774843752E0,NaN,NaN,3.500000000E1,1.665159798E1
1.707915760E2,5.233482443E1,4.863933133E0,4.772496879E0,NaN,NaN,3.933333333E1,1.968556595E1
1.711942550E2,5.233487878E1,4.863916472E0,4.767319202E0,NaN,NaN,3.500000000E1,1.682943153E1
1.724426490E2,5.233489731E1,4.863910791E0,4.764088333E0,NaN,NaN,3.500000000E1,1.608522034E1
1.784521390E2,5.233484544E1,4.863926630E0,4.760781050E0,NaN,NaN,3.933333333E1,1.936917114E1
1.790190300E2,5.233487844E1,4.863916544E0,4.763453782E0,NaN,NaN,3.500000000E1,1.680360413E1
1.804342099E2,5.233489065E1,4.863912810E0,4.765181243E0,NaN,NaN,3.500000000E1,1.623804474E1
1.864447299E2,5.233484133E1,4.863927879E0,4.766949832E0,NaN,NaN,3.933333333E1,1.941292191E1
1.868555160E2,5.233488722E1,4.863913859E0,4.761085451E0,NaN,NaN,3.500000000E1,1.668622398E1
1.882813190E2,5.233488818E1,4.863913566E0,4.757298648E0,NaN,NaN,3.500000000E1,1.618779564E1
1.942919130E2,5.233483933E1,4.863928490E0,4.753455222E0,NaN,NaN,3.933333333E1,1.939876556E1
1.946937250E2,5.233487975E1,4.863916141E0,4.744256914E0,NaN,NaN,3.500000000E1,1.667014122E1
1.962362560E2,5.233489299E1,4.863912094E0,4.738193393E0,NaN,NaN,3.500000000E1,1.629447365E1
2.022469530E2,5.233484190E1,4.863927705E0,4.732146382E0,NaN,NaN,3.933333333E1,1.942897034E1
2.026500540E2,5.233488981E1,4.863913067E0,4.732892990E0,NaN,NaN,3.500000000E1,1.668810272E1
2.039626120E2,5.233489063E1,4.863912814E0,4.733392298E0,NaN,NaN,3.500000000E1,1.607526398E1
2.099730049E2,5.233483975E1,4.863928360E0,4.733927906E0,NaN,NaN,3.933333333E1,1.936686707E1
2.103705850E2,5.233488145E1,4.863915620E0,4.739708066E0,NaN,NaN,3.500000000E1,1.664850044E1
2.116875089E2,5.233489534E1,4.863911377E0,4.743444502E0,NaN,NaN,3.500000000E1,1.605878830E1
2.176975520E2,5.233484147E1,4.863927838E0,4.747342646E0,NaN,NaN,3.933333333E1,1.936201859E1
2.180958899E2,5.233487810E1,4.863916663E0,4.695310116E0,NaN,NaN,3.500000000E1,1.664649582E1
2.194109790E2,5.233488887E1,4.863913380E0,4.661823034E0,NaN,NaN,3.500000000E1,1.605586815E1
2.254207530E2,5.233483287E1,4.863930469E0,4.627100170E0,NaN,NaN,3.933333333E1,1.936104393E1
2.258180000E2,5.233488061E1,4.863915880E0,4.660180032E0,NaN,NaN,3.500000000E1,1.664494705E1
2.271359600E2,5.233489831E1,4.863910467E0,4.681507409E0,NaN,NaN,3.500000000E1,1.605796623E1
2.331465449E2,5.233483447E1,4.863929973E0,4.703657389E0,NaN,NaN,3.933333333E1,1.936209106E1
2.335424989E2,5.233486283E1,4.863921135E0,4.711321533E0,NaN,NaN,3.500000000E1,1.664434052E1
2.348965930E2,5.233487151E1,4.863918410E0,4.716291487E0,NaN,NaN,3.500000000E1,1.609419441E1
2.409068310E2,5.233482913E1,4.863931564E0,4.721435010E0,NaN,NaN,3.933333333E1,1.937212753E1
2.413211219E2,5.233488050E1,4.863915896E0,4.729310930E0,NaN,NaN,3.500000000E1,1.666678429E1
2.426755739E2,5.233490032E1,4.863909861E0,4.734406888E0,NaN,NaN,3.500000000E1,1.610632515E1
2.486862609E2,5.233483639E1,4.863929411E0,4.739686668E0,NaN,NaN,3.933333333E1,1.937580490E1
