"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.198812500E-2,1.635954285E1,-4.399178314E1,-6.209095764E1
4.195512501E-2,1.664351654E1,-4.327471542E1,-6.232527161E1
7.192212500E-2,1.674502563E1,-4.268349457E1,-6.252476501E1
1.018891250E-1,1.678865814E1,-4.202525711E1,-6.297709656E1
1.318561250E-1,1.605400085E1,-4.175254822E1,-6.298951721E1
1.618231250E-1,1.471960449E1,-4.152485657E1,-6.354701233E1
1.917901250E-1,1.379650879E1,-4.135623169E1,-6.460362244E1
2.217571250E-1,1.358382416E1,-4.057892227E1,-6.466505432E1
2.517241250E-1,1.399484253E1,-4.080023575E1,-6.424626160E1
2.816911250E-1,1.398062134E1,-3.977973557E1,-6.477799988E1
3.116591250E-1,1.272808075E1,-3.970360947E1,-6.544017029E1
3.416261250E-1,1.090133667E1,-4.012971497E1,-6.552491760E1
3.715931250E-1,1.202629852E1,-3.881191254E1,-6.577616882E1
4.015601250E-1,1.693409729E1,-3.484773254E1,-6.702723694E1
4.315271250E-1,2.037181854E1,-2.925457001E1,-6.861485291E1
4.614941250E-1,2.230042267E1,-2.433924103E1,-7.016203308E1
4.914611250E-1,2.307727432E1,-2.256497192E1,-7.030455017E1
5.214281250E-1,2.369369888E1,-2.304167175E1,-6.917768860E1
5.513951250E-1,2.261202240E1,-2.336782837E1,-6.995991516E1
5.813621250E-1,2.210490036E1,-2.300344086E1,-7.048954773E1
6.113291250E-1,2.120601654E1,-2.292592621E1,-7.069865417E1
6.412961250E-1,2.004962540E1,-2.378783417E1,-7.101222229E1
6.712641250E-1,1.689095306E1,-2.475839996E1,-7.153343201E1
7.012311250E-1,1.122148895E1,-2.611002350E1,-7.225361633E1
7.311981250E-1,5.646286011E0,-2.739987946E1,-7.250782776E1
7.611651250E-1,-3.166580200E-1,-2.777370453E1,-7.269645691E1
7.911321250E-1,-7.026626587E0,-2.834394836E1,-7.250367737E1
8.210991250E-1,-1.319686127E1,-2.889808655E1,-7.124137878E1
8.510661667E-1,-1.852129364E1,-2.891555023E1,-7.046382141E1
8.810331667E-1,-2.341947174E1,-2.944908905E1,-6.863624573E1
9.110001667E-1,-2.724818420E1,-3.045870209E1,-6.705229187E1
9.409671667E-1,-3.099913788E1,-2.990382385E1,-6.569718933E1
9.709341667E-1,-3.293122864E1,-2.817377472E1,-6.580534363E1
1.000901167E0,-3.358763123E1,-2.751173401E1,-6.556498718E1
