"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.485045833E-2,1.794468384E0,5.986950073E0,7.475604401E0
3.104345835E-2,1.879341888E0,6.095474396E0,7.759563904E0
4.723545836E-2,1.909129944E0,6.382876740E0,8.190667419E0
7.713145835E-2,3.118165741E0,5.845643921E0,7.881859589E0
1.070264583E-1,1.711091766E0,5.221591644E0,7.122488708E0
1.369224584E-1,7.206015015E-1,5.501210175E0,5.609285431E0
1.668174583E-1,-3.995191956E-1,3.862418060E0,6.608607330E0
1.830104583E-1,-7.298822021E-1,3.625161438E0,8.372090149E0
1.992054583E-1,-9.003776550E-1,4.001478882E0,8.211623840E0
2.153984584E-1,-1.534309387E-1,4.458927612E0,6.326593781E0
2.315904583E-1,6.295907593E-1,4.168381805E0,5.920188904E0
2.477834584E-1,1.684746552E0,3.514391785E0,4.412075043E0
2.639784584E-1,1.085542603E0,3.386707306E0,7.861950989E0
2.801714583E-1,2.993774414E-1,3.630550232E0,5.298381958E0
2.963644583E-1,1.051862640E0,3.186573486E0,9.499246216E0
3.125574584E-1,3.179388428E-1,4.759352875E0,1.060694275E1
3.287524584E-1,-2.670446777E-1,3.893703003E0,6.688840485E0
3.449444583E-1,1.607207794E0,3.634591827E0,7.565567322E0
3.611374584E-1,2.581082611E0,2.051932983E0,6.294410706E0
3.773304583E-1,9.241781616E-1,2.097288666E0,6.932982788E0
3.935254583E-1,5.200186157E-1,2.177072754E0,6.868317261E0
4.097184583E-1,4.480183411E-1,2.616409149E0,5.668861542E0
4.259114584E-1,-6.351292419E-1,1.991458740E0,8.914412384E0
4.421034583E-1,-6.547384644E-1,1.657203827E0,9.880952454E0
4.582994583E-1,-9.990225220E-1,2.348765717E0,9.166488190E0
4.744914584E-1,-1.075214081E0,2.563419342E0,8.625513153E0
4.906844583E-1,-1.730700989E0,1.300046539E0,1.196671509E1
5.068774583E-1,-1.504521332E0,1.439257050E0,9.801168365E0
5.230724583E-1,-1.067879333E0,8.819659424E-1,8.163873138E0
5.392654584E-1,-3.272345123E0,4.888833618E-1,1.131182693E1
5.554574583E-1,-2.935695190E0,3.150947571E-1,1.110854965E1
5.716504584E-1,-2.722089386E0,-1.507365417E-1,1.057880127E1
5.878454584E-1,-3.667223969E0,2.450404358E-1,1.012838791E1
6.040384583E-1,-4.379742279E0,1.068328400E0,1.094987961E1
6.202314583E-1,-4.916076965E0,2.257305908E-1,1.233030899E1
6.364244584E-1,-4.022884369E0,9.954299927E-2,1.183289337E1
6.526194584E-1,-3.845802612E0,7.135661316E-1,1.129176865E1
6.688124583E-1,-4.552632751E0,2.290387115E0,1.030127838E1
6.850044584E-1,-4.609664154E0,2.517315216E0,9.980944519E0
7.011974583E-1,-4.729564819E0,2.780467987E0,9.506281586E0
7.173924583E-1,-4.474046173E0,2.419568481E0,9.684560852E0
7.335854583E-1,-3.663032684E0,1.797162781E0,9.326056366E0
7.497785834E-1,-3.437601471E0,1.582209778E0,8.954528961E0
7.659705833E-1,-3.329825592E0,1.069974976E0,7.263794861E0
7.821665833E-1,-3.924538879E0,-1.147962799E0,4.959935760E0
7.983595833E-1,-1.680555267E0,-1.982776794E0,5.226830750E0
8.145515833E-1,-4.863386536E-1,-1.045126648E0,5.496719513E0
8.307445833E-1,-1.187779999E0,-1.609752502E0,7.434589691E0
8.469395833E-1,-1.897454224E0,-1.822609863E0,8.277786255E0
8.631325834E-1,-3.160827026E0,-1.610500946E0,7.744595032E0
8.793255833E-1,-4.065695343E0,-1.227297821E0,7.288643188E0
8.955175834E-1,-4.493356018E0,-1.575773163E0,7.313641205E0
