"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.485045833E-2,-2.356831729E-1,9.261972271E-3,8.917252719E-2
4.474545835E-2,-1.825856268E-1,1.617576182E-1,5.028308183E-2
7.464145834E-2,-2.327111661E-1,5.037859678E-1,-1.744068414E-1
1.045364584E-1,-1.246491671E-1,9.941070080E-1,-1.576451808E-1
1.344324583E-1,-9.456636906E-1,1.061183453E0,-3.317130357E-2
1.643274584E-1,-1.534560561E0,1.838480830E0,6.016636267E-2
1.942224583E-1,-9.376876950E-1,2.281733513E0,6.443418264E-1
2.241184583E-1,-7.651540637E-1,2.746259689E0,6.448123455E-1
2.540134584E-1,-1.248646021E0,9.041633606E-1,3.306005597E-1
2.839094583E-1,-1.351545572E0,-3.856626451E-1,3.642419279E-1
3.138044584E-1,-8.409761190E-1,5.085877180E-1,4.133716524E-1
3.436994583E-1,-7.179296017E-1,1.977138221E-1,8.130507469E-1
3.735954583E-1,-5.227810740E-1,4.789097011E-1,9.635046124E-1
4.034904584E-1,-1.173380017E0,2.490288496E0,6.539700031E-1
4.333864583E-1,-1.812720418E0,2.395576000E0,2.589679658E-1
4.632814584E-1,-6.728230119E-1,2.296139717E0,3.874615133E-1
4.931774584E-1,-1.138173699E0,1.500011832E-1,4.746387899E-1
5.230724583E-1,-1.521177649E0,1.892859101E0,2.631502151E-1
5.529674584E-1,-2.084479570E0,9.417657554E-2,-1.926108152E-1
5.828634583E-1,-1.584337234E0,1.482075691E0,-5.678386688E-1
6.127584584E-1,3.428707123E-1,8.011088967E-1,-2.863360643E-1
6.426544584E-1,1.691205382E0,3.585792184E-1,-5.072748661E-1
6.725494583E-1,9.338091612E-1,1.660785824E-1,-5.659798980E-1
7.024454584E-1,3.257244527E-1,-5.507496372E-2,-5.312029123E-1
7.323404583E-1,-3.148250282E-1,-1.714097559E-1,-3.170244098E-1
7.622355834E-1,-8.308982849E-1,-9.204789996E-1,7.822255045E-2
7.921315834E-1,-1.824304461E0,-1.236324072E0,3.773922622E-1
8.220265833E-1,-2.207751989E0,-5.060641170E-1,-5.225577354E-1
8.519225834E-1,-1.570737004E0,1.545989394E0,-1.573393345E0
8.818175833E-1,-1.255272031E0,3.871320486E0,-2.627950907E0
9.117135833E-1,-1.073340178E0,4.956427574E0,-3.248289347E0
9.416085834E-1,-1.716467977E0,4.588870049E0,-3.362371206E0
9.715035833E-1,-1.767089128E0,3.286564589E0,-2.275463820E0
1.001399583E0,-1.664012551E0,1.981717825E0,-1.080204010E0
1.031294583E0,-2.854906082E0,4.276676476E-1,-1.603276730E-1
1.061190583E0,-3.041367292E0,1.909777988E-3,8.281586319E-2
1.091085583E0,-2.719167471E0,8.959854841E-1,-6.456970572E-1
1.120981583E0,-1.038362861E0,7.360897660E-1,-2.302081287E-1
1.150876583E0,3.755088449E-1,1.893194020E-1,-5.565656722E-2
1.180771583E0,3.152558506E-1,9.808004498E-1,-2.099801600E-1
1.210667583E0,2.269807458E-1,1.045202971E0,-9.330605716E-2
1.240562583E0,3.864039853E-2,6.450562924E-2,1.651291251E-1
1.270458583E0,-6.068991423E-1,-8.485355377E-1,8.311367035E-1
1.300353583E0,-8.524008989E-1,-1.117521524E0,8.736496568E-1
1.330249583E0,-1.757705331E0,2.320958376E-1,6.872966886E-1
1.360144583E0,-1.747721195E0,-4.338227808E-1,5.883796811E-1
1.390039583E0,-8.633341193E-1,-6.235525608E-1,1.281870604E0
1.419935583E0,-6.710047722E-1,1.523797661E-1,1.410876870E0
1.449830583E0,-3.220414221E-1,4.868053496E-1,9.943289161E-1
1.479726583E0,-7.663245499E-2,4.537387490E-1,1.591320634E0
1.509621583E0,-5.275596976E-1,4.649236798E-1,1.395101428E0
1.539516583E0,-1.181836247E0,4.601054490E-1,8.594491482E-1
1.569412583E0,-8.441894650E-1,7.738549709E-1,1.292494833E-1
1.599307583E0,4.983521104E-1,6.183457971E-1,-6.082107425E-1
1.629203583E0,-3.894339502E-1,3.649601340E-1,-1.052209973E0
1.659098583E0,-6.533230543E-1,9.137427062E-2,-1.027703166E0
1.688993583E0,-7.431501150E-1,6.374796629E-1,-1.122145534E0
1.718889583E0,-7.765136361E-1,1.213750958E0,-1.491165638E0
1.748784333E0,-5.690094233E-1,1.502072692E0,-1.763932109E0
1.778680333E0,-1.812655032E-1,1.416085124E0,-1.906677365E0
1.808575333E0,7.594849914E-2,1.088115215E0,-2.016597033E0
1.838470333E0,8.000272512E-1,2.245628238E-1,-2.638089657E0
1.868366333E0,1.520880818E0,-6.431698799E-1,-2.698815584E0
1.898261333E0,-2.844546735E-2,-6.643881202E-1,-9.755269289E-1
1.928157333E0,-8.201871514E-1,-2.041944742E0,-1.114097118E0
1.958052333E0,-1.179879829E-1,-2.002514839E0,-2.069766283E0
1.987947333E0,1.017525345E-1,-1.385070443E0,-2.723251343E0
2.017843333E0,-7.694318891E-1,-1.565291524E0,-8.690385818E-1
2.047738333E0,-1.860656023E0,-1.209243298E0,-1.214541197E0
2.077634333E0,-1.216088176E0,-1.776435733E0,-1.836076498E0
2.107529333E0,-4.053792655E-1,-3.422791958E0,-3.297977686E0
2.137424333E0,-2.128200054E0,-4.100077152E0,-4.719792843E0
2.167320333E0,-2.534646749E0,-4.638006687E0,-4.819777489E0
2.197215333E0,4.140589386E-3,-4.777382851E0,-3.600744486E0
2.227111333E0,-1.675069451E0,-2.563992500E0,-5.800340772E-1
2.257006333E0,4.413303137E-1,2.409167290E0,3.746716499E0
2.286901333E0,1.274540782E0,3.398654699E0,2.920995235E0
2.316797333E0,9.965922832E-1,2.061963081E-1,1.573206186E-1
2.346692333E0,9.793822765E-1,6.536522508E-1,-4.788376763E-2
2.376588333E0,5.145202205E-2,5.690542459E-1,-1.127012819E-1
2.406483333E0,-2.699199617E-1,-2.857996821E-1,-3.238419592E-1
2.436378333E0,4.976035058E-1,1.063333750E0,-3.437026143E-1
2.466274333E0,6.664327383E-1,1.008767962E0,1.043613702E-1
2.496169333E0,2.961905859E-2,-2.665383816E-1,-1.295526326E-1
2.526064333E0,2.160603851E-1,-1.720281988E-1,-1.177669317E-1
2.555960333E0,1.098488495E-1,-1.154982522E-1,-1.145578474E-1
2.585855333E0,-4.390345514E-2,8.200010657E-2,-7.919821888E-2
2.615751333E0,-8.365709335E-2,1.500388086E-1,-9.500321001E-2
2.645646333E0,-9.842873365E-2,1.164848208E-1,-1.324748397E-1
2.675541333E0,-6.304914504E-2,9.040507674E-2,-1.970938146E-1
2.705437333E0,-5.762647837E-2,-4.769098759E-2,-2.657654285E-1
2.735332333E0,-9.530115128E-2,-3.704366833E-2,-2.002812326E-1
2.765228583E0,-2.122603506E-1,4.201805592E-1,-4.842993990E-2
2.795123583E0,-3.950034678E-1,5.685762167E-1,8.293981850E-2
2.825018583E0,-4.670794904E-1,5.758182406E-1,1.898169518E-1
2.854914583E0,-3.700596690E-1,4.328739643E-1,2.889235020E-1
2.884809583E0,-4.587628543E-1,3.643637300E-1,3.308312595E-1
2.914705583E0,-5.246772766E-1,3.726593256E-1,3.535588086E-1
2.944600583E0,-5.026515126E-1,3.361496031E-1,2.194634080E-1
2.974495583E0,-3.114221692E-1,7.241519168E-3,1.376149803E-1
3.004391583E0,-3.332461119E-1,-1.636389829E-2,1.209809408E-1
3.034286583E0,-3.599497676E-1,1.160062402E-1,1.580467820E-1
3.064182583E0,-4.148443341E-1,1.264074892E-1,2.068620175E-1
3.094077583E0,-3.401579559E-1,5.288530607E-3,2.499055117E-1
3.123972583E0,-2.440452725E-1,-4.589463770E-2,2.320508361E-1
3.153868583E0,-1.654685587E-1,-1.927340217E-2,2.022928447E-1
3.183763583E0,-1.208993122E-1,3.701888770E-2,2.019040883E-1
3.213659583E0,-1.087092087E-1,8.146744221E-5,1.938435584E-1
3.243554583E0,-5.387358740E-2,8.532243222E-2,2.129712701E-1
3.273449583E0,-3.768778965E-2,7.033011317E-2,2.043350637E-1
3.303345583E0,-2.147509530E-2,1.089430153E-1,1.853303015E-1
3.333240583E0,-5.592237413E-2,6.333832443E-2,1.401959509E-1
3.363135583E0,-9.609104693E-2,1.757879108E-1,1.921129227E-1
3.393031583E0,-7.362868637E-2,7.806593180E-2,1.564060748E-1
3.422926583E0,-6.373681873E-2,-6.936123129E-3,1.241100729E-1
3.452822583E0,-5.623354763E-2,-2.288469113E-2,8.759601414E-2
3.482717583E0,-4.468010366E-2,-1.890169531E-1,7.223255001E-3
3.512612583E0,-6.631363183E-2,-2.494687736E-1,-4.447254166E-2
3.542508583E0,-6.573877484E-2,-1.418424100E-1,-1.840278879E-2
3.572403583E0,-7.908149064E-2,-4.390877113E-2,-7.012671791E-3
3.602298583E0,-6.861104071E-2,-1.332992911E-1,-4.818212986E-2
3.632194583E0,-1.738603041E-2,-1.197713837E-1,-5.558009818E-2
3.662089583E0,2.204283606E-3,-9.897980839E-2,-4.559677467E-2
3.691984583E0,5.594666116E-3,-1.295991540E-1,-3.209389746E-2
3.721880583E0,-1.856842265E-2,-1.374137551E-1,-2.205173299E-2
3.751775583E0,-4.182913154E-2,-9.606667608E-2,-2.803911828E-2
3.781671583E0,-3.970272839E-2,-4.883076996E-2,-4.978087544E-2
3.811566583E0,-1.593877934E-2,3.394699842E-2,-8.494183421E-2
3.841461583E0,-9.141536430E-3,6.084798276E-2,-1.084142178E-1
3.871357583E0,-6.978482939E-3,5.318476260E-2,-1.066689938E-1
3.901252583E0,-3.439103719E-3,2.155777626E-2,-8.466923982E-2
3.931147583E0,2.306972630E-2,4.850777984E-2,-6.056891382E-2
3.961043583E0,4.077101499E-2,8.243737370E-2,-5.004871264E-2
3.990938583E0,4.306552932E-2,1.434328407E-1,-5.542524159E-2
4.020834583E0,2.448748425E-2,1.924275458E-1,-6.282529980E-2
4.050729583E0,-2.927648136E-3,1.773352027E-1,-7.842183858E-2
4.080624583E0,-1.725741848E-2,1.580669433E-1,-8.155364543E-2
4.110520583E0,-2.701530978E-2,1.862368137E-1,-7.259465009E-2
4.140415583E0,-2.029514685E-2,2.292672694E-1,-6.877986342E-2
4.170310583E0,5.285482388E-3,2.443439364E-1,-6.992307305E-2
4.200206583E0,2.417346463E-2,2.561478913E-1,-5.269069225E-2
4.230101583E0,3.156081960E-2,2.563189566E-1,-5.459852889E-2
4.259996583E0,5.559775233E-2,2.685033381E-1,-5.040670931E-2
