"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.485045833E-2,-2.556265274E-1,-5.833708584E-2,2.659664512E-2
4.474545835E-2,-2.158796404E-1,3.936158466E-1,6.534029603E-1
7.464145834E-2,9.639839593E-1,-1.029577732E-1,1.160274696E-1
1.045364584E-1,4.899835154E-2,-5.714723593E-1,-1.636156189E-1
1.344324583E-1,-8.803303300E-1,-2.551315606E-1,-2.115063617E0
1.643274584E-1,-1.202170874E0,-1.368292317E0,-1.687423407E0
1.942224583E-1,-1.530115179E0,-1.353228720E0,1.895006579E-1
2.241184583E-1,8.767511579E-2,-6.056972820E-1,-2.353477988E0
2.540134584E-1,2.219615779E0,-1.280432347E0,-4.020523848E0
2.839094583E-1,4.678205216E-1,-9.718478796E-1,-3.263095998E0
3.138044584E-1,3.446272161E-1,6.322605979E-1,1.186296560E0
3.436994583E-1,1.819009586E0,-3.461534125E-1,-1.341458275E0
3.735954583E-1,1.302682903E0,-1.667667127E0,-2.104412329E0
4.034904584E-1,1.159866707E0,-1.035236667E0,-3.147783058E0
4.333864583E-1,3.759078464E-1,-1.512677613E0,7.436132187E-1
4.632814584E-1,6.454334977E-1,-2.716683635E-1,-2.082193494E-1
4.931774584E-1,1.430224563E-1,-1.877610820E0,3.503007841E0
5.230724583E-1,1.511273112E0,-1.450698735E0,-1.009062776E0
5.529674584E-1,-5.122283703E-1,-1.620248693E0,2.163146440E0
5.828634583E-1,-3.920710123E-1,-1.435150842E0,1.003050084E0
6.127584584E-1,-1.503549525E0,-3.825787155E-1,2.758173138E0
6.426544584E-1,-4.788124099E-1,-1.374502645E0,2.520275077E0
6.725494583E-1,-1.017015574E0,7.114956325E-1,1.198848193E0
7.024454584E-1,-1.137733095E0,9.927082600E-1,5.801659995E-1
7.323404583E-1,-1.165236059E-1,6.748695508E-2,4.012107950E-1
7.622355834E-1,2.537770531E-1,-2.405588374E-1,-9.806897467E-1
7.921315834E-1,4.561354458E-1,-3.194826247E0,-4.143092598E0
8.220265833E-1,2.028662235E0,-1.554899480E0,-3.096216463E0
8.519225834E-1,7.922813487E-1,-1.833701447E0,-1.115005553E0
8.818175833E-1,-3.958649781E-1,-7.029220064E-1,-1.790966486E0
9.117135833E-1,-9.257519397E-1,-1.144853688E0,-1.178222725E0
9.416085834E-1,-3.473499867E0,-6.745086314E-1,-1.215349621E0
9.715035833E-1,-6.900959342E0,-8.473667979E-1,3.285948086E-1
1.001399583E0,-6.806122767E0,-1.410611540E0,4.174549448E-1
1.031294583E0,-6.572126552E0,2.377440754E0,6.187546992E-1
1.061190583E0,-3.948622391E0,1.877643272E-1,3.500147383E0
1.091085583E0,-1.995712590E0,6.820473003E-1,4.373968738E0
1.120981583E0,-2.361374068E0,-6.067427641E-1,4.463246366E0
1.150876583E0,-1.682573141E0,2.831280291E-2,2.885983917E0
1.180771583E0,-1.459811767E0,2.479301298E-1,6.335402611E-1
1.210667583E0,-1.687859609E0,-2.853324294E-1,5.343542343E-1
1.240562583E0,-1.038626883E0,-7.770318103E-1,-2.324168819E-1
1.270458583E0,-5.996062374E-1,-1.547395456E-1,-4.964517054E-1
1.300353583E0,-1.028033482E0,-1.296201410E0,-1.307549394E0
1.330249583E0,4.364022624E-1,2.184786986E0,-5.119146672E-1
1.360144583E0,-7.926526469E-1,-2.035392380E-1,8.236791426E-1
1.390039583E0,-2.606762413E0,3.836942911E-1,-1.830599499E-1
1.419935583E0,1.176338752E0,9.344213140E-1,7.183190408E-1
1.449830583E0,1.746346968E-1,4.204916963E-1,1.251102713E0
1.479726583E0,-4.669288212E-1,-3.447854564E-1,-3.443246958E-1
1.509621583E0,8.006206477E-1,-2.007439765E-1,-1.563924657E0
1.539516583E0,1.709622946E0,7.652180958E-1,-1.270219015E0
1.569412583E0,3.639071379E0,9.919254640E-1,1.982960982E0
1.599307583E0,5.337087017E0,1.000759730E0,3.800037917E0
1.629203583E0,3.113062291E0,1.965161473E-1,-2.244612772E0
1.659098583E0,8.203520769E-1,4.585620403E-1,1.699632101E-1
1.688993583E0,-4.324039364E-1,8.723148206E-1,-3.330100411E-1
1.718889583E0,-8.935399210E-1,7.189490783E-1,5.990273631E-1
1.748784333E0,-1.308256030E-1,7.101782548E-1,1.501745512E-1
1.778680333E0,7.431126970E-1,5.795491183E-1,2.731689783E-1
1.808575333E0,1.511645579E0,1.254801954E0,-7.116061449E-4
1.838470333E0,2.622635849E0,1.395723944E0,1.144201870E0
1.868366333E0,8.321014720E-1,3.128236985E-1,1.579000241E0
1.898261333E0,-4.337448199E0,-1.635168010E-1,-4.865817223E0
1.928157333E0,-2.637938012E0,-1.219419283E-1,-1.939037867E0
1.958052333E0,1.411764026E0,3.410344675E0,9.517219095E-1
1.987947333E0,-2.758485380E-1,3.886630796E0,5.118551718E-1
2.017843333E0,1.575310063E-1,2.526742682E0,-4.629351729E-1
2.047738333E0,2.569370930E0,-3.902648073E-1,-3.825188838E0
2.077634333E0,-2.839717823E-1,-3.442021966E-2,5.748638906E-2
2.107529333E0,1.668933780E0,-5.403622484E-1,1.821394666E0
2.137424333E0,2.742558441E0,1.954961005E0,-6.629158685E-1
2.167320333E0,8.842295457E-1,5.066526409E0,2.978335426E0
2.197215333E0,-6.276249254E-1,5.088810732E0,5.052444559E0
2.227111333E0,-5.098943957E0,4.189514812E0,-1.474867879E1
2.257006333E0,2.357759757E0,-2.855212477E1,1.767027401E0
2.286901333E0,-4.937707570E-1,6.694974214E0,-6.135541856E-1
2.316797333E0,5.853271175E-1,5.819373550E0,-2.061955111E0
2.346692333E0,-3.107807983E0,-2.305208638E0,2.812413080E0
2.376588333E0,1.082303537E0,-2.659951025E-1,8.843925369E-1
2.406483333E0,8.580886911E-1,1.001017592E0,2.856774151E-2
2.436378333E0,7.371843512E-1,1.907023777E0,-4.795705014E-1
2.466274333E0,2.208032884E-2,-2.955642967E0,-1.999870910E-1
2.496169333E0,6.850974273E-1,-5.355078900E-1,1.306628750E0
2.526064333E0,-4.836378247E-3,8.390198976E-1,3.147708213E-1
2.555960333E0,4.046268115E-1,4.790091687E-1,4.190734541E-1
2.585855333E0,-5.678757370E-2,-2.081152689E-1,3.975445908E-1
2.615751333E0,2.452173872E-1,2.630960530E-1,2.148753081E-1
2.645646333E0,5.393568197E-1,3.445191157E-1,-7.880994201E-2
2.675541333E0,8.226039858E-1,1.544267195E-1,5.356757051E-1
2.705437333E0,1.576433021E0,2.667236656E-1,2.606974886E-1
2.735332333E0,1.170459230E0,8.252502894E-1,-1.043294569E-1
2.765228583E0,-1.254021643E-1,7.275234354E-1,-5.092928488E-2
2.795123583E0,-2.178119259E-1,1.119794422E-1,-1.494951413E-1
2.825018583E0,4.874854387E-1,-6.138056159E-1,3.134651381E-1
2.854914583E0,3.935898996E-1,-2.091104650E-1,8.206409293E-1
2.884809583E0,6.961395286E-2,-5.231392747E-1,4.150073004E-1
2.914705583E0,-3.904372271E-1,-2.347540140E-1,4.890891838E-1
2.944600583E0,1.610483989E-1,1.688354284E-1,-1.947918034E-1
2.974495583E0,8.058498126E-1,1.473919344E-1,2.071516478E-1
3.004391583E0,4.072582778E-1,2.853078711E-1,1.336042364E-1
3.034286583E0,-3.152301567E-1,1.263881510E-1,-3.356512284E-1
3.064182583E0,-7.137219599E-1,-1.358904612E-1,-7.079656684E-1
3.094077583E0,-3.349540941E-1,-1.934223855E-1,-6.239107740E-1
3.123972583E0,6.548676878E-2,1.831324553E-1,8.113830328E-2
3.153868583E0,2.916323657E-1,-3.857992887E-3,-8.133009195E-2
3.183763583E0,6.315659853E-2,-2.481704503E-1,-2.588995063E-1
3.213659583E0,-5.324881686E-1,-1.399361497E-1,-5.624611422E-1
3.243554583E0,-8.284450619E-1,-1.777758211E-1,-3.555563200E-1
3.273449583E0,-6.340295269E-1,2.715154588E-2,-2.721281008E-1
3.303345583E0,-6.093433864E-1,6.724648833E-2,-4.809451818E-2
3.333240583E0,-9.174151989E-1,2.053308249E-2,-1.304898266E-1
3.363135583E0,-7.589314619E-1,-1.581566584E-1,-1.673227537E-1
3.393031583E0,-1.077092718E0,6.994965613E-2,3.706630401E-1
3.422926583E0,-1.195916984E0,8.348596036E-2,5.507163517E-1
3.452822583E0,-6.983559157E-1,3.087505281E-2,4.396733411E-1
3.482717583E0,-7.425681750E-1,1.063807333E-1,4.391926268E-1
3.512612583E0,-9.993707968E-1,-9.061079264E-2,2.124797769E-1
3.542508583E0,-8.310605215E-1,7.759255171E-4,-1.545173514E-1
3.572403583E0,-1.984847586E-1,-1.240486801E-2,9.656194255E-2
3.602298583E0,8.862551674E-2,-1.233563697E-1,2.555994840E-1
3.632194583E0,-1.182443135E-1,-4.674147248E-2,3.457582869E-2
3.662089583E0,-1.869304229E-1,4.711803317E-2,-4.842522208E-1
3.691984583E0,-2.624092427E-1,1.206146103E-1,-5.398396535E-1
3.721880583E0,-3.728148886E-1,3.999027729E-2,-5.850934482E-1
3.751775583E0,-1.124330217E-1,5.429958344E-2,-3.729363645E-1
3.781671583E0,2.915734002E-1,1.039319193E-1,-1.780980027E-1
3.811566583E0,6.265885064E-1,-1.720835567E-3,3.564915821E-2
3.841461583E0,6.679990724E-1,-4.256480634E-2,9.258503191E-2
3.871357583E0,2.722281248E-1,-2.129906774E-2,-9.376448840E-3
3.901252583E0,-5.521883883E-2,-1.421949291E-1,-5.448070094E-2
3.931147583E0,-1.010075623E-1,-4.506624520E-2,-1.364308901E-1
3.961043583E0,1.716351848E-1,-5.073512077E-2,-3.065110445E-1
3.990938583E0,4.952223649E-1,9.700589240E-2,-3.453610417E-1
4.020834583E0,3.905464239E-1,2.012447906E-1,-2.556694313E-1
4.050729583E0,2.010429520E-1,1.248058945E-1,-2.108715733E-1
4.080624583E0,-3.329723905E-2,-4.670697391E-2,-6.305403471E-2
4.110520583E0,-5.166115528E-3,-1.958466411E-2,-9.457754374E-2
4.140415583E0,1.587159811E-1,-1.772817314E-2,4.226250529E-2
4.170310583E0,1.580229947E-1,6.155363917E-3,6.498712420E-2
4.200206583E0,1.243647221E-1,-7.577348292E-2,-2.183109127E-2
4.230101583E0,1.115961573E-1,-5.072167218E-2,6.041350521E-2
4.259996583E0,2.346970037E-2,7.407837510E-2,-1.171957433E-1
4.289892583E0,-8.578450084E-3,1.116116524E-2,-2.207182114E-1
4.319787583E0,1.367877530E-1,-5.053806961E-2,-5.548883401E-2
4.349683583E0,1.281659604E-1,5.055911958E-2,-6.836564541E-2
4.379578583E0,1.977516639E-1,-1.021567047E-2,-1.713247342E-1
4.409473583E0,7.887166668E-2,8.757374883E-3,-5.454297379E-2
4.439369583E0,-6.429876074E-2,-4.267882705E-3,-1.448904955E-1
4.469264583E0,-8.269614771E-2,-6.286575437E-2,-8.036296248E-2
4.499159583E0,-7.907829266E-2,-7.173364162E-3,-9.163515173E-2
4.529055583E0,3.232275032E-2,-6.728332579E-2,-2.482974080E-1
4.558950583E0,1.397959993E-1,-2.675276577E-2,-2.172380217E-1
4.588845583E0,1.920747850E-1,1.161526000E-1,-2.309392174E-1
4.618741583E0,9.003937349E-2,1.714830476E-1,-3.194439161E-1
4.648636583E0,-7.613783754E-2,9.073767722E-2,-2.310000285E-1
4.678532583E0,-1.976650886E-1,4.840851367E-2,-2.182473242E-1
4.708427583E0,-1.300303086E-1,3.979322612E-2,-9.505474962E-2
4.738322583E0,-1.321801471E-1,2.335746306E-1,9.477042876E-2
4.768218708E0,-1.894967841E-1,-3.841796100E-2,4.015984654E-2
4.798113708E0,-2.129563250E-1,-2.631118405E-1,3.170945048E-2
4.828008708E0,6.062342025E-2,-2.084006131E-2,1.640202828E-1
4.857904708E0,2.850386799E-1,1.366336423E-1,1.389520999E-1
4.887799708E0,2.052213357E-1,-1.986404407E-1,-3.321035765E-4
4.917694708E0,2.964062519E-1,-8.167624712E-2,4.679996291E-2
4.947590708E0,4.366153204E-1,1.547284359E-1,3.896351536E-2
4.977485708E0,3.570592006E-1,5.656830311E-2,-1.658265791E-3
5.007381708E0,1.710087653E-1,-7.842987299E-2,-2.829759787E-2
5.037276708E0,1.763017380E-1,2.917936027E-2,4.017738819E-2
5.067171708E0,1.566779341E-1,8.782751799E-2,2.143554175E-1
5.097067708E0,1.880910404E-2,-4.545391560E-2,1.842989931E-1
5.126962708E0,-1.354693520E-1,-1.052908123E-2,3.136598869E-1
5.156858708E0,-6.213251352E-2,1.424410969E-1,2.301247734E-1
5.186753708E0,2.770725064E-2,1.823536062E-1,3.306343539E-1
5.216648708E0,-5.525103506E-2,2.353194398E-1,1.895147278E-1
5.246544708E0,-1.807374358E-2,2.583177084E-1,2.190313993E-1
5.276439708E0,-6.833045248E-2,1.481567502E-1,1.996157563E-1
5.306334708E0,-1.423651562E-1,-1.098317599E-1,2.059237691E-1
5.336230708E0,1.677993748E-2,-1.429135519E-1,1.849444709E-1
5.366125708E0,-8.587685030E-2,-1.525012314E-1,1.943549433E-1
5.396020708E0,8.073981553E-2,-1.115531802E-1,1.372727430E-1
5.425916708E0,-1.123138664E-1,9.442610085E-2,-8.211665209E-2
5.455811708E0,-1.622452874E-1,1.978592527E-1,-9.301169593E-2
5.485707708E0,2.206560116E-2,1.430199713E-1,-1.357383605E-1
5.515602708E0,1.723500435E-1,3.845304430E-2,-9.790285528E-2
