"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.357102394E-2,5.233482855E1,4.863932068E0,4.644061148E0,NaN,NaN,3.933333333E1,2.425365067E1
1.357102394E-2,5.233482798E1,4.863932099E0,4.645028591E0,NaN,NaN,3.933333333E1,1.886087990E1
1.232413054E0,5.233487938E1,4.863915845E0,4.602048993E0,NaN,NaN,3.500000000E1,1.710802841E1
2.928424001E0,5.233490281E1,4.863908463E0,4.574560881E0,NaN,NaN,3.500000000E1,1.665868378E1
8.940023065E0,5.233492210E1,4.863902931E0,4.513994515E0,NaN,NaN,3.500000000E1,1.953249550E1
9.357365966E0,5.233492238E1,4.863903018E0,4.488310128E0,NaN,NaN,3.500000000E1,1.675834274E1
1.081541002E1,5.233490890E1,4.863907245E0,4.492259562E0,NaN,NaN,3.500000000E1,1.625686073E1
1.682460999E1,5.233490599E1,4.863908160E0,4.585706174E0,NaN,NaN,3.500000000E1,1.941750717E1
1.735835302E1,5.233490784E1,4.863907574E0,4.617338181E0,NaN,NaN,3.500000000E1,1.680014420E1
1.876941597E1,5.233491050E1,4.863906748E0,4.637613297E0,NaN,NaN,3.500000000E1,1.623219681E1
2.478008902E1,5.233494489E1,4.863896236E0,4.654987574E0,NaN,NaN,3.500000000E1,1.941135406E1
2.525282001E1,5.233492827E1,4.863910432E0,4.681504965E0,NaN,NaN,3.500000000E1,1.674175644E1
3.126130998E1,5.233490908E1,4.863908343E0,4.644788444E0,NaN,NaN,3.500000000E1,1.955433083E1
3.175770402E1,5.233490726E1,4.863908003E0,4.640945792E0,NaN,NaN,3.500000000E1,1.684125328E1
3.319761300E1,5.233490789E1,4.863907036E0,4.638482273E0,NaN,NaN,3.500000000E1,1.628174591E1
3.920758200E1,5.233493009E1,4.863922703E0,4.659518957E0,NaN,NaN,3.500000000E1,1.942496872E1
3.954252601E1,5.233493683E1,4.863925928E0,4.664860725E0,NaN,NaN,3.500000000E1,1.662320709E1
4.555132902E1,5.233491845E1,4.863920961E0,4.660682321E0,NaN,NaN,3.500000000E1,1.952093124E1
4.576891804E1,5.233491234E1,4.863918022E0,4.658945799E0,NaN,NaN,3.500000000E1,1.656845665E1
5.177906907E1,5.233490598E1,4.863911363E0,4.670491934E0,NaN,NaN,3.500000000E1,1.950616837E1
5.217949200E1,5.233490715E1,4.863909016E0,4.662925124E0,NaN,NaN,3.500000000E1,1.672846413E1
5.358608305E1,5.233490933E1,4.863907203E0,4.658047259E0,NaN,NaN,3.500000000E1,1.619061661E1
5.959628201E1,5.233492250E1,4.863911906E0,4.669673920E0,NaN,NaN,3.500000000E1,1.939934158E1
