"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.485045833E-2,-2.167238998E1,-4.876162720E1,-5.379675293E1
4.474545835E-2,-2.210926628E1,-4.842227173E1,-5.433447266E1
7.464145834E-2,-2.104984093E1,-4.824817657E1,-5.487109375E1
1.045364584E-1,-2.004492950E1,-4.807328796E1,-5.526222229E1
1.344324583E-1,-1.831599808E1,-4.705257416E1,-5.687985229E1
1.643274584E-1,-1.568836975E1,-4.501123810E1,-5.888714600E1
1.942224583E-1,-1.253068161E1,-4.262888336E1,-6.114431763E1
2.241184583E-1,-8.490539551E0,-4.104748535E1,-6.360649109E1
2.540134584E-1,-5.769901276E0,-3.905134583E1,-6.512126160E1
2.839094583E-1,-5.822345734E0,-3.702838898E1,-6.585144043E1
3.138044584E-1,-5.668678284E0,-3.517485046E1,-6.689514160E1
3.436994583E-1,-6.120780945E0,-3.346515656E1,-6.790310669E1
3.735954583E-1,-6.141616821E0,-3.192182159E1,-6.876422119E1
4.034904584E-1,-3.902378082E0,-3.023338318E1,-6.944808960E1
4.333864583E-1,3.930778503E-1,-2.670472717E1,-7.112403870E1
4.632814584E-1,4.970066071E0,-2.411993408E1,-7.253956604E1
4.931774584E-1,6.969917297E0,-2.336303711E1,-7.214096069E1
5.230724583E-1,9.649356842E0,-1.998005676E1,-7.291357422E1
5.529674584E-1,1.050662994E1,-1.631975555E1,-7.368104553E1
5.828634583E-1,1.167211151E1,-1.206936646E1,-7.412083435E1
6.127584584E-1,1.488374710E1,-1.035807037E1,-7.361166382E1
6.426544584E-1,1.558778000E1,-1.300350952E1,-7.320883179E1
6.725494583E-1,1.618519211E1,-1.562395477E1,-7.234761047E1
7.024454584E-1,1.632836533E1,-1.671260071E1,-7.212666321E1
7.323404583E-1,1.591032791E1,-1.661264038E1,-7.201428223E1
7.622355834E-1,1.464577103E1,-1.524401093E1,-7.291561890E1
7.921315834E-1,1.191953659E1,-1.228720093E1,-7.385675049E1
8.220265833E-1,9.348190308E0,-7.921012878E0,-7.461540222E1
8.519225834E-1,1.013525391E1,-3.363380432E0,-7.501481628E1
8.818175833E-1,1.593767929E1,3.582305908E-1,-7.370663452E1
9.117135833E-1,2.452312088E1,4.318695068E0,-7.092683411E1
9.416085834E-1,3.342940903E1,9.942626953E0,-6.673051453E1
9.715035833E-1,3.918708420E1,1.604993439E1,-6.165415955E1
1.001399583E0,4.291672134E1,2.062383270E1,-5.813841248E1
1.031294583E0,4.446121597E1,2.505216217E1,-5.522422791E1
1.061190583E0,4.440019608E1,2.981433868E1,-5.251364136E1
1.091085583E0,4.480058670E1,3.480490875E1,-4.862271118E1
1.120981583E0,4.558327103E1,3.793065643E1,-4.596075439E1
1.150876583E0,4.598826981E1,3.834543610E1,-4.492395020E1
1.180771583E0,4.669655991E1,3.811766815E1,-4.460987854E1
1.210667583E0,4.797417068E1,3.794728851E1,-4.380079651E1
1.240562583E0,4.863656998E1,3.786408234E1,-4.246488953E1
1.270458583E0,4.910386276E1,3.740538788E1,-4.313453674E1
1.300353583E0,4.870084000E1,3.722806549E1,-4.351187134E1
1.330249583E0,4.923938370E1,3.777536774E1,-4.258641052E1
1.360144583E0,5.002670670E1,3.934465790E1,-4.052947998E1
1.390039583E0,5.061273575E1,3.963280487E1,-3.961335754E1
1.419935583E0,5.217145157E1,3.840415192E1,-3.912181091E1
1.449830583E0,5.407387161E1,3.676697540E1,-3.767835999E1
1.479726583E0,5.639883804E1,3.474524689E1,-3.664028931E1
1.509621583E0,5.862520981E1,3.253195953E1,-3.526838684E1
1.539516583E0,6.029146194E1,3.137244415E1,-3.331890869E1
1.569412583E0,6.155694199E1,3.143357086E1,-3.125965881E1
1.599307583E0,6.181645584E1,3.199315643E1,-3.017607117E1
1.629203583E0,6.143870163E1,3.283632660E1,-2.941017151E1
1.659098583E0,6.023338699E1,3.578079987E1,-2.774000549E1
1.688993583E0,5.926320267E1,3.827448273E1,-2.626057434E1
1.718889583E0,5.839017868E1,4.117302704E1,-2.367468262E1
1.748784333E0,5.708476639E1,4.420787811E1,-2.021566772E1
1.778680333E0,5.501823044E1,4.756255341E1,-1.772912598E1
1.808575333E0,5.275958633E1,5.072867584E1,-1.527606201E1
1.838470333E0,4.894477463E1,5.421048737E1,-1.544718933E1
1.868366333E0,4.400798416E1,5.741179657E1,-1.832377625E1
1.898261333E0,3.961169052E1,5.955123138E1,-2.032818604E1
1.928157333E0,3.816102982E1,6.052887726E1,-2.078961182E1
1.958052333E0,3.499221420E1,6.242388153E1,-2.189634705E1
1.987947333E0,2.886648941E1,6.479921722E1,-2.399905396E1
2.017843333E0,2.315693283E1,6.666884613E1,-2.449516296E1
2.047738333E0,2.044230270E1,6.820345306E1,-2.354298401E1
2.077634333E0,1.661990738E1,6.997353363E1,-2.066407776E1
2.107529333E0,1.087643814E1,7.136690521E1,-2.012350464E1
2.137424333E0,8.006134033E-1,7.251285553E1,-1.872949219E1
2.167320333E0,-1.179383850E1,7.285060883E1,-1.329826355E1
2.197215333E0,-2.332011223E1,7.081110382E1,-6.966827393E0
2.227111333E0,-3.065095520E1,6.834665680E1,-2.813430786E0
2.257006333E0,-3.086868477E1,6.867024994E1,2.435150146E-1
2.286901333E0,-2.367979050E1,7.155997467E1,-3.569015503E0
2.316797333E0,-1.829463577E1,7.276734161E1,-7.808135986E0
2.346692333E0,-1.802005768E1,7.294709015E1,-1.066880798E1
2.376588333E0,-1.776147842E1,7.238848114E1,-1.204197693E1
2.406483333E0,-1.822169876E1,7.206897736E1,-1.201133728E1
2.436378333E0,-1.921969986E1,7.218889618E1,-1.174967957E1
2.466274333E0,-1.896740723E1,7.207123566E1,-1.442892456E1
2.496169333E0,-1.874225998E1,7.163449860E1,-1.549177551E1
2.526064333E0,-1.907252502E1,7.121886444E1,-1.546157837E1
2.555960333E0,-1.981595993E1,7.135727692E1,-1.562237549E1
2.585855333E0,-1.999330330E1,7.119536591E1,-1.591264343E1
2.615751333E0,-2.018621826E1,7.111640167E1,-1.575289917E1
2.645646333E0,-2.022784424E1,7.111466217E1,-1.529013062E1
2.675541333E0,-2.076059151E1,7.097078705E1,-1.554483032E1
2.705437333E0,-2.121919250E1,7.074224091E1,-1.537908936E1
2.735332333E0,-2.181671906E1,7.054291534E1,-1.539437866E1
2.765228583E0,-2.193644905E1,7.040297699E1,-1.499049377E1
2.795123583E0,-2.210427284E1,7.054404449E1,-1.479263306E1
2.825018583E0,-2.150344467E1,7.069330597E1,-1.428628540E1
2.854914583E0,-2.057431602E1,7.070954132E1,-1.380563354E1
2.884809583E0,-1.992865944E1,7.095551300E1,-1.356094360E1
2.914705583E0,-1.918984985E1,7.116381073E1,-1.198106384E1
2.944600583E0,-1.850769043E1,7.170458221E1,-1.152531433E1
2.974495583E0,-1.769788742E1,7.175865936E1,-1.087457275E1
3.004391583E0,-1.743415451E1,7.179547882E1,-9.710754395E0
3.034286583E0,-1.745798874E1,7.139531708E1,-8.694473267E0
3.064182583E0,-1.685711288E1,7.176111603E1,-8.297988892E0
3.094077583E0,-1.666004562E1,7.175695038E1,-7.445465088E0
3.123972583E0,-1.587051773E1,7.195423126E1,-6.495483398E0
3.153868583E0,-1.565655899E1,7.187149811E1,-6.263748169E0
3.183763583E0,-1.515775299E1,7.203710175E1,-6.332321167E0
3.213659583E0,-1.492612076E1,7.215038300E1,-5.900009155E0
3.243554583E0,-1.467117691E1,7.219927216E1,-5.124877930E0
3.273449583E0,-1.414121246E1,7.229737091E1,-5.311248779E0
3.303345583E0,-1.364655685E1,7.221555328E1,-5.102737427E0
3.333240583E0,-1.329683304E1,7.231888580E1,-5.306365967E0
3.363135583E0,-1.258385468E1,7.242029572E1,-5.501312256E0
3.393031583E0,-1.223916626E1,7.206143951E1,-4.667282104E0
3.422926583E0,-1.211916733E1,7.226551056E1,-4.715606689E0
3.452822583E0,-1.199496460E1,7.237093353E1,-4.246795654E0
3.482717583E0,-1.169250870E1,7.241144562E1,-3.968475342E0
3.512612583E0,-1.179317474E1,7.231714630E1,-4.158233643E0
3.542508583E0,-1.212596893E1,7.235774994E1,-3.871749878E0
3.572403583E0,-1.186954880E1,7.236225128E1,-3.739807129E0
3.602298583E0,-1.190365219E1,7.207123566E1,-3.407211304E0
3.632194583E0,-1.209804535E1,7.250016022E1,-3.780715942E0
3.662089583E0,-1.223984146E1,7.252933502E1,-3.906753540E0
3.691984583E0,-1.195216370E1,7.255733490E1,-3.929290771E0
3.721880583E0,-1.236375046E1,7.249919891E1,-3.151123047E0
3.751775583E0,-1.246597672E1,7.246491241E1,-3.240417480E0
3.781671583E0,-1.269224930E1,7.247719574E1,-2.956375122E0
3.811566583E0,-1.250826263E1,7.231763458E1,-3.022903442E0
3.841461583E0,-1.255239105E1,7.241381073E1,-2.890731812E0
3.871357583E0,-1.289396667E1,7.228453827E1,-2.797500610E0
3.901252583E0,-1.292435455E1,7.235344696E1,-2.857406616E0
3.931147583E0,-1.335004807E1,7.236490631E1,-2.715652466E0
3.961043583E0,-1.347023773E1,7.256221771E1,-2.491241455E0
3.990938583E0,-1.363219070E1,7.234702301E1,-3.046447754E0
4.020834583E0,-1.359288025E1,7.223395538E1,-3.698272705E0
4.050729583E0,-1.398274612E1,7.250589752E1,-3.438598633E0
4.080624583E0,-1.406396866E1,7.217214203E1,-3.761978149E0
4.110520583E0,-1.415859985E1,7.198230743E1,-3.786178589E0
4.140415583E0,-1.393466187E1,7.211695099E1,-3.849563599E0
4.170310583E0,-1.452832031E1,7.188431549E1,-3.605514526E0
4.200206583E0,-1.417834854E1,7.192783356E1,-3.939102173E0
4.230101583E0,-1.474819183E1,7.193492889E1,-3.895797729E0
4.259996583E0,-1.443212891E1,7.207949066E1,-4.079772949E0
4.289892583E0,-1.475385284E1,7.192394257E1,-4.457107544E0
4.319787583E0,-1.465410614E1,7.204402924E1,-4.692825317E0
4.349683583E0,-1.483029175E1,7.190290070E1,-4.758972168E0
4.379578583E0,-1.492855835E1,7.199112701E1,-5.356658936E0
4.409473583E0,-1.499698639E1,7.181465912E1,-5.741302490E0
4.439369583E0,-1.483208466E1,7.188320160E1,-5.849670410E0
4.469264583E0,-1.485742569E1,7.226483917E1,-6.541320801E0
4.499159583E0,-1.525947189E1,7.213358307E1,-6.838943481E0
4.529055583E0,-1.523500443E1,7.191529083E1,-7.265899658E0
4.558950583E0,-1.471816635E1,7.179882050E1,-7.682434082E0
4.588845583E0,-1.475771332E1,7.195557404E1,-8.212829590E0
4.618741583E0,-1.475363922E1,7.191452789E1,-8.940933228E0
4.648636583E0,-1.439952469E1,7.199445343E1,-9.740417480E0
4.678532583E0,-1.484384155E1,7.203806305E1,-1.038163757E1
4.708427583E0,-1.475679016E1,7.218999481E1,-1.098008728E1
4.738322583E0,-1.436248016E1,7.211396027E1,-1.148393250E1
4.768218708E0,-1.451027679E1,7.197887421E1,-1.201190186E1
4.798113708E0,-1.423324966E1,7.202979279E1,-1.276983643E1
4.828008708E0,-1.424021912E1,7.194519806E1,-1.291200256E1
4.857904708E0,-1.395681381E1,7.202700043E1,-1.334762573E1
4.887799708E0,-1.423466110E1,7.173114777E1,-1.394984436E1
4.917694708E0,-1.386211777E1,7.190468597E1,-1.429016113E1
4.947590708E0,-1.360389709E1,7.173062897E1,-1.510911560E1
4.977485708E0,-1.366065216E1,7.170536041E1,-1.609059143E1
5.007381708E0,-1.353570938E1,7.168442535E1,-1.609992981E1
5.037276708E0,-1.320840836E1,7.165232086E1,-1.675918579E1
5.067171708E0,-1.294917679E1,7.165480804E1,-1.736434937E1
5.097067708E0,-1.269928360E1,7.147566986E1,-1.790158081E1
5.126962708E0,-1.281527710E1,7.141547394E1,-1.787791443E1
5.156858708E0,-1.257875824E1,7.143874359E1,-1.847558594E1
5.186753708E0,-1.240027237E1,7.152439117E1,-1.874731445E1
5.216648708E0,-1.239793777E1,7.163771820E1,-1.907360840E1
5.246544708E0,-1.238101578E1,7.155142975E1,-1.904408264E1
5.276439708E0,-1.230033875E1,7.112361908E1,-1.915644836E1
5.306334708E0,-1.244992065E1,7.135001373E1,-1.962768555E1
5.336230708E0,-1.269889450E1,7.128853607E1,-1.960632324E1
5.366125708E0,-1.216030884E1,7.150101471E1,-2.004411316E1
5.396020708E0,-1.230115891E1,7.141829681E1,-2.003187561E1
5.425916708E0,-1.206600952E1,7.116756439E1,-2.019256592E1
5.455811708E0,-1.183837509E1,7.113378143E1,-2.030317688E1
5.485707708E0,-1.240037918E1,7.121150970E1,-2.054075623E1
5.515602708E0,-1.194477463E1,7.120810699E1,-2.055380249E1
5.545497708E0,-1.189083862E1,7.140637970E1,-2.118656921E1
5.575393708E0,-1.166562271E1,7.134574127E1,-2.118475342E1
5.605288708E0,-1.156874847E1,7.131084442E1,-2.116860962E1
5.635183708E0,-1.152896118E1,7.127690887E1,-2.133319092E1
5.665079708E0,-1.139582825E1,7.135840607E1,-2.097584534E1
5.694974708E0,-1.109072113E1,7.151166534E1,-2.098289490E1
5.724870708E0,-1.089888382E1,7.133438873E1,-2.121218872E1
5.754765458E0,-1.082397842E1,7.134505463E1,-2.152093506E1
5.784660458E0,-1.032954407E1,7.135227203E1,-2.180880737E1
5.814556458E0,-1.042897034E1,7.148340607E1,-2.176156616E1
5.844451458E0,-1.046967697E1,7.149204254E1,-2.175355530E1
5.874346458E0,-1.018444824E1,7.139081573E1,-2.213447571E1
5.904242458E0,-1.001386261E1,7.143292999E1,-2.172052002E1
5.934137458E0,-9.982269287E0,7.160543060E1,-2.154991150E1
5.964032458E0,-9.844032288E0,7.163309479E1,-2.188383484E1
5.993928458E0,-1.014921188E1,7.157106781E1,-2.175833130E1
6.023823458E0,-9.916786194E0,7.128078461E1,-2.205097961E1
6.053719458E0,-9.834545135E0,7.130390167E1,-2.199784851E1
6.083614458E0,-9.835414886E0,7.123946381E1,-2.226179504E1
6.113509458E0,-9.918708801E0,7.122299957E1,-2.224079895E1
6.143405458E0,-9.793605804E0,7.126401520E1,-2.211256409E1
6.173300458E0,-9.758537292E0,7.136823273E1,-2.180606079E1
6.203195458E0,-9.593765259E0,7.132770538E1,-2.164935303E1
6.233091458E0,-9.989891052E0,7.158139801E1,-2.182490540E1
6.262986458E0,-1.032181549E1,7.136534882E1,-2.157676697E1
6.292882458E0,-1.014432907E1,7.147847748E1,-2.149795532E1
6.322777458E0,-1.022316742E1,7.146047211E1,-2.088420105E1
6.352672458E0,-1.040494156E1,7.156623077E1,-2.107736206E1
6.382568458E0,-1.034061050E1,7.130413055E1,-2.109704590E1
6.412463458E0,-1.050209045E1,7.156609344E1,-2.084562683E1
6.442358458E0,-1.071934128E1,7.139841461E1,-2.055621338E1
6.472254458E0,-1.104395294E1,7.158683014E1,-2.041950989E1
6.502149458E0,-1.127738953E1,7.139952850E1,-1.995812988E1
6.532045458E0,-1.156103897E1,7.127910614E1,-1.913658142E1
6.561940458E0,-1.182566833E1,7.144268036E1,-1.915388489E1
6.591835458E0,-1.236314011E1,7.126140594E1,-1.815960693E1
6.621731458E0,-1.272713852E1,7.158800507E1,-1.752426147E1
6.651626458E0,-1.294649124E1,7.160265350E1,-1.706428528E1
6.681522458E0,-1.363296127E1,7.137535858E1,-1.689730835E1
6.711417458E0,-1.351219177E1,7.142787933E1,-1.646818542E1
6.741312458E0,-1.363100052E1,7.153438568E1,-1.556526184E1
6.771208958E0,-1.422964478E1,7.148647308E1,-1.509246826E1
6.801103958E0,-1.464762115E1,7.141474152E1,-1.447573853E1
6.830998958E0,-1.516793060E1,7.126064301E1,-1.337060547E1
6.860894958E0,-1.545688248E1,7.138747406E1,-1.276490784E1
6.890789958E0,-1.568463898E1,7.175020599E1,-1.201242065E1
6.920685958E0,-1.578789139E1,7.157086945E1,-1.115399170E1
6.950580958E0,-1.591328430E1,7.161989594E1,-1.088803101E1
6.980475958E0,-1.594502258E1,7.193898773E1,-1.020303345E1
7.010371958E0,-1.561363983E1,7.181732941E1,-9.438690186E0
7.040266958E0,-1.597067642E1,7.209601593E1,-8.752273560E0
7.070161958E0,-1.572014999E1,7.211475372E1,-7.430831909E0
7.100057958E0,-1.593555450E1,7.224916840E1,-7.398910522E0
7.129952958E0,-1.609779358E1,7.197272491E1,-6.643005371E0
7.159848958E0,-1.551294327E1,7.202086639E1,-5.538818359E0
7.189743958E0,-1.570668793E1,7.212277985E1,-5.581085205E0
7.219638958E0,-1.551555252E1,7.205435944E1,-5.081054688E0
7.249534958E0,-1.559372330E1,7.211774445E1,-4.807907104E0
