"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-9.199999986E-4,-3.440744934E0,4.722529449E0,3.900888062E0
1.534800000E-2,-3.218457184E0,5.265001373E0,4.775519257E0
3.161600000E-2,-2.202819214E0,5.525010681E0,8.241711273E0
4.788300000E-2,-1.231040039E0,5.308860168E0,1.060814026E1
6.415300000E-2,-1.050066376E0,5.158123627E0,1.110825027E1
8.042000000E-2,-1.622625732E0,4.923711090E0,9.744735718E0
9.668800001E-2,-2.398462372E0,4.594844971E0,8.167615356E0
1.129560000E-1,-2.982098694E0,4.580774231E0,7.423512726E0
1.292250000E-1,-3.040626984E0,4.817132721E0,7.613916779E0
1.454930000E-1,-2.704875183E0,4.714595947E0,7.813900909E0
1.617600000E-1,-2.255958710E0,4.837340698E0,7.948321381E0
1.780270000E-1,-2.010319519E0,4.867577820E0,8.185578003E0
1.942960000E-1,-1.751807098E0,4.781806183E0,8.217461700E0
2.105640000E-1,-1.684896240E0,4.471800842E0,8.040529633E0
2.268320000E-1,-1.974693604E0,4.215234375E0,7.899073792E0
2.430990000E-1,-2.478246460E0,3.697610779E0,7.248975677E0
2.593690000E-1,-2.793041840E0,3.027454376E0,6.858886871E0
2.756360000E-1,-2.759810944E0,2.678979034E0,7.008276215E0
2.919040000E-1,-2.466870117E0,2.769840088E0,7.074887695E0
3.081720000E-1,-2.374512177E0,2.829416199E0,6.574777679E0
3.244410000E-1,-2.825823669E0,1.106499023E0,7.350614319E0
3.407090000E-1,-3.228636017E0,-1.317111053E0,8.450826416E0
3.569760000E-1,-2.646346893E0,-2.480192413E0,8.821006622E0
3.732440000E-1,-2.614313507E0,-3.915557556E0,8.886869659E0
3.895130000E-1,-2.735561371E0,-5.605094147E0,7.266339569E0
4.057810000E-1,-1.767524414E0,-6.255641327E0,9.865684204E0
4.220490000E-1,-1.004860382E0,-6.565047913E0,1.302067337E1
4.383160000E-1,-2.113305359E0,-7.414082336E0,1.431458267E1
4.545860000E-1,-1.387315063E0,-8.196804657E0,1.421698563E1
4.708530000E-1,-3.158432007E-2,-9.122330017E0,1.259780273E1
4.871210000E-1,1.869612122E-1,-9.615853729E0,1.071786209E1
5.033890000E-1,1.957479401E0,-9.097332001E0,9.021290131E0
5.196580000E-1,4.389022980E0,-7.846533051E0,7.762857056E0
5.359260000E-1,7.536827087E0,-1.226848755E0,4.861889648E-1
5.521930000E-1,4.793032837E0,3.186872864E-1,4.780309296E0
5.684610000E-1,3.209775238E0,-1.594035187E0,5.798791351E0
5.847300000E-1,4.774022369E0,-2.293979645E0,4.836891632E0
6.009980000E-1,5.398523712E0,-2.668800201E0,6.223757629E0
6.172660000E-1,4.691693573E0,-4.167932739E0,8.333919525E0
6.335330000E-1,5.854774933E0,-4.921914825E0,1.009231293E1
6.498030000E-1,6.896608429E0,-3.816912689E0,1.125150238E1
6.660700000E-1,7.201823730E0,-3.357368317E0,1.088491470E1
6.823380000E-1,8.564440155E0,-1.378483429E0,1.225606339E1
6.986060000E-1,8.638536072E0,-6.292913818E-1,1.276290939E1
7.148750000E-1,8.742270355E0,-7.304809570E-2,1.525657379E1
7.311430000E-1,9.040001221E0,1.448837128E0,1.879596359E1
7.474100000E-1,8.367000732E0,2.713706818E0,1.988405090E1
7.636780000E-1,5.244943085E0,1.049317932E0,1.614707199E1
7.799470000E-1,2.537972260E0,-9.523196411E-1,1.185579575E1
7.962150000E-1,7.304809570E-1,-2.461331635E0,9.861642609E0
8.124820000E-1,-9.330097961E-1,-3.081492004E0,9.215286713E0
8.287500000E-1,-1.355581055E0,-2.653681641E0,9.809101868E0
8.450190000E-1,-5.676196289E-1,-2.379302216E0,9.891131287E0
8.612870000E-1,-5.873785400E-1,-2.451901245E0,9.388476563E0
8.775550000E-1,-1.637594604E-1,-1.756597137E0,8.767717438E0
8.938230000E-1,2.972817993E-1,-1.297202454E0,9.216933289E0
9.100920000E-1,2.499801636E-1,-1.583856354E0,9.355095978E0
9.263590000E-1,2.903961182E-2,-9.586065674E-1,7.683522034E0
9.426270000E-1,3.400927734E-1,1.037342834E-1,6.836732941E0
9.588950000E-1,6.587800598E-1,2.959346008E-1,6.282734985E0
9.751640000E-1,1.252445526E0,7.818241882E-1,5.134622498E0
9.914320000E-1,1.446442108E0,7.547305298E-1,3.570525055E0
1.007699000E0,2.677332458E0,9.807604980E-1,2.761457520E0
1.023967000E0,3.903283081E0,1.729952545E0,4.189787292E0
1.040236000E0,4.323609009E0,9.550140381E-1,6.870712280E0
1.056504000E0,4.259093170E0,-2.050735474E-1,8.260122986E0
1.072772000E0,4.143234100E0,-1.417103119E0,8.876990204E0
1.089039000E0,4.783003693E0,-2.358944550E0,9.106313324E0
1.105309000E0,6.068380737E0,-3.586990814E0,9.376351776E0
1.121576000E0,6.421197052E0,-5.155578918E0,1.005968079E1
1.137844000E0,6.382427673E0,-5.315147095E0,1.177211975E1
1.154112000E0,6.022575989E0,-5.447771301E0,1.260588593E1
1.170381917E0,6.944359131E0,-6.117927704E0,1.326466599E1
1.186649917E0,7.390431519E0,-5.785319366E0,1.228330673E1
1.202916917E0,6.431974640E0,-4.963977356E0,1.210053680E1
1.219184917E0,6.326294403E0,-5.057832184E0,1.090078171E1
1.235453917E0,6.178401947E0,-5.546416168E0,8.042176208E0
1.251721917E0,5.347629547E0,-5.555696869E0,6.786287842E0
1.267989917E0,4.203259277E0,-6.197861481E0,8.192463684E0
1.284256917E0,3.556903381E0,-6.767427063E0,8.569230194E0
1.300526917E0,4.532574463E0,-5.949677582E0,6.262676697E0
1.316793917E0,5.878874817E0,-5.406606903E0,8.140671387E0
1.333061917E0,6.686146088E0,-3.826193390E0,7.755522308E0
1.349329917E0,6.755601654E0,-3.338208160E0,7.499554596E0
1.365598917E0,6.189029846E0,-3.869453430E0,6.533762970E0
1.380615917E0,5.524860992E0,-4.573738861E0,6.062692566E0
1.395631917E0,6.270610199E0,-4.577181702E0,6.279441833E0
1.410648917E0,7.546107788E0,-3.627107391E0,5.078638916E0
1.425665917E0,7.919281769E0,-2.892584839E0,5.261408844E0
1.440682917E0,7.683971100E0,-2.590513000E0,4.844675446E0
1.455698917E0,7.876620483E0,-2.450404358E0,5.615572357E0
1.470715917E0,8.347990265E0,-2.057022400E0,6.976093140E0
1.485732917E0,8.462651825E0,-2.142644348E0,7.913443909E0
1.500748917E0,7.480394440E0,-2.755320282E0,7.419022064E0
1.515765917E0,6.383325806E0,-3.249891815E0,6.731801147E0
1.530782917E0,5.458548889E0,-3.282973022E0,6.062692566E0
1.545798917E0,4.441713409E0,-3.193758545E0,5.293591919E0
1.560815917E0,4.336182861E0,-2.708916779E0,4.589007111E0
1.575832917E0,4.281696167E0,-3.107687531E0,4.953499146E0
1.590848917E0,4.804708557E0,-3.631897430E0,6.595135345E0
1.605865917E0,6.959777069E0,-1.847458191E0,6.361171875E0
1.620882917E0,9.530531158E0,2.019300842E-1,5.388943634E0
1.635899917E0,1.032208511E1,4.712200928E-1,5.110522614E0
1.650915917E0,9.674382019E0,-8.141569519E-1,5.137466583E0
1.665932917E0,8.387358398E0,-2.324366455E0,5.252277832E0
1.680949917E0,7.648494873E0,-2.971021729E0,5.524411926E0
1.695965917E0,7.414531403E0,-2.689307556E0,4.939428406E0
1.710982917E0,6.747368774E0,-2.252964935E0,3.137924652E0
1.725999917E0,6.119424591E0,-2.765050049E0,2.760409698E0
1.741015917E0,6.206094360E0,-3.065475311E0,3.169359283E0
1.756032917E0,6.699318695E0,-2.507136383E0,4.576582947E0
1.771049917E0,7.064259796E0,-2.473905487E0,4.995262299E0
1.786065917E0,7.225624237E0,-2.345023499E0,5.340594177E0
1.801082917E0,7.933202820E0,-1.685195618E0,5.533093872E0
1.816099917E0,1.026295807E1,-8.575666809E-1,7.009024658E0
1.831116917E0,1.153740784E1,-4.107458496E-1,7.596852264E0
1.846132917E0,1.095676529E1,-6.917115784E-1,6.389463043E0
1.861149917E0,9.517059174E0,-1.330283661E0,5.526657257E0
1.876166917E0,7.932005310E0,-2.297572174E0,4.196373596E0
1.891182917E0,6.915020142E0,-2.301464081E0,3.125201111E0
1.906199917E0,6.343957672E0,-2.317331085E0,3.245850220E0
1.921216917E0,7.387886810E0,-2.570454712E0,5.127886505E0
1.936232917E0,9.323212280E0,-2.484084320E0,7.640112305E0
1.951249917E0,1.004276596E1,-2.702330475E0,9.485175476E0
1.966266917E0,1.023047562E1,-3.322490845E0,9.645492096E0
1.981282917E0,1.043854294E1,-2.496358795E0,8.076155548E0
1.996299917E0,1.061098434E1,-1.234632568E0,4.937781830E0
2.011316917E0,1.092338470E1,-7.933502197E-2,4.574337616E0
2.026333917E0,1.034259247E1,-4.016148376E-1,5.766308899E0
2.041349917E0,9.708211670E0,-7.755372620E-1,6.975494385E0
2.056366917E0,8.780141602E0,-1.329984283E0,7.286098480E0
2.071383917E0,7.808661804E0,-5.571414185E-1,6.253096619E0
2.086399917E0,6.344556427E0,-6.233038330E-1,4.856500854E0
2.101416917E0,5.728737030E0,-1.303788757E-1,4.064048767E0
2.116433917E0,5.571114807E0,4.626878357E-1,4.971012726E0
2.131449917E0,4.776267700E0,7.032376099E-1,6.324947205E0
2.146466917E0,3.826941833E0,-1.948947144E-1,8.296347656E0
2.161483167E0,2.542313232E0,-1.131197662E0,1.054527100E1
2.176500167E0,1.372795258E0,-1.281634827E0,1.170999893E1
2.191516167E0,-3.417842560E0,-6.044879608E0,8.899742889E0
2.206533167E0,-2.306104431E0,-3.945046234E0,7.263794861E0
2.221550167E0,1.207089844E0,-1.162033539E0,9.307045898E0
2.236566167E0,2.307152252E0,-1.914967804E0,7.854616241E0
2.251583167E0,4.048630829E0,-6.831793213E-1,7.748936005E0
2.266600167E0,5.878126373E0,1.128353577E0,9.393565979E0
2.281616167E0,7.616461487E0,2.390079803E0,9.684111786E0
2.296633167E0,7.268584900E0,1.952389984E0,1.047371979E1
2.311650167E0,5.981710968E0,1.455722809E0,1.078686859E1
2.326667167E0,3.178639984E0,-8.297245789E-1,1.051563263E1
2.341683167E0,7.367678833E-1,-2.722837830E0,9.300609283E0
2.356700167E0,4.498146057E-1,-1.362915802E0,9.973160706E0
2.371717167E0,-1.504371643E0,-2.836002502E0,7.205865326E0
2.386733167E0,-2.408341827E0,-3.248694305E0,7.399412842E0
2.401750167E0,-8.990304565E-1,-2.533032532E0,9.404493256E0
2.416767167E0,6.996450806E-1,-1.704954529E0,9.202712860E0
2.431783167E0,2.094893646E0,-5.957611084E-1,9.744136963E0
2.446800167E0,5.486241302E0,1.829645233E0,1.031609756E1
2.461817167E0,8.901838531E0,4.925956421E0,1.048734146E1
2.476833167E0,9.621841278E0,6.087840271E0,9.218879242E0
2.491850167E0,8.454868011E0,5.659880219E0,7.663613434E0
2.506867167E0,7.733368378E0,5.523813171E0,6.649172974E0
2.521884167E0,7.460036774E0,5.360353088E0,3.390000458E0
2.536900167E0,7.201823730E0,5.357658691E0,5.928122406E0
2.551917167E0,-2.655028839E0,-7.691455536E0,1.016955231E1
2.566934167E0,-7.569608917E0,-1.042132874E1,1.336226303E1
2.581950167E0,-2.255809021E-1,7.858657837E-2,8.841813354E0
2.596967167E0,2.340383148E0,-1.128652954E0,9.811496887E0
2.611984167E0,2.799628143E0,-9.342073059E-1,1.269734573E1
