"Time (s)","X (hPa)"
-5.660587500E-1,1.015555420E3
4.600822500E-1,1.015568771E3
1.486192250E0,1.015582123E3
2.512298250E0,1.015591049E3
3.538499250E0,1.015597229E3
3.739951250E0,1.015611572E3
4.799279250E0,1.015615311E3
5.858579250E0,1.015616989E3
6.917825250E0,1.015623322E3
7.977083250E0,1.015623322E3
9.036360250E0,1.015623322E3
1.009567625E1,1.015619583E3
1.115499725E1,1.015618744E3
1.221428725E1,1.015615921E3
1.327358425E1,1.015615921E3
1.433284825E1,1.015618896E3
1.539206725E1,1.015621185E3
1.645135025E1,1.015622787E3
1.751064225E1,1.015625076E3
1.856993025E1,1.015625076E3
1.962923525E1,1.015624771E3
2.068857725E1,1.015624466E3
2.174790725E1,1.015623932E3
2.280721425E1,1.015623932E3
2.386653825E1,1.015623932E3
2.492584425E1,1.015622940E3
2.598517825E1,1.015621872E3
2.704446125E1,1.015620880E3
2.810376425E1,1.015619125E3
2.916306025E1,1.015616455E3
3.022242625E1,1.015615387E3
3.128176325E1,1.015615158E3
3.234108625E1,1.015613937E3
3.340041525E1,1.015613937E3
3.445974225E1,1.015613861E3
3.551905825E1,1.015613861E3
3.657833025E1,1.015613403E3
3.763758525E1,1.015610123E3
3.869683025E1,1.015610046E3
3.975608125E1,1.015607834E3
4.081531525E1,1.015607300E3
4.187456925E1,1.015607300E3
4.293383725E1,1.015606537E3
4.399313425E1,1.015606537E3
4.505232125E1,1.015606155E3
4.611152025E1,1.015606155E3
4.717072225E1,1.015605850E3
4.822992625E1,1.015605850E3
4.928915125E1,1.015605850E3
5.034834725E1,1.015604858E3
5.140755325E1,1.015604401E3
5.246675025E1,1.015601730E3
5.352598025E1,1.015600815E3
5.458525725E1,1.015597076E3
5.564449725E1,1.015595398E3
5.670375225E1,1.015593491E3
5.776298225E1,1.015592575E3
5.882220925E1,1.015592575E3
5.988149625E1,1.015594788E3
6.094080825E1,1.015595932E3
6.200009825E1,1.015598145E3
6.305934825E1,1.015598145E3
6.411863625E1,1.015598145E3
6.517790525E1,1.015595932E3
6.623714525E1,1.015591354E3
6.729637425E1,1.015589066E3
6.835557725E1,1.015588226E3
6.941479725E1,1.015587616E3
7.047401125E1,1.015585098E3
7.153322625E1,1.015584869E3
7.259239325E1,1.015583572E3
7.365160925E1,1.015582962E3
7.471086025E1,1.015582962E3
7.577006325E1,1.015587311E3
7.682926125E1,1.015587997E3
7.788849025E1,1.015588684E3
7.894772925E1,1.015591965E3
8.000693525E1,1.015591965E3
8.106616125E1,1.015591965E3
8.212540925E1,1.015591583E3
8.318466525E1,1.015591583E3
8.424392025E1,1.015591354E3
8.530312925E1,1.015591354E3
8.636234225E1,1.015593948E3
8.742157425E1,1.015596619E3
8.848084925E1,1.015597839E3
8.954012425E1,1.015599365E3
9.059937225E1,1.015599365E3
9.165865025E1,1.015598984E3
9.271788525E1,1.015597076E3
9.377710125E1,1.015596390E3
9.483633325E1,1.015596237E3
9.589556925E1,1.015594559E3
9.695478525E1,1.015592575E3
9.801401625E1,1.015592422E3
9.907322725E1,1.015590744E3
1.001325162E2,1.015589905E3
1.011918413E2,1.015588379E3
1.022510832E2,1.015586548E3
1.033102922E2,1.015583191E3
1.043695163E2,1.015579529E3
1.054287352E2,1.015577927E3
1.064879692E2,1.015577927E3
1.075471812E2,1.015579529E3
1.086064043E2,1.015581207E3
1.096656163E2,1.015583725E3
1.107248192E2,1.015584259E3
1.117840712E2,1.015584641E3
1.128433112E2,1.015585709E3
1.139025342E2,1.015586319E3
1.149617623E2,1.015586777E3
1.160209682E2,1.015590515E3
1.170801653E2,1.015591125E3
1.181393763E2,1.015592422E3
1.191985903E2,1.015594254E3
1.202578193E2,1.015595169E3
1.213170793E2,1.015597229E3
1.223763562E2,1.015599594E3
1.234355243E2,1.015599594E3
1.244947392E2,1.015596848E3
1.255539312E2,1.015595551E3
1.266131282E2,1.015593185E3
1.276723342E2,1.015592194E3
1.287315242E2,1.015589828E3
1.297907592E2,1.015587387E3
1.308499823E2,1.015585098E3
1.319091523E2,1.015581818E3
1.329683262E2,1.015576859E3
1.340275713E2,1.015574112E3
1.350868162E2,1.015574112E3
1.361460423E2,1.015576630E3
1.372053143E2,1.015579300E3
1.382646143E2,1.015582886E3
1.393238433E2,1.015586319E3
1.403830542E2,1.015588226E3
1.414423432E2,1.015589523E3
1.425016133E2,1.015589523E3
1.435608572E2,1.015589523E3
1.446201542E2,1.015588150E3
1.456794002E2,1.015586319E3
1.467386412E2,1.015585403E3
1.477979212E2,1.015582733E3
1.488571843E2,1.015579834E3
1.499164892E2,1.015576019E3
1.509757472E2,1.015572891E3
1.520349542E2,1.015570145E3
1.530941763E2,1.015568848E3
1.541534232E2,1.015568848E3
1.552126782E2,1.015568466E3
1.562718862E2,1.015568619E3
1.573311392E2,1.015568466E3
1.583903683E2,1.015568619E3
1.594495702E2,1.015569229E3
1.605087742E2,1.015570297E3
1.615679573E2,1.015570984E3
1.626271463E2,1.015571823E3
1.636863343E2,1.015573425E3
1.647455243E2,1.015573425E3
1.658047082E2,1.015573273E3
1.668638822E2,1.015573044E3
1.679230773E2,1.015572205E3
1.689822732E2,1.015570145E3
1.700414662E2,1.015569611E3
1.711006443E2,1.015568771E3
1.721598593E2,1.015568771E3
1.732190662E2,1.015569839E3
1.742782762E2,1.015570450E3
1.753375102E2,1.015571747E3
1.763967552E2,1.015573044E3
1.774559762E2,1.015573273E3
1.785151652E2,1.015573730E3
1.795743593E2,1.015573730E3
1.806335422E2,1.015572433E3
1.816927653E2,1.015570908E3
1.827519652E2,1.015569916E3
1.838112313E2,1.015569611E3
1.848705002E2,1.015569611E3
1.859297682E2,1.015571594E3
1.869890692E2,1.015573044E3
1.880483773E2,1.015573044E3
1.891076983E2,1.015572357E3
1.901670122E2,1.015570679E3
1.912262532E2,1.015570526E3
1.922855023E2,1.015570526E3
1.933447452E2,1.015572052E3
1.944040042E2,1.015573273E3
1.954632713E2,1.015576019E3
1.965225102E2,1.015578766E3
1.975817743E2,1.015580673E3
1.986410392E2,1.015580826E3
1.997003842E2,1.015583420E3
2.007597093E2,1.015584030E3
2.018190272E2,1.015585251E3
2.028783342E2,1.015585938E3
2.039375682E2,1.015586700E3
2.049968022E2,1.015586929E3
2.060560493E2,1.015586700E3
2.071153033E2,1.015587311E3
2.081745262E2,1.015587616E3
2.092337832E2,1.015590057E3
2.102931012E2,1.015590057E3
2.113523382E2,1.015589066E3
2.124116092E2,1.015588455E3
2.134708192E2,1.015585861E3
2.145300282E2,1.015584030E3
2.155892472E2,1.015583954E3
2.166484352E2,1.015583954E3
2.177076632E2,1.015583572E3
2.187668752E2,1.015582962E3
2.198260962E2,1.015582962E3
2.208853153E2,1.015582962E3
2.219445043E2,1.015585022E3
2.230036872E2,1.015585022E3
2.240628912E2,1.015582504E3
2.251220743E2,1.015580368E3
2.261812792E2,1.015577621E3
2.272405522E2,1.015575562E3
2.282998213E2,1.015575562E3
2.293590212E2,1.015576401E3
2.304182423E2,1.015578156E3
2.314774462E2,1.015580368E3
2.325366292E2,1.015582275E3
2.335958422E2,1.015583954E3
2.346550622E2,1.015585938E3
2.357142422E2,1.015587616E3
2.367734263E2,1.015590286E3
2.378325963E2,1.015591736E3
2.388918012E2,1.015593262E3
2.399510472E2,1.015594559E3
2.410103133E2,1.015595322E3
2.420696052E2,1.015594788E3
2.431288822E2,1.015595322E3
2.441881522E2,1.015594788E3
2.452474173E2,1.015594711E3
2.463066503E2,1.015593414E3
2.473659043E2,1.015594711E3
2.484251242E2,1.015595932E3
2.494844092E2,1.015597382E3
2.505436822E2,1.015597382E3
2.516029182E2,1.015595398E3
2.526621813E2,1.015594025E3
2.537214753E2,1.015590668E3
2.547807172E2,1.015588684E3
2.558399623E2,1.015586929E3
2.568992102E2,1.015586777E3
2.579584922E2,1.015586777E3
2.590177333E2,1.015586777E3
2.600769912E2,1.015588226E3
2.611362722E2,1.015588379E3
2.621955292E2,1.015589218E3
2.632548553E2,1.015591583E3
2.643141152E2,1.015593414E3
2.653733592E2,1.015596237E3
2.664326003E2,1.015596848E3
2.674918983E2,1.015597916E3
2.685511662E2,1.015598297E3
2.696104732E2,1.015599518E3
2.706697693E2,1.015600052E3
2.717290132E2,1.015599518E3
2.727882123E2,1.015599518E3
2.738474522E2,1.015598907E3
2.749066983E2,1.015596466E3
2.759659912E2,1.015595169E3
2.770252202E2,1.015594330E3
2.780844502E2,1.015593185E3
2.791437282E2,1.015593033E3
2.802030282E2,1.015593033E3
2.812622893E2,1.015594788E3
2.823215112E2,1.015595932E3
2.833807823E2,1.015597382E3
2.844400533E2,1.015599365E3
2.854993723E2,1.015599365E3
2.865586162E2,1.015599213E3
2.876178542E2,1.015598145E3
2.886770642E2,1.015597839E3
2.897363313E2,1.015597458E3
2.907955322E2,1.015596466E3
2.918547763E2,1.015595779E3
2.929139633E2,1.015595779E3
2.939731702E2,1.015596008E3
2.950323253E2,1.015598145E3
2.960914913E2,1.015600662E3
2.971506722E2,1.015602264E3
2.982098812E2,1.015602341E3
2.992690682E2,1.015602341E3
3.003282652E2,1.015602341E3
3.013874752E2,1.015598526E3
3.024466812E2,1.015597916E3
3.035058912E2,1.015595627E3
3.045651092E2,1.015593491E3
3.056243882E2,1.015588684E3
3.066836402E2,1.015588455E3
3.077428653E2,1.015587158E3
3.088020983E2,1.015587158E3
3.098613822E2,1.015587616E3
3.109205922E2,1.015589905E3
3.119797672E2,1.015590134E3
3.130389712E2,1.015590057E3
3.140982003E2,1.015590134E3
3.151574333E2,1.015591354E3
3.162165983E2,1.015591354E3
3.172757643E2,1.015591736E3
3.183349702E2,1.015592651E3
3.193942072E2,1.015592651E3
3.204534732E2,1.015591354E3
3.215127262E2,1.015591354E3
3.225719612E2,1.015591354E3
3.236311893E2,1.015591736E3
3.246903892E2,1.015592422E3
3.257495893E2,1.015593719E3
3.268087242E2,1.015593719E3
3.278678952E2,1.015593262E3
3.289270212E2,1.015592880E3
3.299861593E2,1.015591354E3
3.310453432E2,1.015587616E3
3.321045603E2,1.015584259E3
3.331638392E2,1.015580673E3
3.342230532E2,1.015578766E3
3.352822622E2,1.015578766E3
3.363415232E2,1.015579605E3
3.374007382E2,1.015580444E3
3.384600492E2,1.015583344E3
3.395192712E2,1.015586700E3
3.405785002E2,1.015589828E3
3.416377332E2,1.015592651E3
3.426969323E2,1.015595398E3
3.437561752E2,1.015597229E3
3.448153822E2,1.015600433E3
3.458746382E2,1.015600433E3
3.469339073E2,1.015600204E3
3.479931092E2,1.015600204E3
3.490523262E2,1.015598755E3
3.501114942E2,1.015598145E3
3.511706283E2,1.015598145E3
3.522297882E2,1.015600433E3
3.532889552E2,1.015602570E3
3.543481072E2,1.015604782E3
3.554073043E2,1.015605850E3
3.564664822E2,1.015605850E3
3.575256853E2,1.015605011E3
3.585849262E2,1.015604858E3
3.596441693E2,1.015604401E3
3.607034202E2,1.015603714E3
3.617626422E2,1.015603561E3
3.628218453E2,1.015602722E3
3.638810813E2,1.015602341E3
3.649403252E2,1.015601273E3
3.659995453E2,1.015599823E3
3.670587942E2,1.015597687E3
3.681180373E2,1.015594788E3
3.691773333E2,1.015593643E3
3.702366083E2,1.015593643E3
3.712958643E2,1.015593872E3
3.723551173E2,1.015596390E3
3.734144133E2,1.015600891E3
3.744737082E2,1.015602112E3
3.755329572E2,1.015608139E3
3.765921542E2,1.015610504E3
3.776513693E2,1.015611801E3
3.787106053E2,1.015613937E3
3.797698593E2,1.015614243E3
3.808290663E2,1.015614243E3
3.818882522E2,1.015612869E3
3.829474122E2,1.015612183E3
3.840066462E2,1.015612183E3
3.850659133E2,1.015610046E3
3.861251893E2,1.015607605E3
3.871844112E2,1.015606079E3
3.882436373E2,1.015603790E3
3.893028962E2,1.015601425E3
3.903621572E2,1.015601425E3
3.914213702E2,1.015603943E3
3.924805233E2,1.015604858E3
3.935396943E2,1.015605011E3
3.945989132E2,1.015605011E3
3.956581532E2,1.015603943E3
3.967174373E2,1.015601883E3
3.977767052E2,1.015600662E3
3.988359642E2,1.015599747E3
3.998952003E2,1.015598297E3
4.009544563E2,1.015595932E3
4.020137442E2,1.015594711E3
4.030730462E2,1.015594711E3
4.041323352E2,1.015596161E3
4.051916402E2,1.015599747E3
4.062509473E2,1.015604858E3
4.073102262E2,1.015611115E3
