"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.659900000E-2,-1.499917030E0,-3.901951611E-1,3.232910633E-1
3.161600000E-2,-1.359263778E0,-4.061915874E-1,1.793908030E-1
4.663200001E-2,-8.854777217E-1,-2.799896002E-1,-2.388281934E-2
6.164900000E-2,-4.401688874E-1,-4.719519988E-2,-1.735720038E-1
7.666600000E-2,-2.514780760E-1,9.512919188E-2,-2.371656299E-1
9.168300000E-2,-3.134011328E-1,1.008983552E-1,-1.919356883E-1
1.066990000E-1,-4.725885987E-1,6.669875700E-3,-9.058874100E-2
1.217160000E-1,-5.936004519E-1,-8.987322450E-2,-1.857457869E-2
1.367330000E-1,-6.462226510E-1,-1.894272417E-1,1.460867561E-2
1.517490000E-1,-6.542103291E-1,-3.059360683E-1,-4.912322015E-2
1.667650000E-1,-6.333726645E-1,-4.007341862E-1,-1.553810835E-1
1.817820000E-1,-6.033813357E-1,-4.570641518E-1,-2.835242450E-1
1.967980000E-1,-5.899576545E-1,-5.014206767E-1,-4.123932719E-1
2.118150000E-1,-6.432625651E-1,-5.268841982E-1,-5.278381109E-1
2.268320000E-1,-7.634789348E-1,-4.823580980E-1,-5.843355656E-1
2.418480000E-1,-9.924530387E-1,-5.744276643E-1,-5.792449117E-1
2.568650000E-1,-1.253965139E0,-7.423431873E-1,-4.797175229E-1
2.718820000E-1,-1.486907005E0,-9.161801934E-1,-3.706831932E-1
2.868980000E-1,-1.662242055E0,-1.154382229E0,-3.120226264E-1
3.019150000E-1,-1.826808691E0,-1.523133039E0,-3.405480087E-1
3.169320000E-1,-2.027273178E0,-1.691256881E0,-2.513353229E-1
3.319480000E-1,-2.109715223E0,-1.570323467E0,2.408117503E-1
3.469650000E-1,-2.094450474E0,-1.669556737E0,8.047578335E-1
3.619820000E-1,-2.039634466E0,-1.594935894E0,1.291249752E0
3.769990000E-1,-2.274996996E0,-2.052771807E0,1.879322052E0
3.920150000E-1,-2.396806717E0,-2.480517149E0,2.559500456E0
4.070320000E-1,-2.016574860E0,-2.532283545E0,3.141863823E0
4.220490000E-1,-1.164283991E0,-2.029715300E0,3.781878710E0
4.370650000E-1,-2.351142764E-1,-8.426339626E-1,4.670319080E0
4.520820000E-1,6.029160023E-1,6.194219589E-1,5.734317780E0
4.670990000E-1,1.100420952E0,1.871084213E0,6.860196114E0
4.821150000E-1,1.295490742E0,3.071793795E0,8.015651703E0
4.971320000E-1,1.314069033E0,4.031696320E0,8.767763138E0
5.121490000E-1,1.122975469E0,4.644005299E0,8.763751984E0
5.271650000E-1,3.847287595E-2,3.313132048E0,6.724111080E0
5.421820000E-1,-9.116013050E-1,1.424621344E0,4.411437035E0
5.571990000E-1,-6.789565682E-1,7.329318523E-1,4.046855450E0
5.722150000E-1,-8.574743867E-1,-6.298946142E-1,3.882383823E0
5.872320000E-1,-1.285652518E0,-1.485988259E0,3.400548458E0
6.022490000E-1,-1.575858712E0,-2.136897326E0,3.057333231E0
6.172660000E-1,-1.447322249E0,-2.753270388E0,3.075149775E0
6.322820000E-1,-1.129653692E0,-3.203599215E0,3.094293594E0
6.472990000E-1,-1.168512940E0,-3.116603374E0,3.003119946E0
6.623160000E-1,-1.463298678E0,-2.843682051E0,2.773439884E0
6.773320000E-1,-1.742259502E0,-2.231712818E0,2.206067562E0
