"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.659900000E-2,-9.338827854E-1,2.621774554E-2,-3.197683781E0
3.161600000E-2,-4.360432434E-1,4.219520384E-1,-1.203465739E0
4.663200001E-2,8.345124252E-1,4.337967432E-1,2.149824144E0
6.164900000E-2,1.099598286E0,3.541945034E-1,2.872622445E0
7.666600000E-2,7.762352733E-1,2.259986857E-1,1.986968663E0
9.168300000E-2,3.506402734E-1,3.459622085E-2,9.282840765E-1
1.066990000E-1,-5.633420983E-1,-1.650499409E-1,-6.913320941E-1
1.217160000E-1,-8.000009890E-1,-2.899137229E-2,-9.418361682E-1
1.367330000E-1,-7.543551385E-1,2.221401080E-1,-6.827916509E-1
1.517490000E-1,-5.344039357E-1,2.352907884E-1,-6.395590925E-1
1.667650000E-1,-5.851440266E-2,4.609357175E-1,-5.072851342E-1
1.817820000E-1,3.593844920E-2,5.629640758E-1,-3.954162043E-1
1.967980000E-1,3.231886192E-1,5.420406917E-1,-4.075684726E-1
2.118150000E-1,3.448301876E-1,4.426698929E-1,-5.680002826E-1
2.268320000E-1,6.274954095E-2,2.215258580E-1,-8.208069903E-1
2.418480000E-1,-3.529405680E-1,6.044413000E-2,-1.105852906E0
2.568650000E-1,-8.882563770E-1,-5.339323577E-1,-2.045252540E0
2.718820000E-1,-9.884753144E-1,-7.063863355E-1,-2.047503718E0
2.868980000E-1,-9.259218013E-1,-5.914470327E-1,-2.007529812E0
3.019150000E-1,-8.810284875E-1,-2.383857197E-1,-2.200920623E0
3.169320000E-1,-1.191475293E0,-4.260439199E-1,-2.633336254E0
3.319480000E-1,-1.814477848E0,-1.596093699E0,-1.966636140E0
3.469650000E-1,-2.243063553E0,-3.941299923E0,-9.850254571E-1
3.619820000E-1,-2.123778014E0,-4.300794927E0,-8.408418900E-1
3.769990000E-1,-2.419092664E0,-5.782026799E0,-1.138269285E0
3.920150000E-1,-2.940766481E0,-6.528675308E0,-2.593003914E0
4.070320000E-1,-2.307962384E0,-7.180225870E0,1.143165743E-1
4.220490000E-1,-1.468017457E0,-6.879653842E0,1.764156418E0
4.370650000E-1,-3.310248529E0,-7.791238856E0,4.593947423E0
4.520820000E-1,-3.135628158E0,-8.219935073E0,4.532463366E0
4.670990000E-1,-1.474566631E0,-9.199424386E0,3.541787159E0
4.821150000E-1,-6.276081146E-1,-9.913491039E0,2.148804390E0
4.971320000E-1,7.252062569E-1,-1.013140390E1,-8.316319406E-2
5.121490000E-1,2.520031540E0,-9.738079832E0,-9.432722443E-1
5.271650000E-1,6.546426870E0,-7.195760168E0,-3.528100582E0
5.421820000E-1,8.526823263E0,-2.182047126E0,-9.226874725E0
5.571990000E-1,5.353491966E0,-1.189441485E0,-3.682932513E0
5.722150000E-1,4.322423486E0,-2.257063833E0,-3.540977905E0
