"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.575696468E-2,5.233482611E1,4.863932171E0,4.683773577E0,NaN,NaN,3.933333333E1,2.408856773E1
1.575696468E-2,5.233482676E1,4.863932150E0,4.682554841E0,NaN,NaN,3.933333333E1,1.878293037E1
5.234719515E-1,5.233489110E1,4.863923839E0,4.674427569E0,NaN,NaN,3.500000000E1,1.642538071E1
6.532024980E0,5.233483834E1,4.863930767E0,4.666496098E0,NaN,NaN,3.933333333E1,1.946480560E1
7.337605953E0,5.233487601E1,4.863917441E0,4.668174624E0,NaN,NaN,3.500000000E1,1.706390762E1
9.889170051E0,5.233489056E1,4.863911764E0,4.669368327E0,NaN,NaN,3.500000000E1,1.737766457E1
1.589839399E1,5.233491334E1,4.863905235E0,4.679768801E0,NaN,NaN,3.500000000E1,1.973488998E1
1.629263902E1,5.233491595E1,4.863904730E0,4.672445595E0,NaN,NaN,3.500000000E1,1.684899712E1
1.799760699E1,5.233490278E1,4.863908982E0,4.678199530E0,NaN,NaN,3.500000000E1,1.653944016E1
2.400753701E1,5.233489843E1,4.863910242E0,4.683351755E0,NaN,NaN,3.500000000E1,1.949783707E1
2.449900198E1,5.233490263E1,4.863908977E0,4.692868233E0,NaN,NaN,3.500000000E1,1.680603409E1
2.617397404E1,5.233490682E1,4.863907694E0,4.699151099E0,NaN,NaN,3.500000000E1,1.648994446E1
3.218444896E1,5.233491898E1,4.863903961E0,4.690051019E0,NaN,NaN,3.500000000E1,1.948412895E1
3.275193703E1,5.233490811E1,4.863907310E0,4.692696571E0,NaN,NaN,3.500000000E1,1.686639595E1
3.438743901E1,5.233490530E1,4.863908178E0,4.694422007E0,NaN,NaN,3.500000000E1,1.648265076E1
4.039736199E1,5.233491161E1,4.863906249E0,4.682567358E0,NaN,NaN,3.500000000E1,1.948176193E1
4.088139701E1,5.233491342E1,4.863905686E0,4.672936022E0,NaN,NaN,3.500000000E1,1.679057693E1
4.248648798E1,5.233490309E1,4.863908861E0,4.666623831E0,NaN,NaN,3.500000000E1,1.641577721E1
4.849658597E1,5.233490388E1,4.863908614E0,4.632730961E0,NaN,NaN,3.500000000E1,1.946294212E1
4.909620094E1,5.233490525E1,4.863908193E0,4.621722639E0,NaN,NaN,3.500000000E1,1.688344002E1
5.077210903E1,5.233490796E1,4.863907361E0,4.614509404E0,NaN,NaN,3.500000000E1,1.652920914E1
5.677782595E1,5.233491630E1,4.863904795E0,4.626752496E0,NaN,NaN,3.500000000E1,1.949263191E1
5.716882098E1,5.233491847E1,4.863904125E0,4.646134138E0,NaN,NaN,3.500000000E1,1.671238708E1
5.887002599E1,5.233490748E1,4.863907505E0,4.648560643E0,NaN,NaN,3.500000000E1,1.646834373E1
6.487899399E1,5.233491066E1,4.863906528E0,4.604206681E0,NaN,NaN,3.500000000E1,1.947719002E1
6.543965304E1,5.233491176E1,4.863906191E0,4.622790754E0,NaN,NaN,3.500000000E1,1.685658073E1
6.708540702E1,5.233491517E1,4.863905142E0,4.634952903E0,NaN,NaN,3.500000000E1,1.648745537E1
7.309442103E1,5.233490483E1,4.863908324E0,4.660854518E0,NaN,NaN,3.500000000E1,1.948262215E1
7.357730496E1,5.233490289E1,4.863908920E0,4.661548495E0,NaN,NaN,3.500000000E1,1.679001236E1
7.981153297E1,5.233490574E1,4.863908042E0,4.669771969E0,NaN,NaN,3.500000000E1,1.968837357E1
8.581966901E1,5.233491048E1,4.863906584E0,4.682050824E0,NaN,NaN,3.500000000E1,2.038613510E1
8.647745395E1,5.233491393E1,4.863905523E0,4.675648391E0,NaN,NaN,3.500000000E1,1.741837120E1
8.827048802E1,5.233490150E1,4.863909348E0,4.677238822E0,NaN,NaN,3.500000000E1,1.689686966E1
9.428034997E1,5.233490498E1,4.863908275E0,4.643406332E0,NaN,NaN,3.500000000E1,1.959900284E1
9.484587395E1,5.233490754E1,4.863907490E0,4.636539638E0,NaN,NaN,3.500000000E1,1.692659950E1
9.648551595E1,5.233491159E1,4.863906243E0,4.632085443E0,NaN,NaN,3.500000000E1,1.651655197E1
1.024925140E2,5.233493790E1,4.863898151E0,4.659200966E0,NaN,NaN,3.500000000E1,1.948975182E1
1.030970041E2,5.233491612E1,4.863904850E0,4.671007454E0,NaN,NaN,3.500000000E1,1.690216446E1
1.047693900E2,5.233490828E1,4.863907263E0,4.678710163E0,NaN,NaN,3.500000000E1,1.653517914E1
1.107776120E2,5.233491340E1,4.863905687E0,4.679525852E0,NaN,NaN,3.500000000E1,1.949569511E1
1.113320650E2,5.233491396E1,4.863905514E0,4.693198383E0,NaN,NaN,3.500000000E1,1.686107826E1
1.129843390E2,5.233490325E1,4.863908808E0,4.702161312E0,NaN,NaN,3.500000000E1,1.649585533E1
1.189939710E2,5.233489823E1,4.863923692E0,4.711951733E0,NaN,NaN,3.500000000E1,1.948534012E1
1.190686750E2,5.233489647E1,4.863927243E0,4.715969265E0,NaN,NaN,3.500000000E1,1.641293907E1
1.250770800E2,5.233490587E1,4.863910923E0,4.720559657E0,NaN,NaN,3.500000000E1,1.946120453E1
1.255949390E2,5.233490850E1,4.863907889E0,4.727010489E0,NaN,NaN,3.500000000E1,1.680970383E1
1.272703480E2,5.233491240E1,4.863904853E0,4.731276691E0,NaN,NaN,3.500000000E1,1.649217796E1
1.332809560E2,5.233492246E1,4.863923767E0,4.696929455E0,NaN,NaN,3.500000000E1,1.948483467E1
1.334759181E2,5.233492210E1,4.863925492E0,4.682646453E0,NaN,NaN,3.500000000E1,1.652667999E1
1.394848710E2,5.233490756E1,4.863911364E0,4.675529480E0,NaN,NaN,3.500000000E1,1.949369049E1
