"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.659900000E-2,1.103426743E1,-2.188955879E1,-3.746606445E1
3.161600000E-2,1.076994705E1,-2.134263420E1,-3.791073608E1
4.663200001E-2,1.038592911E1,-2.027553368E1,-3.857746887E1
6.164900000E-2,1.011537552E1,-1.958603859E1,-3.942982483E1
7.666600000E-2,1.024623108E1,-1.937442589E1,-3.927247620E1
9.168300000E-2,1.034031296E1,-1.908240700E1,-3.945011902E1
1.066990000E-1,1.052265549E1,-1.894936943E1,-3.932046509E1
1.217160000E-1,1.057010651E1,-1.859569359E1,-3.958105469E1
1.367330000E-1,1.045895004E1,-1.837355232E1,-3.977484131E1
1.517490000E-1,1.053652954E1,-1.810231209E1,-4.000430298E1
1.667650000E-1,1.013052368E1,-1.730557060E1,-4.014817810E1
1.817820000E-1,1.011494446E1,-1.719213295E1,-4.058122253E1
1.967980000E-1,9.727527618E0,-1.646807289E1,-4.076255798E1
2.118150000E-1,9.726768494E0,-1.621685600E1,-4.098869324E1
2.268320000E-1,9.201507568E0,-1.545986366E1,-4.117298889E1
2.418480000E-1,9.187530518E0,-1.502144051E1,-4.155654907E1
2.568650000E-1,8.985710144E0,-1.398034096E1,-4.216612244E1
2.718820000E-1,8.715072632E0,-1.328129768E1,-4.221485901E1
2.868980000E-1,7.714279175E0,-1.168410873E1,-4.323942566E1
3.019150000E-1,7.080451965E0,-1.082686996E1,-4.343072510E1
3.169320000E-1,5.696193695E0,-8.788541794E0,-4.432633972E1
3.319480000E-1,4.922958374E0,-7.718952179E0,-4.465681458E1
3.469650000E-1,3.965557098E0,-6.634391785E0,-4.507312012E1
3.619820000E-1,2.189670563E0,-4.624118805E0,-4.562551880E1
3.769990000E-1,1.362525940E0,-3.480907440E0,-4.561094666E1
3.920150000E-1,-8.953437805E-1,-1.086273193E0,-4.602651978E1
4.070320000E-1,-2.224617004E0,1.792926788E-1,-4.588478088E1
4.220490000E-1,-4.837402344E0,2.536848068E0,-4.575115967E1
4.370650000E-1,-6.010971069E0,3.384901047E0,-4.563076782E1
4.520820000E-1,-6.424446106E0,4.355443954E0,-4.570677185E1
4.670990000E-1,-5.835678101E0,4.386811256E0,-4.565521240E1
4.821150000E-1,-3.495330811E0,3.930052757E0,-4.581539917E1
4.971320000E-1,-1.708274841E0,3.484821320E0,-4.578192139E1
5.121490000E-1,2.626705170E0,1.900499344E0,-4.527365112E1
5.271650000E-1,4.729824066E0,1.277040482E0,-4.474291992E1
5.421820000E-1,7.126750946E0,7.160854340E-1,-4.374937439E1
5.571990000E-1,7.892082214E0,8.935527802E-1,-4.340420532E1
5.722150000E-1,8.045989990E0,1.046386719E0,-4.308929443E1
5.872320000E-1,7.641544342E0,1.283552170E0,-4.304745483E1
6.022490000E-1,6.983150482E0,1.844427109E0,-4.292211914E1
6.172660000E-1,5.059627533E0,3.181181908E0,-4.269667053E1
6.322820000E-1,3.946174622E0,3.965429306E0,-4.242115784E1
6.472990000E-1,1.358173370E0,5.405772209E0,-4.211056519E1
6.623160000E-1,3.111724854E-1,6.174096107E0,-4.184873962E1
6.773320000E-1,-1.596427917E0,8.028882980E0,-4.142291260E1
6.923490000E-1,-2.334609985E0,9.036920547E0,-4.114334106E1
7.073660000E-1,-3.075542450E0,1.136442184E1,-4.043205261E1
7.223820000E-1,-2.856006622E0,1.263287258E1,-3.993661499E1
7.373990000E-1,-2.177501678E0,1.489265251E1,-3.921470642E1
7.524160000E-1,-1.617919922E0,1.572889328E1,-3.885810852E1
7.674320000E-1,-9.339485168E-1,1.644270325E1,-3.857963562E1
7.824490000E-1,4.668502808E-1,1.736077309E1,-3.831527710E1
7.974660000E-1,7.129745483E-1,1.795641708E1,-3.800903320E1
8.124820000E-1,1.252426147E0,1.846512794E1,-3.728532410E1
8.274990000E-1,1.441402435E0,1.900658607E1,-3.686558533E1
8.425160000E-1,1.335140228E0,1.985041809E1,-3.626347351E1
8.575330000E-1,1.277961731E0,2.037476540E1,-3.586827087E1
8.725490000E-1,8.322944641E-1,2.096030235E1,-3.564569092E1
8.875660000E-1,8.433456421E-1,2.117231750E1,-3.535331726E1
9.025830000E-1,8.706169128E-1,2.199852562E1,-3.452095032E1
9.175990000E-1,1.051986694E0,2.232751846E1,-3.402395630E1
9.326160000E-1,1.146827698E0,2.285896111E1,-3.374546814E1
9.476330000E-1,1.251537323E0,2.314236259E1,-3.344866943E1
9.626490000E-1,1.234226227E0,2.336559486E1,-3.300073242E1
9.776660000E-1,1.165157318E0,2.388085365E1,-3.257147217E1
9.926830000E-1,7.065773010E-1,2.433578110E1,-3.247007751E1
1.007699000E0,-8.178710938E-2,2.504497337E1,-3.217861938E1
1.022716000E0,-1.030433655E0,2.561353874E1,-3.181216431E1
1.037733000E0,-2.635734558E0,2.681194687E1,-3.104289246E1
1.052750000E0,-3.374286652E0,2.760864067E1,-3.063938904E1
1.067766000E0,-4.718372345E0,2.917500305E1,-2.944479370E1
1.082783000E0,-5.425205231E0,2.997854996E1,-2.893687439E1
1.097800000E0,-7.084663391E0,3.127549744E1,-2.808201599E1
1.112816000E0,-7.961860657E0,3.171841240E1,-2.752678680E1
1.127833000E0,-8.920989990E0,3.210966492E1,-2.718379211E1
1.142850000E0,-1.086791229E1,3.260525513E1,-2.635264587E1
1.157866000E0,-1.165293312E1,3.297172546E1,-2.613773346E1
1.172883917E0,-1.276457214E1,3.327733994E1,-2.580786896E1
1.187900917E0,-1.314504051E1,3.356740189E1,-2.547853851E1
1.202916917E0,-1.369876289E1,3.364563370E1,-2.569177246E1
1.217933917E0,-1.410168457E1,3.321932602E1,-2.603380585E1
1.232950917E0,-1.487589073E1,3.221240616E1,-2.672797394E1
1.247967917E0,-1.561826324E1,3.160609436E1,-2.704162598E1
1.262983917E0,-1.728282928E1,3.060401535E1,-2.755426788E1
1.278000917E0,-1.803758049E1,3.014899445E1,-2.784895325E1
1.293017917E0,-1.920273018E1,2.896364212E1,-2.798200989E1
1.308033917E0,-1.982736588E1,2.861635590E1,-2.809626770E1
1.323050917E0,-2.104739571E1,2.775086975E1,-2.810668182E1
1.338067917E0,-2.156928062E1,2.726450729E1,-2.806668091E1
1.353083917E0,-2.209086800E1,2.680701828E1,-2.802066040E1
1.368100917E0,-2.297598267E1,2.587150383E1,-2.809397125E1
1.383117917E0,-2.322922516E1,2.533713341E1,-2.813961792E1
1.398133917E0,-2.337360191E1,2.478984070E1,-2.851286316E1
1.413150917E0,-2.349284744E1,2.436310005E1,-2.855294800E1
1.428167917E0,-2.426466560E1,2.369905090E1,-2.858517456E1
1.443184917E0,-2.451530838E1,2.333111572E1,-2.862888336E1
1.458200917E0,-2.527625465E1,2.258292580E1,-2.830480957E1
1.473217917E0,-2.573584747E1,2.221897888E1,-2.807585907E1
1.488234917E0,-2.660319519E1,2.152756119E1,-2.790952301E1
1.503250917E0,-2.671224976E1,2.121283722E1,-2.807456970E1
1.518267917E0,-2.647268677E1,2.075842285E1,-2.820457458E1
1.533284917E0,-2.649709702E1,2.062949181E1,-2.843875885E1
1.548300917E0,-2.616987419E1,2.059731674E1,-2.850519562E1
1.563317917E0,-2.585161972E1,2.060081291E1,-2.867040253E1
1.578334917E0,-2.594181442E1,2.053160477E1,-2.853277588E1
1.593350917E0,-2.613601303E1,2.030595016E1,-2.849018097E1
