"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.268891667E-2,-2.522384981E-3,-1.467998862E0,-1.011038432E-3
2.771991667E-2,-5.525173545E-1,-1.501302004E0,9.681470692E-2
4.275091668E-2,-9.374378920E-1,-1.176261425E0,2.356736064E-1
5.778191666E-2,-1.042391419E0,-6.826154590E-1,3.680822551E-1
7.281291667E-2,-9.907413125E-1,-4.459666908E-1,3.414137959E-1
8.784491666E-2,-7.934672832E-1,-8.276476264E-1,-1.348855067E-2
1.028759167E-1,-6.517603397E-1,-1.326225281E0,-4.257641733E-1
1.179069167E-1,-7.500531077E-1,-1.618001819E0,-7.286651731E-1
1.329379167E-1,-9.359192848E-1,-2.019019842E0,-8.229205012E-1
1.479689167E-1,-1.206423283E0,-2.463790894E0,-6.966826320E-1
1.629999167E-1,-1.465302825E0,-2.828637362E0,-4.356068075E-1
1.780319167E-1,-1.527198434E0,-2.870377541E0,-2.486262769E-1
1.930629167E-1,-1.329511046E0,-2.830058336E0,-2.339552492E-1
2.080939167E-1,-1.056598186E0,-2.062870502E0,-2.192504406E-1
2.231249167E-1,-7.143929005E-1,-1.065910816E0,7.041394711E-2
2.381559167E-1,-4.613649249E-1,1.498794556E-1,4.648744464E-1
2.531879167E-1,-4.988346994E-1,7.438595891E-1,6.941762567E-1
2.682189167E-1,-7.673838139E-1,9.419735670E-1,7.909476757E-1
2.832499167E-1,-1.110861063E0,9.878923297E-1,9.967935085E-1
2.982809167E-1,-1.383167386E0,7.130562663E-1,1.209207058E0
3.133119167E-1,-1.513706565E0,-6.888224930E-2,1.413491130E0
3.283429167E-1,-1.421726704E0,-8.051502705E-1,1.643764496E0
3.433749167E-1,-1.105077028E0,-8.740989566E-1,1.656127214E0
3.584059167E-1,-6.993716359E-1,-8.849326968E-1,1.521054387E0
3.734369167E-1,-2.220588028E-1,-5.163810253E-1,1.377529383E0
3.884679167E-1,2.218426615E-1,7.098163664E-2,1.230929613E0
4.034989167E-1,5.824653506E-1,7.885239124E-1,7.732402682E-1
