"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.268891667E-2,-8.625794989E-1,8.303514004E-1,-2.211762530E0
2.771991667E-2,-5.564508623E-1,-2.095987076E-1,-2.463102171E0
4.275091668E-2,-2.318292367E-1,-5.309967631E-1,-1.527178123E0
5.778191666E-2,-1.739099345E-1,-1.122247914E0,8.159912235E-1
7.281291667E-2,-1.160204530E-2,-5.275305337E-1,1.344221084E0
8.784491666E-2,7.502522935E-1,4.372430921E-1,8.041278076E-1
1.028759167E-1,1.047286609E0,1.070625771E0,7.553877568E-1
1.179069167E-1,9.110371292E-1,6.484801894E-1,1.417224741E-1
1.329379167E-1,5.050728402E-1,5.362259281E-1,-2.894599789E-1
1.479689167E-1,-6.678593239E-1,-5.712373012E-1,-1.541033100E0
1.629999167E-1,-9.861070459E-1,-7.886511049E-1,-1.723151064E0
1.780319167E-1,-2.965108439E-2,-9.626654121E-1,-3.867015141E-1
1.930629167E-1,8.093753913E-1,-7.758641213E-1,4.934892136E-1
2.080939167E-1,1.385087713E0,-8.380036515E-1,1.762427981E0
2.231249167E-1,1.563383498E0,-1.115589105E0,2.217977536E0
2.381559167E-1,7.598112486E-1,-3.483446565E-1,2.187506526E0
2.531879167E-1,6.968241645E-1,-4.811764392E-1,1.051457428E0
2.682189167E-1,1.306648338E0,-6.021494839E-1,-5.723488569E-1
2.832499167E-1,9.605741554E-1,-4.438840672E-1,-1.244511439E0
2.982809167E-1,6.413169117E-1,-1.012927201E0,-8.405828583E-1
3.133119167E-1,1.148701595E0,1.533821145E-1,-9.242588532E-1
3.283429167E-1,3.751569908E-1,9.766516596E-2,-1.516957775E0
3.433749167E-1,8.477744950E-1,1.227959726E0,-1.333773279E-1
3.584059167E-1,9.887025518E-1,4.181104177E-1,-1.052685928E-1
3.734369167E-1,1.151118980E0,1.349695247E-1,1.852117252E-1
3.884679167E-1,-1.292391072E-1,-3.725962758E-1,4.667674381E-1
4.034989167E-1,-7.351531747E-1,-7.563256502E-1,6.586122447E-1
4.185309167E-1,6.824223992E-1,3.147594193E-1,4.953480434E-1
4.335619167E-1,1.879895912E-1,9.557975650E-1,-4.494433075E-1
4.485929167E-1,2.202903231E-1,-5.009055296E-1,-8.320149332E-1
4.636239167E-1,3.347242986E-1,-6.814216483E-1,-1.427608227E0
4.786549167E-1,-1.449959208E0,-2.767881855E-1,-1.127240852E0
4.936859167E-1,-1.420881443E0,-2.790112969E-1,-9.803032458E-1
5.087179167E-1,-3.080069084E-1,-1.452295756E0,-9.752243543E-1
5.237489167E-1,-1.109631231E0,-2.261393989E0,-8.653563416E-1
5.387799167E-1,4.070731038E-1,-3.222985268E-1,-6.069404000E-1
5.538109167E-1,1.214166217E0,-2.109997004E-2,-1.574681488E0
5.688419167E-1,2.250738900E0,5.873709387E-1,-2.089752774E0
5.838729167E-1,7.502780943E-1,5.275208858E-1,-1.757614553E0
5.989049167E-1,-3.355524982E0,1.781515047E-1,-1.956192428E0
6.139359167E-1,-3.750958143E-1,-1.694458484E0,-2.006581979E0
6.289669167E-1,-6.908362502E-1,-1.739619454E0,-4.803312242E-1
6.439979167E-1,-1.428343222E-2,-1.679401904E0,-4.302357888E-1
6.590289167E-1,3.471046083E-1,-9.506335965E-1,-1.332836555E0
6.740599167E-1,2.223213717E-2,-4.798558456E-1,-2.248298857E0
6.890919167E-1,-5.015234341E-1,-1.145392363E0,-3.424840508E0
7.041229167E-1,-9.991625628E-1,-1.570537274E0,-3.610328806E0
7.191539167E-1,-2.671470917E0,-3.211675291E0,-3.702354040E0
7.341849167E-1,-3.770176479E0,-4.475570250E0,-4.022131248E0
7.492159167E-1,-5.147538997E0,-6.979869272E0,-4.675006789E0
7.642479167E-1,-6.674393184E0,-7.291910028E0,-4.980103392E0
7.792789167E-1,-4.029059029E0,-7.813707951E0,-5.508684670E0
7.943099167E-1,-5.433255588E0,-9.282264229E0,-4.963403744E0
8.093409167E-1,-3.913016356E0,-1.083344283E1,-5.713944744E0
8.243719167E-1,-4.248260618E0,-1.141467361E1,-4.396682540E0
8.394029167E-1,-2.226613873E0,-1.198136821E1,-5.678594817E0
8.544349167E-1,-6.986995858E-1,-1.141802173E1,-5.968612036E0
8.694659167E-1,2.367432953E0,-9.424319410E0,-4.437539667E0
8.844969167E-1,4.548936142E0,-8.165467089E0,-2.034052344E0
8.995279167E-1,8.062637955E0,-5.324737698E0,3.003746256E0
9.145589167E-1,9.703136287E0,-3.629240456E0,4.419596901E0
9.295899167E-1,1.022779174E1,-2.374964751E0,5.204985552E0
9.446219167E-1,1.048736251E1,-2.435155404E0,4.146572860E0
9.596529167E-1,1.139120873E1,-2.266581931E0,2.361793313E0
9.746834167E-1,1.182532941E1,-1.357484323E0,5.704087508E-1
9.897144167E-1,1.250273169E1,5.219867885E-1,-1.647091652E0
1.004745417E0,1.282588624E1,1.615028445E0,-3.153122150E0
1.019777417E0,1.474067863E1,3.837603647E0,-5.027344801E0
1.034808417E0,1.537802514E1,4.419978139E0,-5.981706290E0
1.049839417E0,1.553788334E1,4.433545434E0,-7.440484269E0
1.064870417E0,1.543895313E1,3.739917138E0,-7.751128126E0
1.079901417E0,1.323402891E1,2.469452832E0,-8.114881657E0
1.094932417E0,1.171025621E1,1.615065867E0,-7.790775756E0
1.109964417E0,7.620702472E0,1.185406029E-2,-5.276155522E0
1.124995417E0,4.294611497E0,-2.097520216E0,-4.116389533E0
1.140026417E0,-2.962759028E0,-4.561000117E0,-4.658627568E0
1.155057417E0,-5.501265723E0,-5.133630810E0,-5.216868263E0
1.170088417E0,-7.242595780E0,-5.517306975E0,-4.422077875E0
1.185119417E0,-6.244070272E0,-4.492225167E0,-3.641826587E0
1.200151417E0,-1.861994369E0,-1.256604066E0,-2.040246738E0
1.215182417E0,-1.066660774E0,-1.228445629E0,-1.330956675E0
1.230213417E0,1.080699939E-1,-7.498153603E-1,-1.111061606E0
1.245244417E0,-6.643080175E-2,-1.156366417E0,-3.875575465E-1
1.260275417E0,-6.521288520E-1,-1.363474796E0,1.920213926E-1
1.275306417E0,-2.945441329E-1,-1.116748023E0,6.428838193E-1
1.290338417E0,7.730358231E-1,-8.695429480E-1,3.624118295E0
1.305369417E0,6.427639514E-1,-8.636080241E-1,4.537548105E0
1.320400417E0,2.648911482E-1,7.227509379E-2,1.691183167E0
1.335431417E0,-5.335683686E-1,2.023820740E-1,6.205392694E-1
1.350462417E0,-1.365476298E0,-7.163973534E-1,3.724617898E-1
1.365493417E0,-1.011839034E0,-6.684069157E-1,4.665551841E-1
1.380525417E0,6.719292784E-1,2.250300944E-1,1.197625979E-1
1.395556417E0,5.967609823E-1,-6.345047593E-2,-2.246195468E-1
1.410587417E0,9.377150506E-1,-1.394503630E0,2.209860431E0
1.425618417E0,-6.381657010E-1,-2.471775931E0,1.677331113E0
1.440649417E0,-9.094595504E-1,-4.532121304E0,2.532451319E0
1.455680417E0,6.682724297E-2,-4.420983860E0,3.708306506E0
1.470712417E0,6.127384990E-1,-3.666350979E0,2.657609215E0
1.485743417E0,-3.632173419E-2,-2.156505758E0,1.320289015E0
1.500774417E0,-2.064678744E0,-2.922312668E0,3.056924343E-1
1.515805417E0,-2.149185044E0,-1.951795322E0,-2.151449670E0
1.530836417E0,-5.196917564E-1,1.006091221E0,-1.870996158E0
1.545867417E0,2.203390487E0,3.672377120E0,-3.492159209E0
1.560899417E0,3.027323399E0,6.429903556E0,-5.401133909E0
1.575930417E0,4.500191413E0,7.270361869E0,-5.013106247E0
1.590961417E0,5.047625284E0,9.167255929E0,-2.683020922E0
1.605992417E0,3.326562846E0,7.829022394E0,-2.423224453E0
1.621023417E0,2.307621784E0,3.655148299E0,-4.131498154E0
1.636054417E0,-2.220811681E0,1.653659829E0,-4.213269711E0
1.651086417E0,-2.263416249E-1,1.300356442E0,-2.212960625E-1
1.666117417E0,-2.417665213E0,-8.487192589E-1,3.380123341E-1
1.681148417E0,-2.609224675E0,-2.271085457E0,-7.767746790E-1
1.696179417E0,-2.235930242E0,5.805934310E-2,-3.821326168E0
1.711210417E0,-1.571714026E0,8.649178004E-1,9.161551970E-1
