"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.268891667E-2,1.543048096E1,-3.070973206E1,-3.866790009E1
2.771991667E-2,1.504736328E1,-3.066494751E1,-3.904911041E1
4.275091668E-2,1.389599609E1,-3.034049225E1,-3.986309052E1
5.778191666E-2,1.342181396E1,-2.991461945E1,-4.015862274E1
7.281291667E-2,1.256976318E1,-2.887678528E1,-4.094452667E1
8.784491666E-2,1.248156738E1,-2.855249405E1,-4.158214569E1
1.028759167E-1,1.155578613E1,-2.794208527E1,-4.238494110E1
1.179069167E-1,1.118927002E1,-2.765742493E1,-4.277039337E1
1.329379167E-1,1.072448730E1,-2.721301270E1,-4.316579437E1
1.479689167E-1,9.235107422E0,-2.619561005E1,-4.385399628E1
1.629999167E-1,8.419677734E0,-2.563609314E1,-4.449878693E1
1.780319167E-1,5.860412598E0,-2.417798233E1,-4.559828949E1
1.930629167E-1,4.685729980E0,-2.339649200E1,-4.605994415E1
2.080939167E-1,2.232482910E0,-2.220293045E1,-4.694290924E1
2.231249167E-1,1.419921875E0,-2.162172699E1,-4.722650909E1
2.381559167E-1,7.836914062E-1,-2.104216766E1,-4.755205536E1
2.531879167E-1,6.774291992E-1,-2.094938660E1,-4.773984528E1
2.682189167E-1,1.299987793E0,-2.044656372E1,-4.801366425E1
2.832499167E-1,1.538940430E0,-2.010232925E1,-4.806902313E1
2.982809167E-1,1.973266602E0,-1.889046860E1,-4.836101532E1
3.133119167E-1,1.748657227E0,-1.821103668E1,-4.889763641E1
3.283429167E-1,7.985839844E-1,-1.680156326E1,-4.929192352E1
3.433749167E-1,1.307373047E-1,-1.613701630E1,-4.958119965E1
3.584059167E-1,-6.516113281E-1,-1.565620422E1,-4.955715179E1
3.734369167E-1,-1.918457031E0,-1.500544357E1,-5.001851654E1
3.884679167E-1,-2.312683105E0,-1.491976547E1,-5.006958771E1
4.034989167E-1,-2.570190430E0,-1.512749863E1,-4.990753937E1
4.185309167E-1,-2.132934570E0,-1.541261673E1,-4.991469574E1
4.335619167E-1,-1.479980469E0,-1.610112000E1,-4.961147308E1
4.485929167E-1,-1.468383789E0,-1.627357101E1,-4.945723724E1
4.636239167E-1,-1.232910156E0,-1.726343155E1,-4.931201935E1
4.786549167E-1,-1.248718262E0,-1.745886993E1,-4.925269318E1
4.936859167E-1,-1.216796875E0,-1.761858368E1,-4.912183380E1
5.087179167E-1,-1.214050293E0,-1.777371597E1,-4.903812408E1
5.237489167E-1,-1.862182617E0,-1.795138168E1,-4.913317108E1
5.387799167E-1,-2.317016602E0,-1.821503830E1,-4.876055145E1
5.538109167E-1,-3.032775879E0,-1.844951630E1,-4.853444672E1
5.688419167E-1,-5.045776367E0,-1.897519302E1,-4.810350800E1
5.838729167E-1,-5.888671875E0,-1.916284561E1,-4.780490875E1
5.989049167E-1,-7.087707520E0,-1.932837677E1,-4.762561798E1
6.139359167E-1,-7.367980957E0,-1.923317337E1,-4.771050262E1
6.289669167E-1,-7.733764648E0,-1.873757935E1,-4.780429840E1
6.439979167E-1,-7.695312500E0,-1.827799606E1,-4.794303131E1
6.590289167E-1,-8.120666504E0,-1.794103241E1,-4.812744904E1
6.740599167E-1,-8.509948730E0,-1.757668304E1,-4.808309174E1
6.890919167E-1,-9.470825195E0,-1.706163406E1,-4.776519012E1
7.041229167E-1,-1.039465332E1,-1.675122452E1,-4.768421173E1
7.191539167E-1,-1.278479004E1,-1.613712692E1,-4.729198456E1
7.341849167E-1,-1.469537354E1,-1.583010483E1,-4.671950531E1
7.492159167E-1,-2.014990234E1,-1.487240982E1,-4.497432709E1
7.642479167E-1,-2.365948486E1,-1.422245789E1,-4.345861053E1
7.792789167E-1,-2.743804932E1,-1.341416168E1,-4.118341827E1
7.943099167E-1,-3.607467651E1,-1.132144165E1,-3.410526276E1
8.093409167E-1,-4.028546143E1,-9.993392944E0,-2.907186127E1
8.243719167E-1,-4.710049438E1,-5.441684723E0,-1.711347198E1
8.394029167E-1,-4.900537109E1,-2.352020264E0,-1.063085175E1
8.544349167E-1,-4.984841919E1,5.557226181E0,1.927490234E-1
8.694659167E-1,-4.851977539E1,9.550651550E0,4.317070007E0
8.844969167E-1,-4.530395508E1,1.808927155E1,9.275123596E0
8.995279167E-1,-4.349960327E1,2.189391518E1,1.028419495E1
9.145589167E-1,-3.949996948E1,2.823571968E1,1.024122620E1
